 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12000000E-01  0.19964486E+03  0.21529818E+03  0.17660536E+03  0.00000000E+00  0.38509304E+02  0.30175104E+01
  0.24000000E-01  0.79707975E+03  0.85909779E+03  0.70524758E+03  0.00000000E+00  0.77302658E+02  0.11818799E+02
  0.35900000E-01  0.17828228E+04  0.19197832E+04  0.15780075E+04  0.00000000E+00  0.11170318E+03  0.17678954E+02
  0.47900000E-01  0.31577125E+04  0.33958950E+04  0.27963615E+04  0.00000000E+00  0.15079730E+03  0.34329233E+02
  0.59900000E-01  0.49079387E+04  0.52694925E+04  0.43490585E+04  0.00000000E+00  0.18213427E+03  0.60711422E+02
  0.71900000E-01  0.70200903E+04  0.75222714E+04  0.62253926E+04  0.00000000E+00  0.22241578E+03  0.72873977E+02
  0.83900000E-01  0.94777565E+04  0.10132234E+05  0.84122694E+04  0.00000000E+00  0.25247507E+03  0.11063192E+03
  0.95800000E-01  0.12249002E+05  0.13060284E+05  0.10882772E+05  0.00000000E+00  0.27463386E+03  0.12632346E+03
  0.10780000E+00  0.15336005E+05  0.16303628E+05  0.13640357E+05  0.00000000E+00  0.30215587E+03  0.17417959E+03
  0.11980000E+00  0.18702840E+05  0.19818681E+05  0.16654610E+05  0.22888739E+02  0.32997459E+03  0.19356878E+03
  0.13180000E+00  0.22322425E+05  0.23571389E+05  0.19903022E+05  0.25181434E+02  0.34629688E+03  0.23137670E+03
  0.14380000E+00  0.26165576E+05  0.27525659E+05  0.23360897E+05  0.54544591E+02  0.35994196E+03  0.29278779E+03
  0.15570000E+00  0.30181552E+05  0.31623680E+05  0.26984492E+05  0.63571369E+02  0.38728182E+03  0.31701710E+03
  0.16770000E+00  0.34375145E+05  0.35866049E+05  0.30779103E+05  0.10114416E+03  0.39861899E+03  0.36613244E+03
  0.17970000E+00  0.38694048E+05  0.40194454E+05  0.34699419E+05  0.13273688E+03  0.40818725E+03  0.41961642E+03
  0.19170000E+00  0.43102977E+05  0.44569400E+05  0.38714997E+05  0.14160078E+03  0.41627476E+03  0.44763755E+03
  0.20370000E+00  0.47566568E+05  0.48952456E+05  0.42795245E+05  0.18479702E+03  0.44233265E+03  0.50703030E+03
  0.21560000E+00  0.52025254E+05  0.53281126E+05  0.46887745E+05  0.19559272E+03  0.42147591E+03  0.55303948E+03
  0.22760000E+00  0.56491412E+05  0.57568428E+05  0.51005588E+05  0.23068313E+03  0.42442968E+03  0.58382090E+03
  0.23960000E+00  0.60907844E+05  0.61756833E+05  0.55098964E+05  0.24284569E+03  0.42689550E+03  0.65355007E+03
  0.25160000E+00  0.65241831E+05  0.65815618E+05  0.59140726E+05  0.27944961E+03  0.41495217E+03  0.67010057E+03
  0.26360000E+00  0.69462941E+05  0.69716989E+05  0.63106431E+05  0.28062828E+03  0.41461662E+03  0.74622304E+03
  0.27550000E+00  0.73516010E+05  0.73410288E+05  0.66949397E+05  0.33076020E+03  0.39489368E+03  0.77991065E+03
  0.28750000E+00  0.77428394E+05  0.76928539E+05  0.70699414E+05  0.33233485E+03  0.39258027E+03  0.79967123E+03
  0.29950000E+00  0.81151060E+05  0.80228877E+05  0.74317742E+05  0.33406492E+03  0.36549933E+03  0.88356167E+03
  0.31150000E+00  0.84664057E+05  0.83298689E+05  0.77793173E+05  0.33593652E+03  0.38014371E+03  0.90804411E+03
  0.32350000E+00  0.87950995E+05  0.86129918E+05  0.81119258E+05  0.34887789E+03  0.32788222E+03  0.94302494E+03
  0.33540000E+00  0.90971730E+05  0.88691524E+05  0.84268174E+05  0.35036571E+03  0.33994342E+03  0.96887487E+03
  0.34740000E+00  0.93769822E+05  0.91035108E+05  0.87292946E+05  0.35210598E+03  0.35210598E+03  0.10035394E+04
  0.35940000E+00  0.96311731E+05  0.93136058E+05  0.90175140E+05  0.35397304E+03  0.30844545E+03  0.10323096E+04
  0.37140000E+00  0.98593140E+05  0.94999207E+05  0.92925942E+05  0.31322780E+03  0.31874413E+03  0.10667773E+04
  0.38340000E+00  0.10061230E+06  0.96631065E+05  0.95561404E+05  0.32334824E+03  0.26701105E+03  0.11012451E+04
  0.39530000E+00  0.10234474E+06  0.98016225E+05  0.98076804E+05  0.32465504E+03  0.27529856E+03  0.11332230E+04
  0.40730000E+00  0.10384596E+06  0.99214385E+05  0.10054586E+06  0.28803681E+03  0.28365571E+03  0.11676239E+04
  0.41930000E+00  0.10509498E+06  0.10021154E+06  0.10297127E+06  0.28899556E+03  0.29201286E+03  0.12020248E+04
  0.43130000E+00  0.10609904E+06  0.10101985E+06  0.10538471E+06  0.24861127E+03  0.22798642E+03  0.12388289E+04
  0.44330000E+00  0.10686775E+06  0.10165160E+06  0.10782097E+06  0.24925867E+03  0.23432966E+03  0.12732967E+04
  0.45520000E+00  0.10738852E+06  0.10209741E+06  0.11029367E+06  0.20531526E+03  0.24062003E+03  0.13074772E+04
  0.46720000E+00  0.10772161E+06  0.10241564E+06  0.11289164E+06  0.15460677E+03  0.24696327E+03  0.12653107E+04
  0.47920000E+00  0.10785809E+06  0.10259791E+06  0.11563322E+06  0.15857784E+03  0.26949813E+03  0.12978102E+04
  0.49120000E+00  0.10781413E+06  0.10265801E+06  0.11856301E+06  0.10851795E+03  0.27624683E+03  0.13303096E+04
  0.50320000E+00  0.10760871E+06  0.10261155E+06  0.12172672E+06  0.11116903E+03  0.28299553E+03  0.13628090E+04
  0.51510000E+00  0.10724194E+06  0.10245520E+06  0.12514652E+06  0.56947215E+02  0.28968799E+03  0.13950376E+04
  0.52710000E+00  0.10677823E+06  0.10224491E+06  0.12891666E+06  0.56935506E+02  0.29643669E+03  0.14442171E+04
  0.53910000E+00  0.10621982E+06  0.10197952E+06  0.13305847E+06  0.00000000E+00  0.30318539E+03  0.13773363E+04
  0.55110000E+00  0.10559308E+06  0.10167679E+06  0.13761530E+06  0.00000000E+00  0.30993409E+03  0.14079949E+04
  0.56310000E+00  0.10492413E+06  0.10135689E+06  0.14262746E+06  0.60824101E+02  0.31668280E+03  0.14386535E+04
  0.57500000E+00  0.10422175E+06  0.10102128E+06  0.14810669E+06  0.62109497E+02  0.32337526E+03  0.14690566E+04
  0.58700000E+00  0.10354933E+06  0.10072476E+06  0.15413603E+06  0.12671355E+03  0.33012396E+03  0.14997151E+04
  0.59900000E+00  0.10291406E+06  0.10046842E+06  0.16071703E+06  0.12930395E+03  0.22720591E+03  0.14128261E+04
  0.61100000E+00  0.10234007E+06  0.10027085E+06  0.16787117E+06  0.19758875E+03  0.23175762E+03  0.14411298E+04
  0.62300000E+00  0.10185076E+06  0.10014762E+06  0.17561265E+06  0.20146938E+03  0.22154940E+03  0.14694335E+04
  0.63490000E+00  0.10144841E+06  0.10009810E+06  0.18391961E+06  0.27959277E+03  0.22578124E+03  0.14975014E+04
  0.64690000E+00  0.10118259E+06  0.10016594E+06  0.19284912E+06  0.28487725E+03  0.23004865E+03  0.15258051E+04
  0.65890000E+00  0.10105028E+06  0.10034511E+06  0.20236473E+06  0.29016172E+03  0.23431605E+03  0.15541087E+04
  0.67090000E+00  0.10106057E+06  0.10064227E+06  0.21245168E+06  0.36839836E+03  0.23858345E+03  0.14424728E+04
  0.68290000E+00  0.10122084E+06  0.10106199E+06  0.22308667E+06  0.37498769E+03  0.24285086E+03  0.14682735E+04
  0.69480000E+00  0.10151879E+06  0.10159064E+06  0.23420707E+06  0.38152210E+03  0.24708270E+03  0.14938591E+04
  0.70680000E+00  0.10198389E+06  0.10225665E+06  0.24584233E+06  0.46435484E+03  0.25135011E+03  0.15196598E+04
  0.71880000E+00  0.10259849E+06  0.10304177E+06  0.25791835E+06  0.48342511E+03  0.25561751E+03  0.15454605E+04
  0.73080000E+00  0.10335777E+06  0.10393980E+06  0.27038788E+06  0.49149564E+03  0.25988491E+03  0.15712612E+04
  0.74280000E+00  0.10425470E+06  0.10494516E+06  0.28319960E+06  0.49956618E+03  0.24943748E+03  0.15970618E+04
  0.75470000E+00  0.10526659E+06  0.10603463E+06  0.29625995E+06  0.58993896E+03  0.25343359E+03  0.16226475E+04
  0.76670000E+00  0.10641347E+06  0.10722823E+06  0.30958849E+06  0.59931920E+03  0.25746327E+03  0.16484482E+04
  0.77870000E+00  0.10767105E+06  0.10850192E+06  0.32308838E+06  0.60869944E+03  0.26149296E+03  0.15019215E+04
  0.79070000E+00  0.10902936E+06  0.10984819E+06  0.33670015E+06  0.61807968E+03  0.26552264E+03  0.15250665E+04
  0.80270000E+00  0.11048077E+06  0.11125787E+06  0.35036401E+06  0.64278923E+03  0.26955233E+03  0.15482116E+04
  0.81460000E+00  0.11200173E+06  0.11271047E+06  0.36397729E+06  0.65231856E+03  0.25980552E+03  0.15711638E+04
  0.82660000E+00  0.11361385E+06  0.11422826E+06  0.37757074E+06  0.66192797E+03  0.26363276E+03  0.15943088E+04
  0.83860000E+00  0.11529632E+06  0.11579247E+06  0.39104629E+06  0.67153738E+03  0.26746000E+03  0.16174539E+04
  0.85060000E+00  0.11704487E+06  0.11740091E+06  0.40435161E+06  0.68114678E+03  0.27128723E+03  0.16405990E+04
  0.86260000E+00  0.11885657E+06  0.11905338E+06  0.41743853E+06  0.69075619E+03  0.27511447E+03  0.16637440E+04
  0.87450000E+00  0.12071530E+06  0.12073775E+06  0.43021154E+06  0.68358503E+03  0.26615479E+03  0.16866962E+04
  0.88650000E+00  0.12264896E+06  0.12248504E+06  0.44272719E+06  0.69296527E+03  0.13531586E+03  0.17098413E+04
  0.89850000E+00  0.12464453E+06  0.12428596E+06  0.45489782E+06  0.70234551E+03  0.13714755E+03  0.19318256E+04
  0.91050000E+00  0.12670499E+06  0.12614881E+06  0.46669038E+06  0.71172575E+03  0.13897924E+03  0.19576263E+04
  0.92250000E+00  0.12883412E+06  0.12808128E+06  0.47807280E+06  0.72110599E+03  0.14081092E+03  0.19834270E+04
  0.93440000E+00  0.13102189E+06  0.13008007E+06  0.48896640E+06  0.71373961E+03  0.14262735E+03  0.20090126E+04
  0.94640000E+00  0.13330151E+06  0.13218331E+06  0.49945069E+06  0.72290579E+03  0.13833169E+03  0.20348133E+04
  0.95840000E+00  0.13566653E+06  0.13438844E+06  0.50945274E+06  0.83341160E+03  0.00000000E+00  0.20606140E+04
  0.97040000E+00  0.13812180E+06  0.13670726E+06  0.51895374E+06  0.82565094E+03  0.00000000E+00  0.20864147E+04
  0.98240000E+00  0.14067651E+06  0.13915163E+06  0.52793842E+06  0.83586096E+03  0.00000000E+00  0.21122153E+04
  0.99440000E+00  0.14333597E+06  0.14173343E+06  0.53639297E+06  0.84607099E+03  0.00000000E+00  0.21380160E+04
  0.10063000E+01  0.14609334E+06  0.14444777E+06  0.54425081E+06  0.93982646E+03  0.00000000E+00  0.22411653E+04
  0.10183000E+01  0.14898451E+06  0.14733348E+06  0.55161160E+06  0.95103378E+03  0.14302012E+03  0.22678909E+04
  0.10303000E+01  0.15200158E+06  0.15038300E+06  0.55841213E+06  0.94330873E+03  0.14470552E+03  0.22946166E+04
  0.10423000E+01  0.15514988E+06  0.15360288E+06  0.56464652E+06  0.10564193E+04  0.14639092E+03  0.23213422E+04
  0.10543000E+01  0.15843422E+06  0.15699727E+06  0.57030948E+06  0.10685818E+04  0.14807632E+03  0.23480678E+04
  0.10662000E+01  0.16184367E+06  0.16055319E+06  0.57534575E+06  0.11621311E+04  0.29883877E+03  0.24646154E+04
  0.10782000E+01  0.16541080E+06  0.16429987E+06  0.57986060E+06  0.11752108E+04  0.29132609E+03  0.24923544E+04
  0.10902000E+01  0.16912322E+06  0.16821912E+06  0.58380207E+06  0.12684635E+04  0.29456845E+03  0.23218733E+04
  0.11022000E+01  0.17298120E+06  0.17230643E+06  0.58717282E+06  0.13838187E+04  0.44532833E+03  0.23474305E+04
  0.11142000E+01  0.17698143E+06  0.17655497E+06  0.58998009E+06  0.13988848E+04  0.45017676E+03  0.24880619E+04
  0.11261000E+01  0.18110848E+06  0.18093970E+06  0.59217892E+06  0.14911639E+04  0.60406651E+03  0.23285527E+04
  0.11381000E+01  0.18538774E+06  0.18547992E+06  0.59388740E+06  0.15070541E+04  0.61050359E+03  0.23533663E+04
  0.11501000E+01  0.18979815E+06  0.19014884E+06  0.59506856E+06  0.16250448E+04  0.61694068E+03  0.23781799E+04
  0.11621000E+01  0.19433257E+06  0.19493175E+06  0.59574222E+06  0.17167894E+04  0.77508310E+03  0.22165290E+04
  0.11741000E+01  0.19898266E+06  0.19981457E+06  0.59593094E+06  0.18352092E+04  0.78308671E+03  0.22394172E+04
  0.11860000E+01  0.20372264E+06  0.20476498E+06  0.59561480E+06  0.19255760E+04  0.94327566E+03  0.20820392E+04
  0.11980000E+01  0.20857423E+06  0.20980437E+06  0.59492590E+06  0.19450591E+04  0.95281977E+03  0.21031053E+04
  0.12100000E+01  0.21351046E+06  0.21489952E+06  0.59385148E+06  0.21339754E+04  0.11147604E+04  0.19550770E+04
  0.12220000E+01  0.21852006E+06  0.22003912E+06  0.59243267E+06  0.22532940E+04  0.11258158E+04  0.19744662E+04
  0.12340000E+01  0.22359022E+06  0.22521107E+06  0.59071777E+06  0.23420733E+04  0.11368713E+04  0.16271727E+04
  0.12459000E+01  0.22869207E+06  0.23038777E+06  0.58870675E+06  0.24616900E+04  0.13014927E+04  0.16428642E+04
  0.12579000E+01  0.23385148E+06  0.23559762E+06  0.58655181E+06  0.26449827E+04  0.13140281E+04  0.12749399E+04
  0.12699000E+01  0.23903999E+06  0.24081854E+06  0.58426079E+06  0.27651825E+04  0.14796968E+04  0.12871024E+04
  0.12819000E+01  0.24425136E+06  0.24604694E+06  0.58189294E+06  0.29799065E+04  0.15404342E+04  0.91871907E+03
  0.12939000E+01  0.24947705E+06  0.25128282E+06  0.57950989E+06  0.31580915E+04  0.15548544E+04  0.63718102E+03
  0.13058000E+01  0.25469559E+06  0.25651069E+06  0.57712796E+06  0.33700113E+04  0.17259276E+04  0.64304118E+03
  0.13178000E+01  0.25994382E+06  0.26177500E+06  0.57489830E+06  0.37091234E+04  0.17417885E+04  0.33137294E+03
  0.13298000E+01  0.26520268E+06  0.26706407E+06  0.57283421E+06  0.39200650E+04  0.17576494E+04  0.00000000E+00
  0.13418000E+01  0.27047593E+06  0.27238773E+06  0.57099364E+06  0.42164745E+04  0.19891998E+04  0.33740796E+03
  0.13538000E+01  0.27577303E+06  0.27775937E+06  0.56942923E+06  0.45518456E+04  0.20069896E+04  0.66667878E+03
  0.13657000E+01  0.28108095E+06  0.28317160E+06  0.56814875E+06  0.48033210E+04  0.20246312E+04  0.10910802E+04
  0.13777000E+01  0.28645480E+06  0.28868102E+06  0.56727934E+06  0.51844162E+04  0.22013344E+04  0.11006672E+04
  0.13897000E+01  0.29188865E+06  0.29428354E+06  0.56681738E+06  0.55672473E+04  0.22883270E+04  0.15659786E+04
  0.14017000E+01  0.29740073E+06  0.29999635E+06  0.56679573E+06  0.59510666E+04  0.23080866E+04  0.20338722E+04
  0.14137000E+01  0.30301247E+06  0.30583704E+06  0.56723992E+06  0.63117039E+04  0.24878397E+04  0.22655354E+04
  0.14256000E+01  0.30872276E+06  0.31179865E+06  0.56813061E+06  0.66239999E+04  0.25087814E+04  0.27191152E+04
  0.14376000E+01  0.31459712E+06  0.31794315E+06  0.56956030E+06  0.70518914E+04  0.26067417E+04  0.29726732E+04
  0.14496000E+01  0.32063991E+06  0.32426288E+06  0.57149710E+06  0.74302288E+04  0.26285009E+04  0.33849525E+04
  0.14616000E+01  0.32687219E+06  0.33077291E+06  0.57394379E+06  0.78736099E+04  0.28116650E+04  0.36380731E+04
