  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12000000E-01  0.42938318E-03  0.45186687E-03  0.23435441E-03  0.00000000E+00 -0.99009901E+02  0.58823529E+03
  0.24000000E-01  0.85937894E-03  0.90438366E-03  0.46880221E-03  0.00000000E+00 -0.19230769E+03  0.10000000E+04
  0.35900000E-01  0.12905820E-02  0.13581958E-02  0.70343201E-03  0.00000000E+00 -0.41237113E+03  0.10000000E+04
  0.47900000E-01  0.17236253E-02  0.18139339E-02  0.93833141E-03  0.00000000E+00 -0.47169811E+03  0.12000000E+04
  0.59900000E-01  0.21590968E-02  0.22722513E-02  0.11735490E-02  0.00000000E+00 -0.60000000E+03  0.16000000E+04
  0.71900000E-01  0.25976108E-02  0.27337615E-02  0.14091322E-02  0.00000000E+00 -0.61946903E+03  0.16000000E+04
  0.83900000E-01  0.30397274E-02  0.31990775E-02  0.16451068E-02  0.00000000E+00 -0.70796460E+03  0.17241379E+04
  0.95800000E-01  0.34860650E-02  0.36687894E-02  0.18814599E-02  0.00000000E+00 -0.80000000E+03  0.17241379E+04
  0.10780000E+00  0.39371892E-02  0.41434798E-02  0.21181417E-02  0.00000000E+00 -0.84905660E+03  0.16216216E+04
  0.11980000E+00  0.43936439E-02  0.46236780E-02  0.23550430E-02 -0.20000000E+03 -0.86206897E+03  0.16216216E+04
  0.13180000E+00  0.48559696E-02  0.51098696E-02  0.25920342E-02 -0.20000000E+03 -0.91743119E+03  0.16666667E+04
  0.14380000E+00  0.53246771E-02  0.56024790E-02  0.28288993E-02 -0.37735849E+03 -0.96153846E+03  0.14000000E+04
  0.15570000E+00  0.58002345E-02  0.61019293E-02  0.30653858E-02 -0.50000000E+03 -0.90163934E+03  0.14000000E+04
  0.16770000E+00  0.62830555E-02  0.66084235E-02  0.33011235E-02 -0.66666667E+03 -0.90909091E+03  0.13207547E+04
  0.17970000E+00  0.67735168E-02  0.71221803E-02  0.35357249E-02 -0.61538462E+03 -0.90163934E+03  0.12068966E+04
  0.19170000E+00  0.72718783E-02  0.76432017E-02  0.37686566E-02 -0.61538462E+03 -0.88000000E+03  0.12068966E+04
  0.20370000E+00  0.77783370E-02  0.81714196E-02  0.39993129E-02 -0.67567568E+03 -0.88000000E+03  0.10769231E+04
  0.21560000E+00  0.82929856E-02  0.87064805E-02  0.42269899E-02 -0.67567568E+03 -0.91743119E+03  0.98360656E+03
