  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.31622777E-01  0.00000000E+00
  0.12000000E-01  0.16414714E+00  0.17701722E+00  0.14520416E+00  0.00000000E+00  0.31662182E-01  0.24809839E-02
  0.24000000E-01  0.32767775E+00  0.35317323E+00  0.28992574E+00  0.00000000E+00  0.31778955E-01  0.48586827E-02
  0.35900000E-01  0.48997073E+00  0.52761139E+00  0.43368163E+00  0.00000000E+00  0.30699233E-01  0.48586827E-02
  0.47900000E-01  0.65041941E+00  0.69947978E+00  0.57598903E+00  0.00000000E+00  0.31060932E-01  0.70710678E-02
  0.59900000E-01  0.80840451E+00  0.86795736E+00  0.71634931E+00  0.00000000E+00  0.30000000E-01  0.10000000E-01
  0.71900000E-01  0.96331922E+00  0.10322301E+01  0.85426826E+00  0.00000000E+00  0.30520604E-01  0.10000000E-01
  0.83900000E-01  0.11145512E+01  0.11915154E+01  0.98925358E+00  0.00000000E+00  0.29690188E-01  0.13009929E-01
  0.95800000E-01  0.12615126E+01  0.13450658E+01  0.11208060E+01  0.00000000E+00  0.28284271E-01  0.13009929E-01
  0.10780000E+00  0.14036211E+01  0.14921824E+01  0.12484277E+01  0.00000000E+00  0.27654683E-01  0.15941710E-01
  0.11980000E+00  0.15403065E+01  0.16322036E+01  0.13716209E+01  0.18850439E-02  0.27175660E-01  0.15941710E-01
  0.13180000E+00  0.16710228E+01  0.17645184E+01  0.14899100E+01  0.18850439E-02  0.25923258E-01  0.17320508E-01
  0.14380000E+00  0.17952620E+01  0.18885794E+01  0.16028285E+01  0.37423915E-02  0.24696193E-01  0.20088638E-01
  0.15570000E+00  0.19125350E+01  0.20039192E+01  0.17099447E+01  0.40283701E-02  0.24541150E-01  0.20088638E-01
  0.16770000E+00  0.20224039E+01  0.21101187E+01  0.18108368E+01  0.59506467E-02  0.23452079E-01  0.21540787E-01
  0.17970000E+00  0.21244793E+01  0.22068584E+01  0.19051560E+01  0.72878589E-02  0.22411338E-01  0.23038851E-01
  0.19170000E+00  0.22184088E+01  0.22938821E+01  0.19925698E+01  0.72878589E-02  0.21424682E-01  0.23038851E-01
  0.20370000E+00  0.23039190E+01  0.23710455E+01  0.20728168E+01  0.89507689E-02  0.21424682E-01  0.24558357E-01
  0.21560000E+00  0.23807943E+01  0.24382659E+01  0.21456902E+01  0.89507689E-02  0.19287699E-01  0.25308348E-01
  0.22760000E+00  0.24488748E+01  0.24955630E+01  0.22110671E+01  0.10000000E-01  0.18398817E-01  0.25308348E-01
  0.23960000E+00  0.25080883E+01  0.25430484E+01  0.22688879E+01  0.10000000E-01  0.17578879E-01  0.26912155E-01
  0.25160000E+00  0.25584205E+01  0.25809212E+01  0.23191692E+01  0.10958454E-01  0.16272108E-01  0.26277604E-01
  0.26360000E+00  0.25999451E+01  0.26094539E+01  0.23620258E+01  0.10503703E-01  0.15518785E-01  0.27930561E-01
  0.27550000E+00  0.26327932E+01  0.26290070E+01  0.23976262E+01  0.11845355E-01  0.14142136E-01  0.27930561E-01
  0.28750000E+00  0.26571668E+01  0.26400129E+01  0.24262435E+01  0.11404978E-01  0.13472464E-01  0.27442902E-01
  0.29950000E+00  0.26733375E+01  0.26429583E+01  0.24482293E+01  0.11005010E-01  0.12040546E-01  0.29106934E-01
  0.31150000E+00  0.26816213E+01  0.26383751E+01  0.24639952E+01  0.10640342E-01  0.12040546E-01  0.28761088E-01
