#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.011980    3.001297    3.263015    3.118915    0.000011   -0.000121    0.000076
    0.023960    5.982286    6.498512    6.221338    0.000020   -0.000241    0.000151
    0.035940    8.922849    9.679382    9.290846    0.000027   -0.000357    0.000223
    0.047921   11.803213   12.779330   12.311175    0.000030   -0.000468    0.000293
    0.059901   14.604209   15.773293   15.266270    0.000027   -0.000573    0.000359
    0.071881   17.307353   18.637754   18.140432    0.000019   -0.000670    0.000421
    0.083861   19.895179   21.351154   20.918442    0.000003   -0.000759    0.000477
    0.095841   22.351380   23.894221   23.585711   -0.000019   -0.000837    0.000527
    0.107821   24.661082   26.250239   26.128458   -0.000049   -0.000906    0.000571
    0.119801   26.810861   28.405167   28.533861   -0.000086   -0.000963    0.000607
    0.131781   28.789217   30.348053   30.790358   -0.000129   -0.001008    0.000637
    0.143762   30.586591   32.071010   32.887806   -0.000178   -0.001043    0.000658
    0.155742   32.195526   33.569263   34.817650   -0.000233   -0.001066    0.000672
    0.167722   33.610834   34.841313   36.573148   -0.000291   -0.001078    0.000679
    0.179702   34.829694   35.888562   38.149565   -0.000352   -0.001080    0.000678
    0.191682   35.851534   36.715509   39.544305   -0.000414   -0.001072    0.000671
    0.203662   36.678239   37.329402   40.756767   -0.000476   -0.001055    0.000656
    0.215642   37.313881   37.739793   41.788748   -0.000537   -0.001031    0.000636
    0.227622   37.764606   37.958504   42.644147   -0.000594   -0.001000    0.000610
    0.239603   38.038574   37.999174   43.329027   -0.000647   -0.000963    0.000579
    0.251583   38.145632   37.876885   43.851338   -0.000694   -0.000921    0.000543
    0.263563   38.097004   37.607568   44.220958   -0.000735   -0.000877    0.000505
    0.275543   37.905202   37.207925   44.449177   -0.000768   -0.000830    0.000463
    0.287523   37.583410   36.694785   44.548742   -0.000793   -0.000781    0.000420
    0.299503   37.145402   36.084858   44.533433   -0.000809   -0.000733    0.000374
    0.311483   36.605141   35.394307   44.417746   -0.000817   -0.000685    0.000328
    0.323463   35.976531   34.638622   44.216798   -0.000817   -0.000638    0.000282
    0.335444   35.273179   33.832156   43.945750   -0.000808   -0.000593    0.000236
    0.347424   34.507935   32.988168   43.620003   -0.000791   -0.000551    0.000191
    0.359404   33.693139   32.118461   43.254669   -0.000766   -0.000511    0.000147
    0.371384   32.840071   31.233668   42.864545   -0.000735   -0.000474    0.000104
    0.383364   31.959140   30.342841   42.463949   -0.000698   -0.000441    0.000064
    0.395344   31.059712   29.453784   42.066723   -0.000656   -0.000411    0.000025
    0.407324   30.150162   28.572995   41.686054   -0.000610   -0.000385   -0.000012
    0.419304   29.237871   27.705822   41.334552   -0.000560   -0.000361   -0.000047
    0.431285   28.329293   26.856613   41.024282   -0.000507   -0.000341   -0.000080
    0.443265   27.430100   26.028786   40.766743   -0.000453   -0.000324   -0.000110
    0.455245   26.545184   25.225069   40.572704   -0.000397   -0.000309   -0.000138
    0.467225   25.678800   24.447599   40.452571   -0.000340   -0.000297   -0.000164
    0.479205   24.834682   23.698085   40.416090   -0.000284   -0.000286   -0.000188
    0.491185   24.016120   22.977918   40.472401   -0.000227   -0.000278   -0.000210
