#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000   83.662043   85.047406  115.417144    0.000890   -0.000984    0.000441
    0.011980   83.551067   84.914697  115.320215    0.000887   -0.000978    0.000437
    0.023960   83.219048   84.518194  115.030137    0.000878   -0.000958    0.000424
    0.035940   82.669011   83.862752  114.549106    0.000864   -0.000926    0.000403
    0.047921   81.905901   82.956431  113.880406    0.000844   -0.000882    0.000375
    0.059901   80.936666   81.810194  113.029156    0.000821   -0.000826    0.000339
    0.071881   79.770148   80.437961  112.001670    0.000795   -0.000760    0.000297
    0.083861   78.417094   78.856222  110.805874    0.000767   -0.000685    0.000248
    0.095841   76.889949   77.083732  109.451166    0.000740   -0.000603    0.000194
    0.107821   75.202821   75.141449  107.948496    0.000713   -0.000514    0.000135
    0.119801   73.371499   73.051807  106.310361    0.000690   -0.000420    0.000072
    0.131781   71.412875   70.838587  104.550510    0.000670   -0.000323    0.000007
    0.143762   69.345257   68.526472  102.684167    0.000656   -0.000224   -0.000061
    0.155742   67.187562   66.140234  100.727681    0.000649   -0.000125   -0.000130
    0.167722   64.959565   63.705100   98.698457    0.000649   -0.000027   -0.000198
    0.179702   62.681212   61.245418   96.614483    0.000658    0.000069   -0.000266
    0.191682   60.372411   58.784767   94.494416    0.000676    0.000161   -0.000333
    0.203662   58.052893   56.345402   92.357069    0.000702    0.000248   -0.000397
    0.215642   55.741564   53.948007   90.221182    0.000738    0.000330   -0.000457
    0.227622   53.456370   51.611228   88.105047    0.000782    0.000406   -0.000514
    0.239603   51.214192   49.351551   86.026227    0.000834    0.000474   -0.000567
    0.251583   49.030154   47.183109   84.001390    0.000894    0.000536   -0.000615
    0.263563   46.917933   45.117583   82.045849    0.000960    0.000590   -0.000659
    0.275543   44.889197   43.164017   80.173511    0.001032    0.000637   -0.000697
    0.287523   42.953751   41.329220   78.396604    0.001108    0.000676   -0.000730
    0.299503   41.119398   39.617443   76.725638    0.001187    0.000709   -0.000758
    0.311483   39.392039   38.030844   75.169186    0.001267    0.000735   -0.000781
    0.323463   37.775667   36.569499   73.734203    0.001348    0.000755   -0.000799
    0.335444   36.272583   35.231829   72.425480    0.001428    0.000770   -0.000812
    0.347424   34.883466   34.014709   71.246419    0.001506    0.000780   -0.000821
    0.359404   33.607581   32.913812   70.198503    0.001581    0.000786   -0.000826
    0.371384   32.443059   31.923916   69.281904    0.001653    0.000789   -0.000827
    0.383364   31.387028   31.039200   68.495354    0.001721    0.000788   -0.000825
    0.395344   30.435890   30.253375   67.836382    0.001784    0.000786   -0.000820
    0.407324   29.585472   29.560007   67.301405    0.001842    0.000781   -0.000812
    0.419304   28.831221   28.952740   66.885768    0.001895    0.000776   -0.000802
    0.431285   28.168369   28.425337   66.584018    0.001942    0.000770   -0.000790
    0.443265   27.592092   27.971893   66.389825    0.001984    0.000763   -0.000777
    0.455245   27.097520   27.586834   66.296003    0.002021    0.000757   -0.000762
    0.467225   26.679883   27.264958   66.294707    0.002053    0.000751   -0.000745
    0.479205   26.334550   27.001545   66.376903    0.002081    0.000746   -0.000729
    0.491185   26.056945   26.792192   66.532947    0.002104    0.000741   -0.000711
    0.503165   25.842661   26.632864   66.752232    0.002123    0.000737   -0.000693
    0.515145   25.687388   26.519765   67.023109    0.002139    0.000734   -0.000674
    0.527126   25.586873   26.449354   67.332947    0.002151    0.000732   -0.000655
    0.539106   25.536893   26.418226   67.668183    0.002160    0.000732   -0.000636
    0.551086   25.533233   26.423094   68.014308    0.002166    0.000732   -0.000617
    0.563066   25.571698   26.460677   68.355979    0.002170    0.000733   -0.000598
    0.575046   25.648044   26.527742   68.677101    0.002171    0.000735   -0.000580
    0.587026   25.758025   26.621007   68.961221    0.002170    0.000738   -0.000561
    0.599006   25.897378   26.737211   69.191477    0.002167    0.000742   -0.000543
    0.610986   26.061864   26.873039   69.351051    0.002162    0.000747   -0.000525
    0.622967   26.247311   27.025286   69.423521    0.002155    0.000753   -0.000508
    0.634947   26.449663   27.190680   69.393252    0.002146    0.000759   -0.000491
    0.646927   26.665002   27.366164   69.245453    0.002135    0.000767   -0.000475
    0.658907   26.889642   27.548754   68.966971    0.002123    0.000775   -0.000459
    0.670887   27.120125   27.735705   68.546336    0.002110    0.000785   -0.000444
    0.682867   27.353364   27.924509   67.974074    0.002095    0.000795   -0.000430
    0.694847   27.586573   28.112993   67.243109    0.002080    0.000806   -0.000416
    0.706827   27.817376   28.299229   66.348854    0.002063    0.000818   -0.000403
    0.718808   28.043804   28.481737   65.289327    0.002047    0.000831   -0.000392
    0.730788   28.264284   28.659373   64.065302    0.002030    0.000844   -0.000381
    0.742768   28.477663   28.831352   62.680117    0.002013    0.000859   -0.000371
