  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.64463468E+00  0.64697212E+00  0.68838413E+00  0.88688849E+00  0.10000000E+01  0.92310650E+00
  0.12000000E-01  0.64458453E+00  0.64690877E+00  0.68834686E+00  0.88688849E+00  0.99370951E+00  0.92254087E+00
  0.24000000E-01  0.64443306E+00  0.64671834E+00  0.68823473E+00  0.88688849E+00  0.98750444E+00  0.92096198E+00
  0.35900000E-01  0.64417978E+00  0.64639992E+00  0.68804738E+00  0.88688849E+00  0.97430088E+00  0.92096198E+00
  0.47900000E-01  0.64382279E+00  0.64595165E+00  0.68778354E+00  0.89300128E+00  0.96834733E+00  0.91863969E+00
  0.59900000E-01  0.64335990E+00  0.64537158E+00  0.68744215E+00  0.89300128E+00  0.96082272E+00  0.92311389E+00
  0.71900000E-01  0.64278800E+00  0.64465666E+00  0.68702136E+00  0.89300128E+00  0.95520437E+00  0.92311389E+00
  0.83900000E-01  0.64210400E+00  0.64380325E+00  0.68651945E+00  0.89300128E+00  0.94757837E+00  0.92601873E+00
  0.95800000E-01  0.64130343E+00  0.64280746E+00  0.68593436E+00  0.89955529E+00  0.94504089E+00  0.92601873E+00
  0.10780000E+00  0.64038202E+00  0.64166501E+00  0.68526393E+00  0.89955529E+00  0.93702585E+00  0.92749861E+00
  0.11980000E+00  0.63933473E+00  0.64037106E+00  0.68450620E+00  0.89931417E+00  0.92909041E+00  0.92749861E+00
  0.13180000E+00  0.63815585E+00  0.63892023E+00  0.68365894E+00  0.89931417E+00  0.92578939E+00  0.93307642E+00
  0.14380000E+00  0.63684003E+00  0.63730729E+00  0.68272064E+00  0.89860881E+00  0.92224367E+00  0.93270151E+00
  0.15570000E+00  0.63538086E+00  0.63552650E+00  0.68168986E+00  0.90545787E+00  0.91429102E+00  0.93270151E+00
  0.16770000E+00  0.63377253E+00  0.63357304E+00  0.68056580E+00  0.90407120E+00  0.91048860E+00  0.93709694E+00
  0.17970000E+00  0.63200884E+00  0.63144150E+00  0.67934834E+00  0.89601929E+00  0.90652654E+00  0.94106850E+00
  0.19170000E+00  0.63008352E+00  0.62912721E+00  0.67803817E+00  0.89601929E+00  0.90243312E+00  0.94106850E+00
  0.20370000E+00  0.62799109E+00  0.62662629E+00  0.67663722E+00  0.89427464E+00  0.90243312E+00  0.94461621E+00
  0.21560000E+00  0.62572606E+00  0.62393571E+00  0.67514825E+00  0.89427464E+00  0.90151585E+00  0.95371819E+00
  0.22760000E+00  0.62328309E+00  0.62105346E+00  0.67357577E+00  0.88689915E+00  0.89700614E+00  0.95371819E+00
  0.23960000E+00  0.62065856E+00  0.61797952E+00  0.67192583E+00  0.88689915E+00  0.89246464E+00  0.95641909E+00
  0.25160000E+00  0.61784896E+00  0.61471489E+00  0.67020598E+00  0.88004403E+00  0.89528102E+00  0.96268396E+00
  0.26360000E+00  0.61485246E+00  0.61126323E+00  0.66842571E+00  0.87518415E+00  0.89048145E+00  0.96485628E+00
  0.27550000E+00  0.61166865E+00  0.60762970E+00  0.66659636E+00  0.87362292E+00  0.89302151E+00  0.96485628E+00
  0.28750000E+00  0.60829820E+00  0.60382298E+00  0.66473115E+00  0.86907236E+00  0.88800840E+00  0.97129018E+00
  0.29950000E+00  0.60474373E+00  0.59985324E+00  0.66284545E+00  0.86464631E+00  0.89021731E+00  0.97291163E+00
  0.31150000E+00  0.60100981E+00  0.59573343E+00  0.66095612E+00  0.86034231E+00  0.89021731E+00  0.97937128E+00
  0.32350000E+00  0.59710351E+00  0.59147967E+00  0.65908192E+00  0.86034231E+00  0.88689915E+00  0.97937128E+00
  0.33540000E+00  0.59303362E+00  0.58710988E+00  0.65724229E+00  0.85615660E+00  0.88689915E+00  0.98607464E+00
  0.34740000E+00  0.58881051E+00  0.58264398E+00  0.65545858E+00  0.85208468E+00  0.88689915E+00  0.98607464E+00
  0.35940000E+00  0.58444823E+00  0.57810378E+00  0.65375214E+00  0.84812167E+00  0.88858582E+00  0.99297311E+00
  0.37140000E+00  0.57996241E+00  0.57351290E+00  0.65214458E+00  0.84506906E+00  0.88858582E+00  0.99297311E+00
  0.38340000E+00  0.57537018E+00  0.56889530E+00  0.65065759E+00  0.84506906E+00  0.89007004E+00  0.99297311E+00
  0.39530000E+00  0.57069283E+00  0.56427661E+00  0.64931168E+00  0.84124752E+00  0.89007004E+00  0.10000000E+01
  0.40730000E+00  0.56595242E+00  0.55968100E+00  0.64812623E+00  0.84190932E+00  0.89007004E+00  0.10000000E+01
  0.41930000E+00  0.56117317E+00  0.55513378E+00  0.64711861E+00  0.83813894E+00  0.89007004E+00  0.10000000E+01
  0.43130000E+00  0.55638213E+00  0.55065988E+00  0.64630408E+00  0.83866711E+00  0.89130112E+00  0.99297311E+00
  0.44330000E+00  0.55160805E+00  0.54628324E+00  0.64569557E+00  0.83495859E+00  0.89130112E+00  0.99297311E+00
  0.45520000E+00  0.54688156E+00  0.54202692E+00  0.64530279E+00  0.83536500E+00  0.89130112E+00  0.99297311E+00
  0.46720000E+00  0.54223465E+00  0.53791372E+00  0.64513233E+00  0.83202302E+00  0.89130112E+00  0.98515237E+00
  0.47920000E+00  0.53770075E+00  0.53396542E+00  0.64518705E+00  0.83202302E+00  0.89748809E+00  0.98515237E+00
  0.49120000E+00  0.53331387E+00  0.53020318E+00  0.64546675E+00  0.83223677E+00  0.89748809E+00  0.98515237E+00
  0.50320000E+00  0.52910861E+00  0.52664656E+00  0.64596795E+00  0.83223677E+00  0.89748809E+00  0.98515237E+00
  0.51510000E+00  0.52511790E+00  0.52331414E+00  0.64668355E+00  0.83236577E+00  0.89748809E+00  0.98515237E+00
  0.52710000E+00  0.52137342E+00  0.52022096E+00  0.64760312E+00  0.82877820E+00  0.89748809E+00  0.97806512E+00
  0.53910000E+00  0.51790261E+00  0.51738194E+00  0.64871427E+00  0.82881824E+00  0.89748809E+00  0.97649295E+00
  0.55110000E+00  0.51473067E+00  0.51480799E+00  0.65000146E+00  0.82881824E+00  0.89748809E+00  0.97649295E+00
  0.56310000E+00  0.51187680E+00  0.51250691E+00  0.65144770E+00  0.82877820E+00  0.89748809E+00  0.97649295E+00
  0.57500000E+00  0.50935323E+00  0.51048156E+00  0.65303446E+00  0.82877820E+00  0.89748809E+00  0.97649295E+00
  0.58700000E+00  0.50716706E+00  0.50873204E+00  0.65474238E+00  0.82865839E+00  0.89748809E+00  0.97649295E+00
  0.59900000E+00  0.50531757E+00  0.50725320E+00  0.65655154E+00  0.82865839E+00  0.89860881E+00  0.97455983E+00
  0.61100000E+00  0.50379709E+00  0.50603661E+00  0.65844216E+00  0.82845976E+00  0.89860881E+00  0.97455983E+00
  0.62300000E+00  0.50259313E+00  0.50506958E+00  0.66039469E+00  0.82845976E+00  0.89222786E+00  0.97455983E+00
  0.63490000E+00  0.50168667E+00  0.50433555E+00  0.66239095E+00  0.83172634E+00  0.89222786E+00  0.97455983E+00
  0.64690000E+00  0.50105438E+00  0.50381592E+00  0.66441293E+00  0.83172634E+00  0.89222786E+00  0.97455983E+00
  0.65890000E+00  0.50067079E+00  0.50348999E+00  0.66644425E+00  0.83172634E+00  0.89222786E+00  0.97455983E+00
  0.67090000E+00  0.50050767E+00  0.50333541E+00  0.66847008E+00  0.83134922E+00  0.89222786E+00  0.97212389E+00
  0.68290000E+00  0.50053735E+00  0.50333072E+00  0.67047665E+00  0.83134922E+00  0.89222786E+00  0.97212389E+00
  0.69480000E+00  0.50073047E+00  0.50345372E+00  0.67245173E+00  0.83134922E+00  0.89222786E+00  0.97212389E+00
  0.70680000E+00  0.50106062E+00  0.50368303E+00  0.67438438E+00  0.83089468E+00  0.89222786E+00  0.97212389E+00
  0.71880000E+00  0.50150265E+00  0.50399986E+00  0.67626493E+00  0.83446940E+00  0.89222786E+00  0.97212389E+00
  0.73080000E+00  0.50203448E+00  0.50438658E+00  0.67808530E+00  0.83446940E+00  0.89222786E+00  0.97212389E+00
  0.74280000E+00  0.50263598E+00  0.50482823E+00  0.67983807E+00  0.83446940E+00  0.88624225E+00  0.97212389E+00
  0.75470000E+00  0.50328975E+00  0.50531143E+00  0.68151741E+00  0.83390153E+00  0.88624225E+00  0.97212389E+00
  0.76670000E+00  0.50398294E+00  0.50582657E+00  0.68311767E+00  0.83390153E+00  0.88624225E+00  0.97212389E+00
  0.77870000E+00  0.50470322E+00  0.50636504E+00  0.68463471E+00  0.83390153E+00  0.88624225E+00  0.96897275E+00
  0.79070000E+00  0.50544214E+00  0.50692291E+00  0.68606474E+00  0.83390153E+00  0.88624225E+00  0.96897275E+00
  0.80270000E+00  0.50619450E+00  0.50749502E+00  0.68740457E+00  0.83752689E+00  0.88624225E+00  0.96897275E+00
  0.81460000E+00  0.50695520E+00  0.50808112E+00  0.68865177E+00  0.83752689E+00  0.88059508E+00  0.96897275E+00
  0.82660000E+00  0.50772280E+00  0.50868100E+00  0.68980389E+00  0.83752689E+00  0.88059508E+00  0.96897275E+00
  0.83860000E+00  0.50849574E+00  0.50929649E+00  0.69085941E+00  0.83752689E+00  0.88059508E+00  0.96897275E+00
  0.85060000E+00  0.50927516E+00  0.50993049E+00  0.69181655E+00  0.83752689E+00  0.88059508E+00  0.96897275E+00
  0.86260000E+00  0.51006262E+00  0.51058695E+00  0.69267421E+00  0.83752689E+00  0.88059508E+00  0.96897275E+00
  0.87450000E+00  0.51085962E+00  0.51126927E+00  0.69343081E+00  0.83390153E+00  0.87524126E+00  0.96897275E+00
  0.88650000E+00  0.51166949E+00  0.51198302E+00  0.69408546E+00  0.83390153E+00  0.87559623E+00  0.96897275E+00
  0.89850000E+00  0.51249432E+00  0.51273133E+00  0.69463656E+00  0.83390153E+00  0.87559623E+00  0.97212389E+00
  0.91050000E+00  0.51333722E+00  0.51351930E+00  0.69508337E+00  0.83390153E+00  0.87559623E+00  0.97212389E+00
  0.92250000E+00  0.51420159E+00  0.51434972E+00  0.69542409E+00  0.83390153E+00  0.87559623E+00  0.97212389E+00
  0.93440000E+00  0.51508850E+00  0.51522550E+00  0.69565748E+00  0.83036622E+00  0.87559623E+00  0.97212389E+00
  0.94640000E+00  0.51600046E+00  0.51614876E+00  0.69578165E+00  0.83036622E+00  0.87045483E+00  0.97212389E+00
  0.95840000E+00  0.51693947E+00  0.51712005E+00  0.69579447E+00  0.82976771E+00  0.87055919E+00  0.97212389E+00
  0.97040000E+00  0.51790543E+00  0.51813950E+00  0.69569348E+00  0.82635671E+00  0.87055919E+00  0.97212389E+00
