  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.91466934E+01  0.92221147E+01  0.10743235E+02  0.30000000E-01  0.00000000E+00  0.20000000E-01
  0.12000000E-01  0.91421028E+01  0.92166173E+01  0.10739706E+02  0.30000000E-01  0.15791710E-02  0.20153295E-01
  0.24000000E-01  0.91283280E+01  0.92001593E+01  0.10729127E+02  0.30000000E-01  0.31467366E-02  0.20581710E-01
  0.35900000E-01  0.91054419E+01  0.91728498E+01  0.10711544E+02  0.30000000E-01  0.65148208E-02  0.20581710E-01
  0.47900000E-01  0.90735299E+01  0.91348603E+01  0.10687009E+02  0.28284271E-01  0.80486960E-02  0.21213203E-01
  0.59900000E-01  0.90327304E+01  0.90864487E+01  0.10655626E+02  0.28284271E-01  0.10000000E-01  0.20000000E-01
  0.71900000E-01  0.89832112E+01  0.90279288E+01  0.10617508E+02  0.28284271E-01  0.11467663E-01  0.20000000E-01
  0.83900000E-01  0.89252072E+01  0.89596824E+01  0.10572820E+02  0.28284271E-01  0.13472464E-01  0.19216093E-01
  0.95800000E-01  0.88589680E+01  0.88821676E+01  0.10521759E+02  0.26457513E-01  0.14142136E-01  0.19216093E-01
  0.10780000E+00  0.87848137E+01  0.87959086E+01  0.10464563E+02  0.26457513E-01  0.16272108E-01  0.18818558E-01
  0.11980000E+00  0.87031054E+01  0.87014877E+01  0.10401526E+02  0.26524581E-01  0.18398817E-01  0.18818558E-01
  0.13180000E+00  0.86142450E+01  0.85995421E+01  0.10332973E+02  0.26524581E-01  0.19287699E-01  0.17320508E-01
  0.14380000E+00  0.85187009E+01  0.84907734E+01  0.10259301E+02  0.26720881E-01  0.20246035E-01  0.17422784E-01
  0.15570000E+00  0.84169704E+01  0.83759114E+01  0.10180944E+02  0.24823935E-01  0.22411338E-01  0.17422784E-01
  0.16770000E+00  0.83096160E+01  0.82557677E+01  0.10098397E+02  0.25207344E-01  0.23452079E-01  0.16248246E-01
  0.17970000E+00  0.81972320E+01  0.81311515E+01  0.10012199E+02  0.27442902E-01  0.24541150E-01  0.15191730E-01
  0.19170000E+00  0.80804540E+01  0.80029179E+01  0.99229398E+01  0.27442902E-01  0.25671326E-01  0.15191730E-01
  0.20370000E+00  0.79599587E+01  0.78719284E+01  0.98312598E+01  0.27930561E-01  0.25671326E-01  0.14251768E-01
  0.21560000E+00  0.78364393E+01  0.77390659E+01  0.97378225E+01  0.27930561E-01  0.25923258E-01  0.11853796E-01
  0.22760000E+00  0.77106023E+01  0.76051979E+01  0.96433302E+01  0.30000000E-01  0.27175660E-01  0.11853796E-01
  0.23960000E+00  0.75831858E+01  0.74711910E+01  0.95485105E+01  0.30000000E-01  0.28443224E-01  0.11147379E-01
  0.25160000E+00  0.74549122E+01  0.73378644E+01  0.94540968E+01  0.31938812E-01  0.27654683E-01  0.95138049E-02
  0.26360000E+00  0.73265008E+01  0.72060287E+01  0.93608208E+01  0.33321581E-01  0.28997115E-01  0.89507689E-02
  0.27550000E+00  0.71986665E+01  0.70764170E+01  0.92694181E+01  0.33768512E-01  0.28284271E-01  0.89507689E-02
  0.28750000E+00  0.70720814E+01  0.69497387E+01  0.91805913E+01  0.35072404E-01  0.29690188E-01  0.72878589E-02
  0.29950000E+00  0.69473832E+01  0.68266118E+01  0.90950221E+01  0.36347080E-01  0.29068449E-01  0.68712150E-02
  0.31150000E+00  0.68251808E+01  0.67075944E+01  0.90133497E+01  0.37592777E-01  0.29068449E-01  0.52153799E-02
  0.32350000E+00  0.67060382E+01  0.65931684E+01  0.89361657E+01  0.37592777E-01  0.30000000E-01  0.52153799E-02
  0.33540000E+00  0.65904497E+01  0.64837277E+01  0.88639938E+01  0.38810125E-01  0.30000000E-01  0.35086411E-02
  0.34740000E+00  0.64788636E+01  0.63795950E+01  0.87973103E+01  0.40000000E-01  0.30000000E-01  0.35086411E-02
  0.35940000E+00  0.63716725E+01  0.62810039E+01  0.87365132E+01  0.41163421E-01  0.29524550E-01  0.17643377E-02
  0.37140000E+00  0.62692163E+01  0.61881231E+01  0.86819299E+01  0.42062321E-01  0.29524550E-01  0.17643377E-02
  0.38340000E+00  0.61717616E+01  0.61010500E+01  0.86338212E+01  0.42062321E-01  0.29106934E-01  0.17643377E-02
  0.39530000E+00  0.60795597E+01  0.60198236E+01  0.85923615E+01  0.43193291E-01  0.29106934E-01  0.00000000E+00
  0.40730000E+00  0.59927834E+01  0.59444160E+01  0.85576606E+01  0.42996317E-01  0.29106934E-01  0.00000000E+00
  0.41930000E+00  0.59115675E+01  0.58747770E+01  0.85297463E+01  0.44116244E-01  0.29106934E-01  0.00000000E+00
  0.43130000E+00  0.58360290E+01  0.58108193E+01  0.85085709E+01  0.43958436E-01  0.28761088E-01  0.17643377E-02
  0.44330000E+00  0.57662310E+01  0.57524287E+01  0.84940269E+01  0.45064137E-01  0.28761088E-01  0.17643377E-02
  0.45520000E+00  0.57022201E+01  0.56994637E+01  0.84859243E+01  0.44942229E-01  0.28761088E-01  0.17643377E-02
  0.46720000E+00  0.56440171E+01  0.56517944E+01  0.84840082E+01  0.45941922E-01  0.28761088E-01  0.37423915E-02
  0.47920000E+00  0.55916065E+01  0.56092579E+01  0.84879379E+01  0.45941922E-01  0.27033103E-01  0.37423915E-02
  0.49120000E+00  0.55449641E+01  0.55717221E+01  0.84973146E+01  0.45877567E-01  0.27033103E-01  0.37423915E-02
  0.50320000E+00  0.55040354E+01  0.55390204E+01  0.85116766E+01  0.45877567E-01  0.27033103E-01  0.37423915E-02
  0.51510000E+00  0.54687184E+01  0.55109904E+01  0.85304819E+01  0.45838737E-01  0.27033103E-01  0.37423915E-02
  0.52710000E+00  0.54389038E+01  0.54874561E+01  0.85531208E+01  0.46916263E-01  0.27033103E-01  0.55487526E-02
  0.53910000E+00  0.54144227E+01  0.54682331E+01  0.85789429E+01  0.46904158E-01  0.27033103E-01  0.59506467E-02
  0.55110000E+00  0.53950848E+01  0.54531336E+01  0.86072211E+01  0.46904158E-01  0.27033103E-01  0.59506467E-02
  0.56310000E+00  0.53806609E+01  0.54419301E+01  0.86372001E+01  0.46916263E-01  0.27033103E-01  0.59506467E-02
  0.57500000E+00  0.53708578E+01  0.54343732E+01  0.86680749E+01  0.46916263E-01  0.27033103E-01  0.59506467E-02
  0.58700000E+00  0.53653726E+01  0.54302134E+01  0.86990282E+01  0.46952488E-01  0.27033103E-01  0.59506467E-02
  0.59900000E+00  0.53638497E+01  0.54291560E+01  0.87292223E+01  0.46952488E-01  0.26720881E-01  0.64457424E-02
  0.61100000E+00  0.53659017E+01  0.54309006E+01  0.87578153E+01  0.47012553E-01  0.26720881E-01  0.64457424E-02
  0.62300000E+00  0.53711310E+01  0.54351415E+01  0.87839790E+01  0.47012553E-01  0.28501062E-01  0.64457424E-02
  0.63490000E+00  0.53791337E+01  0.54415400E+01  0.88069348E+01  0.46031271E-01  0.28501062E-01  0.64457424E-02
  0.64690000E+00  0.53894802E+01  0.54497780E+01  0.88259079E+01  0.46031271E-01  0.28501062E-01  0.64457424E-02
  0.65890000E+00  0.54017723E+01  0.54595329E+01  0.88401997E+01  0.46031271E-01  0.28501062E-01  0.64457424E-02
  0.67090000E+00  0.54156184E+01  0.54704913E+01  0.88491707E+01  0.46144898E-01  0.28501062E-01  0.70710678E-02
  0.68290000E+00  0.54306578E+01  0.54823751E+01  0.88522558E+01  0.46144898E-01  0.28501062E-01  0.70710678E-02
  0.69480000E+00  0.54465396E+01  0.54949192E+01  0.88489587E+01  0.46144898E-01  0.28501062E-01  0.70710678E-02
  0.70680000E+00  0.54629726E+01  0.55078784E+01  0.88388832E+01  0.46281924E-01  0.28501062E-01  0.70710678E-02
  0.71880000E+00  0.54796948E+01  0.55210624E+01  0.88217049E+01  0.45210957E-01  0.28501062E-01  0.70710678E-02
  0.73080000E+00  0.54964954E+01  0.55343069E+01  0.87972158E+01  0.45210957E-01  0.28501062E-01  0.70710678E-02
  0.74280000E+00  0.55131942E+01  0.55474764E+01  0.87652741E+01  0.45210957E-01  0.30182399E-01  0.70710678E-02
  0.75470000E+00  0.55296517E+01  0.55604752E+01  0.87258494E+01  0.45381505E-01  0.30182399E-01  0.70710678E-02
  0.76670000E+00  0.55457851E+01  0.55732538E+01  0.86789743E+01  0.45381505E-01  0.30182399E-01  0.70710678E-02
  0.77870000E+00  0.55615198E+01  0.55857799E+01  0.86247857E+01  0.45381505E-01  0.30182399E-01  0.78823876E-02
  0.79070000E+00  0.55768335E+01  0.55980779E+01  0.85634789E+01  0.45381505E-01  0.30182399E-01  0.78823876E-02
  0.80270000E+00  0.55917332E+01  0.56101527E+01  0.84953215E+01  0.44299242E-01  0.30182399E-01  0.78823876E-02
  0.81460000E+00  0.56062319E+01  0.56220725E+01  0.84206393E+01  0.44299242E-01  0.31778955E-01  0.78823876E-02
  0.82660000E+00  0.56203747E+01  0.56338935E+01  0.83398028E+01  0.44299242E-01  0.31778955E-01  0.78823876E-02
  0.83860000E+00  0.56342052E+01  0.56457010E+01  0.82532422E+01  0.44299242E-01  0.31778955E-01  0.78823876E-02
  0.85060000E+00  0.56477939E+01  0.56575796E+01  0.81614006E+01  0.44299242E-01  0.31778955E-01  0.78823876E-02
  0.86260000E+00  0.56612069E+01  0.56696198E+01  0.80647547E+01  0.44299242E-01  0.31778955E-01  0.78823876E-02
  0.87450000E+00  0.56745034E+01  0.56818904E+01  0.79637884E+01  0.45381505E-01  0.33301907E-01  0.78823876E-02
  0.88650000E+00  0.56877589E+01  0.56944907E+01  0.78590031E+01  0.45381505E-01  0.33200422E-01  0.78823876E-02
  0.89850000E+00  0.57010234E+01  0.57074693E+01  0.77508931E+01  0.45381505E-01  0.33200422E-01  0.70710678E-02
  0.91050000E+00  0.57143526E+01  0.57208926E+01  0.76399545E+01  0.45381505E-01  0.33200422E-01  0.70710678E-02
  0.92250000E+00  0.57278038E+01  0.57347896E+01  0.75266704E+01  0.45381505E-01  0.33200422E-01  0.70710678E-02
  0.93440000E+00  0.57413909E+01  0.57491784E+01  0.74115064E+01  0.46441331E-01  0.33200422E-01  0.70710678E-02
  0.94640000E+00  0.57551479E+01  0.57640666E+01  0.72949223E+01  0.46441331E-01  0.34671021E-01  0.70710678E-02
  0.95840000E+00  0.57690887E+01  0.57794295E+01  0.71773445E+01  0.46621993E-01  0.34641016E-01  0.70710678E-02
  0.97040000E+00  0.57832025E+01  0.57952346E+01  0.70591966E+01  0.47649449E-01  0.34641016E-01  0.70710678E-02
  0.98240000E+00  0.57974810E+01  0.58114239E+01  0.69408650E+01  0.47649449E-01  0.34641016E-01  0.70710678E-02
  0.99440000E+00  0.58119066E+01  0.58279143E+01  0.68227371E+01  0.47649449E-01  0.34641016E-01  0.70710678E-02
  0.10063000E+01  0.58264417E+01  0.58446268E+01  0.67051620E+01  0.48835529E-01  0.36055513E-01  0.91017972E-02
  0.10183000E+01  0.58410479E+01  0.58614599E+01  0.65884899E+01  0.48835529E-01  0.36082132E-01  0.91017972E-02
  0.10303000E+01  0.58556775E+01  0.58782886E+01  0.64730542E+01  0.49815666E-01  0.36082132E-01  0.91017972E-02
  0.10423000E+01  0.58702641E+01  0.58949981E+01  0.63591631E+01  0.50000000E-01  0.36082132E-01  0.91017972E-02
  0.10543000E+01  0.58847325E+01  0.59114704E+01  0.62471276E+01  0.50000000E-01  0.36082132E-01  0.91017972E-02
  0.10662000E+01  0.58990328E+01  0.59275679E+01  0.61372469E+01  0.51143426E-01  0.36161407E-01  0.10961579E-01
  0.10782000E+01  0.59130862E+01  0.59431908E+01  0.60298076E+01  0.51143426E-01  0.37511422E-01  0.10961579E-01
  0.10902000E+01  0.59268075E+01  0.59582017E+01  0.59251010E+01  0.52266453E-01  0.37511422E-01  0.11897378E-01
  0.11022000E+01  0.59401324E+01  0.59725039E+01  0.58233990E+01  0.52473271E-01  0.37628328E-01  0.11897378E-01
  0.11142000E+01  0.59529889E+01  0.59860132E+01  0.57249827E+01  0.52473271E-01  0.37628328E-01  0.13616541E-01
  0.11261000E+01  0.59652987E+01  0.59986496E+01  0.56301212E+01  0.53578826E-01  0.37789033E-01  0.14704685E-01
  0.11381000E+01  0.59770008E+01  0.60103500E+01  0.55390774E+01  0.53578826E-01  0.37789033E-01  0.14704685E-01
  0.11501000E+01  0.59880462E+01  0.60210799E+01  0.54521073E+01  0.53799113E-01  0.37789033E-01  0.14704685E-01
  0.11621000E+01  0.59983815E+01  0.60308203E+01  0.53694485E+01  0.54885805E-01  0.37990834E-01  0.15941710E-01
  0.11741000E+01  0.60079842E+01  0.60395779E+01  0.52913320E+01  0.55116549E-01  0.37990834E-01  0.15941710E-01
  0.11860000E+01  0.60168305E+01  0.60473726E+01  0.52179685E+01  0.56183670E-01  0.38230581E-01  0.17320508E-01
  0.11980000E+01  0.60249124E+01  0.60542611E+01  0.51495616E+01  0.56183670E-01  0.38230581E-01  0.17320508E-01
  0.12100000E+01  0.60322269E+01  0.60602910E+01  0.50862625E+01  0.57469780E-01  0.38504854E-01  0.18818558E-01
  0.12220000E+01  0.60388255E+01  0.60655537E+01  0.50282104E+01  0.57714672E-01  0.38504854E-01  0.18818558E-01
  0.12340000E+01  0.60447302E+01  0.60701454E+01  0.49755174E+01  0.58742300E-01  0.38504854E-01  0.19216093E-01
  0.12459000E+01  0.60500008E+01  0.60741772E+01  0.49282392E+01  0.58991744E-01  0.38810125E-01  0.19216093E-01
  0.12579000E+01  0.60547128E+01  0.60777527E+01  0.48864031E+01  0.60252751E-01  0.38810125E-01  0.20000000E-01
  0.12699000E+01  0.60589498E+01  0.60810106E+01  0.48499789E+01  0.60510766E-01  0.39142890E-01  0.20000000E-01
  0.12819000E+01  0.60628127E+01  0.60840734E+01  0.48189047E+01  0.61041209E-01  0.37954834E-01  0.21213203E-01
  0.12939000E+01  0.60663965E+01  0.60870473E+01  0.47930670E+01  0.62288926E-01  0.37954834E-01  0.20581710E-01
  0.13058000E+01  0.60698365E+01  0.60900647E+01  0.47722976E+01  0.62836048E-01  0.38341374E-01  0.20581710E-01
  0.13178000E+01  0.60732344E+01  0.60932281E+01  0.47563754E+01  0.63017308E-01  0.38341374E-01  0.20153295E-01
  0.13298000E+01  0.60767137E+01  0.60966374E+01  0.47450543E+01  0.63607507E-01  0.38341374E-01  0.20000000E-01
  0.13418000E+01  0.60803896E+01  0.61003730E+01  0.47380343E+01  0.64507749E-01  0.37602407E-01  0.20153295E-01
  0.13538000E+01  0.60843744E+01  0.61045156E+01  0.47349858E+01  0.64811046E-01  0.37602407E-01  0.20581710E-01
  0.13657000E+01  0.60887758E+01  0.61091046E+01  0.47355512E+01  0.64839521E-01  0.37602407E-01  0.19029767E-01
  0.13777000E+01  0.60936842E+01  0.61141683E+01  0.47393262E+01  0.64641231E-01  0.38059534E-01  0.19029767E-01
  0.13897000E+01  0.60991660E+01  0.61197455E+01  0.47459360E+01  0.64515536E-01  0.36931572E-01  0.17989074E-01
  0.14017000E+01  0.61052883E+01  0.61258200E+01  0.47549661E+01  0.64456631E-01  0.36931572E-01  0.17462846E-01
  0.14137000E+01  0.61120848E+01  0.61323768E+01  0.47660014E+01  0.63564151E-01  0.37436203E-01  0.15811388E-01
  0.14256000E+01  0.61195708E+01  0.61393947E+01  0.47786457E+01  0.63258509E-01  0.37436203E-01  0.15941710E-01
  0.14376000E+01  0.61277337E+01  0.61468131E+01  0.47924989E+01  0.61986524E-01  0.36332643E-01  0.14704685E-01
  0.14496000E+01  0.61365530E+01  0.61545771E+01  0.48071920E+01  0.61298700E-01  0.36332643E-01  0.15191730E-01
  0.14616000E+01  0.61459731E+01  0.61626195E+01  0.48223622E+01  0.60207168E-01  0.36881330E-01  0.14251768E-01
  0.14736000E+01  0.61559170E+01  0.61708579E+01  0.48376671E+01  0.58789013E-01  0.35807344E-01  0.13420740E-01
  0.14855000E+01  0.61662881E+01  0.61792203E+01  0.48528117E+01  0.57008771E-01  0.35807344E-01  0.11147379E-01
  0.14975000E+01  0.61769702E+01  0.61876079E+01  0.48675077E+01  0.55312351E-01  0.36395642E-01  0.10534573E-01
  0.15095000E+01  0.61878410E+01  0.61959341E+01  0.48814957E+01  0.53207198E-01  0.35355339E-01  0.80486960E-02
  0.15215000E+01  0.61987520E+01  0.62040955E+01  0.48945636E+01  0.51617465E-01  0.35355339E-01  0.62061647E-02
  0.15335000E+01  0.62095500E+01  0.62120027E+01  0.49064999E+01  0.49608131E-01  0.34316866E-01  0.44819318E-02
  0.15454000E+01  0.62200750E+01  0.62195701E+01  0.49171474E+01  0.46790777E-01  0.34316866E-01  0.30028311E-02
  0.15574000E+01  0.62301608E+01  0.62267010E+01  0.49263667E+01  0.44721360E-01  0.34316866E-01  0.14421265E-02
  0.15694000E+01  0.62396599E+01  0.62333015E+01  0.49340340E+01  0.42335547E-01  0.33976468E-01  0.00000000E+00
  0.15814000E+01  0.62484000E+01  0.62392984E+01  0.49400671E+01  0.39769180E-01  0.33976468E-01  0.13857274E-02
  0.15934000E+01  0.62562347E+01  0.62446028E+01  0.49444172E+01  0.37203317E-01  0.32987160E-01  0.41331832E-02
  0.16053000E+01  0.62630310E+01  0.62491512E+01  0.49470364E+01  0.34646835E-01  0.32987160E-01  0.54839334E-02
  0.16173000E+01  0.62686677E+01  0.62528691E+01  0.49479063E+01  0.31786768E-01  0.32009704E-01  0.81173304E-02
  0.16293000E+01  0.62730283E+01  0.62556920E+01  0.49470279E+01  0.29493194E-01  0.31244339E-01  0.97273943E-02
  0.16413000E+01  0.62760295E+01  0.62575599E+01  0.49444377E+01  0.26818526E-01  0.31244339E-01  0.11005010E-01
  0.16533000E+01  0.62775965E+01  0.62584440E+01  0.49401640E+01  0.24721217E-01  0.31244339E-01  0.13903361E-01
  0.16652000E+01  0.62776857E+01  0.62582831E+01  0.49342640E+01  0.21959399E-01  0.30246536E-01  0.15598187E-01
  0.16772000E+01  0.62762627E+01  0.62570543E+01  0.49267973E+01  0.20000000E-01  0.30246536E-01  0.17320508E-01
  0.16892000E+01  0.62733296E+01  0.62547368E+01  0.49178422E+01  0.17997431E-01  0.30246536E-01  0.17919550E-01
  0.17012000E+01  0.62688968E+01  0.62512984E+01  0.49074735E+01  0.15952929E-01  0.30246536E-01  0.20393407E-01
  0.17132000E+01  0.62629902E+01  0.62467446E+01  0.48957815E+01  0.14012544E-01  0.30246536E-01  0.21128640E-01
  0.17251000E+01  0.62556664E+01  0.62410658E+01  0.48828507E+01  0.11871815E-01  0.30246536E-01  0.22739464E-01
