 #Energy    XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
  0.0000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0642  2.56775204E+03  2.56775204E+03  2.56775204E+03  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1285  1.00059454E+04  1.00059454E+04  1.00059454E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1927  2.18289720E+04  2.18289720E+04  2.18289720E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2570  3.87741258E+04  3.87741258E+04  3.87741258E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3212  6.41707659E+04  6.41707659E+04  6.41707659E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3855  1.02247935E+05  1.02247935E+05  1.02247935E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4497  1.52768644E+05  1.52768644E+05  1.52768644E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5139  2.07447804E+05  2.07447804E+05  2.07447804E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5782  2.51241510E+05  2.51241510E+05  2.51241510E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6424  2.67750385E+05  2.67750385E+05  2.67750385E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7067  2.46761568E+05  2.46761568E+05  2.46761568E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7709  1.94338124E+05  1.94338124E+05  1.94338124E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8351  1.44681486E+05  1.44681486E+05  1.44681486E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8994  1.25037215E+05  1.25037215E+05  1.25037215E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9636  1.28130227E+05  1.28130227E+05  1.28130227E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0279  1.42983635E+05  1.42983635E+05  1.42983635E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0921  1.65597343E+05  1.65597343E+05  1.65597343E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1564  1.95181328E+05  1.95181328E+05  1.95181328E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2206  2.29299516E+05  2.29299516E+05  2.29299516E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2848  2.62803351E+05  2.62803351E+05  2.62803351E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3491  2.90430082E+05  2.90430082E+05  2.90430082E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4133  3.10034917E+05  3.10034917E+05  3.10034917E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4776  3.23162033E+05  3.23162033E+05  3.23162033E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5418  3.31804778E+05  3.31804778E+05  3.31804778E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6061  3.35600463E+05  3.35600463E+05  3.35600463E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6703  3.33040045E+05  3.33040045E+05  3.33040045E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7345  3.27395329E+05  3.27395329E+05  3.27395329E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7988  3.30191106E+05  3.30191106E+05  3.30191106E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.8630  3.54532898E+05  3.54532898E+05  3.54532898E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9273  4.03711695E+05  4.03711695E+05  4.03711695E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9915  4.67690096E+05  4.67690096E+05  4.67690096E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.0558  5.29251145E+05  5.29251145E+05  5.29251145E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.1200  5.73729429E+05  5.73729429E+05  5.73729429E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.1842  5.98807800E+05  5.98807800E+05  5.98807800E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.2485  6.17251617E+05  6.17251617E+05  6.17251617E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.3127  6.45554380E+05  6.45554380E+05  6.45554380E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.3770  6.87046908E+05  6.87046908E+05  6.87046908E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.4412  7.28643413E+05  7.28643413E+05  7.28643413E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5054  7.52835484E+05  7.52835484E+05  7.52835484E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.5697  7.50942490E+05  7.50942490E+05  7.50942490E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6339  7.29817133E+05  7.29817133E+05  7.29817133E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.6982  7.08507599E+05  7.08507599E+05  7.08507599E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.7624  7.03753126E+05  7.03753126E+05  7.03753126E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8267  7.17326636E+05  7.17326636E+05  7.17326636E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8909  7.37542023E+05  7.37542023E+05  7.37542023E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.9551  7.51116240E+05  7.51116240E+05  7.51116240E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.0194  7.53663148E+05  7.53663148E+05  7.53663148E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
