 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  0.0000  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.0642  1.18204080E-03  1.18204080E-03  1.18204080E-03             NaN             NaN             NaN
  0.1285  2.31959647E-03  2.31959647E-03  2.31959647E-03             NaN             NaN             NaN
  0.1927  3.37994550E-03  3.37994550E-03  3.37994550E-03             NaN             NaN             NaN
  0.2570  4.41630888E-03  4.41630888E-03  4.41630888E-03             NaN             NaN             NaN
  0.3212  5.61515689E-03  5.61515689E-03  5.61515689E-03             NaN             NaN             NaN
  0.3855  7.18658060E-03  7.18658060E-03  7.18658060E-03             NaN             NaN             NaN
  0.4497  9.27474269E-03  9.27474269E-03  9.27474269E-03             NaN             NaN             NaN
  0.5139  1.20641314E-02  1.20641314E-02  1.20641314E-02             NaN             NaN             NaN
  0.5782  1.59937637E-02  1.59937637E-02  1.59937637E-02             NaN             NaN             NaN
  0.6424  2.20583418E-02  2.20583418E-02  2.20583418E-02             NaN             NaN             NaN
  0.7067  3.16884700E-02  3.16884700E-02  3.16884700E-02             NaN             NaN             NaN
  0.7709  4.03791165E-02  4.03791165E-02  4.03791165E-02             NaN             NaN             NaN
  0.8351  3.29977886E-02  3.29977886E-02  3.29977886E-02             NaN             NaN             NaN
  0.8994  2.25834437E-02  2.25834437E-02  2.25834437E-02             NaN             NaN             NaN
  0.9636  1.79539601E-02  1.79539601E-02  1.79539601E-02             NaN             NaN             NaN
  1.0279  1.63031123E-02  1.63031123E-02  1.63031123E-02             NaN             NaN             NaN
  1.0921  1.59746578E-02  1.59746578E-02  1.59746578E-02             NaN             NaN             NaN
  1.1564  1.64747259E-02  1.64747259E-02  1.64747259E-02             NaN             NaN             NaN
  1.2206  1.76099587E-02  1.76099587E-02  1.76099587E-02             NaN             NaN             NaN
  1.2848  1.91737214E-02  1.91737214E-02  1.91737214E-02             NaN             NaN             NaN
  1.3491  2.08972085E-02  2.08972085E-02  2.08972085E-02             NaN             NaN             NaN
  1.4133  2.24980065E-02  2.24980065E-02  2.24980065E-02             NaN             NaN             NaN
  1.4776  2.38026489E-02  2.38026489E-02  2.38026489E-02             NaN             NaN             NaN
  1.5418  2.48011982E-02  2.48011982E-02  2.48011982E-02             NaN             NaN             NaN
  1.6061  2.54462046E-02  2.54462046E-02  2.54462046E-02             NaN             NaN             NaN
  1.6703  2.53866079E-02  2.53866079E-02  2.53866079E-02             NaN             NaN             NaN
  1.7345  2.41990636E-02  2.41990636E-02  2.41990636E-02             NaN             NaN             NaN
  1.7988  2.22730515E-02  2.22730515E-02  2.22730515E-02             NaN             NaN             NaN
  1.8630  2.08284723E-02  2.08284723E-02  2.08284723E-02             NaN             NaN             NaN
  1.9273  2.06168141E-02  2.06168141E-02  2.06168141E-02             NaN             NaN             NaN
  1.9915  2.15716670E-02  2.15716670E-02  2.15716670E-02             NaN             NaN             NaN
  2.0558  2.33297572E-02  2.33297572E-02  2.33297572E-02             NaN             NaN             NaN
  2.1200  2.54411572E-02  2.54411572E-02  2.54411572E-02             NaN             NaN             NaN
  2.1842  2.73084635E-02  2.73084635E-02  2.73084635E-02             NaN             NaN             NaN
  2.2485  2.84465582E-02  2.84465582E-02  2.84465582E-02             NaN             NaN             NaN
  2.3127  2.91106794E-02  2.91106794E-02  2.91106794E-02             NaN             NaN             NaN
  2.3770  3.01080855E-02  3.01080855E-02  3.01080855E-02             NaN             NaN             NaN
  2.4412  3.19894064E-02  3.19894064E-02  3.19894064E-02             NaN             NaN             NaN
  2.5054  3.48147722E-02  3.48147722E-02  3.48147722E-02             NaN             NaN             NaN
  2.5697  3.81290821E-02  3.81290821E-02  3.81290821E-02             NaN             NaN             NaN
  2.6339  4.08245818E-02  4.08245818E-02  4.08245818E-02             NaN             NaN             NaN
  2.6982  4.17803081E-02  4.17803081E-02  4.17803081E-02             NaN             NaN             NaN
  2.7624  4.13032591E-02  4.13032591E-02  4.13032591E-02             NaN             NaN             NaN
  2.8267  4.07716186E-02  4.07716186E-02  4.07716186E-02             NaN             NaN             NaN
  2.8909  4.10067171E-02  4.10067171E-02  4.10067171E-02             NaN             NaN             NaN
  2.9551  4.18702158E-02  4.18702158E-02  4.18702158E-02             NaN             NaN             NaN
  3.0194  4.26246172E-02  4.26246172E-02  4.26246172E-02             NaN             NaN             NaN
  3.0836  4.25249788E-02  4.25249788E-02  4.25249788E-02             NaN             NaN             NaN
  3.1479  4.15333167E-02  4.15333167E-02  4.15333167E-02             NaN             NaN             NaN
  3.2121  4.02574274E-02  4.02574274E-02  4.02574274E-02             NaN             NaN             NaN
  3.2764  3.92003927E-02  3.92003927E-02  3.92003927E-02             NaN             NaN             NaN
  3.3406  3.85063269E-02  3.85063269E-02  3.85063269E-02             NaN             NaN             NaN
  3.4048  3.82397528E-02  3.82397528E-02  3.82397528E-02             NaN             NaN             NaN
  3.4691  3.85824188E-02  3.85824188E-02  3.85824188E-02             NaN             NaN             NaN
  3.5333  3.97682485E-02  3.97682485E-02  3.97682485E-02             NaN             NaN             NaN
  3.5976  4.19441507E-02  4.19441507E-02  4.19441507E-02             NaN             NaN             NaN
  3.6618  4.50220584E-02  4.50220584E-02  4.50220584E-02             NaN             NaN             NaN
  3.7261  4.84426274E-02  4.84426274E-02  4.84426274E-02             NaN             NaN             NaN
  3.7903  5.11452454E-02  5.11452454E-02  5.11452454E-02             NaN             NaN             NaN
  3.8545  5.24032347E-02  5.24032347E-02  5.24032347E-02             NaN             NaN             NaN
  3.9188  5.26421580E-02  5.26421580E-02  5.26421580E-02             NaN             NaN             NaN
  3.9830  5.26892740E-02  5.26892740E-02  5.26892740E-02             NaN             NaN             NaN
  4.0473  5.27604153E-02  5.27604153E-02  5.27604153E-02             NaN             NaN             NaN
  4.1115  5.24573152E-02  5.24573152E-02  5.24573152E-02             NaN             NaN             NaN
  4.1757  5.14152569E-02  5.14152569E-02  5.14152569E-02             NaN             NaN             NaN
  4.2400  4.98999886E-02  4.98999886E-02  4.98999886E-02             NaN             NaN             NaN
  4.3042  4.86560611E-02  4.86560611E-02  4.86560611E-02             NaN             NaN             NaN
  4.3685  4.82574687E-02  4.82574687E-02  4.82574687E-02             NaN             NaN             NaN
  4.4327  4.87378704E-02  4.87378704E-02  4.87378704E-02             NaN             NaN             NaN
  4.4970  4.95318122E-02  4.95318122E-02  4.95318122E-02             NaN             NaN             NaN
  4.5612  4.96642512E-02  4.96642512E-02  4.96642512E-02             NaN             NaN             NaN
  4.6254  4.85374651E-02  4.85374651E-02  4.85374651E-02             NaN             NaN             NaN
  4.6897  4.65892649E-02  4.65892649E-02  4.65892649E-02             NaN             NaN             NaN
  4.7539  4.46376453E-02  4.46376453E-02  4.46376453E-02             NaN             NaN             NaN
  4.8182  4.30607376E-02  4.30607376E-02  4.30607376E-02             NaN             NaN             NaN
