 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  0.0000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0642  3.94615803E-01  3.94615803E-01  3.94615803E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1285  7.68265654E-01  7.68265654E-01  7.68265654E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1927  1.11765557E+00  1.11765557E+00  1.11765557E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2570  1.48855645E+00  1.48855645E+00  1.48855645E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3212  1.97114288E+00  1.97114288E+00  1.97114288E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3855  2.61689671E+00  2.61689671E+00  2.61689671E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4497  3.35172018E+00  3.35172018E+00  3.35172018E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5139  3.98278298E+00  3.98278298E+00  3.98278298E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5782  4.28716035E+00  4.28716035E+00  4.28716035E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6424  4.11226402E+00  4.11226402E+00  4.11226402E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7067  3.44507634E+00  3.44507634E+00  3.44507634E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7709  2.48723248E+00  2.48723248E+00  2.48723248E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8351  1.70934960E+00  1.70934960E+00  1.70934960E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8994  1.37164849E+00  1.37164849E+00  1.37164849E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9636  1.31193170E+00  1.31193170E+00  1.31193170E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0279  1.37243532E+00  1.37243532E+00  1.37243532E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0921  1.49605436E+00  1.49605436E+00  1.49605436E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1564  1.66527746E+00  1.66527746E+00  1.66527746E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2206  1.85347269E+00  1.85347269E+00  1.85347269E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2848  2.01814232E+00  2.01814232E+00  2.01814232E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3491  2.12399688E+00  2.12399688E+00  2.12399688E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4133  2.16437579E+00  2.16437579E+00  2.16437579E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4776  2.15784312E+00  2.15784312E+00  2.15784312E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5418  2.12329830E+00  2.12329830E+00  2.12329830E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6061  2.06160941E+00  2.06160941E+00  2.06160941E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6703  1.96724474E+00  1.96724474E+00  1.96724474E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7345  1.86232123E+00  1.86232123E+00  1.86232123E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7988  1.81108532E+00  1.81108532E+00  1.81108532E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.8630  1.87758715E+00  1.87758715E+00  1.87758715E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
