#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.064242    6.888705    6.888705    6.888705   -0.000000    0.000000   -0.000000
    0.128485   13.324554   13.324554   13.324554   -0.000000    0.000000   -0.000000
    0.192727   19.259736   19.259736   19.259736    0.000000    0.000000   -0.000000
    0.256969   25.595009   25.595009   25.595009    0.000000    0.000000   -0.000000
    0.321211   33.859599   33.859599   33.859599    0.000000    0.000000   -0.000000
    0.385454   44.309176   44.309176   44.309176    0.000000    0.000000   -0.000000
    0.449696   54.104541   54.104541   54.104541    0.000000    0.000000   -0.000000
    0.513938   58.369105   58.369105   58.369105   -0.000000    0.000000   -0.000000
    0.578180   54.067742   54.067742   54.067742   -0.000000   -0.000000   -0.000000
    0.642423   42.876002   42.876002   42.876002   -0.000000   -0.000000   -0.000000
    0.706665   29.923336   29.923336   29.923336   -0.000000   -0.000000   -0.000000
    0.770907   19.909515   19.909515   19.909515   -0.000000   -0.000000   -0.000000
    0.835149   14.529102   14.529102   14.529102   -0.000000   -0.000000   -0.000000
    0.899392   12.862508   12.862508   12.862508   -0.000000   -0.000000   -0.000000
    0.963634   13.230267   13.230267   13.230267   -0.000000   -0.000000   -0.000000
    1.027876   14.511851   14.511851   14.511851   -0.000000   -0.000000   -0.000000
    1.092118   16.310510   16.310510   16.310510   -0.000000   -0.000000   -0.000000
    1.156361   18.451841   18.451841   18.451841   -0.000000   -0.000000   -0.000000
    1.220603   20.546877   20.546877   20.546877   -0.000000   -0.000000   -0.000000
    1.284845   22.047510   22.047510   22.047510   -0.000000   -0.000000   -0.000000
    1.349088   22.639634   22.639634   22.639634   -0.000000   -0.000000    0.000000
    1.413330   22.454333   22.454333   22.454333   -0.000000    0.000000    0.000000
    1.477572   21.855058   21.855058   21.855058   -0.000000    0.000000    0.000000
    1.541814   21.082808   21.082808   21.082808   -0.000000    0.000000   -0.000000
    1.606057   20.154475   20.154475   20.154475    0.000000    0.000000   -0.000000
    1.670299   19.095990   19.095990   19.095990    0.000000    0.000000    0.000000
    1.734541   18.242384   18.242384   18.242384    0.000000   -0.000000    0.000000
    1.798783   18.229531   18.229531   18.229531   -0.000000   -0.000000    0.000000
    1.863026   19.553762   19.553762   19.553762   -0.000000   -0.000000   -0.000000
    1.927268   22.036108   22.036108   22.036108   -0.000000   -0.000000   -0.000000
    1.991510   24.736984   24.736984   24.736984   -0.000000   -0.000000   -0.000000
    2.055752   26.527757   26.527757   26.527757   -0.000000   -0.000000   -0.000000
    2.119995   26.910364   26.910364   26.910364   -0.000000   -0.000000   -0.000000
    2.184237   26.367955   26.367955   26.367955   -0.000000   -0.000000   -0.000000
    2.248479   25.881092   25.881092   25.881092   -0.000000   -0.000000   -0.000000
    2.312722   26.016835   26.016835   26.016835   -0.000000   -0.000000    0.000000
    2.376964   26.450734   26.450734   26.450734   -0.000000   -0.000000    0.000000
    2.441206   26.362937   26.362937   26.362937   -0.000000   -0.000000    0.000000
    2.505448   25.257701   25.257701   25.257701   -0.000000   -0.000000   -0.000000
    2.569691   23.392159   23.392159   23.392159   -0.000000   -0.000000   -0.000000
    2.633933   21.513906   21.513906   21.513906   -0.000000   -0.000000   -0.000000
    2.698175   20.281010   20.281010   20.281010   -0.000000   -0.000000   -0.000000
    2.762417   19.862939   19.862939   19.862939   -0.000000   -0.000000   -0.000000
    2.826660   19.930023   19.930023   19.930023   -0.000000   -0.000000   -0.000000
    2.890902   19.966633   19.966633   19.966633   -0.000000   -0.000000   -0.000000
    2.955144   19.675113   19.675113   19.675113   -0.000000   -0.000000    0.000000
    3.019386   19.164206   19.164206   19.164206   -0.000000   -0.000000    0.000000
    3.083629   18.784263   18.784263   18.784263   -0.000000   -0.000000   -0.000000
    3.147871   18.801728   18.801728   18.801728   -0.000000   -0.000000   -0.000000
    3.212113   19.232681   19.232681   19.232681   -0.000000   -0.000000   -0.000000
    3.276355   19.939594   19.939594   19.939594   -0.000000   -0.000000   -0.000000
    3.340598   20.803607   20.803607   20.803607    0.000000   -0.000000   -0.000000
    3.404840   21.739259   21.739259   21.739259    0.000000   -0.000000   -0.000000
    3.469082   22.556338   22.556338   22.556338    0.000000    0.000000   -0.000000
    3.533325   22.911079   22.911079   22.911079   -0.000000    0.000000   -0.000000
    3.597567   22.508278   22.508278   22.508278   -0.000000    0.000000   -0.000000
    3.661809   21.387717   21.387717   21.387717   -0.000000    0.000000   -0.000000
    3.726051   19.970896   19.970896   19.970896   -0.000000    0.000000   -0.000000
    3.790294   18.777945   18.777945   18.777945   -0.000000    0.000000   -0.000000
    3.854536   18.074216   18.074216   18.074216   -0.000000   -0.000000   -0.000000
    3.918778   17.766101   17.766101   17.766101   -0.000000   -0.000000   -0.000000
    3.983020   17.599303   17.599303   17.599303   -0.000000   -0.000000   -0.000000
    4.047263   17.429806   17.429806   17.429806   -0.000000   -0.000000   -0.000000
    4.111505   17.324061   17.324061   17.324061   -0.000000   -0.000000   -0.000000
    4.175747   17.449173   17.449173   17.449173   -0.000000   -0.000000   -0.000000
    4.239989   17.880693   17.880693   17.880693   -0.000000   -0.000000   -0.000000
    4.304232   18.479563   18.479563   18.479563   -0.000000   -0.000000    0.000000
    4.368474   18.943928   18.943928   18.943928   -0.000000   -0.000000    0.000000
    4.432716   19.038327   19.038327   19.038327   -0.000000   -0.000000    0.000000
