#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000   76.578353   76.578353   76.578353   -0.000000   -0.000000   -0.000000
    0.064242   76.028638   76.028638   76.028638   -0.000000   -0.000000   -0.000000
    0.128485   74.611065   74.611065   74.611065   -0.000000   -0.000000   -0.000000
    0.192727   72.988344   72.988344   72.988344   -0.000000   -0.000000   -0.000000
    0.256969   71.697005   71.697005   71.697005   -0.000000   -0.000000   -0.000000
    0.321211   69.882471   69.882471   69.882471   -0.000000   -0.000000   -0.000000
    0.385454   64.824666   64.824666   64.824666   -0.000000   -0.000000   -0.000000
    0.449696   53.909541   53.909541   53.909541   -0.000000   -0.000000   -0.000000
    0.513938   37.832344   37.832344   37.832344   -0.000000   -0.000000   -0.000000
    0.578180   21.382989   21.382989   21.382989   -0.000000   -0.000000   -0.000000
    0.642423   10.266603   10.266603   10.266603   -0.000000   -0.000000   -0.000000
    0.706665    6.992326    6.992326    6.992326   -0.000000   -0.000000   -0.000000
    0.770907    9.832395    9.832395    9.832395   -0.000000   -0.000000   -0.000000
    0.835149   15.139741   15.139741   15.139741   -0.000000   -0.000000   -0.000000
    0.899392   20.102499   20.102499   20.102499   -0.000000   -0.000000   -0.000000
    0.963634   23.703554   23.703554   23.703554   -0.000000   -0.000000   -0.000000
    1.027876   26.067896   26.067896   26.067896   -0.000000   -0.000000   -0.000000
    1.092118   27.477109   27.477109   27.477109   -0.000000    0.000000   -0.000000
    1.156361   27.920246   27.920246   27.920246    0.000000    0.000000    0.000000
    1.220603   27.287385   27.287385   27.287385    0.000000    0.000000    0.000000
    1.284845   25.764055   25.764055   25.764055   -0.000000    0.000000    0.000000
    1.349088   23.892018   23.892018   23.892018   -0.000000    0.000000    0.000000
    1.413330   22.222995   22.222995   22.222995   -0.000000    0.000000   -0.000000
    1.477572   20.988859   20.988859   20.988859   -0.000000    0.000000   -0.000000
    1.541814   20.139209   20.139209   20.139209    0.000000   -0.000000   -0.000000
    1.606057   19.642793   19.642793   19.642793   -0.000000   -0.000000    0.000000
