 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  0.0000  6.31851555E-01  6.31851555E-01  6.31851555E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.0642  6.31702088E-01  6.31702088E-01  6.31702088E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.1285  6.31514650E-01  6.31514650E-01  6.31514650E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.1927  6.32256824E-01  6.32256824E-01  6.32256824E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.2570  6.35412562E-01  6.35412562E-01  6.35412562E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.3212  6.41501050E-01  6.41501050E-01  6.41501050E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.3855  6.48907331E-01  6.48907331E-01  6.48907331E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.4497  6.54783329E-01  6.54783329E-01  6.54783329E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.5139  6.56029153E-01  6.56029153E-01  6.56029153E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.5782  6.48478517E-01  6.48478517E-01  6.48478517E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.6424  6.24372322E-01  6.24372322E-01  6.24372322E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.7067  5.70171008E-01  5.70171008E-01  5.70171008E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.7709  4.87039472E-01  4.87039472E-01  4.87039472E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.8351  4.42330666E-01  4.42330666E-01  4.42330666E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.8994  4.52298381E-01  4.52298381E-01  4.52298381E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  0.9636  4.72432292E-01  4.72432292E-01  4.72432292E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.0279  4.89296533E-01  4.89296533E-01  4.89296533E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.0921  5.02809479E-01  5.02809479E-01  5.02809479E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.1564  5.13453750E-01  5.13453750E-01  5.13453750E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.2206  5.20556857E-01  5.20556857E-01  5.20556857E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.2848  5.23300597E-01  5.23300597E-01  5.23300597E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.3491  5.21737514E-01  5.21737514E-01  5.21737514E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.4133  5.17089675E-01  5.17089675E-01  5.17089675E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.4776  5.11064862E-01  5.11064862E-01  5.11064862E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.5418  5.04592516E-01  5.04592516E-01  5.04592516E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.6061  4.97622859E-01  4.97622859E-01  4.97622859E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.6703  4.90893438E-01  4.90893438E-01  4.90893438E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.7345  4.87840159E-01  4.87840159E-01  4.87840159E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
  1.7988  4.92591223E-01  4.92591223E-01  4.92591223E-01  1.00000000E+00  1.00000000E+00  1.00000000E+00
