 #Energy       XX              YY             ZZ              XY              YZ              XZ       
 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  0.0000  8.75090852E+00  8.75090852E+00  8.75090852E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.0642  8.72836306E+00  8.72836306E+00  8.72836306E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1285  8.67187016E+00  8.67187016E+00  8.67187016E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.1927  8.61611595E+00  8.61611595E+00  8.61611595E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.2570  8.59725539E+00  8.59725539E+00  8.59725539E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3212  8.58882438E+00  8.58882438E+00  8.58882438E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.3855  8.46598183E+00  8.46598183E+00  8.46598183E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.4497  8.07115408E+00  8.07115408E+00  8.07115408E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5139  7.32767769E+00  7.32767769E+00  7.32767769E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.5782  6.30577068E+00  6.30577068E+00  6.30577068E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.6424  5.21318668E+00  5.21318668E+00  5.21318668E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7067  4.34290812E+00  4.34290812E+00  4.34290812E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.7709  4.00233999E+00  4.00233999E+00  4.00233999E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8351  4.24989130E+00  4.24989130E+00  4.24989130E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.8994  4.68870127E+00  4.68870127E+00  4.68870127E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.9636  5.04229757E+00  5.04229757E+00  5.04229757E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0279  5.28691580E+00  5.28691580E+00  5.28691580E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.0921  5.45117223E+00  5.45117223E+00  5.45117223E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.1564  5.54015785E+00  5.54015785E+00  5.54015785E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2206  5.54281165E+00  5.54281165E+00  5.54281165E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.2848  5.46232537E+00  5.46232537E+00  5.46232537E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.3491  5.32948053E+00  5.32948053E+00  5.32948053E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4133  5.18724615E+00  5.18724615E+00  5.18724615E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.4776  5.06410771E+00  5.06410771E+00  5.06410771E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.5418  4.96463450E+00  4.96463450E+00  4.96463450E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6061  4.88805006E+00  4.88805006E+00  4.88805006E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.6703  4.85348863E+00  4.85348863E+00  4.85348863E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7345  4.89775871E+00  4.89775871E+00  4.89775871E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.7988  5.03275571E+00  5.03275571E+00  5.03275571E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.8630  5.20716175E+00  5.20716175E+00  5.20716175E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.9273  5.33121640E+00  5.33121640E+00  5.33121640E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
