 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35200000E-01  0.21366202E+03  0.21366202E+03  0.21366202E+03  0.26890686E+01  0.26890686E+01  0.26890686E+01
  0.70500000E-01  0.92541300E+03  0.92541300E+03  0.92541300E+03  0.15968967E+02  0.15968967E+02  0.15968967E+02
  0.10570000E+00  0.23314582E+04  0.23314582E+04  0.23314582E+04  0.39431300E+02  0.39431300E+02  0.39431300E+02
  0.14090000E+00  0.47235707E+04  0.47235707E+04  0.47235707E+04  0.83025144E+02  0.83025144E+02  0.83025144E+02
  0.17620000E+00  0.84267007E+04  0.84267007E+04  0.84267007E+04  0.14231443E+03  0.14231443E+03  0.14231443E+03
  0.21140000E+00  0.13690758E+05  0.13690758E+05  0.13690758E+05  0.24657861E+03  0.24657861E+03  0.24657861E+03
  0.24660000E+00  0.20612241E+05  0.20612241E+05  0.20612241E+05  0.36045828E+03  0.36045828E+03  0.36045828E+03
  0.28190000E+00  0.29045005E+05  0.29045005E+05  0.29045005E+05  0.51928238E+03  0.51928238E+03  0.51928238E+03
  0.31710000E+00  0.38532411E+05  0.38532411E+05  0.38532411E+05  0.69004742E+03  0.69004742E+03  0.69004742E+03
  0.35230000E+00  0.48415271E+05  0.48415271E+05  0.48415271E+05  0.87166251E+03  0.87166251E+03  0.87166251E+03
  0.38760000E+00  0.57968002E+05  0.57968002E+05  0.57968002E+05  0.10381732E+04  0.10381732E+04  0.10381732E+04
  0.42280000E+00  0.66602977E+05  0.66602977E+05  0.66602977E+05  0.11844023E+04  0.11844023E+04  0.11844023E+04
  0.45800000E+00  0.74251419E+05  0.74251419E+05  0.74251419E+05  0.13129677E+04  0.13129677E+04  0.13129677E+04
  0.49330000E+00  0.81539845E+05  0.81539845E+05  0.81539845E+05  0.14147450E+04  0.14147450E+04  0.14147450E+04
  0.52850000E+00  0.89720058E+05  0.89720058E+05  0.89720058E+05  0.14969575E+04  0.14969575E+04  0.14969575E+04
  0.56370000E+00  0.10044334E+06  0.10044334E+06  0.10044334E+06  0.15544660E+04  0.15544660E+04  0.15544660E+04
  0.59900000E+00  0.11520603E+06  0.11520603E+06  0.11520603E+06  0.16738168E+04  0.16738168E+04  0.16738168E+04
  0.63420000E+00  0.13482823E+06  0.13482823E+06  0.13482823E+06  0.18648129E+04  0.18648129E+04  0.18648129E+04
  0.66940000E+00  0.15930433E+06  0.15930433E+06  0.15930433E+06  0.21356474E+04  0.21356474E+04  0.21356474E+04
  0.70470000E+00  0.18770555E+06  0.18770555E+06  0.18770555E+06  0.25228897E+04  0.25228897E+04  0.25228897E+04
  0.73990000E+00  0.21819412E+06  0.21819412E+06  0.21819412E+06  0.29508249E+04  0.29508249E+04  0.29508249E+04
  0.77510000E+00  0.24837583E+06  0.24837583E+06  0.24837583E+06  0.33208600E+04  0.33208600E+04  0.33208600E+04
  0.81040000E+00  0.27550906E+06  0.27550906E+06  0.27550906E+06  0.37645473E+04  0.37645473E+04  0.37645473E+04
  0.84560000E+00  0.29672762E+06  0.29672762E+06  0.29672762E+06  0.40794044E+04  0.40794044E+04  0.40794044E+04
  0.88080000E+00  0.30961832E+06  0.30961832E+06  0.30961832E+06  0.43443607E+04  0.43443607E+04  0.43443607E+04
  0.91600000E+00  0.31251262E+06  0.31251262E+06  0.31251262E+06  0.44377321E+04  0.44377321E+04  0.44377321E+04
  0.95130000E+00  0.30501843E+06  0.30501843E+06  0.30501843E+06  0.44071284E+04  0.44071284E+04  0.44071284E+04
  0.98650000E+00  0.28839012E+06  0.28839012E+06  0.28839012E+06  0.42433412E+04  0.42433412E+04  0.42433412E+04
  0.10217000E+01  0.26606266E+06  0.26606266E+06  0.26606266E+06  0.39299054E+04  0.39299054E+04  0.39299054E+04
  0.10570000E+01  0.24310238E+06  0.24310238E+06  0.24310238E+06  0.33910574E+04  0.33910574E+04  0.33910574E+04
  0.10922000E+01  0.22451069E+06  0.22451069E+06  0.22451069E+06  0.29705609E+04  0.29705609E+04  0.29705609E+04
  0.11274000E+01  0.21349808E+06  0.21349808E+06  0.21349808E+06  0.27989635E+04  0.27989635E+04  0.27989635E+04
  0.11627000E+01  0.21091412E+06  0.21091412E+06  0.21091412E+06  0.28033522E+04  0.28033522E+04  0.28033522E+04
  0.11979000E+01  0.21601671E+06  0.21601671E+06  0.21601671E+06  0.32422736E+04  0.32422736E+04  0.32422736E+04
  0.12331000E+01  0.22753385E+06  0.22753385E+06  0.22753385E+06  0.37597865E+04  0.37597865E+04  0.37597865E+04
  0.12684000E+01  0.24412937E+06  0.24412937E+06  0.24412937E+06  0.42637934E+04  0.42637934E+04  0.42637934E+04
  0.13036000E+01  0.26448537E+06  0.26448537E+06  0.26448537E+06  0.47967959E+04  0.47967959E+04  0.47967959E+04
  0.13388000E+01  0.28740698E+06  0.28740698E+06  0.28740698E+06  0.51791541E+04  0.51791541E+04  0.51791541E+04
  0.13741000E+01  0.31174601E+06  0.31174601E+06  0.31174601E+06  0.53960967E+04  0.53960967E+04  0.53960967E+04
  0.14093000E+01  0.33635424E+06  0.33635424E+06  0.33635424E+06  0.56460708E+04  0.56460708E+04  0.56460708E+04
