  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35200000E-01  0.26523245E-03  0.26523245E-03  0.26523245E-03  0.51626226E+01  0.51626226E+01  0.51626226E+01
  0.70500000E-01  0.56640458E-03  0.56640458E-03  0.56640458E-03  0.14749263E+02  0.14749263E+02  0.14749263E+02
  0.10570000E+00  0.93398157E-03  0.93398157E-03  0.93398157E-03  0.23353573E+02  0.23353573E+02  0.23353573E+02
  0.14090000E+00  0.13883453E-02  0.13883453E-02  0.13883453E-02  0.35195777E+02  0.35195777E+02  0.35195777E+02
  0.17620000E+00  0.19377231E-02  0.19377231E-02  0.19377231E-02  0.47210300E+02  0.47210300E+02  0.47210300E+02
  0.21140000E+00  0.25782895E-02  0.25782895E-02  0.25782895E-02  0.64908722E+02  0.64908722E+02  0.64908722E+02
  0.24660000E+00  0.32958462E-02  0.32958462E-02  0.32958462E-02  0.79491256E+02  0.79491256E+02  0.79491256E+02
  0.28190000E+00  0.40672319E-02  0.40672319E-02  0.40672319E-02  0.97618118E+02  0.97618118E+02  0.97618118E+02
  0.31710000E+00  0.48603025E-02  0.48603025E-02  0.48603025E-02  0.11498810E+03  0.11498810E+03  0.11498810E+03
  0.35230000E+00  0.56325048E-02  0.56325048E-02  0.56325048E-02  0.13372336E+03  0.13372336E+03  0.13372336E+03
  0.38760000E+00  0.63307507E-02  0.63307507E-02  0.63307507E-02  0.15617605E+03  0.15617605E+03  0.15617605E+03
  0.42280000E+00  0.68986645E-02  0.68986645E-02  0.68986645E-02  0.17618793E+03  0.17618793E+03  0.17618793E+03
  0.45800000E+00  0.72974504E-02  0.72974504E-02  0.72974504E-02  0.20000000E+03  0.20000000E+03  0.20000000E+03
  0.49330000E+00  0.75371141E-02  0.75371141E-02  0.75371141E-02  0.21453287E+03  0.21453287E+03  0.21453287E+03
  0.52850000E+00  0.76933537E-02  0.76933537E-02  0.76933537E-02  0.22371365E+03  0.22371365E+03  0.22371365E+03
  0.56370000E+00  0.78832714E-02  0.78832714E-02  0.78832714E-02  0.22620905E+03  0.22620905E+03  0.22620905E+03
  0.59900000E+00  0.82137511E-02  0.82137511E-02  0.82137511E-02  0.21676301E+03  0.21676301E+03  0.21676301E+03
  0.63420000E+00  0.87470827E-02  0.87470827E-02  0.87470827E-02  0.21220159E+03  0.21220159E+03  0.21220159E+03
  0.66940000E+00  0.95035991E-02  0.95035991E-02  0.95035991E-02  0.21008403E+03  0.21008403E+03  0.21008403E+03
  0.70470000E+00  0.10483640E-01  0.10483640E-01  0.10483640E-01  0.21138211E+03  0.21138211E+03  0.21138211E+03
  0.73990000E+00  0.11688173E-01  0.11688173E-01  0.11688173E-01  0.21727884E+03  0.21727884E+03  0.21727884E+03
  0.77510000E+00  0.13130637E-01  0.13130637E-01  0.13130637E-01  0.22477784E+03  0.22477784E+03  0.22477784E+03
  0.81040000E+00  0.14841204E-01  0.14841204E-01  0.14841204E-01  0.23243243E+03  0.23243243E+03  0.23243243E+03
  0.84560000E+00  0.16864112E-01  0.16864112E-01  0.16864112E-01  0.24615385E+03  0.24615385E+03  0.24615385E+03
  0.88080000E+00  0.19241235E-01  0.19241235E-01  0.19241235E-01  0.25787966E+03  0.25787966E+03  0.25787966E+03
  0.91600000E+00  0.21962982E-01  0.21962982E-01  0.21962982E-01  0.28063611E+03  0.28063611E+03  0.28063611E+03
  0.95130000E+00  0.24854201E-01  0.24854201E-01  0.24854201E-01  0.31088083E+03  0.31088083E+03  0.31088083E+03
  0.98650000E+00  0.27398185E-01  0.27398185E-01  0.27398185E-01  0.35849057E+03  0.35849057E+03  0.35849057E+03
  0.10217000E+01  0.28709417E-01  0.28709417E-01  0.28709417E-01  0.44164038E+03  0.44164038E+03  0.44164038E+03
  0.10570000E+01  0.28090409E-01  0.28090409E-01  0.28090409E-01  0.64705882E+03  0.64705882E+03  0.64705882E+03
  0.10922000E+01  0.25860350E-01  0.25860350E-01  0.25860350E-01  0.84615385E+03  0.84615385E+03  0.84615385E+03
  0.11274000E+01  0.23136025E-01  0.23136025E-01  0.23136025E-01  0.83333333E+03  0.83333333E+03  0.83333333E+03
  0.11627000E+01  0.20818695E-01  0.20818695E-01  0.20818695E-01  0.68292683E+03  0.68292683E+03  0.68292683E+03
