  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35200000E-01  0.59888176E-01  0.59888176E-01  0.59888176E-01  0.75372970E-03  0.75372970E-03  0.75372970E-03
  0.70500000E-01  0.12950988E+00  0.12950988E+00  0.12950988E+00  0.22348281E-02  0.22348281E-02  0.22348281E-02
  0.10570000E+00  0.21762514E+00  0.21762514E+00  0.21762514E+00  0.36806331E-02  0.36806331E-02  0.36806331E-02
  0.14090000E+00  0.33076218E+00  0.33076218E+00  0.33076218E+00  0.58137327E-02  0.58137327E-02  0.58137327E-02
  0.17620000E+00  0.47185448E+00  0.47185448E+00  0.47185448E+00  0.79689195E-02  0.79689195E-02  0.79689195E-02
  0.21140000E+00  0.63896773E+00  0.63896773E+00  0.63896773E+00  0.11508185E-01  0.11508185E-01  0.11508185E-01
  0.24660000E+00  0.82468588E+00  0.82468588E+00  0.82468588E+00  0.14421763E-01  0.14421763E-01  0.14421763E-01
  0.28190000E+00  0.10165595E+01  0.10165595E+01  0.10165595E+01  0.18174603E-01  0.18174603E-01  0.18174603E-01
  0.31710000E+00  0.11989094E+01  0.11989094E+01  0.11989094E+01  0.21470349E-01  0.21470349E-01  0.21470349E-01
  0.35230000E+00  0.13558953E+01  0.13558953E+01  0.13558953E+01  0.24411370E-01  0.24411370E-01  0.24411370E-01
  0.38760000E+00  0.14755740E+01  0.14755740E+01  0.14755740E+01  0.26426672E-01  0.26426672E-01  0.26426672E-01
  0.42280000E+00  0.15542293E+01  0.15542293E+01  0.15542293E+01  0.27638895E-01  0.27638895E-01  0.27638895E-01
  0.45800000E+00  0.15995422E+01  0.15995422E+01  0.15995422E+01  0.28284271E-01  0.28284271E-01  0.28284271E-01
  0.49330000E+00  0.16308544E+01  0.16308544E+01  0.16308544E+01  0.28295897E-01  0.28295897E-01  0.28295897E-01
  0.52850000E+00  0.16749466E+01  0.16749466E+01  0.16749466E+01  0.27946079E-01  0.27946079E-01  0.27946079E-01
  0.56370000E+00  0.17580432E+01  0.17580432E+01  0.17580432E+01  0.27207561E-01  0.27207561E-01  0.27207561E-01
  0.59900000E+00  0.18976006E+01  0.18976006E+01  0.18976006E+01  0.27570048E-01  0.27570048E-01  0.27570048E-01
  0.63420000E+00  0.20975436E+01  0.20975436E+01  0.20975436E+01  0.29011184E-01  0.29011184E-01  0.29011184E-01
  0.66940000E+00  0.23480011E+01  0.23480011E+01  0.23480011E+01  0.31477502E-01  0.31477502E-01  0.31477502E-01
  0.70470000E+00  0.26280235E+01  0.26280235E+01  0.26280235E+01  0.35322417E-01  0.35322417E-01  0.35322417E-01
  0.73990000E+00  0.29095541E+01  0.29095541E+01  0.29095541E+01  0.39348377E-01  0.39348377E-01  0.39348377E-01
  0.77510000E+00  0.31616079E+01  0.31616079E+01  0.31616079E+01  0.42271654E-01  0.42271654E-01  0.42271654E-01
  0.81040000E+00  0.33542302E+01  0.33542302E+01  0.33542302E+01  0.45832099E-01  0.45832099E-01  0.45832099E-01
  0.84560000E+00  0.34621782E+01  0.34621782E+01  0.34621782E+01  0.47597946E-01  0.47597946E-01  0.47597946E-01
  0.88080000E+00  0.34682130E+01  0.34682130E+01  0.34682130E+01  0.48663684E-01  0.48663684E-01  0.48663684E-01
  0.91600000E+00  0.33661115E+01  0.33661115E+01  0.33661115E+01  0.47799354E-01  0.47799354E-01  0.47799354E-01
  0.95130000E+00  0.31634794E+01  0.31634794E+01  0.31634794E+01  0.45708253E-01  0.45708253E-01  0.45708253E-01
  0.98650000E+00  0.28842952E+01  0.28842952E+01  0.28842952E+01  0.42439209E-01  0.42439209E-01  0.42439209E-01
  0.10217000E+01  0.25693126E+01  0.25693126E+01  0.25693126E+01  0.37950292E-01  0.37950292E-01  0.37950292E-01
  0.10570000E+01  0.22691888E+01  0.22691888E+01  0.22691888E+01  0.31653124E-01  0.31653124E-01  0.31653124E-01
  0.10922000E+01  0.20281089E+01  0.20281089E+01  0.20281089E+01  0.26834450E-01  0.26834450E-01  0.26834450E-01
  0.11274000E+01  0.18684107E+01  0.18684107E+01  0.18684107E+01  0.24494897E-01  0.24494897E-01  0.24494897E-01
  0.11627000E+01  0.17897584E+01  0.17897584E+01  0.17897584E+01  0.23788465E-01  0.23788465E-01  0.23788465E-01
  0.11979000E+01  0.17791936E+01  0.17791936E+01  0.17791936E+01  0.26704566E-01  0.26704566E-01  0.26704566E-01
  0.12331000E+01  0.18205564E+01  0.18205564E+01  0.18205564E+01  0.30083011E-01  0.30083011E-01  0.30083011E-01
  0.12684000E+01  0.18989792E+01  0.18989792E+01  0.18989792E+01  0.33166248E-01  0.33166248E-01  0.33166248E-01
  0.13036000E+01  0.20017679E+01  0.20017679E+01  0.20017679E+01  0.36304738E-01  0.36304738E-01  0.36304738E-01
  0.13388000E+01  0.21180589E+01  0.21180589E+01  0.21180589E+01  0.38168013E-01  0.38168013E-01  0.38168013E-01
  0.13741000E+01  0.22384066E+01  0.22384066E+01  0.22384066E+01  0.38745191E-01  0.38745191E-01  0.38745191E-01
  0.14093000E+01  0.23547775E+01  0.23547775E+01  0.23547775E+01  0.39527495E-01  0.39527495E-01  0.39527495E-01
  0.14445000E+01  0.24606835E+01  0.24606835E+01  0.24606835E+01  0.37950292E-01  0.37950292E-01  0.37950292E-01
  0.14798000E+01  0.25513955E+01  0.25513955E+01  0.25513955E+01  0.35791409E-01  0.35791409E-01  0.35791409E-01
  0.15150000E+01  0.26238439E+01  0.26238439E+01  0.26238439E+01  0.32253875E-01  0.32253875E-01  0.32253875E-01
  0.15502000E+01  0.26762960E+01  0.26762960E+01  0.26762960E+01  0.30989156E-01  0.30989156E-01  0.30989156E-01
  0.15855000E+01  0.27078431E+01  0.27078431E+01  0.27078431E+01  0.29716918E-01  0.29716918E-01  0.29716918E-01
  0.16207000E+01  0.27180270E+01  0.27180270E+01  0.27180270E+01  0.29225884E-01  0.29225884E-01  0.29225884E-01
  0.16559000E+01  0.27066508E+01  0.27066508E+01  0.27066508E+01  0.30438433E-01  0.30438433E-01  0.30438433E-01
  0.16912000E+01  0.26740052E+01  0.26740052E+01  0.26740052E+01  0.31157991E-01  0.31157991E-01  0.31157991E-01
  0.17264000E+01  0.26214861E+01  0.26214861E+01  0.26214861E+01  0.32320616E-01  0.32320616E-01  0.32320616E-01
  0.17616000E+01  0.25524218E+01  0.25524218E+01  0.25524218E+01  0.34641016E-01  0.34641016E-01  0.34641016E-01
  0.17969000E+01  0.24728786E+01  0.24728786E+01  0.24728786E+01  0.35260508E-01  0.35260508E-01  0.35260508E-01
  0.18321000E+01  0.23919024E+01  0.23919024E+01  0.23919024E+01  0.35505401E-01  0.35505401E-01  0.35505401E-01
