#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.035233    0.918857    0.918857    0.918857    0.000135    0.000135    0.000135
    0.070465    1.995240    1.995240    1.995240    0.000296    0.000296    0.000296
    0.105698    3.372713    3.372713    3.372713    0.000507    0.000507    0.000507
    0.140931    5.160726    5.160726    5.160726    0.000784    0.000784    0.000784
    0.176163    7.407032    7.407032    7.407032    0.001136    0.001136    0.001136
    0.211396   10.069450   10.069450   10.069450    0.001554    0.001554    0.001554
    0.246629   13.000220   13.000220   13.000220    0.002012    0.002012    0.002012
    0.281861   15.957646   15.957646   15.957646    0.002466    0.002466    0.002466
    0.317094   18.652511   18.652511   18.652511    0.002865    0.002865    0.002865
    0.352327   20.823359   20.823359   20.823359    0.003159    0.003159    0.003159
    0.387559   22.319622   22.319622   22.319622    0.003316    0.003316    0.003316
    0.422792   23.163790   23.163790   23.163790    0.003331    0.003331    0.003331
    0.458025   23.567075   23.567075   23.567075    0.003236    0.003236    0.003236
    0.493257   23.888014   23.888014   23.888014    0.003086    0.003086    0.003086
    0.528490   24.542547   24.542547   24.542547    0.002954    0.002954    0.002954
    0.563723   25.889620   25.889620   25.889620    0.002907    0.002907    0.002907
    0.598955   28.123951   28.123951   28.123951    0.002988    0.002988    0.002988
    0.634188   31.204208   31.204208   31.204208    0.003205    0.003205    0.003205
    0.669421   34.836328   34.836328   34.836328    0.003521    0.003521    0.003521
    0.704653   38.519784   38.519784   38.519784    0.003867    0.003867    0.003867
    0.739886   41.649886   41.649886   41.649886    0.004155    0.004155    0.004155
    0.775119   43.655032   43.655032   43.655032    0.004305    0.004305    0.004305
    0.810351   44.133908   44.133908   44.133908    0.004260    0.004260    0.004260
    0.845584   42.954457   42.954457   42.954457    0.004006    0.004006    0.004006
    0.880817   40.283497   40.283497   40.283497    0.003570    0.003570    0.003570
    0.916049   36.538823   36.538823   36.538823    0.003013    0.003013    0.003013
    0.951282   32.280677   32.280677   32.280677    0.002414    0.002414    0.002414
    0.986514   28.079803   28.079803   28.079803    0.001857    0.001857    0.001857
    1.021747   24.403757   24.403757   24.403757    0.001415    0.001415    0.001415
    1.056980   21.550873   21.550873   21.550873    0.001141    0.001141    0.001141
    1.092212   19.640363   19.640363   19.640363    0.001057    0.001057    0.001057
    1.127445   18.645948   18.645948   18.645948    0.001154    0.001154    0.001154
    1.162678   18.449645   18.449645   18.449645    0.001388    0.001388    0.001388
    1.197910   18.892582   18.892582   18.892582    0.001691    0.001691    0.001691
    1.233143   19.808918   19.808918   19.808918    0.001979    0.001979    0.001979
    1.268376   21.040830   21.040830   21.040830    0.002177    0.002177    0.002177
    1.303608   22.441310   22.441310   22.441310    0.002238    0.002238    0.002238
    1.338841   23.874258   23.874258   23.874258    0.002150    0.002150    0.002150
    1.374074   25.217823   25.217823   25.217823    0.001940    0.001940    0.001940
    1.409306   26.371891   26.371891   26.371891    0.001663    0.001663    0.001663
    1.444539   27.265606   27.265606   27.265606    0.001386    0.001386    0.001386
    1.479772   27.860529   27.860529   27.860529    0.001162    0.001162    0.001162
    1.515004   28.147629   28.147629   28.147629    0.001024    0.001024    0.001024
    1.550237   28.139560   28.139560   28.139560    0.000976    0.000976    0.000976
    1.585470   27.861699   27.861699   27.861699    0.001000    0.001000    0.001000
    1.620702   27.346191   27.346191   27.346191    0.001066    0.001066    0.001066
    1.655935   26.629894   26.629894   26.629894    0.001141    0.001141    0.001141
    1.691168   25.756632   25.756632   25.756632    0.001196    0.001196    0.001196
    1.726400   24.781444   24.781444   24.781444    0.001210    0.001210    0.001210
    1.761633   23.773663   23.773663   23.773663    0.001167    0.001167    0.001167
    1.796866   22.816925   22.816925   22.816925    0.001057    0.001057    0.001057
    1.832098   22.002923   22.002923   22.002923    0.000880    0.000880    0.000880
    1.867331   21.419065   21.419065   21.419065    0.000648    0.000648    0.000648
    1.902564   21.131586   21.131586   21.131586    0.000387    0.000387    0.000387
    1.937796   21.168278   21.168278   21.168278    0.000140    0.000140    0.000140
    1.973029   21.506553   21.506553   21.506553   -0.000046   -0.000046   -0.000046
    2.008262   22.071936   22.071936   22.071936   -0.000127   -0.000127   -0.000127
    2.043494   22.750076   22.750076   22.750076   -0.000075   -0.000075   -0.000075
    2.078727   23.410784   23.410784   23.410784    0.000109    0.000109    0.000109
    2.113960   23.938640   23.938640   23.938640    0.000394    0.000394    0.000394
    2.149192   24.261736   24.261736   24.261736    0.000723    0.000723    0.000723
    2.184425   24.368979   24.368979   24.368979    0.001029    0.001029    0.001029
    2.219658   24.310407   24.310407   24.310407    0.001249    0.001249    0.001249
    2.254890   24.179152   24.179152   24.179152    0.001345    0.001345    0.001345
    2.290123   24.080431   24.080431   24.080431    0.001304    0.001304    0.001304
    2.325356   24.097110   24.097110   24.097110    0.001144    0.001144    0.001144
    2.360588   24.262736   24.262736   24.262736    0.000902    0.000902    0.000902
    2.395821   24.550498   24.550498   24.550498    0.000622    0.000622    0.000622
    2.431054   24.881562   24.881562   24.881562    0.000348    0.000348    0.000348
    2.466286   25.149184   25.149184   25.149184    0.000111    0.000111    0.000111
    2.501519   25.250877   25.250877   25.250877   -0.000070   -0.000070   -0.000070
    2.536752   25.118307   25.118307   25.118307   -0.000187   -0.000187   -0.000187
    2.571984   24.736519   24.736519   24.736519   -0.000246   -0.000246   -0.000246
    2.607217   24.147539   24.147539   24.147539   -0.000260   -0.000260   -0.000260
    2.642450   23.438722   23.438722   23.438722   -0.000248   -0.000248   -0.000248
    2.677682   22.719821   22.719821   22.719821   -0.000229   -0.000229   -0.000229
    2.712915   22.095091   22.095091   22.095091   -0.000220   -0.000220   -0.000220
    2.748147   21.638326   21.638326   21.638326   -0.000227   -0.000227   -0.000227
    2.783380   21.376442   21.376442   21.376442   -0.000247   -0.000247   -0.000247
    2.818613   21.286082   21.286082   21.286082   -0.000267   -0.000267   -0.000267
    2.853845   21.303927   21.303927   21.303927   -0.000272   -0.000272   -0.000272
    2.889078   21.347137   21.347137   21.347137   -0.000250   -0.000250   -0.000250
    2.924311   21.338096   21.338096   21.338096   -0.000200   -0.000200   -0.000200
    2.959543   21.225654   21.225654   21.225654   -0.000127   -0.000127   -0.000127
    2.994776   20.997125   20.997125   20.997125   -0.000046   -0.000046   -0.000046
    3.030009   20.678425   20.678425   20.678425    0.000030    0.000030    0.000030
    3.065241   20.323799   20.323799   20.323799    0.000095    0.000095    0.000095
    3.100474   19.999265   19.999265   19.999265    0.000148    0.000148    0.000148
    3.135707   19.765430   19.765430   19.765430    0.000194    0.000194    0.000194
    3.170939   19.663664   19.663664   19.663664    0.000240    0.000240    0.000240
    3.206172   19.708462   19.708462   19.708462    0.000290    0.000290    0.000290
    3.241405   19.886931   19.886931   19.886931    0.000345    0.000345    0.000345
    3.276637   20.164729   20.164729   20.164729    0.000399    0.000399    0.000399
    3.311870   20.496987   20.496987   20.496987    0.000445    0.000445    0.000445
    3.347103   20.841070   20.841070   20.841070    0.000480    0.000480    0.000480
    3.382335   21.167318   21.167318   21.167318    0.000500    0.000500    0.000500
    3.417568   21.463857   21.463857   21.463857    0.000505    0.000505    0.000505
    3.452801   21.733088   21.733088   21.733088    0.000498    0.000498    0.000498
    3.488033   21.980976   21.980976   21.980976    0.000479    0.000479    0.000479
    3.523266   22.203744   22.203744   22.203744    0.000448    0.000448    0.000448
    3.558499   22.378363   22.378363   22.378363    0.000404    0.000404    0.000404
    3.593731   22.462467   22.462467   22.462467    0.000348    0.000348    0.000348
    3.628964   22.405147   22.405147   22.405147    0.000283    0.000283    0.000283
    3.664197   22.165247   22.165247   22.165247    0.000216    0.000216    0.000216
    3.699429   21.729846   21.729846   21.729846    0.000153    0.000153    0.000153
    3.734662   21.124873   21.124873   21.124873    0.000104    0.000104    0.000104
    3.769895   20.413102   20.413102   20.413102    0.000072    0.000072    0.000072
    3.805127   19.679424   19.679424   19.679424    0.000062    0.000062    0.000062
    3.840360   19.008789   19.008789   19.008789    0.000072    0.000072    0.000072
    3.875593   18.464348   18.464348   18.464348    0.000101    0.000101    0.000101
    3.910825   18.073363   18.073363   18.073363    0.000141    0.000141    0.000141
    3.946058   17.825134   17.825134   17.825134    0.000186    0.000186    0.000186
    3.981291   17.680940   17.680940   17.680940    0.000229    0.000229    0.000229
    4.016523   17.591601   17.591601   17.591601    0.000265    0.000265    0.000265
    4.051756   17.516291   17.516291   17.516291    0.000292    0.000292    0.000292
    4.086989   17.435887   17.435887   17.435887    0.000314    0.000314    0.000314
    4.122221   17.356759   17.356759   17.356759    0.000336    0.000336    0.000336
    4.157454   17.304590   17.304590   17.304590    0.000364    0.000364    0.000364
    4.192687   17.311412   17.311412   17.311412    0.000403    0.000403    0.000403
    4.227919   17.401153   17.401153   17.401153    0.000451    0.000451    0.000451
    4.263152   17.579236   17.579236   17.579236    0.000503    0.000503    0.000503
    4.298385   17.828855   17.828855   17.828855    0.000550    0.000550    0.000550
    4.333617   18.114734   18.114734   18.114734    0.000585    0.000585    0.000585
    4.368850   18.391810   18.391810   18.391810    0.000602    0.000602    0.000602
    4.404083   18.615785   18.615785   18.615785    0.000600    0.000600    0.000600
    4.439315   18.752862   18.752862   18.752862    0.000583    0.000583    0.000583
    4.474548   18.786659   18.786659   18.786659    0.000553    0.000553    0.000553
    4.509780   18.721738   18.721738   18.721738    0.000518    0.000518    0.000518
    4.545013   18.583318   18.583318   18.583318    0.000484    0.000484    0.000484
    4.580246   18.413287   18.413287   18.413287    0.000459    0.000459    0.000459
    4.615478   18.263096   18.263096   18.263096    0.000448    0.000448    0.000448
    4.650711   18.184775   18.184775   18.184775    0.000457    0.000457    0.000457
    4.685944   18.221922   18.221922   18.221922    0.000490    0.000490    0.000490
    4.721176   18.402883   18.402883   18.402883    0.000548    0.000548    0.000548
    4.756409   18.737473   18.737473   18.737473    0.000627    0.000627    0.000627
    4.791642   19.217481   19.217481   19.217481    0.000723    0.000723    0.000723
    4.826874   19.820169   19.820169   19.820169    0.000828    0.000828    0.000828
    4.862107   20.513185   20.513185   20.513185    0.000932    0.000932    0.000932
    4.897340   21.259994   21.259994   21.259994    0.001026    0.001026    0.001026
    4.932572   22.024649   22.024649   22.024649    0.001097    0.001097    0.001097
    4.967805   22.775953   22.775953   22.775953    0.001137    0.001137    0.001137
    5.003038   23.490334   23.490334   23.490334    0.001139    0.001139    0.001139
    5.038270   24.152917   24.152917   24.152917    0.001102    0.001102    0.001102
    5.073503   24.756183   24.756183   24.756183    0.001029    0.001029    0.001029
    5.108736   25.295988   25.295988   25.295988    0.000925    0.000925    0.000925
    5.143968   25.765601   25.765601   25.765601    0.000797    0.000797    0.000797
    5.179201   26.150057   26.150057   26.150057    0.000645    0.000645    0.000645
    5.214434   26.423286   26.423286   26.423286    0.000471    0.000471    0.000471
    5.249666   26.550102   26.550102   26.550102    0.000275    0.000275    0.000275
    5.284899   26.493382   26.493382   26.493382    0.000063    0.000063    0.000063
    5.320132   26.224331   26.224331   26.224331   -0.000154   -0.000154   -0.000154
    5.355364   25.732214   25.732214   25.732214   -0.000361   -0.000361   -0.000361
    5.390597   25.029741   25.029741   25.029741   -0.000540   -0.000540   -0.000540
    5.425830   24.152509   24.152509   24.152509   -0.000679   -0.000679   -0.000679
    5.461062   23.152633   23.152633   23.152633   -0.000773   -0.000773   -0.000773
    5.496295   22.089279   22.089279   22.089279   -0.000824   -0.000824   -0.000824
    5.531528   21.019229   21.019229   21.019229   -0.000838   -0.000838   -0.000838
    5.566760   19.989849   19.989849   19.989849   -0.000826   -0.000826   -0.000826
    5.601993   19.035809   19.035809   19.035809   -0.000795   -0.000795   -0.000795
    5.637226   18.178801   18.178801   18.178801   -0.000748   -0.000748   -0.000748
    5.672458   17.429318   17.429318   17.429318   -0.000686   -0.000686   -0.000686
    5.707691   16.789117   16.789117   16.789117   -0.000611   -0.000611   -0.000611
    5.742924   16.252885   16.252885   16.252885   -0.000526   -0.000526   -0.000526
    5.778156   15.809029   15.809029   15.809029   -0.000439   -0.000439   -0.000439
    5.813389   15.439313   15.439313   15.439313   -0.000362   -0.000362   -0.000362
    5.848622   15.118734   15.118734   15.118734   -0.000305   -0.000305   -0.000305
    5.883854   14.817005   14.817005   14.817005   -0.000278   -0.000278   -0.000278
    5.919087   14.502371   14.502371   14.502371   -0.000285   -0.000285   -0.000285
    5.954320   14.147685   14.147685   14.147685   -0.000319   -0.000319   -0.000319
    5.989552   13.736801   13.736801   13.736801   -0.000370   -0.000370   -0.000370
    6.024785   13.268614   13.268614   13.268614   -0.000424   -0.000424   -0.000424
    6.060018   12.756636   12.756636   12.756636   -0.000468   -0.000468   -0.000468
    6.095250   12.223777   12.223777   12.223777   -0.000495   -0.000495   -0.000495
    6.130483   11.694297   11.694297   11.694297   -0.000507   -0.000507   -0.000507
    6.165716   11.186321   11.186321   11.186321   -0.000508   -0.000508   -0.000508
    6.200948   10.708007   10.708007   10.708007   -0.000504   -0.000504   -0.000504
    6.236181   10.258712   10.258712   10.258712   -0.000501   -0.000501   -0.000501
    6.271413    9.833932    9.833932    9.833932   -0.000498   -0.000498   -0.000498
    6.306646    9.431354    9.431354    9.431354   -0.000490   -0.000490   -0.000490
    6.341879    9.054839    9.054839    9.054839   -0.000472   -0.000472   -0.000472
    6.377111    8.714714    8.714714    8.714714   -0.000440   -0.000440   -0.000440
    6.412344    8.424230    8.424230    8.424230   -0.000393   -0.000393   -0.000393
    6.447577    8.194056    8.194056    8.194056   -0.000335   -0.000335   -0.000335
    6.482809    8.027105    8.027105    8.027105   -0.000271   -0.000271   -0.000271
    6.518042    7.915856    7.915856    7.915856   -0.000210   -0.000210   -0.000210
    6.553275    7.843064    7.843064    7.843064   -0.000160   -0.000160   -0.000160
    6.588507    7.785610    7.785610    7.785610   -0.000129   -0.000129   -0.000129
    6.623740    7.719961    7.719961    7.719961   -0.000120   -0.000120   -0.000120
    6.658973    7.627567    7.627567    7.627567   -0.000137   -0.000137   -0.000137
    6.694205    7.498513    7.498513    7.498513   -0.000180   -0.000180   -0.000180
    6.729438    7.332844    7.332844    7.332844   -0.000244   -0.000244   -0.000244
    6.764671    7.139521    7.139521    7.139521   -0.000324   -0.000324   -0.000324
    6.799903    6.933688    6.933688    6.933688   -0.000410   -0.000410   -0.000410
    6.835136    6.732990    6.732990    6.732990   -0.000493   -0.000493   -0.000493
    6.870369    6.553579    6.553579    6.553579   -0.000563   -0.000563   -0.000563
    6.905601    6.406457    6.406457    6.406457   -0.000614   -0.000614   -0.000614
    6.940834    6.294765    6.294765    6.294765   -0.000641   -0.000641   -0.000641
