#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000   58.688639   58.688639   58.688639    0.004386    0.004386    0.004386
    0.035233   58.852882   58.852882   58.852882    0.004410    0.004410    0.004410
    0.070465   59.317687   59.317687   59.317687    0.004477    0.004477    0.004477
    0.105698   59.997656   59.997656   59.997656    0.004571    0.004571    0.004571
    0.140931   60.749690   60.749690   60.749690    0.004669    0.004669    0.004669
    0.176163   61.381339   61.381339   61.381339    0.004738    0.004738    0.004738
    0.211396   61.677132   61.677132   61.677132    0.004741    0.004741    0.004741
    0.246629   61.444401   61.444401   61.444401    0.004644    0.004644    0.004644
    0.281861   60.570744   60.570744   60.570744    0.004427    0.004427    0.004427
    0.317094   59.074628   59.074628   59.074628    0.004092    0.004092    0.004092
    0.352327   57.126082   57.126082   57.126082    0.003667    0.003667    0.003667
    0.387559   55.021979   55.021979   55.021979    0.003203    0.003203    0.003203
    0.422792   53.114586   53.114586   53.114586    0.002766    0.002766    0.002766
    0.458025   51.711616   51.711616   51.711616    0.002415    0.002415    0.002415
    0.493257   50.977856   50.977856   50.977856    0.002191    0.002191    0.002191
    0.528490   50.869967   50.869967   50.869967    0.002099    0.002099    0.002099
    0.563723   51.125780   51.125780   51.125780    0.002108    0.002108    0.002108
    0.598955   51.313279   51.313279   51.313279    0.002155    0.002155    0.002155
    0.634188   50.928150   50.928150   50.928150    0.002162    0.002162    0.002162
    0.669421   49.517887   49.517887   49.517887    0.002053    0.002053    0.002053
    0.704653   46.802802   46.802802   46.802802    0.001781    0.001781    0.001781
    0.739886   42.763383   42.763383   42.763383    0.001338    0.001338    0.001338
    0.775119   37.668437   37.668437   37.668437    0.000762    0.000762    0.000762
    0.810351   32.030281   32.030281   32.030281    0.000123    0.000123    0.000123
    0.845584   26.495389   26.495389   26.495389   -0.000489   -0.000489   -0.000489
    0.880817   21.698877   21.698877   21.698877   -0.000987   -0.000987   -0.000987
    0.916049   18.126469   18.126469   18.126469   -0.001308   -0.001308   -0.001308
    0.951282   16.023667   16.023667   16.023667   -0.001421   -0.001421   -0.001421
    0.986514   15.375406   15.375406   15.375406   -0.001330   -0.001330   -0.001330
    1.021747   15.952487   15.952487   15.952487   -0.001071   -0.001071   -0.001071
    1.056980   17.399900   17.399900   17.399900   -0.000706   -0.000706   -0.000706
    1.092212   19.332176   19.332176   19.332176   -0.000311   -0.000311   -0.000311
    1.127445   21.406911   21.406911   21.406911    0.000033    0.000033    0.000033
    1.162678   23.362661   23.362661   23.362661    0.000257    0.000257    0.000257
    1.197910   25.023316   25.023316   25.023316    0.000319    0.000319    0.000319
    1.233143   26.282928   26.282928   26.282928    0.000210    0.000210    0.000210
    1.268376   27.085817   27.085817   27.085817   -0.000036   -0.000036   -0.000036
    1.303608   27.413117   27.413117   27.413117   -0.000356   -0.000356   -0.000356
    1.338841   27.277057   27.277057   27.277057   -0.000674   -0.000674   -0.000674
    1.374074   26.720002   26.720002   26.720002   -0.000921   -0.000921   -0.000921
    1.409306   25.811245   25.811245   25.811245   -0.001054   -0.001054   -0.001054
    1.444539   24.639416   24.639416   24.639416   -0.001065   -0.001065   -0.001065
    1.479772   23.300431   23.300431   23.300431   -0.000978   -0.000978   -0.000978
    1.515004   21.885911   21.885911   21.885911   -0.000838   -0.000838   -0.000838
    1.550237   20.475456   20.475456   20.475456   -0.000695   -0.000695   -0.000695
    1.585470   19.134823   19.134823   19.134823   -0.000587   -0.000587   -0.000587
    1.620702   17.918499   17.918499   17.918499   -0.000538   -0.000538   -0.000538
    1.655935   16.874007   16.874007   16.874007   -0.000554   -0.000554   -0.000554
    1.691168   16.044623   16.044623   16.044623   -0.000629   -0.000629   -0.000629
    1.726400   15.468540   15.468540   15.468540   -0.000748   -0.000748   -0.000748
    1.761633   15.173569   15.173569   15.173569   -0.000891   -0.000891   -0.000891
    1.796866   15.168566   15.168566   15.168566   -0.001034   -0.001034   -0.001034
    1.832098   15.433781   15.433781   15.433781   -0.001146   -0.001146   -0.001146
    1.867331   15.914221   15.914221   15.914221   -0.001198   -0.001198   -0.001198
    1.902564   16.519632   16.519632   16.519632   -0.001161   -0.001161   -0.001161
    1.937796   17.133973   17.133973   17.133973   -0.001022   -0.001022   -0.001022
    1.973029   17.634296   17.634296   17.634296   -0.000786   -0.000786   -0.000786
    2.008262   17.915462   17.915462   17.915462   -0.000484   -0.000484   -0.000484
    2.043494   17.914485   17.914485   17.914485   -0.000169   -0.000169   -0.000169
    2.078727   17.626700   17.626700   17.626700    0.000098    0.000098    0.000098
    2.113960   17.107830   17.107830   17.107830    0.000259    0.000259    0.000259
    2.149192   16.459321   16.459321   16.459321    0.000278    0.000278    0.000278
    2.184425   15.800204   15.800204   15.800204    0.000150    0.000150    0.000150
    2.219658   15.233268   15.233268   15.233268   -0.000099   -0.000099   -0.000099
    2.254890   14.815730   14.815730   14.815730   -0.000417   -0.000417   -0.000417
    2.290123   14.543897   14.543897   14.543897   -0.000744   -0.000744   -0.000744
    2.325356   14.356886   14.356886   14.356886   -0.001023   -0.001023   -0.001023
    2.360588   14.158212   14.158212   14.158212   -0.001216   -0.001216   -0.001216
    2.395821   13.848310   13.848310   13.848310   -0.001307   -0.001307   -0.001307
    2.431054   13.357359   13.357359   13.357359   -0.001302   -0.001302   -0.001302
    2.466286   12.668390   12.668390   12.668390   -0.001217   -0.001217   -0.001217
