  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.59147750E+00  0.59147750E+00  0.59147750E+00  0.76665363E+00  0.76665363E+00  0.76665363E+00
  0.35200000E-01  0.59194554E+00  0.59194554E+00  0.59194554E+00  0.76664056E+00  0.76664056E+00  0.76664056E+00
  0.70500000E-01  0.59328457E+00  0.59328457E+00  0.59328457E+00  0.76423502E+00  0.76423502E+00  0.76423502E+00
  0.10570000E+00  0.59530709E+00  0.59530709E+00  0.59530709E+00  0.76177225E+00  0.76177225E+00  0.76177225E+00
  0.14090000E+00  0.59772446E+00  0.59772446E+00  0.59772446E+00  0.75908876E+00  0.75908876E+00  0.75908876E+00
  0.17620000E+00  0.60018363E+00  0.60018363E+00  0.60018363E+00  0.75843781E+00  0.75843781E+00  0.75843781E+00
  0.21140000E+00  0.60231280E+00  0.60231280E+00  0.60231280E+00  0.75693719E+00  0.75693719E+00  0.75693719E+00
  0.24660000E+00  0.60376699E+00  0.60376699E+00  0.60376699E+00  0.75748907E+00  0.75748907E+00  0.75748907E+00
  0.28190000E+00  0.60426982E+00  0.60426982E+00  0.60426982E+00  0.75922850E+00  0.75922850E+00  0.75922850E+00
  0.31710000E+00  0.60365728E+00  0.60365728E+00  0.60365728E+00  0.76305421E+00  0.76305421E+00  0.76305421E+00
  0.35230000E+00  0.60193000E+00  0.60193000E+00  0.60193000E+00  0.76920957E+00  0.76920957E+00  0.76920957E+00
  0.38760000E+00  0.59932427E+00  0.59932427E+00  0.59932427E+00  0.77888076E+00  0.77888076E+00  0.77888076E+00
  0.42280000E+00  0.59637626E+00  0.59637626E+00  0.59637626E+00  0.78749786E+00  0.78749786E+00  0.78749786E+00
  0.45800000E+00  0.59390349E+00  0.59390349E+00  0.59390349E+00  0.79745174E+00  0.79745174E+00  0.79745174E+00
  0.49330000E+00  0.59281184E+00  0.59281184E+00  0.59281184E+00  0.80319621E+00  0.80319621E+00  0.80319621E+00
  0.52850000E+00  0.59373423E+00  0.59373423E+00  0.59373423E+00  0.80675343E+00  0.80675343E+00  0.80675343E+00
  0.56370000E+00  0.59672337E+00  0.59672337E+00  0.59672337E+00  0.80797867E+00  0.80797867E+00  0.80797867E+00
  0.59900000E+00  0.60124726E+00  0.60124726E+00  0.60124726E+00  0.80438576E+00  0.80438576E+00  0.80438576E+00
  0.63420000E+00  0.60646210E+00  0.60646210E+00  0.60646210E+00  0.80200374E+00  0.80200374E+00  0.80200374E+00
  0.66940000E+00  0.61150975E+00  0.61150975E+00  0.61150975E+00  0.80060379E+00  0.80060379E+00  0.80060379E+00
  0.70470000E+00  0.61566217E+00  0.61566217E+00  0.61566217E+00  0.80190043E+00  0.80190043E+00  0.80190043E+00
  0.73990000E+00  0.61831727E+00  0.61831727E+00  0.61831727E+00  0.80787430E+00  0.80787430E+00  0.80787430E+00
  0.77510000E+00  0.61892448E+00  0.61892448E+00  0.61892448E+00  0.81606852E+00  0.81606852E+00  0.81606852E+00
  0.81040000E+00  0.61689502E+00  0.61689502E+00  0.61689502E+00  0.82912514E+00  0.82912514E+00  0.82912514E+00
  0.84560000E+00  0.61153253E+00  0.61153253E+00  0.61153253E+00  0.84552949E+00  0.84552949E+00  0.84552949E+00
  0.88080000E+00  0.60202611E+00  0.60202611E+00  0.60202611E+00  0.86271465E+00  0.86271465E+00  0.86271465E+00
  0.91600000E+00  0.58760187E+00  0.58760187E+00  0.58760187E+00  0.88225052E+00  0.88225052E+00  0.88225052E+00
  0.95130000E+00  0.56801394E+00  0.56801394E+00  0.56801394E+00  0.90048772E+00  0.90048772E+00  0.90048772E+00
  0.98650000E+00  0.54453287E+00  0.54453287E+00  0.54453287E+00  0.91448551E+00  0.91448551E+00  0.91448551E+00
  0.10217000E+01  0.52094003E+00  0.52094003E+00  0.52094003E+00  0.92896621E+00  0.92896621E+00  0.92896621E+00
  0.10570000E+01  0.50270698E+00  0.50270698E+00  0.50270698E+00  0.93291536E+00  0.93291536E+00  0.93291536E+00
  0.10922000E+01  0.49354604E+00  0.49354604E+00  0.49354604E+00  0.92133036E+00  0.92133036E+00  0.92133036E+00
  0.11274000E+01  0.49301679E+00  0.49301679E+00  0.49301679E+00  0.90670297E+00  0.90670297E+00  0.90670297E+00
  0.11627000E+01  0.49809968E+00  0.49809968E+00  0.49809968E+00  0.88898812E+00  0.88898812E+00  0.88898812E+00
  0.11979000E+01  0.50579978E+00  0.50579978E+00  0.50579978E+00  0.88049488E+00  0.88049488E+00  0.88049488E+00
  0.12331000E+01  0.51417311E+00  0.51417311E+00  0.51417311E+00  0.87555796E+00  0.87555796E+00  0.87555796E+00
  0.12684000E+01  0.52218579E+00  0.52218579E+00  0.52218579E+00  0.87584375E+00  0.87584375E+00  0.87584375E+00
  0.13036000E+01  0.52933613E+00  0.52933613E+00  0.52933613E+00  0.88596876E+00  0.88596876E+00  0.88596876E+00
  0.13388000E+01  0.53538758E+00  0.53538758E+00  0.53538758E+00  0.89591723E+00  0.89591723E+00  0.89591723E+00
  0.13741000E+01  0.54022953E+00  0.54022953E+00  0.54022953E+00  0.90669500E+00  0.90669500E+00  0.90669500E+00
  0.14093000E+01  0.54382037E+00  0.54382037E+00  0.54382037E+00  0.91769056E+00  0.91769056E+00  0.91769056E+00
  0.14445000E+01  0.54615857E+00  0.54615857E+00  0.54615857E+00  0.92896621E+00  0.92896621E+00  0.92896621E+00
  0.14798000E+01  0.54726957E+00  0.54726957E+00  0.54726957E+00  0.93521798E+00  0.93521798E+00  0.93521798E+00
  0.15150000E+01  0.54719191E+00  0.54719191E+00  0.54719191E+00  0.93993124E+00  0.93993124E+00  0.93993124E+00
  0.15502000E+01  0.54596213E+00  0.54596213E+00  0.54596213E+00  0.93755266E+00  0.93755266E+00  0.93755266E+00
  0.15855000E+01  0.54360111E+00  0.54360111E+00  0.54360111E+00  0.93496268E+00  0.93496268E+00  0.93496268E+00
  0.16207000E+01  0.54011778E+00  0.54011778E+00  0.54011778E+00  0.92753909E+00  0.92753909E+00  0.92753909E+00
  0.16559000E+01  0.53552311E+00  0.53552311E+00  0.53552311E+00  0.93032809E+00  0.93032809E+00  0.93032809E+00
  0.16912000E+01  0.52987688E+00  0.52987688E+00  0.52987688E+00  0.92592545E+00  0.92592545E+00  0.92592545E+00
  0.17264000E+01  0.52336147E+00  0.52336147E+00  0.52336147E+00  0.92849805E+00  0.92849805E+00  0.92849805E+00
  0.17616000E+01  0.51636651E+00  0.51636651E+00  0.51636651E+00  0.93313455E+00  0.93313455E+00  0.93313455E+00
  0.17969000E+01  0.50954509E+00  0.50954509E+00  0.50954509E+00  0.93958190E+00  0.93958190E+00  0.93958190E+00
  0.18321000E+01  0.50376879E+00  0.50376879E+00  0.50376879E+00  0.95062523E+00  0.95062523E+00  0.95062523E+00
  0.18673000E+01  0.49991167E+00  0.49991167E+00  0.49991167E+00  0.96693887E+00  0.96693887E+00  0.96693887E+00
  0.19026000E+01  0.49853410E+00  0.49853410E+00  0.49853410E+00  0.97749696E+00  0.97749696E+00  0.97749696E+00
  0.19378000E+01  0.49965229E+00  0.49965229E+00  0.49965229E+00  0.99370951E+00  0.99370951E+00  0.99370951E+00
  0.19730000E+01  0.50274680E+00  0.50274680E+00  0.50274680E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.20083000E+01  0.50698455E+00  0.50698455E+00  0.50698455E+00  0.99114361E+00  0.99114361E+00  0.99114361E+00
  0.20435000E+01  0.51148585E+00  0.51148585E+00  0.51148585E+00  0.98635438E+00  0.98635438E+00  0.98635438E+00
  0.20787000E+01  0.51550100E+00  0.51550100E+00  0.51550100E+00  0.95700351E+00  0.95700351E+00  0.95700351E+00
  0.21140000E+01  0.51850136E+00  0.51850136E+00  0.51850136E+00  0.92311389E+00  0.92311389E+00  0.92311389E+00
  0.21492000E+01  0.52021589E+00  0.52021589E+00  0.52021589E+00  0.91196795E+00  0.91196795E+00  0.91196795E+00
  0.21844000E+01  0.52065272E+00  0.52065272E+00  0.52065272E+00  0.91028686E+00  0.91028686E+00  0.91028686E+00
  0.22197000E+01  0.52011258E+00  0.52011258E+00  0.52011258E+00  0.91033602E+00  0.91033602E+00  0.91033602E+00
  0.22549000E+01  0.51915365E+00  0.51915365E+00  0.51915365E+00  0.91614630E+00  0.91614630E+00  0.91614630E+00
  0.22901000E+01  0.51845133E+00  0.51845133E+00  0.51845133E+00  0.92428039E+00  0.92428039E+00  0.92428039E+00
  0.23254000E+01  0.51857771E+00  0.51857771E+00  0.51857771E+00  0.93958190E+00  0.93958190E+00  0.93958190E+00
  0.23606000E+01  0.51977914E+00  0.51977914E+00  0.51977914E+00  0.95225142E+00  0.95225142E+00  0.95225142E+00
  0.23958000E+01  0.52189936E+00  0.52189936E+00  0.52189936E+00  0.96809434E+00  0.96809434E+00  0.96809434E+00
  0.24311000E+01  0.52446260E+00  0.52446260E+00  0.52446260E+00  0.98362448E+00  0.98362448E+00  0.98362448E+00
  0.24663000E+01  0.52684274E+00  0.52684274E+00  0.52684274E+00  0.99425498E+00  0.99425498E+00  0.99425498E+00
  0.25015000E+01  0.52841915E+00  0.52841915E+00  0.52841915E+00  0.99400068E+00  0.99400068E+00  0.99400068E+00
  0.25368000E+01  0.52868012E+00  0.52868012E+00  0.52868012E+00  0.98684653E+00  0.98684653E+00  0.98684653E+00
  0.25720000E+01  0.52729922E+00  0.52729922E+00  0.52729922E+00  0.98607464E+00  0.98607464E+00  0.98607464E+00
  0.26072000E+01  0.52420679E+00  0.52420679E+00  0.52420679E+00  0.97649295E+00  0.97649295E+00  0.97649295E+00
  0.26424000E+01  0.51966721E+00  0.51966721E+00  0.51966721E+00  0.98260833E+00  0.98260833E+00  0.98260833E+00
  0.26777000E+01  0.51430978E+00  0.51430978E+00  0.51430978E+00  0.98076083E+00  0.98076083E+00  0.98076083E+00
  0.27129000E+01  0.50903664E+00  0.50903664E+00  0.50903664E+00  0.98076083E+00  0.98076083E+00  0.98076083E+00
  0.27481000E+01  0.50475800E+00  0.50475800E+00  0.50475800E+00  0.97823732E+00  0.97823732E+00  0.97823732E+00
  0.27834000E+01  0.50205915E+00  0.50205915E+00  0.50205915E+00  0.97823732E+00  0.97823732E+00  0.97823732E+00
  0.28186000E+01  0.50099321E+00  0.50099321E+00  0.50099321E+00  0.96480428E+00  0.96480428E+00  0.96480428E+00
  0.28538000E+01  0.50112573E+00  0.50112573E+00  0.50112573E+00  0.95926878E+00  0.95926878E+00  0.95926878E+00
  0.28891000E+01  0.50176221E+00  0.50176221E+00  0.50176221E+00  0.95219551E+00  0.95219551E+00  0.95219551E+00
  0.29243000E+01  0.50218946E+00  0.50218946E+00  0.50218946E+00  0.95039234E+00  0.95039234E+00  0.95039234E+00
  0.29595000E+01  0.50184991E+00  0.50184991E+00  0.50184991E+00  0.95700351E+00  0.95700351E+00  0.95700351E+00
  0.29948000E+01  0.50044385E+00  0.50044385E+00  0.50044385E+00  0.94499815E+00  0.94499815E+00  0.94499815E+00
  0.30300000E+01  0.49798599E+00  0.49798599E+00  0.49798599E+00  0.94499815E+00  0.94499815E+00  0.94499815E+00
  0.30652000E+01  0.49481072E+00  0.49481072E+00  0.49481072E+00  0.94344492E+00  0.94344492E+00  0.94344492E+00
  0.31005000E+01  0.49150871E+00  0.49150871E+00  0.49150871E+00  0.94344492E+00  0.94344492E+00  0.94344492E+00
  0.31357000E+01  0.48877640E+00  0.48877640E+00  0.48877640E+00  0.93973873E+00  0.93973873E+00  0.93973873E+00
  0.31709000E+01  0.48720758E+00  0.48720758E+00  0.48720758E+00  0.93973873E+00  0.93973873E+00  0.93973873E+00
  0.32062000E+01  0.48710455E+00  0.48710455E+00  0.48710455E+00  0.93522621E+00  0.93522621E+00  0.93522621E+00
  0.32414000E+01  0.48842684E+00  0.48842684E+00  0.48842684E+00  0.93522621E+00  0.93522621E+00  0.93522621E+00
  0.32766000E+01  0.49086594E+00  0.49086594E+00  0.49086594E+00  0.93799105E+00  0.93799105E+00  0.93799105E+00
  0.33119000E+01  0.49399375E+00  0.49399375E+00  0.49399375E+00  0.93799105E+00  0.93799105E+00  0.93799105E+00
  0.33471000E+01  0.49740947E+00  0.49740947E+00  0.49740947E+00  0.93872284E+00  0.93872284E+00  0.93872284E+00
  0.33823000E+01  0.50083861E+00  0.50083861E+00  0.50083861E+00  0.93872284E+00  0.93872284E+00  0.93872284E+00
  0.34176000E+01  0.50417429E+00  0.50417429E+00  0.50417429E+00  0.94435712E+00  0.94435712E+00  0.94435712E+00
  0.34528000E+01  0.50744700E+00  0.50744700E+00  0.50744700E+00  0.94435712E+00  0.94435712E+00  0.94435712E+00
  0.34880000E+01  0.51075710E+00  0.51075710E+00  0.51075710E+00  0.94930662E+00  0.94930662E+00  0.94930662E+00
  0.35233000E+01  0.51416524E+00  0.51416524E+00  0.51416524E+00  0.95651493E+00  0.95651493E+00  0.95651493E+00
  0.35585000E+01  0.51760483E+00  0.51760483E+00  0.51760483E+00  0.96080353E+00  0.96080353E+00  0.96080353E+00
  0.35937000E+01  0.52083366E+00  0.52083366E+00  0.52083366E+00  0.96897275E+00  0.96897275E+00  0.96897275E+00
  0.36290000E+01  0.52345577E+00  0.52345577E+00  0.52345577E+00  0.96897275E+00  0.96897275E+00  0.96897275E+00
  0.36642000E+01  0.52498858E+00  0.52498858E+00  0.52498858E+00  0.97823732E+00  0.97823732E+00  0.97823732E+00
  0.36994000E+01  0.52495329E+00  0.52495329E+00  0.52495329E+00  0.97823732E+00  0.97823732E+00  0.97823732E+00
  0.37347000E+01  0.52299314E+00  0.52299314E+00  0.52299314E+00  0.98635438E+00  0.98635438E+00  0.98635438E+00
  0.37699000E+01  0.51900323E+00  0.51900323E+00  0.51900323E+00  0.98635438E+00  0.98635438E+00  0.98635438E+00
  0.38051000E+01  0.51326217E+00  0.51326217E+00  0.51326217E+00  0.98196312E+00  0.98196312E+00  0.98196312E+00
  0.38404000E+01  0.50647142E+00  0.50647142E+00  0.50647142E+00  0.97211290E+00  0.97211290E+00  0.97211290E+00
  0.38756000E+01  0.49961699E+00  0.49961699E+00  0.49961699E+00  0.97211290E+00  0.97211290E+00  0.97211290E+00
  0.39108000E+01  0.49364464E+00  0.49364464E+00  0.49364464E+00  0.95700351E+00  0.95700351E+00  0.95700351E+00
  0.39461000E+01  0.48909191E+00  0.48909191E+00  0.48909191E+00  0.95039234E+00  0.95039234E+00  0.95039234E+00
  0.39813000E+01  0.48595494E+00  0.48595494E+00  0.48595494E+00  0.95039234E+00  0.95039234E+00  0.95039234E+00
  0.40165000E+01  0.48381296E+00  0.48381296E+00  0.48381296E+00  0.94393084E+00  0.94393084E+00  0.94393084E+00
  0.40518000E+01  0.48211379E+00  0.48211379E+00  0.48211379E+00  0.94393084E+00  0.94393084E+00  0.94393084E+00
  0.40870000E+01  0.48044518E+00  0.48044518E+00  0.48044518E+00  0.94393084E+00  0.94393084E+00  0.94393084E+00
  0.41222000E+01  0.47868883E+00  0.47868883E+00  0.47868883E+00  0.94393084E+00  0.94393084E+00  0.94393084E+00
  0.41575000E+01  0.47705140E+00  0.47705140E+00  0.47705140E+00  0.93799105E+00  0.93799105E+00  0.93799105E+00
  0.41927000E+01  0.47595659E+00  0.47595659E+00  0.47595659E+00  0.93799105E+00  0.93799105E+00  0.93799105E+00
  0.42279000E+01  0.47583958E+00  0.47583958E+00  0.47583958E+00  0.93253913E+00  0.93253913E+00  0.93253913E+00
  0.42632000E+01  0.47694180E+00  0.47694180E+00  0.47694180E+00  0.93253913E+00  0.93253913E+00  0.93253913E+00
  0.42984000E+01  0.47921149E+00  0.47921149E+00  0.47921149E+00  0.93307642E+00  0.93307642E+00  0.93307642E+00
  0.43336000E+01  0.48232522E+00  0.48232522E+00  0.48232522E+00  0.93307642E+00  0.93307642E+00  0.93307642E+00
  0.43688000E+01  0.48580772E+00  0.48580772E+00  0.48580772E+00  0.93823985E+00  0.93823985E+00  0.93823985E+00
  0.44041000E+01  0.48914488E+00  0.48914488E+00  0.48914488E+00  0.93823985E+00  0.93823985E+00  0.93823985E+00
  0.44393000E+01  0.49187344E+00  0.49187344E+00  0.49187344E+00  0.94289675E+00  0.94289675E+00  0.94289675E+00
  0.44745000E+01  0.49363326E+00  0.49363326E+00  0.49363326E+00  0.94289675E+00  0.94289675E+00  0.94289675E+00
  0.45098000E+01  0.49420912E+00  0.49420912E+00  0.49420912E+00  0.94930662E+00  0.94930662E+00  0.94930662E+00
  0.45450000E+01  0.49357857E+00  0.49357857E+00  0.49357857E+00  0.94930662E+00  0.94930662E+00  0.94930662E+00
  0.45802000E+01  0.49194520E+00  0.49194520E+00  0.49194520E+00  0.94930662E+00  0.94930662E+00  0.94930662E+00
  0.46155000E+01  0.48976549E+00  0.48976549E+00  0.48976549E+00  0.95651493E+00  0.95651493E+00  0.95651493E+00
  0.46507000E+01  0.48769533E+00  0.48769533E+00  0.48769533E+00  0.94435712E+00  0.94435712E+00  0.94435712E+00
  0.46859000E+01  0.48645731E+00  0.48645731E+00  0.48645731E+00  0.94435712E+00  0.94435712E+00  0.94435712E+00
  0.47212000E+01  0.48665713E+00  0.48665713E+00  0.48665713E+00  0.93872284E+00  0.93872284E+00  0.93872284E+00
  0.47564000E+01  0.48862792E+00  0.48862792E+00  0.48862792E+00  0.93307642E+00  0.93307642E+00  0.93307642E+00
  0.47916000E+01  0.49239369E+00  0.49239369E+00  0.49239369E+00  0.92791450E+00  0.92791450E+00  0.92791450E+00
  0.48269000E+01  0.49773304E+00  0.49773304E+00  0.49773304E+00  0.92761363E+00  0.92761363E+00  0.92761363E+00
