  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.76608485E+01  0.76608485E+01  0.76608485E+01  0.66332496E-01  0.66332496E-01  0.66332496E-01
  0.35200000E-01  0.76717981E+01  0.76717981E+01  0.76717981E+01  0.66336778E-01  0.66336778E-01  0.66336778E-01
  0.70500000E-01  0.77028873E+01  0.77028873E+01  0.77028873E+01  0.67119255E-01  0.67119255E-01  0.67119255E-01
  0.10570000E+00  0.77488748E+01  0.77488748E+01  0.77488748E+01  0.67923097E-01  0.67923097E-01  0.67923097E-01
  0.14090000E+00  0.78012245E+01  0.78012245E+01  0.78012245E+01  0.68802613E-01  0.68802613E-01  0.68802613E-01
  0.17620000E+00  0.78488182E+01  0.78488182E+01  0.78488182E+01  0.69018140E-01  0.69018140E-01  0.69018140E-01
  0.21140000E+00  0.78794276E+01  0.78794276E+01  0.78794276E+01  0.69515742E-01  0.69515742E-01  0.69515742E-01
  0.24660000E+00  0.78819101E+01  0.78819101E+01  0.78819101E+01  0.69339651E-01  0.69339651E-01  0.69339651E-01
  0.28190000E+00  0.78488275E+01  0.78488275E+01  0.78488275E+01  0.68777294E-01  0.68777294E-01  0.68777294E-01
  0.31710000E+00  0.77789449E+01  0.77789449E+01  0.77789449E+01  0.67534998E-01  0.67534998E-01  0.67534998E-01
  0.35230000E+00  0.76788379E+01  0.76788379E+01  0.76788379E+01  0.65543230E-01  0.65543230E-01  0.65543230E-01
  0.38760000E+00  0.75630231E+01  0.75630231E+01  0.75630231E+01  0.62436920E-01  0.62436920E-01  0.62436920E-01
  0.42280000E+00  0.74518607E+01  0.74518607E+01  0.74518607E+01  0.59698480E-01  0.59698480E-01  0.59698480E-01
  0.45800000E+00  0.73668267E+01  0.73668267E+01  0.73668267E+01  0.56568542E-01  0.56568542E-01  0.56568542E-01
  0.49330000E+00  0.73237686E+01  0.73237686E+01  0.73237686E+01  0.54778260E-01  0.54778260E-01  0.54778260E-01
  0.52850000E+00  0.73263529E+01  0.73263529E+01  0.73263529E+01  0.53674792E-01  0.53674792E-01  0.53674792E-01
  0.56370000E+00  0.73631865E+01  0.73631865E+01  0.73631865E+01  0.53294009E-01  0.53294009E-01  0.53294009E-01
  0.59900000E+00  0.74104108E+01  0.74104108E+01  0.74104108E+01  0.54406870E-01  0.54406870E-01  0.54406870E-01
  0.63420000E+00  0.74382719E+01  0.74382719E+01  0.74382719E+01  0.55151145E-01  0.55151145E-01  0.55151145E-01
  0.66940000E+00  0.74182888E+01  0.74182888E+01  0.74182888E+01  0.55595262E-01  0.55595262E-01  0.55595262E-01
  0.70470000E+00  0.73286634E+01  0.73286634E+01  0.73286634E+01  0.55205735E-01  0.55205735E-01  0.55205735E-01
