#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.042887   37.861575   37.861575   37.861575    0.000000    0.000000    0.000000
    0.085775   70.461203   70.461203   70.461203    0.000000    0.000000    0.000000
    0.128662   93.660158   93.660158   93.660158    0.000000    0.000000    0.000000
    0.171550  105.293024  105.293024  105.293024    0.000000    0.000000    0.000000
    0.214437  105.518087  105.518087  105.518087   -0.000000    0.000000    0.000000
    0.257325   96.558276   96.558276   96.558276   -0.000000    0.000000    0.000000
    0.300212   81.915120   81.915120   81.915120   -0.000000    0.000000    0.000000
    0.343100   65.330517   65.330517   65.330517   -0.000000    0.000000    0.000000
    0.385987   49.856983   49.856983   49.856983   -0.000000    0.000000    0.000000
    0.428875   37.327410   37.327410   37.327410   -0.000000    0.000000    0.000000
    0.471762   28.317988   28.317988   28.317988    0.000000    0.000000    0.000000
    0.514650   22.487001   22.487001   22.487001    0.000000    0.000000    0.000000
    0.557537   19.055193   19.055193   19.055193    0.000000    0.000000    0.000000
    0.600424   17.207134   17.207134   17.207134    0.000000    0.000000    0.000000
    0.643312   16.299757   16.299757   16.299757    0.000000    0.000000    0.000000
    0.686199   15.889590   15.889590   15.889590   -0.000000    0.000000    0.000000
    0.729087   15.664782   15.664782   15.664782   -0.000000    0.000000    0.000000
    0.771974   15.375978   15.375978   15.375978   -0.000000    0.000000    0.000000
    0.814862   14.818541   14.818541   14.818541   -0.000000    0.000000    0.000000
    0.857749   13.863803   13.863803   13.863803   -0.000000    0.000000    0.000000
    0.900637   12.500462   12.500462   12.500462   -0.000000    0.000000    0.000000
    0.943524   10.844044   10.844044   10.844044   -0.000000    0.000000    0.000000
    0.986412    9.096525    9.096525    9.096525    0.000000    0.000000    0.000000
    1.029299    7.472158    7.472158    7.472158    0.000000    0.000000    0.000000
    1.072186    6.125898    6.125898    6.125898    0.000000    0.000000    0.000000
