#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000  158.399888  158.399888  158.399888    0.000000    0.000000    0.000000
    0.042887  151.738475  151.738475  151.738475    0.000000    0.000000    0.000000
    0.085775  132.967220  132.967220  132.967220    0.000000    0.000000    0.000000
    0.128662  105.440532  105.440532  105.440532   -0.000000    0.000000    0.000000
    0.171550   73.861807   73.861807   73.861807   -0.000000   -0.000000    0.000000
    0.214437   43.174190   43.174190   43.174190   -0.000000   -0.000000   -0.000000
    0.257325   17.437299   17.437299   17.437299   -0.000000   -0.000000   -0.000000
    0.300212   -0.973263   -0.973263   -0.973263   -0.000000   -0.000000   -0.000000
    0.343100  -11.610249  -11.610249  -11.610249   -0.000000   -0.000000   -0.000000
    0.385987  -15.620194  -15.620194  -15.620194    0.000000   -0.000000   -0.000000
    0.428875  -15.031993  -15.031993  -15.031993    0.000000   -0.000000   -0.000000
    0.471762  -11.985673  -11.985673  -11.985673    0.000000   -0.000000   -0.000000
    0.514650   -8.178731   -8.178731   -8.178731    0.000000   -0.000000   -0.000000
    0.557537   -4.652082   -4.652082   -4.652082   -0.000000   -0.000000   -0.000000
    0.600424   -1.867055   -1.867055   -1.867055   -0.000000   -0.000000   -0.000000
    0.643312    0.076656    0.076656    0.076656   -0.000000   -0.000000   -0.000000
    0.686199    1.233711    1.233711    1.233711   -0.000000   -0.000000   -0.000000
    0.729087    1.700020    1.700020    1.700020   -0.000000   -0.000000   -0.000000
    0.771974    1.595059    1.595059    1.595059   -0.000000   -0.000000   -0.000000
    0.814862    1.088093    1.088093    1.088093   -0.000000   -0.000000   -0.000000
    0.857749    0.409796    0.409796    0.409796   -0.000000   -0.000000   -0.000000
    0.900637   -0.180649   -0.180649   -0.180649   -0.000000   -0.000000   -0.000000
    0.943524   -0.462743   -0.462743   -0.462743   -0.000000   -0.000000   -0.000000
    0.986412   -0.319142   -0.319142   -0.319142   -0.000000   -0.000000   -0.000000
    1.029299    0.238833    0.238833    0.238833   -0.000000   -0.000000   -0.000000
    1.072186    1.096917    1.096917    1.096917   -0.000000   -0.000000   -0.000000
    1.115074    2.097950    2.097950    2.097950   -0.000000   -0.000000   -0.000000
    1.157961    3.103707    3.103707    3.103707   -0.000000   -0.000000   -0.000000
    1.200849    4.031438    4.031438    4.031438   -0.000000   -0.000000   -0.000000
    1.243736    4.856960    4.856960    4.856960   -0.000000   -0.000000   -0.000000
    1.286624    5.594732    5.594732    5.594732   -0.000000   -0.000000   -0.000000
    1.329511    6.272607    6.272607    6.272607   -0.000000   -0.000000   -0.000000
