 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25100000E-01  0.14828231E+03  0.14828231E+03  0.14828231E+03  0.95248417E+02  0.95248417E+02  0.95248417E+02
  0.50200000E-01  0.61486334E+03  0.61486334E+03  0.61486334E+03  0.19085820E+03  0.19085820E+03  0.19085820E+03
  0.75300000E-01  0.14631133E+04  0.14631133E+04  0.14631133E+04  0.28717953E+03  0.28717953E+03  0.28717953E+03
  0.10040000E+00  0.27932460E+04  0.27932460E+04  0.27932460E+04  0.38659490E+03  0.38659490E+03  0.38659490E+03
  0.12550000E+00  0.47343165E+04  0.47343165E+04  0.47343165E+04  0.48978197E+03  0.48978197E+03  0.48978197E+03
  0.15060000E+00  0.74331388E+04  0.74331388E+04  0.74331388E+04  0.59747734E+03  0.59747734E+03  0.59747734E+03
  0.17570000E+00  0.11042093E+05  0.11042093E+05  0.11042093E+05  0.71014100E+03  0.71014100E+03  0.71014100E+03
  0.20080000E+00  0.15705664E+05  0.15705664E+05  0.15705664E+05  0.80621674E+03  0.80621674E+03  0.80621674E+03
  0.22590000E+00  0.21548411E+05  0.21548411E+05  0.21548411E+05  0.91584041E+03  0.91584041E+03  0.91584041E+03
  0.25100000E+00  0.28664948E+05  0.28664948E+05  0.28664948E+05  0.99494939E+03  0.99494939E+03  0.99494939E+03
  0.27610000E+00  0.37113184E+05  0.37113184E+05  0.37113184E+05  0.10754868E+04  0.10754868E+04  0.10754868E+04
  0.30120000E+00  0.46909525E+05  0.46909525E+05  0.46909525E+05  0.11332644E+04  0.11332644E+04  0.11332644E+04
  0.32630000E+00  0.58027958E+05  0.58027958E+05  0.58027958E+05  0.11943346E+04  0.11943346E+04  0.11943346E+04
  0.35140000E+00  0.70399197E+05  0.70399197E+05  0.70399197E+05  0.12098932E+04  0.12098932E+04  0.12098932E+04
  0.37650000E+00  0.83908288E+05  0.83908288E+05  0.83908288E+05  0.11979426E+04  0.11979426E+04  0.11979426E+04
  0.40160000E+00  0.98393524E+05  0.98393524E+05  0.98393524E+05  0.11512835E+04  0.11512835E+04  0.11512835E+04
  0.42670000E+00  0.11364119E+06  0.11364119E+06  0.11364119E+06  0.10794285E+04  0.10794285E+04  0.10794285E+04
  0.45180000E+00  0.12938316E+06  0.12938316E+06  0.12938316E+06  0.96637700E+03  0.96637700E+03  0.96637700E+03
  0.47690000E+00  0.14529655E+06  0.14529655E+06  0.14529655E+06  0.82333696E+03  0.82333696E+03  0.82333696E+03
  0.50200000E+00  0.16101031E+06  0.16101031E+06  0.16101031E+06  0.60553809E+03  0.60553809E+03  0.60553809E+03
  0.52710000E+00  0.17611918E+06  0.17611918E+06  0.17611918E+06  0.42215282E+03  0.42215282E+03  0.42215282E+03
  0.55220000E+00  0.19021241E+06  0.19021241E+06  0.19021241E+06  0.16437108E+03  0.16437108E+03  0.16437108E+03
  0.57730000E+00  0.20291102E+06  0.20291102E+06  0.20291102E+06  0.58500332E+02  0.58500332E+02  0.58500332E+02
  0.60240000E+00  0.21391982E+06  0.21391982E+06  0.21391982E+06  0.31643419E+03  0.31643419E+03  0.31643419E+03
  0.62750000E+00  0.22307949E+06  0.22307949E+06  0.22307949E+06  0.62504822E+03  0.62504822E+03  0.62504822E+03
  0.65270000E+00  0.23045880E+06  0.23045880E+06  0.23045880E+06  0.84310320E+03  0.84310320E+03  0.84310320E+03
  0.67780000E+00  0.23625122E+06  0.23625122E+06  0.23625122E+06  0.11272337E+04  0.11272337E+04  0.11272337E+04
  0.70290000E+00  0.24099749E+06  0.24099749E+06  0.24099749E+06  0.13147402E+04  0.13147402E+04  0.13147402E+04
  0.72800000E+00  0.24539933E+06  0.24539933E+06  0.24539933E+06  0.15047514E+04  0.15047514E+04  0.15047514E+04
  0.75310000E+00  0.25025885E+06  0.25025885E+06  0.25025885E+06  0.16520957E+04  0.16520957E+04  0.16520957E+04
  0.77820000E+00  0.25633603E+06  0.25633603E+06  0.25633603E+06  0.16778036E+04  0.16778036E+04  0.16778036E+04
  0.80330000E+00  0.26420903E+06  0.26420903E+06  0.26420903E+06  0.17331037E+04  0.17331037E+04  0.17331037E+04
  0.82840000E+00  0.27417385E+06  0.27417385E+06  0.27417385E+06  0.17129678E+04  0.17129678E+04  0.17129678E+04
  0.85350000E+00  0.28620679E+06  0.28620679E+06  0.28620679E+06  0.14482425E+04  0.14482425E+04  0.14482425E+04
  0.87860000E+00  0.29999321E+06  0.29999321E+06  0.29999321E+06  0.13836385E+04  0.13836385E+04  0.13836385E+04
  0.90370000E+00  0.31498387E+06  0.31498387E+06  0.31498387E+06  0.91594177E+03  0.91594177E+03  0.91594177E+03
  0.92880000E+00  0.33047201E+06  0.33047201E+06  0.33047201E+06  0.66565744E+03  0.66565744E+03  0.66565744E+03
  0.95390000E+00  0.34566318E+06  0.34566318E+06  0.34566318E+06  0.76006828E+03  0.76006828E+03  0.76006828E+03
  0.97900000E+00  0.35974735E+06  0.35974735E+06  0.35974735E+06  0.54599258E+03  0.54599258E+03  0.54599258E+03
