  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25100000E-01  0.33636813E-03  0.33636813E-03  0.33636813E-03 -0.50761421E+02 -0.50761421E+02 -0.50761421E+02
  0.50200000E-01  0.69071481E-03  0.69071481E-03  0.69071481E-03 -0.10000000E+03 -0.10000000E+03 -0.10000000E+03
  0.75300000E-01  0.10789948E-02  0.10789948E-02  0.10789948E-02 -0.14634146E+03 -0.14634146E+03 -0.14634146E+03
  0.10040000E+00  0.15138943E-02  0.15138943E-02  0.15138943E-02 -0.22624434E+03 -0.22624434E+03 -0.22624434E+03
  0.12550000E+00  0.20039022E-02  0.20039022E-02  0.20039022E-02 -0.28571429E+03 -0.28571429E+03 -0.28571429E+03
  0.15060000E+00  0.25530564E-02  0.25530564E-02  0.25530564E-02 -0.32490975E+03 -0.32490975E+03 -0.32490975E+03
  0.17570000E+00  0.31617324E-02  0.31617324E-02  0.31617324E-02 -0.34700315E+03 -0.34700315E+03 -0.34700315E+03
  0.20080000E+00  0.38274072E-02  0.38274072E-02  0.38274072E-02 -0.38461538E+03 -0.38461538E+03 -0.38461538E+03
  0.22590000E+00  0.45459149E-02  0.45459149E-02  0.45459149E-02 -0.40000000E+03 -0.40000000E+03 -0.40000000E+03
  0.25100000E+00  0.53124385E-02  0.53124385E-02  0.53124385E-02 -0.42452830E+03 -0.42452830E+03 -0.42452830E+03
  0.27610000E+00  0.61224756E-02  0.61224756E-02  0.61224756E-02 -0.43103448E+03 -0.43103448E+03 -0.43103448E+03
  0.30120000E+00  0.69722761E-02  0.69722761E-02  0.69722761E-02 -0.43222004E+03 -0.43222004E+03 -0.43222004E+03
  0.32630000E+00  0.78595254E-02  0.78595254E-02  0.78595254E-02 -0.41379310E+03 -0.41379310E+03 -0.41379310E+03
  0.35140000E+00  0.87834801E-02  0.87834801E-02  0.87834801E-02 -0.39745628E+03 -0.39745628E+03 -0.39745628E+03
  0.37650000E+00  0.97449812E-02  0.97449812E-02  0.97449812E-02 -0.37821483E+03 -0.37821483E+03 -0.37821483E+03
  0.40160000E+00  0.10746666E-01  0.10746666E-01  0.10746666E-01 -0.35502959E+03 -0.35502959E+03 -0.35502959E+03
  0.42670000E+00  0.11792675E-01  0.11792675E-01  0.11792675E-01 -0.30503979E+03 -0.30503979E+03 -0.30503979E+03
  0.45180000E+00  0.12888667E-01  0.12888667E-01  0.12888667E-01 -0.27624309E+03 -0.27624309E+03 -0.27624309E+03
  0.47690000E+00  0.14041442E-01  0.14041442E-01  0.14041442E-01 -0.21992238E+03 -0.21992238E+03 -0.21992238E+03
  0.50200000E+00  0.15258498E-01  0.15258498E-01  0.15258498E-01 -0.16666667E+03 -0.16666667E+03 -0.16666667E+03
  0.52710000E+00  0.16547049E-01  0.16547049E-01  0.16547049E-01 -0.11611030E+03 -0.11611030E+03 -0.11611030E+03
  0.55220000E+00  0.17912633E-01  0.17912633E-01  0.17912633E-01 -0.43795620E+02 -0.43795620E+02 -0.43795620E+02
  0.57730000E+00  0.19356399E-01  0.19356399E-01  0.19356399E-01  0.15974441E+02  0.15974441E+02  0.15974441E+02
  0.60240000E+00  0.20871153E-01  0.20871153E-01  0.20871153E-01  0.90252708E+02  0.90252708E+02  0.90252708E+02
  0.62750000E+00  0.22436241E-01  0.22436241E-01  0.22436241E-01  0.18711019E+03  0.18711019E+03  0.18711019E+03
  0.65270000E+00  0.24011993E-01  0.24011993E-01  0.24011993E-01  0.26829268E+03  0.26829268E+03  0.26829268E+03
  0.67780000E+00  0.25537449E-01  0.25537449E-01  0.25537449E-01  0.38461538E+03  0.38461538E+03  0.38461538E+03
  0.70290000E+00  0.26936166E-01  0.26936166E-01  0.26936166E-01  0.52000000E+03  0.52000000E+03  0.52000000E+03
  0.72800000E+00  0.28134470E-01  0.28134470E-01  0.28134470E-01  0.63414634E+03  0.63414634E+03  0.63414634E+03
  0.75310000E+00  0.29088067E-01  0.29088067E-01  0.29088067E-01  0.78431373E+03  0.78431373E+03  0.78431373E+03
  0.77820000E+00  0.29803502E-01  0.29803502E-01  0.29803502E-01  0.99009901E+03  0.99009901E+03  0.99009901E+03
  0.80330000E+00  0.30339879E-01  0.30339879E-01  0.30339879E-01  0.12307692E+04  0.12307692E+04  0.12307692E+04
  0.82840000E+00  0.30788251E-01  0.30788251E-01  0.30788251E-01  0.15000000E+04  0.15000000E+04  0.15000000E+04
  0.85350000E+00  0.31244455E-01  0.31244455E-01  0.31244455E-01  0.23076923E+04  0.23076923E+04  0.23076923E+04
  0.87860000E+00  0.31789142E-01  0.31789142E-01  0.31789142E-01  0.25000000E+04  0.25000000E+04  0.25000000E+04
  0.90370000E+00  0.32482274E-01  0.32482274E-01  0.32482274E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.92880000E+00  0.33366482E-01  0.33366482E-01  0.33366482E-01 -0.10000000E+05 -0.10000000E+05 -0.10000000E+05
  0.95390000E+00  0.34475620E-01  0.34475620E-01  0.34475620E-01 -0.40000000E+04 -0.40000000E+04 -0.40000000E+04
  0.97900000E+00  0.35842036E-01  0.35842036E-01  0.35842036E-01 -0.15384615E+04 -0.15384615E+04 -0.15384615E+04
  0.10041000E+01  0.37504027E-01  0.37504027E-01  0.37504027E-01 -0.10000000E+04 -0.10000000E+04 -0.10000000E+04
  0.10292000E+01  0.39511291E-01  0.39511291E-01  0.39511291E-01 -0.10000000E+04 -0.10000000E+04 -0.10000000E+04
  0.10543000E+01  0.41929515E-01  0.41929515E-01  0.41929515E-01 -0.38461538E+03 -0.38461538E+03 -0.38461538E+03
  0.10794000E+01  0.44843739E-01  0.44843739E-01  0.44843739E-01 -0.38461538E+03 -0.38461538E+03 -0.38461538E+03
  0.11045000E+01  0.48359361E-01  0.48359361E-01  0.48359361E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11296000E+01  0.52598985E-01  0.52598985E-01  0.52598985E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11547000E+01  0.57690765E-01  0.57690765E-01  0.57690765E-01  0.38461538E+03  0.38461538E+03  0.38461538E+03
  0.11798000E+01  0.63747345E-01  0.63747345E-01  0.63747345E-01  0.38461538E+03  0.38461538E+03  0.38461538E+03
  0.12049000E+01  0.70831417E-01  0.70831417E-01  0.70831417E-01  0.58823529E+03  0.58823529E+03  0.58823529E+03
  0.12300000E+01  0.78920808E-01  0.78920808E-01  0.78920808E-01  0.58823529E+03  0.58823529E+03  0.58823529E+03
  0.12551000E+01  0.87893238E-01  0.87893238E-01  0.87893238E-01  0.58823529E+03  0.58823529E+03  0.58823529E+03
  0.12802000E+01  0.97545725E-01  0.97545725E-01  0.97545725E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13053000E+01  0.10764964E+00  0.10764964E+00  0.10764964E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13304000E+01  0.11799597E+00  0.11799597E+00  0.11799597E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13555000E+01  0.12837760E+00  0.12837760E+00  0.12837760E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13806000E+01  0.13847886E+00  0.13847886E+00  0.13847886E+00 -0.38461538E+03 -0.38461538E+03 -0.38461538E+03
  0.14057000E+01  0.14768955E+00  0.14768955E+00  0.14768955E+00 -0.38461538E+03 -0.38461538E+03 -0.38461538E+03
  0.14308000E+01  0.15492844E+00  0.15492844E+00  0.15492844E+00 -0.38461538E+03 -0.38461538E+03 -0.38461538E+03
  0.14559000E+01  0.15863916E+00  0.15863916E+00  0.15863916E+00 -0.27027027E+03 -0.27027027E+03 -0.27027027E+03
  0.14810000E+01  0.15719696E+00  0.15719696E+00  0.15719696E+00 -0.27027027E+03 -0.27027027E+03 -0.27027027E+03
  0.15061000E+01  0.14976929E+00  0.14976929E+00  0.14976929E+00 -0.27027027E+03 -0.27027027E+03 -0.27027027E+03
  0.15312000E+01  0.13707199E+00  0.13707199E+00  0.13707199E+00 -0.20000000E+03 -0.20000000E+03 -0.20000000E+03
  0.15563000E+01  0.12127635E+00  0.12127635E+00  0.12127635E+00 -0.20000000E+03 -0.20000000E+03 -0.20000000E+03
  0.15814000E+01  0.10497172E+00  0.10497172E+00  0.10497172E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16065000E+01  0.90118493E-01  0.90118493E-01  0.90118493E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16316000E+01  0.77670459E-01  0.77670459E-01  0.77670459E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16567000E+01  0.67788215E-01  0.67788215E-01  0.67788215E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16818000E+01  0.60203361E-01  0.60203361E-01  0.60203361E-01  0.12195122E+03  0.12195122E+03  0.12195122E+03
  0.17069000E+01  0.54497584E-01  0.54497584E-01  0.54497584E-01  0.12195122E+03  0.12195122E+03  0.12195122E+03
  0.17320000E+01  0.50249200E-01  0.50249200E-01  0.50249200E-01  0.23529412E+03  0.23529412E+03  0.23529412E+03
  0.17571000E+01  0.47099790E-01  0.47099790E-01  0.47099790E-01  0.19230769E+03  0.19230769E+03  0.19230769E+03
  0.17822000E+01  0.44762484E-01  0.44762484E-01  0.44762484E-01  0.19230769E+03  0.19230769E+03  0.19230769E+03
  0.18073000E+01  0.43014922E-01  0.43014922E-01  0.43014922E-01  0.27522936E+03  0.27522936E+03  0.27522936E+03
  0.18324000E+01  0.41694620E-01  0.41694620E-01  0.41694620E-01  0.27522936E+03  0.27522936E+03  0.27522936E+03
  0.18575000E+01  0.40672919E-01  0.40672919E-01  0.40672919E-01  0.27522936E+03  0.27522936E+03  0.27522936E+03
  0.18826000E+01  0.39856822E-01  0.39856822E-01  0.39856822E-01  0.34482759E+03  0.34482759E+03  0.34482759E+03
