  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.37416574E-01  0.37416574E-01  0.37416574E-01
  0.25100000E-01  0.58287046E-01  0.58287046E-01  0.58287046E-01  0.37440399E-01  0.37440399E-01  0.37440399E-01
  0.50200000E-01  0.12084573E+00  0.12084573E+00  0.12084573E+00  0.37511422E-01  0.37511422E-01  0.37511422E-01
  0.75300000E-01  0.19170763E+00  0.19170763E+00  0.19170763E+00  0.37628328E-01  0.37628328E-01  0.37628328E-01
  0.10040000E+00  0.27449339E+00  0.27449339E+00  0.27449339E+00  0.37990834E-01  0.37990834E-01  0.37990834E-01
  0.12550000E+00  0.37219453E+00  0.37219453E+00  0.37219453E+00  0.38504854E-01  0.38504854E-01  0.38504854E-01
  0.15060000E+00  0.48697166E+00  0.48697166E+00  0.48697166E+00  0.39142890E-01  0.39142890E-01  0.39142890E-01
  0.17570000E+00  0.62006336E+00  0.62006336E+00  0.62006336E+00  0.39877621E-01  0.39877621E-01  0.39877621E-01
  0.20080000E+00  0.77170090E+00  0.77170090E+00  0.77170090E+00  0.39613619E-01  0.39613619E-01  0.39613619E-01
  0.22590000E+00  0.94114262E+00  0.94114262E+00  0.94114262E+00  0.40000000E-01  0.40000000E-01  0.40000000E-01
  0.25100000E+00  0.11267663E+01  0.11267663E+01  0.11267663E+01  0.39109628E-01  0.39109628E-01  0.39109628E-01
  0.27610000E+00  0.13262281E+01  0.13262281E+01  0.13262281E+01  0.38432187E-01  0.38432187E-01  0.38432187E-01
  0.30120000E+00  0.15366059E+01  0.15366059E+01  0.15366059E+01  0.37122115E-01  0.37122115E-01  0.37122115E-01
  0.32630000E+00  0.17545940E+01  0.17545940E+01  0.17545940E+01  0.36113148E-01  0.36113148E-01  0.36113148E-01
  0.35140000E+00  0.19766163E+01  0.19766163E+01  0.19766163E+01  0.33970482E-01  0.33970482E-01  0.33970482E-01
  0.37650000E+00  0.21988535E+01  0.21988535E+01  0.21988535E+01  0.31392611E-01  0.31392611E-01  0.31392611E-01
  0.40160000E+00  0.24172926E+01  0.24172926E+01  0.24172926E+01  0.28284271E-01  0.28284271E-01  0.28284271E-01
