#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.025102    0.818837    0.818837    0.818837   -0.000105   -0.000105   -0.000105
    0.050204    1.702757    1.702757    1.702757   -0.000218   -0.000218   -0.000218
    0.075306    2.714373    2.714373    2.714373   -0.000345   -0.000345   -0.000345
    0.100408    3.911031    3.911031    3.911031   -0.000493   -0.000493   -0.000493
    0.125510    5.341492    5.341492    5.341492   -0.000665   -0.000665   -0.000665
    0.150612    7.042308    7.042308    7.042308   -0.000860   -0.000860   -0.000860
    0.175714    9.034186    9.034186    9.034186   -0.001079   -0.001079   -0.001079
    0.200816   11.319185   11.319185   11.319185   -0.001315   -0.001315   -0.001315
    0.225918   13.879110   13.879110   13.879110   -0.001560   -0.001560   -0.001560
    0.251020   16.675748   16.675748   16.675748   -0.001804   -0.001804   -0.001804
    0.276122   19.652785   19.652785   19.652785   -0.002033   -0.002033   -0.002033
    0.301224   22.739051   22.739051   22.739051   -0.002233   -0.002233   -0.002233
    0.326325   25.852507   25.852507   25.852507   -0.002387   -0.002387   -0.002387
    0.351427   28.903976   28.903976   28.903976   -0.002479   -0.002479   -0.002479
    0.376529   31.800715   31.800715   31.800715   -0.002495   -0.002495   -0.002495
    0.401631   34.449493   34.449493   34.449493   -0.002424   -0.002424   -0.002424
    0.426733   36.759863   36.759863   36.759863   -0.002260   -0.002260   -0.002260
    0.451835   38.648469   38.648469   38.648469   -0.002001   -0.002001   -0.002001
    0.476937   40.044823   40.044823   40.044823   -0.001658   -0.001658   -0.001658
    0.502039   40.898491   40.898491   40.898491   -0.001246   -0.001246   -0.001246
    0.527141   41.186958   41.186958   41.186958   -0.000789   -0.000789   -0.000789
    0.552243   40.922556   40.922556   40.922556   -0.000317   -0.000317   -0.000317
    0.577345   40.156120   40.156120   40.156120    0.000139    0.000139    0.000139
    0.602447   38.976586   38.976586   38.976586    0.000547    0.000547    0.000547
    0.627549   37.504286   37.504286   37.504286    0.000883    0.000883    0.000883
    0.652651   35.879700   35.879700   35.879700    0.001128    0.001128    0.001128
    0.677753   34.248033   34.248033   34.248033    0.001273    0.001273    0.001273
    0.702855   32.742664   32.742664   32.742664    0.001319    0.001319    0.001319
    0.727957   31.469775   31.469775   31.469775    0.001274    0.001274    0.001274
    0.753059   30.496477   30.496477   30.496477    0.001155    0.001155    0.001155
    0.778161   29.844573   29.844573   29.844573    0.000981    0.000981    0.000981
    0.803263   29.490138   29.490138   29.490138    0.000774    0.000774    0.000774
    0.828365   29.368678   29.368678   29.368678    0.000555    0.000555    0.000555
    0.853467   29.385312   29.385312   29.385312    0.000344    0.000344    0.000344
    0.878569   29.427892   29.427892   29.427892    0.000156    0.000156    0.000156
    0.903671   29.381719   29.381719   29.381719    0.000002    0.000002    0.000002
    0.928773   29.143951   29.143951   29.143951   -0.000110   -0.000110   -0.000110
    0.953875   28.635905   28.635905   28.635905   -0.000178   -0.000178   -0.000178
    0.978976   27.811932   27.811932   27.811932   -0.000206   -0.000206   -0.000206
    1.004078   26.663723   26.663723   26.663723   -0.000199   -0.000199   -0.000199
    1.029180   25.219599   25.219599   25.219599   -0.000164   -0.000164   -0.000164
    1.054282   23.538961   23.538961   23.538961   -0.000114   -0.000114   -0.000114
    1.079384   21.702865   21.702865   21.702865   -0.000056   -0.000056   -0.000056
    1.104486   19.802180   19.802180   19.802180   -0.000001   -0.000001   -0.000001
    1.129588   17.925403   17.925403   17.925403    0.000044    0.000044    0.000044
    1.154690   16.148057   16.148057   16.148057    0.000076    0.000076    0.000076
    1.179792   14.525053   14.525053   14.525053    0.000091    0.000091    0.000091
    1.204894   13.087339   13.087339   13.087339    0.000091    0.000091    0.000091
    1.229996   11.842516   11.842516   11.842516    0.000079    0.000079    0.000079
    1.255098   10.778820   10.778820   10.778820    0.000057    0.000057    0.000057
    1.280200    9.871435    9.871435    9.871435    0.000030    0.000030    0.000030
    1.305302    9.089325    9.089325    9.089325    0.000002    0.000002    0.000002
    1.330404    8.401518    8.401518    8.401518   -0.000024   -0.000024   -0.000024
    1.355506    7.781734    7.781734    7.781734   -0.000046   -0.000046   -0.000046
    1.380608    7.210937    7.210937    7.210937   -0.000063   -0.000063   -0.000063
    1.405710    6.677981    6.677981    6.677981   -0.000075   -0.000075   -0.000075
    1.430812    6.178775    6.178775    6.178775   -0.000083   -0.000083   -0.000083
    1.455914    5.714479    5.714479    5.714479   -0.000086   -0.000086   -0.000086
    1.481016    5.289551    5.289551    5.289551   -0.000086   -0.000086   -0.000086
    1.506118    4.909896    4.909896    4.909896   -0.000083   -0.000083   -0.000083
    1.531220    4.581450    4.581450    4.581450   -0.000075   -0.000075   -0.000075
    1.556322    4.309178    4.309178    4.309178   -0.000062   -0.000062   -0.000062
    1.581424    4.096472    4.096472    4.096472   -0.000044   -0.000044   -0.000044
    1.606526    3.944788    3.944788    3.944788   -0.000020   -0.000020   -0.000020
    1.631627    3.853459    3.853459    3.853459    0.000010    0.000010    0.000010
    1.656729    3.819701    3.819701    3.819701    0.000044    0.000044    0.000044
    1.681831    3.838747    3.838747    3.838747    0.000083    0.000083    0.000083
    1.706933    3.904195    3.904195    3.904195    0.000123    0.000123    0.000123
    1.732035    4.008511    4.008511    4.008511    0.000165    0.000165    0.000165
    1.757137    4.143612    4.143612    4.143612    0.000206    0.000206    0.000206
    1.782239    4.301464    4.301464    4.301464    0.000244    0.000244    0.000244
    1.807341    4.474544    4.474544    4.474544    0.000279    0.000279    0.000279
    1.832443    4.656152    4.656152    4.656152    0.000310    0.000310    0.000310
    1.857545    4.840548    4.840548    4.840548    0.000336    0.000336    0.000336
    1.882647    5.022978    5.022978    5.022978    0.000359    0.000359    0.000359
    1.907749    5.199717    5.199717    5.199717    0.000378    0.000378    0.000378
    1.932851    5.368206    5.368206    5.368206    0.000396    0.000396    0.000396
    1.957953    5.527370    5.527370    5.527370    0.000416    0.000416    0.000416
    1.983055    5.677992    5.677992    5.677992    0.000442    0.000442    0.000442
    2.008157    5.823134    5.823134    5.823134    0.000478    0.000478    0.000478
    2.033259    5.968313    5.968313    5.968313    0.000529    0.000529    0.000529
    2.058361    6.121406    6.121406    6.121406    0.000601    0.000601    0.000601
    2.083463    6.292108    6.292108    6.292108    0.000696    0.000696    0.000696
    2.108565    6.490992    6.490992    6.490992    0.000818    0.000818    0.000818
    2.133667    6.728216    6.728216    6.728216    0.000965    0.000965    0.000965
    2.158769    7.012104    7.012104    7.012104    0.001134    0.001134    0.001134
    2.183871    7.347708    7.347708    7.347708    0.001318    0.001318    0.001318
    2.208973    7.735669    7.735669    7.735669    0.001504    0.001504    0.001504
    2.234075    8.171419    8.171419    8.171419    0.001679    0.001679    0.001679
    2.259177    8.645000    8.645000    8.645000    0.001827    0.001827    0.001827
    2.284278    9.141550    9.141550    9.141550    0.001931    0.001931    0.001931
    2.309380    9.642548    9.642548    9.642548    0.001981    0.001981    0.001981
    2.334482   10.127744   10.127744   10.127744    0.001969    0.001969    0.001969
    2.359584   10.577795   10.577795   10.577795    0.001898    0.001898    0.001898
    2.384686   10.977093   10.977093   10.977093    0.001780    0.001780    0.001780
    2.409788   11.316507   11.316507   11.316507    0.001632    0.001632    0.001632
    2.434890   11.595522   11.595522   11.595522    0.001482    0.001482    0.001482
    2.459992   11.823278   11.823278   11.823278    0.001359    0.001359    0.001359
    2.485094   12.018152   12.018152   12.018152    0.001287    0.001287    0.001287
    2.510196   12.205849   12.205849   12.205849    0.001288    0.001288    0.001288
    2.535298   12.416123   12.416123   12.416123    0.001372    0.001372    0.001372
    2.560400   12.678654   12.678654   12.678654    0.001535    0.001535    0.001535
    2.585502   13.018675   13.018675   13.018675    0.001764    0.001764    0.001764
    2.610604   13.453131   13.453131   13.453131    0.002033    0.002033    0.002033
    2.635706   13.987768   13.987768   13.987768    0.002311    0.002311    0.002311
    2.660808   14.615916   14.615916   14.615916    0.002564    0.002564    0.002564
    2.685910   15.318843   15.318843   15.318843    0.002762    0.002762    0.002762
    2.711012   16.067796   16.067796   16.067796    0.002881    0.002881    0.002881
    2.736114   16.827244   16.827244   16.827244    0.002905    0.002905    0.002905
    2.761216   17.558997   17.558997   17.558997    0.002831    0.002831    0.002831
    2.786318   18.226619   18.226619   18.226619    0.002668    0.002668    0.002668
    2.811420   18.799398   18.799398   18.799398    0.002431    0.002431    0.002431
    2.836522   19.255736   19.255736   19.255736    0.002145    0.002145    0.002145
    2.861624   19.585215   19.585215   19.585215    0.001836    0.001836    0.001836
    2.886726   19.789287   19.789287   19.789287    0.001532    0.001532    0.001532
    2.911828   19.880619   19.880619   19.880619    0.001257    0.001257    0.001257
    2.936929   19.880943   19.880943   19.880943    0.001032    0.001032    0.001032
    2.962031   19.818020   19.818020   19.818020    0.000867    0.000867    0.000867
    2.987133   19.721843   19.721843   19.721843    0.000766    0.000766    0.000766
    3.012235   19.620578   19.620578   19.620578    0.000727    0.000727    0.000727
    3.037337   19.536985   19.536985   19.536985    0.000736    0.000736    0.000736
    3.062439   19.485441   19.485441   19.485441    0.000777    0.000777    0.000777
    3.087541   19.470419   19.470419   19.470419    0.000830    0.000830    0.000830
    3.112643   19.486058   19.486058   19.486058    0.000873    0.000873    0.000873
    3.137745   19.517443   19.517443   19.517443    0.000887    0.000887    0.000887
    3.162847   19.543198   19.543198   19.543198    0.000859    0.000859    0.000859
    3.187949   19.538928   19.538928   19.538928    0.000780    0.000780    0.000780
    3.213051   19.481031   19.481031   19.481031    0.000651    0.000651    0.000651
    3.238153   19.350564   19.350564   19.350564    0.000480    0.000480    0.000480
    3.263255   19.135979   19.135979   19.135979    0.000281    0.000281    0.000281
    3.288357   18.834973   18.834973   18.834973    0.000069    0.000069    0.000069
    3.313459   18.454504   18.454504   18.454504   -0.000136   -0.000136   -0.000136
    3.338561   18.009577   18.009577   18.009577   -0.000318   -0.000318   -0.000318
    3.363663   17.520739   17.520739   17.520739   -0.000465   -0.000465   -0.000465
    3.388765   17.010809   17.010809   17.010809   -0.000571   -0.000571   -0.000571
    3.413867   16.501672   16.501672   16.501672   -0.000635   -0.000635   -0.000635
    3.438969   16.011429   16.011429   16.011429   -0.000664   -0.000664   -0.000664
    3.464071   15.552582   15.552582   15.552582   -0.000666   -0.000666   -0.000666
    3.489173   15.131241   15.131241   15.131241   -0.000651   -0.000651   -0.000651
    3.514275   14.747528   14.747528   14.747528   -0.000630   -0.000630   -0.000630
    3.539377   14.396909   14.396909   14.396909   -0.000610   -0.000610   -0.000610
    3.564479   14.071990   14.071990   14.071990   -0.000596   -0.000596   -0.000596
