#  frequency dependent      REAL DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    0.000000   49.231691   49.231691   49.231691   -0.001356   -0.001356   -0.001356
    0.025102   49.331186   49.331186   49.331186   -0.001361   -0.001361   -0.001361
    0.050204   49.622302   49.622302   49.622302   -0.001376   -0.001376   -0.001376
    0.075306   50.082960   50.082960   50.082960   -0.001396   -0.001396   -0.001396
    0.100408   50.676454   50.676454   50.676454   -0.001416   -0.001416   -0.001416
    0.125510   51.351923   51.351923   51.351923   -0.001427   -0.001427   -0.001427
    0.150612   52.045970   52.045970   52.045970   -0.001420   -0.001420   -0.001420
    0.175714   52.685327   52.685327   52.685327   -0.001385   -0.001385   -0.001385
    0.200816   53.191004   53.191004   53.191004   -0.001313   -0.001313   -0.001313
    0.225918   53.483290   53.483290   53.483290   -0.001195   -0.001195   -0.001195
    0.251020   53.487472   53.487472   53.487472   -0.001024   -0.001024   -0.001024
    0.276122   53.138646   53.138646   53.138646   -0.000797   -0.000797   -0.000797
    0.301224   52.386003   52.386003   52.386003   -0.000514   -0.000514   -0.000514
    0.326325   51.195373   51.195373   51.195373   -0.000177   -0.000177   -0.000177
    0.351427   49.550796   49.550796   49.550796    0.000205    0.000205    0.000205
    0.376529   47.455256   47.455256   47.455256    0.000618    0.000618    0.000618
    0.401631   44.931425   44.931425   44.931425    0.001044    0.001044    0.001044
    0.426733   42.022511   42.022511   42.022511    0.001461    0.001461    0.001461
    0.451835   38.793525   38.793525   38.793525    0.001843    0.001843    0.001843
    0.476937   35.331505   35.331505   35.331505    0.002165    0.002165    0.002165
    0.502039   31.744138   31.744138   31.744138    0.002403    0.002403    0.002403
    0.527141   28.155206   28.155206   28.155206    0.002539    0.002539    0.002539
    0.552243   24.696338   24.696338   24.696338    0.002563    0.002563    0.002563
    0.577345   21.495420   21.495420   21.495420    0.002474    0.002474    0.002474
    0.602447   18.663115   18.663115   18.663115    0.002283    0.002283    0.002283
    0.627549   16.279501   16.279501   16.279501    0.002008    0.002008    0.002008
    0.652651   14.383611   14.383611   14.383611    0.001674    0.001674    0.001674
    0.677753   12.967798   12.967798   12.967798    0.001311    0.001311    0.001311
    0.702855   11.978396   11.978396   11.978396    0.000948    0.000948    0.000948
    0.727957   11.322567   11.322567   11.322567    0.000611    0.000611    0.000611
    0.753059   10.880437   10.880437   10.880437    0.000321    0.000321    0.000321
    0.778161   10.520424   10.520424   10.520424    0.000092    0.000092    0.000092
    0.803263   10.115617   10.115617   10.115617   -0.000067   -0.000067   -0.000067
    0.828365    9.558923    9.558923    9.558923   -0.000157   -0.000157   -0.000157
    0.853467    8.774991    8.774991    8.774991   -0.000181   -0.000181   -0.000181
    0.878569    7.727856    7.727856    7.727856   -0.000150   -0.000150   -0.000150
    0.903671    6.423455    6.423455    6.423455   -0.000077   -0.000077   -0.000077
    0.928773    4.906962    4.906962    4.906962    0.000024    0.000024    0.000024
    0.953875    3.255484    3.255484    3.255484    0.000138    0.000138    0.000138
    0.978976    1.567066    1.567066    1.567066    0.000252    0.000252    0.000252
    1.004078   -0.052512   -0.052512   -0.052512    0.000354    0.000354    0.000354
    1.029180   -1.503368   -1.503368   -1.503368    0.000437    0.000437    0.000437
    1.054282   -2.703699   -2.703699   -2.703699    0.000494    0.000494    0.000494
    1.079384   -3.598817   -3.598817   -3.598817    0.000526    0.000526    0.000526
    1.104486   -4.165724   -4.165724   -4.165724    0.000535    0.000535    0.000535
    1.129588   -4.412941   -4.412941   -4.412941    0.000524    0.000524    0.000524
    1.154690   -4.375732   -4.375732   -4.375732    0.000501    0.000501    0.000501
    1.179792   -4.108038   -4.108038   -4.108038    0.000472    0.000472    0.000472
    1.204894   -3.672768   -3.672768   -3.672768    0.000443    0.000443    0.000443
    1.229996   -3.132200   -3.132200   -3.132200    0.000419    0.000419    0.000419
    1.255098   -2.540208   -2.540208   -2.540208    0.000404    0.000404    0.000404
    1.280200   -1.937253   -1.937253   -1.937253    0.000400    0.000400    0.000400
    1.305302   -1.348556   -1.348556   -1.348556    0.000406    0.000406    0.000406
    1.330404   -0.785119   -0.785119   -0.785119    0.000421    0.000421    0.000421
    1.355506   -0.246709   -0.246709   -0.246709    0.000443    0.000443    0.000443
    1.380608    0.274092    0.274092    0.274092    0.000470    0.000470    0.000470
    1.405710    0.787945    0.787945    0.787945    0.000501    0.000501    0.000501
    1.430812    1.305419    1.305419    1.305419    0.000534    0.000534    0.000534
    1.455914    1.834831    1.834831    1.834831    0.000568    0.000568    0.000568
    1.481016    2.381098    2.381098    2.381098    0.000604    0.000604    0.000604
    1.506118    2.945547    2.945547    2.945547    0.000641    0.000641    0.000641
    1.531220    3.526245    3.526245    3.526245    0.000680    0.000680    0.000680
    1.556322    4.118643    4.118643    4.118643    0.000720    0.000720    0.000720
    1.581424    4.716284    4.716284    4.716284    0.000760    0.000760    0.000760
    1.606526    5.311500    5.311500    5.311500    0.000800    0.000800    0.000800
    1.631627    5.896092    5.896092    5.896092    0.000837    0.000837    0.000837
    1.656729    6.461993    6.461993    6.461993    0.000871    0.000871    0.000871
    1.681831    7.001893    7.001893    7.001893    0.000900    0.000900    0.000900
    1.706933    7.509808    7.509808    7.509808    0.000924    0.000924    0.000924
    1.732035    7.981482    7.981482    7.981482    0.000942    0.000942    0.000942
    1.757137    8.414602    8.414602    8.414602    0.000955    0.000955    0.000955
    1.782239    8.808746    8.808746    8.808746    0.000964    0.000964    0.000964
    1.807341    9.165180    9.165180    9.165180    0.000971    0.000971    0.000971
    1.832443    9.486530    9.486530    9.486530    0.000976    0.000976    0.000976
    1.857545    9.776504    9.776504    9.776504    0.000983    0.000983    0.000983
    1.882647   10.039658   10.039658   10.039658    0.000992    0.000992    0.000992
    1.907749   10.281305   10.281305   10.281305    0.001007    0.001007    0.001007
    1.932851   10.507555   10.507555   10.507555    0.001030    0.001030    0.001030
    1.957953   10.725167   10.725167   10.725167    0.001063    0.001063    0.001063
    1.983055   10.941351   10.941351   10.941351    0.001106    0.001106    0.001106
