  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.56327353E+00  0.56327353E+00  0.56327353E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.25100000E-01  0.56363865E+00  0.56363865E+00  0.56363865E+00  0.99467985E+00  0.99467985E+00  0.99467985E+00
  0.50200000E-01  0.56471382E+00  0.56471382E+00  0.56471382E+00  0.98940803E+00  0.98940803E+00  0.98940803E+00
  0.75300000E-01  0.56644144E+00  0.56644144E+00  0.56644144E+00  0.98420313E+00  0.98420313E+00  0.98420313E+00
  0.10040000E+00  0.56873219E+00  0.56873219E+00  0.56873219E+00  0.97405785E+00  0.97405785E+00  0.97405785E+00
  0.12550000E+00  0.57147516E+00  0.57147516E+00  0.57147516E+00  0.96434495E+00  0.96434495E+00  0.96434495E+00
  0.15060000E+00  0.57454972E+00  0.57454972E+00  0.57454972E+00  0.95512121E+00  0.95512121E+00  0.95512121E+00
  0.17570000E+00  0.57783411E+00  0.57783411E+00  0.57783411E+00  0.94640502E+00  0.94640502E+00  0.94640502E+00
  0.20080000E+00  0.58121687E+00  0.58121687E+00  0.58121687E+00  0.93656440E+00  0.93656440E+00  0.93656440E+00
  0.22590000E+00  0.58460042E+00  0.58460042E+00  0.58460042E+00  0.92322457E+00  0.92322457E+00  0.92322457E+00
  0.25100000E+00  0.58790566E+00  0.58790566E+00  0.58790566E+00  0.91217404E+00  0.91217404E+00  0.91217404E+00
  0.27610000E+00  0.59107054E+00  0.59107054E+00  0.59107054E+00  0.90127107E+00  0.90127107E+00  0.90127107E+00
  0.30120000E+00  0.59404859E+00  0.59404859E+00  0.59404859E+00  0.88834150E+00  0.88834150E+00  0.88834150E+00
  0.32630000E+00  0.59680319E+00  0.59680319E+00  0.59680319E+00  0.87564805E+00  0.87564805E+00  0.87564805E+00
  0.35140000E+00  0.59930369E+00  0.59930369E+00  0.59930369E+00  0.86322235E+00  0.86322235E+00  0.86322235E+00
  0.37650000E+00  0.60151878E+00  0.60151878E+00  0.60151878E+00  0.85282569E+00  0.85282569E+00  0.85282569E+00
  0.40160000E+00  0.60341125E+00  0.60341125E+00  0.60341125E+00  0.84394208E+00  0.84394208E+00  0.84394208E+00
  0.42670000E+00  0.60493290E+00  0.60493290E+00  0.60493290E+00  0.83167178E+00  0.83167178E+00  0.83167178E+00
  0.45180000E+00  0.60602015E+00  0.60602015E+00  0.60602015E+00  0.82729138E+00  0.82729138E+00  0.82729138E+00
  0.47690000E+00  0.60659218E+00  0.60659218E+00  0.60659218E+00  0.81896567E+00  0.81896567E+00  0.81896567E+00
  0.50200000E+00  0.60655049E+00  0.60655049E+00  0.60655049E+00  0.81725742E+00  0.81725742E+00  0.81725742E+00
  0.52710000E+00  0.60578082E+00  0.60578082E+00  0.60578082E+00  0.81656993E+00  0.81656993E+00  0.81656993E+00
  0.55220000E+00  0.60416146E+00  0.60416146E+00  0.60416146E+00  0.81507515E+00  0.81507515E+00  0.81507515E+00
  0.57730000E+00  0.60157764E+00  0.60157764E+00  0.60157764E+00  0.81856146E+00  0.81856146E+00  0.81856146E+00
  0.60240000E+00  0.59794956E+00  0.59794956E+00  0.59794956E+00  0.82440380E+00  0.82440380E+00  0.82440380E+00
  0.62750000E+00  0.59326855E+00  0.59326855E+00  0.59326855E+00  0.83254804E+00  0.83254804E+00  0.83254804E+00
  0.65270000E+00  0.58765074E+00  0.58765074E+00  0.58765074E+00  0.84138803E+00  0.84138803E+00  0.84138803E+00
  0.67780000E+00  0.58138492E+00  0.58138492E+00  0.58138492E+00  0.85342753E+00  0.85342753E+00  0.85342753E+00
  0.70290000E+00  0.57495362E+00  0.57495362E+00  0.57495362E+00  0.86857869E+00  0.86857869E+00  0.86857869E+00
  0.72800000E+00  0.56898558E+00  0.56898558E+00  0.56898558E+00  0.88030902E+00  0.88030902E+00  0.88030902E+00
  0.75310000E+00  0.56413367E+00  0.56413367E+00  0.56413367E+00  0.89506290E+00  0.89506290E+00  0.89506290E+00
  0.77820000E+00  0.56090665E+00  0.56090665E+00  0.56090665E+00  0.91028686E+00  0.91028686E+00  0.91028686E+00
  0.80330000E+00  0.55954202E+00  0.55954202E+00  0.55954202E+00  0.92761363E+00  0.92761363E+00  0.92761363E+00
  0.82840000E+00  0.55997970E+00  0.55997970E+00  0.55997970E+00  0.94289675E+00  0.94289675E+00  0.94289675E+00
  0.85350000E+00  0.56192892E+00  0.56192892E+00  0.56192892E+00  0.96480428E+00  0.96480428E+00  0.96480428E+00
  0.87860000E+00  0.56498191E+00  0.56498191E+00  0.56498191E+00  0.97459049E+00  0.97459049E+00  0.97459049E+00
  0.90370000E+00  0.56870275E+00  0.56870275E+00  0.56870275E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.92880000E+00  0.57268283E+00  0.57268283E+00  0.57268283E+00  0.97211290E+00  0.97211290E+00  0.97211290E+00
