  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.70165305E+01  0.70165305E+01  0.70165305E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25100000E-01  0.70238592E+01  0.70238592E+01  0.70238592E+01  0.13354559E-02  0.13354559E-02  0.13354559E-02
  0.50200000E-01  0.70453462E+01  0.70453462E+01  0.70453462E+01  0.26658547E-02  0.26658547E-02  0.26658547E-02
  0.75300000E-01  0.70795305E+01  0.70795305E+01  0.70795305E+01  0.39863584E-02  0.39863584E-02  0.39863584E-02
  0.10040000E+00  0.71240330E+01  0.71240330E+01  0.71240330E+01  0.65805347E-02  0.65805347E-02  0.65805347E-02
  0.12550000E+00  0.71756832E+01  0.71756832E+01  0.71756832E+01  0.90897630E-02  0.90897630E-02  0.90897630E-02
  0.15060000E+00  0.72307082E+01  0.72307082E+01  0.72307082E+01  0.11496341E-01  0.11496341E-01  0.11496341E-01
  0.17570000E+00  0.72849007E+01  0.72849007E+01  0.72849007E+01  0.13792197E-01  0.13792197E-01  0.13792197E-01
  0.20080000E+00  0.73339295E+01  0.73339295E+01  0.73339295E+01  0.16408498E-01  0.16408498E-01  0.16408498E-01
  0.22590000E+00  0.73735371E+01  0.73735371E+01  0.73735371E+01  0.20000000E-01  0.20000000E-01  0.20000000E-01
  0.25100000E+00  0.73998042E+01  0.73998042E+01  0.73998042E+01  0.23012236E-01  0.23012236E-01  0.23012236E-01
  0.27610000E+00  0.74092834E+01  0.74092834E+01  0.74092834E+01  0.26019857E-01  0.26019857E-01  0.26019857E-01
  0.30120000E+00  0.73991322E+01  0.73991322E+01  0.73991322E+01  0.29631932E-01  0.29631932E-01  0.29631932E-01
  0.32630000E+00  0.73670890E+01  0.73670890E+01  0.73670890E+01  0.33228895E-01  0.33228895E-01  0.33228895E-01
  0.35140000E+00  0.73114849E+01  0.73114849E+01  0.73114849E+01  0.36796652E-01  0.36796652E-01  0.36796652E-01
  0.37650000E+00  0.72312002E+01  0.72312002E+01  0.72312002E+01  0.39818287E-01  0.39818287E-01  0.39818287E-01
  0.40160000E+00  0.71256371E+01  0.71256371E+01  0.71256371E+01  0.42426407E-01  0.42426407E-01  0.42426407E-01
  0.42670000E+00  0.69947916E+01  0.69947916E+01  0.69947916E+01  0.46075514E-01  0.46075514E-01  0.46075514E-01
  0.45180000E+00  0.68393479E+01  0.68393479E+01  0.68393479E+01  0.47385255E-01  0.47385255E-01  0.47385255E-01
  0.47690000E+00  0.66608818E+01  0.66608818E+01  0.66608818E+01  0.49901341E-01  0.49901341E-01  0.49901341E-01
  0.50200000E+00  0.64620600E+01  0.64620600E+01  0.64620600E+01  0.50414688E-01  0.50414688E-01  0.50414688E-01
  0.52710000E+00  0.62468361E+01  0.62468361E+01  0.62468361E+01  0.50620554E-01  0.50620554E-01  0.50620554E-01
  0.55220000E+00  0.60205248E+01  0.60205248E+01  0.60205248E+01  0.51074702E-01  0.51074702E-01  0.51074702E-01
  0.57730000E+00  0.57897663E+01  0.57897663E+01  0.57897663E+01  0.50009995E-01  0.50009995E-01  0.50009995E-01
  0.60240000E+00  0.55622624E+01  0.55622624E+01  0.55622624E+01  0.48237540E-01  0.48237540E-01  0.48237540E-01
  0.62750000E+00  0.53462435E+01  0.53462435E+01  0.53462435E+01  0.45788488E-01  0.45788488E-01  0.45788488E-01
  0.65270000E+00  0.51497093E+01  0.51497093E+01  0.51497093E+01  0.43155797E-01  0.43155797E-01  0.43155797E-01
  0.67780000E+00  0.49793919E+01  0.49793919E+01  0.49793919E+01  0.39613619E-01  0.39613619E-01  0.39613619E-01
  0.70290000E+00  0.48395958E+01  0.48395958E+01  0.48395958E+01  0.35221718E-01  0.35221718E-01  0.35221718E-01
  0.72800000E+00  0.47311375E+01  0.47311375E+01  0.47311375E+01  0.31873046E-01  0.31873046E-01  0.31873046E-01
  0.75310000E+00  0.46507907E+01  0.46507907E+01  0.46507907E+01  0.27721216E-01  0.27721216E-01  0.27721216E-01
  0.77820000E+00  0.45915669E+01  0.45915669E+01  0.45915669E+01  0.23505186E-01  0.23505186E-01  0.23505186E-01
  0.80330000E+00  0.45438077E+01  0.45438077E+01  0.45438077E+01  0.18791298E-01  0.18791298E-01  0.18791298E-01
  0.82840000E+00  0.44968911E+01  0.44968911E+01  0.44968911E+01  0.14704685E-01  0.14704685E-01  0.14704685E-01
  0.85350000E+00  0.44408623E+01  0.44408623E+01  0.44408623E+01  0.89597748E-02  0.89597748E-02  0.89597748E-02
  0.87860000E+00  0.43676982E+01  0.43676982E+01  0.43676982E+01  0.64359425E-02  0.64359425E-02  0.64359425E-02
  0.90370000E+00  0.42719530E+01  0.42719530E+01  0.42719530E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.92880000E+00  0.41509764E+01  0.41509764E+01  0.41509764E+01  0.70710678E-02  0.70710678E-02  0.70710678E-02
  0.95390000E+00  0.40047383E+01  0.40047383E+01  0.40047383E+01  0.12720196E-01  0.12720196E-01  0.12720196E-01
  0.97900000E+00  0.38355648E+01  0.38355648E+01  0.38355648E+01  0.18173540E-01  0.18173540E-01  0.18173540E-01
  0.10041000E+01  0.36476877E+01  0.36476877E+01  0.36476877E+01  0.20581710E-01  0.20581710E-01  0.20581710E-01
  0.10292000E+01  0.34468080E+01  0.34468080E+01  0.34468080E+01  0.20581710E-01  0.20581710E-01  0.20581710E-01
  0.10543000E+01  0.32396038E+01  0.32396038E+01  0.32396038E+01  0.22471114E-01  0.22471114E-01  0.22471114E-01
  0.10794000E+01  0.30331877E+01  0.30331877E+01  0.30331877E+01  0.22471114E-01  0.22471114E-01  0.22471114E-01
  0.11045000E+01  0.28346002E+01  0.28346002E+01  0.28346002E+01  0.22360680E-01  0.22360680E-01  0.22360680E-01
  0.11296000E+01  0.26502544E+01  0.26502544E+01  0.26502544E+01  0.22360680E-01  0.22360680E-01  0.22360680E-01
  0.11547000E+01  0.24854323E+01  0.24854323E+01  0.24854323E+01  0.22471114E-01  0.22471114E-01  0.22471114E-01
  0.11798000E+01  0.23438046E+01  0.23438046E+01  0.23438046E+01  0.22471114E-01  0.22471114E-01  0.22471114E-01
  0.12049000E+01  0.22271168E+01  0.22271168E+01  0.22271168E+01  0.20153295E-01  0.20153295E-01  0.20153295E-01
  0.12300000E+01  0.21351245E+01  0.21351245E+01  0.21351245E+01  0.20153295E-01  0.20153295E-01  0.20153295E-01
  0.12551000E+01  0.20656567E+01  0.20656567E+01  0.20656567E+01  0.20153295E-01  0.20153295E-01  0.20153295E-01
  0.12802000E+01  0.20152426E+01  0.20152426E+01  0.20152426E+01  0.20000000E-01  0.20000000E-01  0.20000000E-01
  0.13053000E+01  0.19799246E+01  0.19799246E+01  0.19799246E+01  0.20000000E-01  0.20000000E-01  0.20000000E-01
  0.13304000E+01  0.19561446E+01  0.19561446E+01  0.19561446E+01  0.20000000E-01  0.20000000E-01  0.20000000E-01
  0.13555000E+01  0.19415084E+01  0.19415084E+01  0.19415084E+01  0.20000000E-01  0.20000000E-01  0.20000000E-01
  0.13806000E+01  0.19352271E+01  0.19352271E+01  0.19352271E+01  0.22471114E-01  0.22471114E-01  0.22471114E-01
  0.14057000E+01  0.19380685E+01  0.19380685E+01  0.19380685E+01  0.22471114E-01  0.22471114E-01  0.22471114E-01
  0.14308000E+01  0.19519978E+01  0.19519978E+01  0.19519978E+01  0.22471114E-01  0.22471114E-01  0.22471114E-01
  0.14559000E+01  0.19794738E+01  0.19794738E+01  0.19794738E+01  0.24579221E-01  0.24579221E-01  0.24579221E-01
  0.14810000E+01  0.20226121E+01  0.20226121E+01  0.20226121E+01  0.24579221E-01  0.24579221E-01  0.24579221E-01
  0.15061000E+01  0.20822046E+01  0.20822046E+01  0.20822046E+01  0.24579221E-01  0.24579221E-01  0.24579221E-01
  0.15312000E+01  0.21572540E+01  0.21572540E+01  0.21572540E+01  0.26524581E-01  0.26524581E-01  0.26524581E-01
  0.15563000E+01  0.22449363E+01  0.22449363E+01  0.22449363E+01  0.26524581E-01  0.26524581E-01  0.26524581E-01
  0.15814000E+01  0.23412906E+01  0.23412906E+01  0.23412906E+01  0.28284271E-01  0.28284271E-01  0.28284271E-01
  0.16065000E+01  0.24420947E+01  0.24420947E+01  0.24420947E+01  0.28284271E-01  0.28284271E-01  0.28284271E-01
  0.16316000E+01  0.25435981E+01  0.25435981E+01  0.25435981E+01  0.28284271E-01  0.28284271E-01  0.28284271E-01
  0.16567000E+01  0.26427732E+01  0.26427732E+01  0.26427732E+01  0.30000000E-01  0.30000000E-01  0.30000000E-01
  0.16818000E+01  0.27374281E+01  0.27374281E+01  0.27374281E+01  0.30046119E-01  0.30046119E-01  0.30046119E-01
  0.17069000E+01  0.28261134E+01  0.28261134E+01  0.28261134E+01  0.30046119E-01  0.30046119E-01  0.30046119E-01
  0.17320000E+01  0.29080097E+01  0.29080097E+01  0.29080097E+01  0.30182399E-01  0.30182399E-01  0.30182399E-01
  0.17571000E+01  0.29827918E+01  0.29827918E+01  0.29827918E+01  0.31778955E-01  0.31778955E-01  0.31778955E-01
  0.17822000E+01  0.30505378E+01  0.30505378E+01  0.30505378E+01  0.31778955E-01  0.31778955E-01  0.31778955E-01
  0.18073000E+01  0.31116169E+01  0.31116169E+01  0.31116169E+01  0.31968974E-01  0.31968974E-01  0.31968974E-01
  0.18324000E+01  0.31665507E+01  0.31665507E+01  0.31665507E+01  0.31968974E-01  0.31968974E-01  0.31968974E-01
  0.18575000E+01  0.32160293E+01  0.32160293E+01  0.32160293E+01  0.31968974E-01  0.31968974E-01  0.31968974E-01
  0.18826000E+01  0.32608155E+01  0.32608155E+01  0.32608155E+01  0.32226022E-01  0.32226022E-01  0.32226022E-01
  0.19077000E+01  0.33017171E+01  0.33017171E+01  0.33017171E+01  0.32226022E-01  0.32226022E-01  0.32226022E-01
  0.19329000E+01  0.33396900E+01  0.33396900E+01  0.33396900E+01  0.32226022E-01  0.32226022E-01  0.32226022E-01
  0.19580000E+01  0.33757177E+01  0.33757177E+01  0.33757177E+01  0.33693249E-01  0.33693249E-01  0.33693249E-01
  0.19831000E+01  0.34108913E+01  0.34108913E+01  0.34108913E+01  0.33693249E-01  0.33693249E-01  0.33693249E-01
  0.20082000E+01  0.34462945E+01  0.34462945E+01  0.34462945E+01  0.35355339E-01  0.35355339E-01  0.35355339E-01
  0.20333000E+01  0.34829832E+01  0.34829832E+01  0.34829832E+01  0.35355339E-01  0.35355339E-01  0.35355339E-01
  0.20584000E+01  0.35217615E+01  0.35217615E+01  0.35217615E+01  0.36957963E-01  0.36957963E-01  0.36957963E-01
  0.20835000E+01  0.35630900E+01  0.35630900E+01  0.35630900E+01  0.38504854E-01  0.38504854E-01  0.38504854E-01
  0.21086000E+01  0.36070198E+01  0.36070198E+01  0.36070198E+01  0.38810125E-01  0.38810125E-01  0.38810125E-01
  0.21337000E+01  0.36530482E+01  0.36530482E+01  0.36530482E+01  0.39499779E-01  0.39499779E-01  0.39499779E-01
  0.21588000E+01  0.37002042E+01  0.37002042E+01  0.37002042E+01  0.40988459E-01  0.40988459E-01  0.40988459E-01
  0.21839000E+01  0.37470659E+01  0.37470659E+01  0.37470659E+01  0.40684747E-01  0.40684747E-01  0.40684747E-01
  0.22090000E+01  0.37919559E+01  0.37919559E+01  0.37919559E+01  0.41544124E-01  0.41544124E-01  0.41544124E-01
  0.22341000E+01  0.38330984E+01  0.38330984E+01  0.38330984E+01  0.40502254E-01  0.40502254E-01  0.40502254E-01
  0.22592000E+01  0.38688217E+01  0.38688217E+01  0.38688217E+01  0.40059345E-01  0.40059345E-01  0.40059345E-01
  0.22843000E+01  0.38977400E+01  0.38977400E+01  0.38977400E+01  0.38745191E-01  0.38745191E-01  0.38745191E-01
  0.23094000E+01  0.39189642E+01  0.39189642E+01  0.39189642E+01  0.37543055E-01  0.37543055E-01  0.37543055E-01
  0.23345000E+01  0.39322124E+01  0.39322124E+01  0.39322124E+01  0.35787937E-01  0.35787937E-01  0.35787937E-01
  0.23596000E+01  0.39379680E+01  0.39379680E+01  0.39379680E+01  0.33343203E-01  0.33343203E-01  0.33343203E-01
  0.23847000E+01  0.39374887E+01  0.39374887E+01  0.39374887E+01  0.30844575E-01  0.30844575E-01  0.30844575E-01
  0.24098000E+01  0.39327818E+01  0.39327818E+01  0.39327818E+01  0.28284271E-01  0.28284271E-01  0.28284271E-01
  0.24349000E+01  0.39264281E+01  0.39264281E+01  0.39264281E+01  0.27386128E-01  0.27386128E-01  0.27386128E-01
  0.24600000E+01  0.39213540E+01  0.39213540E+01  0.39213540E+01  0.27418670E-01  0.27418670E-01  0.27418670E-01
  0.24851000E+01  0.39204409E+01  0.39204409E+01  0.39204409E+01  0.27525394E-01  0.27525394E-01  0.27525394E-01
  0.25102000E+01  0.39260155E+01  0.39260155E+01  0.39260155E+01  0.29666033E-01  0.29666033E-01  0.29666033E-01
  0.25353000E+01  0.39395366E+01  0.39395366E+01  0.39395366E+01  0.31516717E-01  0.31516717E-01  0.31516717E-01
  0.25604000E+01  0.39611295E+01  0.39611295E+01  0.39611295E+01  0.33283250E-01  0.33283250E-01  0.33283250E-01
  0.25855000E+01  0.39895832E+01  0.39895832E+01  0.39895832E+01  0.36272033E-01  0.36272033E-01  0.36272033E-01
  0.26106000E+01  0.40224630E+01  0.40224630E+01  0.40224630E+01  0.37543055E-01  0.37543055E-01  0.37543055E-01
  0.26357000E+01  0.40564377E+01  0.40564377E+01  0.40564377E+01  0.37773803E-01  0.37773803E-01  0.37773803E-01
  0.26608000E+01  0.40877927E+01  0.40877927E+01  0.40877927E+01  0.38191952E-01  0.38191952E-01  0.38191952E-01
  0.26859000E+01  0.41129269E+01  0.41129269E+01  0.41129269E+01  0.37416574E-01  0.37416574E-01  0.37416574E-01
  0.27110000E+01  0.41287430E+01  0.41287430E+01  0.41287430E+01  0.36162660E-01  0.36162660E-01  0.36162660E-01
