     #Energy           s           p           d       tot  
   -11.97578     0.00000     0.00000     0.00000     0.00000
   -11.86178     0.00000     0.00000     0.00000     0.00000
   -11.74778     0.00000     0.00000     0.00000     0.00000
   -11.63378     0.00000     0.00000     0.00000     0.00000
   -11.51978     0.00000     0.00000     0.00000     0.00000
   -11.40578     0.00000     0.00000     0.00000     0.00000
   -11.29178     0.00000     0.00000     0.00000     0.00000
   -11.17778     0.00000     0.00000     0.00000     0.00000
   -11.06378     0.00000     0.00000     0.00000     0.00000
   -10.94978     0.00000     0.00000     0.00000     0.00000
   -10.83578     0.00000     0.00000     0.00000     0.00000
   -10.72178     0.00000     0.00000     0.00000     0.00000
   -10.60778     0.00000     0.00000     0.00000     0.00000
   -10.49378     0.00000     0.00000     0.00000     0.00000
   -10.37978     0.00000     0.00000     0.00000     0.00000
   -10.26678     0.00000     0.00000     0.00000     0.00000
   -10.15278     0.00000     0.00000     0.00000     0.00000
   -10.03878     0.00000     0.00000     0.00000     0.00000
    -9.92478     0.00073     0.00000     0.00000     0.00073
    -9.81078     0.00264     0.00002     0.00000     0.00266
    -9.69678     0.00529     0.00007     0.00000     0.00536
    -9.58278     0.00852     0.00015     0.00001     0.00869
    -9.46878     0.01229     0.00028     0.00003     0.01260
    -9.35478     0.01655     0.00046     0.00006     0.01707
    -9.24078     0.02125     0.00070     0.00011     0.02206
    -9.12678     0.02639     0.00099     0.00019     0.02757
    -9.01278     0.03195     0.00136     0.00030     0.03361
    -8.89878     0.03788     0.00180     0.00046     0.04014
    -8.78478     0.04422     0.00233     0.00069     0.04724
    -8.67078     0.05096     0.00294     0.00099     0.05490
    -8.55678     0.05809     0.00365     0.00141     0.06315
    -8.44278     0.06565     0.00446     0.00195     0.07206
    -8.32878     0.07364     0.00538     0.00267     0.08169
    -8.21478     0.08208     0.00642     0.00362     0.09212
    -8.10078     0.09101     0.00760     0.00486     0.10346
    -7.98678     0.10048     0.00891     0.00649     0.11588
    -7.87278     0.11056     0.01039     0.00868     0.12963
    -7.75878     0.12136     0.01205     0.01162     0.14502
    -7.64478     0.13305     0.01391     0.01572     0.16268
    -7.53078     0.14603     0.01602     0.02185     0.18390
    -7.41678     0.16214     0.01846     0.03517     0.21578
    -7.30278     0.18193     0.02126     0.05962     0.26280
    -7.18878     0.20277     0.02435     0.09026     0.31738
    -7.07478     0.22397     0.02781     0.13039     0.38216
    -6.96078     0.24670     0.03188     0.18808     0.46666
    -6.84678     0.27076     0.03669     0.26189     0.56934
    -6.73278     0.29467     0.04198     0.35923     0.69589
    -6.61878     0.31751     0.04757     0.48643     0.85151
    -6.50478     0.33781     0.05317     0.63066     1.02164
    -6.39078     0.35433     0.05857     0.77638     1.18928
    -6.27678     0.36767     0.06391     0.91783     1.34941
    -6.16278     0.37844     0.06936     1.05528     1.50308
    -6.04878     0.38696     0.07517     1.19200     1.65412
    -5.93478     0.39273     0.08098     1.32142     1.79512
    -5.82078     0.39574     0.08614     1.43033     1.91221
    -5.70678     0.39716     0.09108     1.52656     2.01480
    -5.59278     0.39860     0.09806     1.65002     2.14668
    -5.47978     0.40065     0.10700     1.80474     2.31240
    -5.36578     0.40264     0.11560     1.97195     2.49019
    -5.25178     0.40473     0.12333     2.15032     2.67838
    -5.13778     0.40727     0.13012     2.32590     2.86329
    -5.02378     0.41045     0.13738     2.50849     3.05632
    -4.90978     0.41420     0.14572     2.69855     3.25847
    -4.79578     0.41852     0.15469     2.89014     3.46335
    -4.68178     0.42359     0.16485     3.10299     3.69143
    -4.56778     0.42900     0.17632     3.34832     3.95365
    -4.45378     0.43437     0.18881     3.65925     4.28243
    -4.33978     0.43922     0.20069     3.95758     4.59749
    -4.22578     0.44334     0.21068     4.16930     4.82331
    -4.11178     0.44702     0.21848     4.32966     4.99516
    -3.99778     0.45040     0.22677     4.48718     5.16435
    -3.88378     0.45335     0.23572     4.65586     5.34493
    -3.76978     0.45586     0.24316     4.80665     5.50567
    -3.65578     0.45824     0.25011     4.96702     5.67537
    -3.54178     0.46060     0.25682     5.15422     5.87164
    -3.42778     0.46285     0.26326     5.35499     6.08110
    -3.31378     0.46568     0.26953     5.57759     6.31279
    -3.19978     0.46855     0.27534     5.80434     6.54823
    -3.08578     0.47065     0.28043     6.00044     6.75152
    -2.97178     0.47249     0.28504     6.17585     6.93338
    -2.85778     0.47418     0.28924     6.34362     7.10704
    -2.74378     0.47576     0.29307     6.50798     7.27681
    -2.62978     0.47727     0.29657     6.67284     7.44668
    -2.51578     0.47874     0.29976     6.84181     7.62032
    -2.40178     0.48024     0.30271     7.01956     7.80251
    -2.28778     0.48180     0.30548     7.21480     8.00207
    -2.17378     0.48349     0.30811     7.44577     8.23738
    -2.05978     0.48538     0.31054     7.74154     8.53746
    -1.94578     0.48737     0.31272     8.03343     8.83353
    -1.83178     0.48943     0.31476     8.23603     9.04023
    -1.71778     0.49166     0.31680     8.38089     9.18936
    -1.60378     0.49411     0.31894     8.45922     9.27227
    -1.48978     0.49678     0.32129     8.48342     9.30150
    -1.37578     0.49966     0.32391     8.50693     9.33050
    -1.26178     0.50274     0.32681     8.52953     9.35908
    -1.14778     0.50603     0.32999     8.55130     9.38732
    -1.03378     0.50949     0.33350     8.57248     9.41547
    -0.91978     0.51313     0.33733     8.59297     9.44343
    -0.80578     0.51693     0.34145     8.61280     9.47118
    -0.69278     0.52086     0.34578     8.63211     9.49876
    -0.57878     0.52495     0.35030     8.65083     9.52608
    -0.46478     0.52918     0.35499     8.66898     9.55315
    -0.35078     0.53353     0.35988     8.68667     9.58007
    -0.23678     0.53801     0.36493     8.70384     9.60678
    -0.12278     0.54261     0.37014     8.72049     9.63325
    -0.00878     0.54733     0.37551     8.73670     9.65953
     0.10522     0.55215     0.38102     8.75244     9.68561
     0.21922     0.55709     0.38668     8.76773     9.71150
     0.33322     0.56213     0.39249     8.78259     9.73722
     0.44722     0.56726     0.39844     8.79706     9.76276
     0.56122     0.57248     0.40453     8.81109     9.78809
     0.67522     0.57780     0.41077     8.82469     9.81325
