     #Energy        Au_s        Au_p        Au_d      Au_all
   -11.97578     0.00000     0.00000     0.00000     0.00000
   -11.86178     0.00000     0.00000     0.00000     0.00000
   -11.74778     0.00000     0.00000     0.00000     0.00000
   -11.63378     0.00000     0.00000     0.00000     0.00000
   -11.51978     0.00000     0.00000     0.00000     0.00000
   -11.40578     0.00000     0.00000     0.00000     0.00000
   -11.29178     0.00000     0.00000     0.00000     0.00000
   -11.17778     0.00000     0.00000     0.00000     0.00000
   -11.06378     0.00000     0.00000     0.00000     0.00000
   -10.94978     0.00000     0.00000     0.00000     0.00000
   -10.83578     0.00000     0.00000     0.00000     0.00000
   -10.72178     0.00000     0.00000     0.00000     0.00000
   -10.60778     0.00000     0.00000     0.00000     0.00000
   -10.49378     0.00000     0.00000     0.00000     0.00000
   -10.37978     0.00000     0.00000     0.00000     0.00000
   -10.26678     0.00000     0.00000     0.00000     0.00000
   -10.15278     0.00000     0.00000     0.00000     0.00000
   -10.03878     0.00000     0.00000     0.00000     0.00000
    -9.92478     0.01282     0.00006     0.00000     0.01288
    -9.81078     0.02069     0.00027     0.00001     0.02098
    -9.69678     0.02575     0.00056     0.00005     0.02636
    -9.58278     0.03097     0.00092     0.00011     0.03199
    -9.46878     0.03523     0.00132     0.00020     0.03675
    -9.35478     0.03949     0.00181     0.00034     0.04164
    -9.24078     0.04299     0.00233     0.00054     0.04586
    -9.12678     0.04721     0.00290     0.00081     0.05092
    -9.01278     0.05028     0.00354     0.00119     0.05501
    -8.89878     0.05379     0.00422     0.00166     0.05966
    -8.78478     0.05753     0.00498     0.00228     0.06478
    -8.67078     0.06076     0.00578     0.00309     0.06963
    -8.55678     0.06436     0.00664     0.00413     0.07513
    -8.44278     0.06828     0.00758     0.00544     0.08129
    -8.32878     0.07194     0.00860     0.00719     0.08774
    -8.21478     0.07611     0.00972     0.00947     0.09530
    -8.10078     0.08053     0.01084     0.01226     0.10363
    -7.98678     0.08568     0.01226     0.01644     0.11438
    -7.87278     0.09128     0.01369     0.02191     0.12688
    -7.75878     0.09813     0.01536     0.02972     0.14321
    -7.64478     0.10710     0.01731     0.04224     0.16665
    -7.53078     0.12060     0.01974     0.06531     0.20565
    -7.41678     0.16220     0.02314     0.16840     0.35374
    -7.30278     0.18490     0.02589     0.26060     0.47139
    -7.18878     0.18090     0.02844     0.27700     0.48634
    -7.07478     0.19100     0.03216     0.42730     0.65046
    -6.96078     0.20800     0.03933     0.58490     0.83223
    -6.84678     0.21410     0.04509     0.71030     0.96949
    -6.73278     0.20550     0.04777     0.99790     1.25117
    -6.61878     0.19530     0.05028     1.23400     1.47958
    -6.50478     0.16080     0.04796     1.29700     1.50576
    -6.39078     0.12920     0.04682     1.26000     1.43602
    -6.27678     0.10490     0.04685     1.22200     1.37375
    -6.16278     0.08409     0.04875     1.19000     1.32284
    -6.04878     0.06529     0.05327     1.20900     1.32756
    -5.93478     0.03602     0.04866     1.06200     1.14668
    -5.82078     0.01680     0.04189     0.84910     0.90779
    -5.70678     0.00809     0.04482     0.83950     0.89241
    -5.59278     0.01726     0.07758     1.32700     1.42184
    -5.47978     0.01867     0.07942     1.38800     1.48609
    -5.36578     0.01631     0.07143     1.54600     1.63374
    -5.25178     0.02035     0.06415     1.58400     1.66850
    -5.13778     0.02414     0.05511     1.49700     1.57625
    -5.02378     0.03170     0.07216     1.70700     1.81086
    -4.90978     0.03417     0.07430     1.62800     1.73647
    -4.79578     0.04155     0.08302     1.73400     1.85857
    -4.68178     0.04735     0.09529     2.00100     2.14364
    -4.56778     0.04771     0.10600     2.30400     2.45771
    -4.45378     0.04645     0.11320     3.15200     3.31165
    -4.33978     0.03861     0.09519     2.08300     2.21680
    -4.22578     0.03374     0.08012     1.63200     1.74586
    -4.11178     0.03080     0.05682     1.18200     1.26962
    -3.99778     0.02855     0.08860     1.58200     1.69915
    -3.88378     0.02318     0.06851     1.37800     1.46969
    -3.76978     0.02085     0.06204     1.26800     1.35089
    -3.65578     0.02098     0.05989     1.54600     1.62687
    -3.54178     0.02037     0.05782     1.73900     1.81719
    -3.42778     0.01919     0.05514     1.78400     1.85833
    -3.31378     0.03045     0.05489     2.12200     2.20734
    -3.19978     0.01990     0.04702     1.85700     1.92392
    -3.08578     0.01696     0.04237     1.58400     1.64333
    -2.97178     0.01538     0.03850     1.49400     1.54788
    -2.85778     0.01420     0.03517     1.45000     1.49937
    -2.74378     0.01355     0.03213     1.43400     1.47968
    -2.62978     0.01293     0.02921     1.45900     1.50114
    -2.51578     0.01296     0.02688     1.50600     1.54584
    -2.40178     0.01324     0.02483     1.61300     1.65107
    -2.28778     0.01409     0.02376     1.81300     1.85085
    -2.17378     0.01572     0.02244     2.24000     2.27816
    -2.05978     0.01744     0.02012     2.95000     2.98756
    -1.94578     0.01747     0.01822     2.17200     2.20769
    -1.83178     0.01871     0.01760     1.38300     1.41931
    -1.71778     0.02041     0.01813     1.15900     1.19754
    -1.60378     0.02251     0.01940     0.21540     0.25731
    -1.48978     0.02436     0.02184     0.20940     0.25560
    -1.37578     0.02611     0.02415     0.20310     0.25336
    -1.26178     0.02805     0.02665     0.19350     0.24820
    -1.14778     0.02961     0.02929     0.18840     0.24730
    -1.03378     0.03111     0.03218     0.18330     0.24659
    -0.91978     0.03271     0.03511     0.17630     0.24412
    -0.80578     0.03394     0.03716     0.17170     0.24280
    -0.69278     0.03517     0.03885     0.16710     0.24112
    -0.57878     0.03653     0.04040     0.16140     0.23833
    -0.46478     0.03765     0.04201     0.15710     0.23676
    -0.35078     0.03870     0.04365     0.15320     0.23555
    -0.23678     0.03991     0.04505     0.14810     0.23306
    -0.12278     0.04091     0.04641     0.14410     0.23142
    -0.00878     0.04180     0.04769     0.14030     0.22979
     0.10522     0.04287     0.04900     0.13600     0.22787
     0.21922     0.04383     0.05036     0.13220     0.22639
     0.33322     0.04463     0.05171     0.12870     0.22504
     0.44722     0.04530     0.05266     0.12510     0.22306
     0.56122     0.04627     0.05408     0.12110     0.22145
