#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  10
# Band-Index    1
   0.00000     -8.329487     -8.345814
   0.15537     -8.230741     -8.246981
   0.31075     -7.937689     -7.953477
   0.46612     -7.460704     -7.474953
   0.62150     -6.820202     -6.829945
   0.77687     -6.053390     -6.051064
   0.93225     -5.227704     -5.195172
   1.08762     -4.457772     -4.358030
   1.24300     -3.883581     -3.669807
   1.39837     -3.550176     -3.214552
   1.55374     -3.361854     -2.943445
   1.70912     -3.221045     -2.756461
   1.86449     -3.093310     -2.601280
   2.01987     -3.012387     -2.523115
   2.17524     -3.100929     -2.654290
   2.33062     -3.359393     -2.939523
   2.48599     -3.664727     -3.263815
   2.64136     -3.928572     -3.541139
   2.79674     -4.102934     -3.723587
   2.95211     -4.163552     -3.786896
   2.95211     -4.163552     -3.786896
   3.08462     -4.117147     -3.737917
   3.21712     -3.982611     -3.595587
   3.34962     -3.773802     -3.373632
   3.48213     -3.512823     -3.094267
   3.61463     -3.227645     -2.786314
   3.74714     -2.948216     -2.481744
   3.87964     -2.974214     -2.556029
   4.01214     -3.095101     -2.677392
   4.14465     -3.156358     -2.738365
   4.27715     -3.156359     -2.738366
   4.40965     -3.095102     -2.677394
   4.54216     -2.974215     -2.556032
   4.67466     -2.948208     -2.481740
   4.80717     -3.227635     -2.786309
   4.93967     -3.512812     -3.094261
   5.07217     -3.773790     -3.373626
   5.20468     -3.982598     -3.595580
   5.33718     -4.117134     -3.737910
   5.46968     -4.163539     -3.786888
   5.46968     -4.163539     -3.786888
   5.54737     -4.167066     -3.794815
   5.62506     -4.178767     -3.820072
   5.70275     -4.201991     -3.866924
   5.78043     -4.242437     -3.941975
   5.85812     -4.307869     -4.052676
   5.93581     -4.406646     -4.204223
   6.01349     -4.544693     -4.396092
   6.09118     -4.721384     -4.620302
   6.16887     -4.927864     -4.863472
   6.24656     -5.149842     -5.110893
   6.32424     -5.371986     -5.349319
   6.40193     -5.581096     -5.568182
   6.47962     -5.767080     -5.759574
   6.55730     -5.922656     -5.917755
   6.63499     -6.042693     -6.038602
   6.71268     -6.123674     -6.119232
   6.79037     -6.163345     -6.157769
   6.86805     -6.160448     -6.153167
   6.94574     -6.114594     -6.105125
   6.94574     -6.114594     -6.105125
   6.98631     -6.315080     -6.312011
   7.02688     -6.511710     -6.513532
   7.06745     -6.702787     -6.708329
   7.10802     -6.886939     -6.895299
   7.14859     -7.062931     -7.073416
   7.18917     -7.229783     -7.241862
   7.22974     -7.386682     -7.399954
   7.27031     -7.533001     -7.547156
   7.31088     -7.668115     -7.682919
   7.35145     -7.791548     -7.806826
   7.39202     -7.902902     -7.918520
   7.43259     -8.001890     -8.017750
   7.47316     -8.088189     -8.104221
   7.51373     -8.161552     -8.177700
   7.55430     -8.221809     -8.238034
   7.59487     -8.268855     -8.285130
   7.63544     -8.302531     -8.318836
   7.67602     -8.322756     -8.339078
   7.71659     -8.329487     -8.345814
   7.71659     -8.329487     -8.345814
   7.79773     -8.302531     -8.318836
   7.87887     -8.221809     -8.238034
   7.96001     -8.088189     -8.104221
   8.04115     -7.902901     -7.918520
   8.12229     -7.668114     -7.682919
   8.20344     -7.386681     -7.399954
   8.28458     -7.062930     -7.073415
   8.36572     -6.702785     -6.708329
   8.44686     -6.315077     -6.312010
   8.52800     -5.912301     -5.894513
   8.60914     -5.512495     -5.470315
   8.69029     -5.139093     -5.058823
   8.77143     -4.817893     -4.684134
   8.85257     -4.567522     -4.369723
   8.93371     -4.391073     -4.129959
   9.01485     -4.277116     -3.964001
   9.09599     -4.209430     -3.860118
   9.17714     -4.174326     -3.804337
   9.25828     -4.163539     -3.786888
 
# Band-Index    2
   9.25828     -1.815843     -1.220780
   9.17714     -1.811644     -1.216216
   9.09599     -1.799224     -1.202700
   9.01485     -1.779152     -1.180802
   8.93371     -1.752400     -1.151491
   8.85257     -1.720377     -1.116173
   8.77143     -1.685019     -1.307958
   8.69029     -1.894470     -1.449737
   8.60914     -2.021005     -1.521181
   8.52800     -2.079175     -1.540213
   8.44686     -2.089535     -1.522912
   8.36572     -2.068690     -1.482023
   8.28458     -2.028944     -1.427236
   8.20344     -1.979507     -1.366163
   8.12229     -1.927278     -1.304784
   8.04115     -1.877683     -1.248016
   7.96001     -1.834861     -1.199739
   7.87887     -1.802040     -1.163062
   7.79773     -1.781426     -1.140142
   7.71659     -1.774432     -1.132378
   7.71659     -1.774432     -1.132378
   7.67602     -1.776181     -1.134319
   7.63544     -1.781430     -1.140144
   7.59487     -1.790099     -1.149773
   7.55430     -1.802044     -1.163064
   7.51373     -1.817041     -1.179794
   7.47316     -1.834864     -1.199741
   7.43259     -1.855201     -1.222600
   7.39202     -1.877687     -1.248018
   7.35145     -1.901869     -1.275559
   7.31088     -1.927281     -1.304785
   7.27031     -1.953372     -1.335179
   7.22974     -1.979509     -1.366164
   7.18917     -2.004962     -1.397079
   7.14859     -2.028946     -1.427236
   7.10802     -2.050542     -1.455848
   7.06745     -2.068691     -1.482023
   7.02688     -2.082154     -1.504747
   6.98631     -2.089535     -1.522911
   6.94574     -2.089183     -1.535226
   6.94574     -2.089183     -1.535226
   6.86805     -2.102854     -1.543087
   6.79037     -2.135233     -1.568234
   6.71268     -2.177790     -1.603720
   6.63499     -2.223124     -1.643358
   6.55730     -2.265282     -1.682122
   6.47962     -2.299035     -1.715740
   6.40193     -2.318902     -1.739967
   6.32424     -2.318181     -1.749811
   6.24656     -2.288082     -1.738767
   6.16887     -2.217451     -1.698326
   6.09118     -2.093811     -1.618075
   6.01349     -1.906980     -1.487771
   5.93581     -1.785458     -1.307395
   5.85812     -1.796251     -1.216858
   5.78043     -1.804198     -1.215991
   5.70275     -1.809716     -1.218169
   5.62506     -1.813258     -1.219717
   5.54737     -1.815220     -1.220535
   5.46968     -1.815843     -1.220780
   5.46968     -1.815843     -1.220780
   5.33718     -1.849655     -1.263218
   5.20468     -1.951087     -1.393068
   5.07217     -2.118594     -1.608556
   4.93967     -2.339262     -1.876906
   4.80717     -2.578709     -2.144777
   4.67466     -2.798354     -2.376439
   4.54216     -2.703021     -2.212192
   4.40965     -2.518262     -2.007643
   4.27715     -2.417737     -1.895788
   4.14465     -2.417739     -1.895789
   4.01214     -2.518266     -2.007644
   3.87964     -2.703027     -2.212195
   3.74714     -2.798351     -2.376435
   3.61463     -2.578706     -2.144773
   3.48213     -2.339260     -1.876902
   3.34962     -2.118592     -1.608553
   3.21712     -1.951086     -1.393065
   3.08462     -1.849654     -1.263216
   2.95211     -1.815841     -1.220779
   2.95211     -1.815841     -1.220779
   2.79674     -1.859418     -1.275748
   2.64136     -1.987254     -1.440951
   2.48599     -2.187152     -1.698097
   2.33062     -2.424506     -1.980755
   2.17524     -2.644339     -2.223893
   2.01987     -2.797026     -2.400533
   1.86449     -2.866109     -2.460213
   1.70912     -2.879594     -2.449925
   1.55374     -2.844535     -2.394362
   1.39837     -2.778622     -2.306433
   1.24300     -2.704738     -2.204052
   1.08762     -2.620893     -2.086975
   0.93225     -2.505131     -1.942209
   0.77687     -2.355449     -1.769694
   0.62150     -2.188771     -1.584374
   0.46612     -2.027556     -1.407737
   0.31075     -1.893678     -1.261925
   0.15537     -1.805280     -1.165874
   0.00000     -1.774432     -1.132378
 
# Band-Index    3
   0.00000     -1.774427     -1.132376
   0.15537     -1.749928     -1.107102
   0.31075     -1.679107     -1.034347
   0.46612     -1.575159     -0.929519
   0.62150     -1.492216     -0.856944
   0.77687     -1.534692     -0.925727
   0.93225     -1.664048     -1.077971
   1.08762     -1.779467     -1.215544
   1.24300     -1.814614     -1.275726
   1.39837     -1.765895     -1.244911
   1.55374     -1.715781     -1.195663
   1.70912     -1.738372     -1.213484
   1.86449     -1.845240     -1.319286
   2.01987     -1.973266     -1.447489
   2.17524     -1.986048     -1.462062
   2.33062     -1.822125     -1.316429
   2.48599     -1.517701     -1.058067
   2.64136     -1.663944     -1.064881
   2.79674     -1.776994     -1.180888
   2.95211     -1.815841     -1.220779
   2.95211     -1.815841     -1.220779
   3.08462     -1.786317     -1.190425
   3.21712     -1.698743     -1.100512
   3.34962     -1.556955     -0.955332
   3.48213     -1.672409     -1.182086
   3.61463     -1.914626     -1.397556
   3.74714     -2.103277     -1.576985
   3.87964     -2.247675     -1.720577
   4.01214     -2.347202     -1.821966
   4.14465     -2.398265     -1.874594
   4.27715     -2.398265     -1.874595
   4.40965     -2.347203     -1.821967
   4.54216     -2.247676     -1.720579
   4.67466     -2.103279     -1.576988
   4.80717     -1.914629     -1.397560
   4.93967     -1.672414     -1.182092
   5.07217     -1.556957     -0.955334
   5.20468     -1.698746     -1.100514
   5.33718     -1.786319     -1.190427
   5.46968     -1.815842     -1.220780
   5.46968     -1.815842     -1.220780
   5.54737     -1.810959     -1.215639
   5.62506     -1.796374     -1.200281
   5.70275     -1.772290     -1.174914
   5.78043     -1.739052     -1.139890
   5.85812     -1.697135     -1.095688
   5.93581     -1.653961     -1.178167
   6.01349     -1.771052     -1.176862
   6.09118     -1.753476     -1.162034
   6.16887     -1.732473     -1.141580
   6.24656     -1.708618     -1.116763
   6.32424     -1.682902     -1.088738
   6.40193     -1.656729     -1.059049
   6.47962     -1.631843     -1.029650
   6.55730     -1.610124     -1.002695
   6.63499     -1.593223     -0.980168
   6.71268     -1.582200     -0.963534
   6.79037     -1.577003     -0.953323
   6.86805     -1.576234     -0.949076
   6.94574     -1.577854     -0.950007
   6.94574     -1.577854     -0.950007
   6.98631     -1.571187     -0.940155
   7.02688     -1.568195     -0.934082
   7.06745     -1.569180     -0.932209
   7.10802     -1.574229     -0.934743
   7.14859     -1.583184     -0.941623
   7.18917     -1.595650     -0.952510
   7.22974     -1.611024     -0.966807
   7.27031     -1.628574     -0.983741
   7.31088     -1.647495     -1.002433
   7.35145     -1.666992     -1.021999
   7.39202     -1.686331     -1.041615
   7.43259     -1.704850     -1.060541
   7.47316     -1.721980     -1.078138
   7.51373     -1.737236     -1.093867
   7.55430     -1.750225     -1.107293
   7.59487     -1.760638     -1.118075
   7.63544     -1.768241     -1.125957
   7.67602     -1.772870     -1.130760
   7.71659     -1.774427     -1.132376
   7.71659     -1.774427     -1.132376
   7.79773     -1.768245     -1.125959
   7.87887     -1.750229     -1.107295
   7.96001     -1.721983     -1.078140
   8.04115     -1.686334     -1.041617
   8.12229     -1.647499     -1.002435
   8.20344     -1.611028     -0.966810
   8.28458     -1.583188     -0.941625
   8.36572     -1.569183     -0.932211
   8.44686     -1.571191     -0.940157
   8.52800     -1.587753     -0.963096
   8.60914     -1.615095     -0.996555
   8.69029     -1.648843     -1.035815
   8.77143     -1.685018     -1.076777
   8.85257     -1.720376     -1.116173
   8.93371     -1.752399     -1.151491
   9.01485     -1.779152     -1.180802
   9.09599     -1.799223     -1.202700
   9.17714     -1.811643     -1.216216
   9.25828     -1.815842     -1.220780
 
# Band-Index    4
   9.25828     -0.010463      0.303442
   9.17714     -0.020453      0.201908
   9.09599     -0.099163     -0.065791
   9.01485     -0.524877     -0.418399
   8.93371     -0.968391     -0.776406
   8.85257     -1.366216     -1.082568
   8.77143     -1.679301     -1.076777
   8.69029     -1.648842     -1.035815
   8.60914     -1.615094     -0.996555
   8.52800     -1.587752     -0.963096
   8.44686     -1.571189     -0.940156
   8.36572     -1.569181     -0.932211
   8.28458     -1.583185     -0.941624
   8.20344     -1.611025     -0.966808
   8.12229     -1.647495     -1.002433
   8.04115     -1.686331     -1.041616
   7.96001     -1.721980     -1.078138
   7.87887     -1.750225     -1.107293
   7.79773     -1.768241     -1.125957
   7.71659     -1.774427     -1.132376
   7.71659     -1.774427     -1.132376
   7.67602     -1.772870     -1.130760
   7.63544     -1.768241     -1.125957
   7.59487     -1.760638     -1.118075
   7.55430     -1.750225     -1.107293
   7.51373     -1.737236     -1.093867
   7.47316     -1.721980     -1.078138
   7.43259     -1.704850     -1.060541
   7.39202     -1.686331     -1.041615
   7.35145     -1.666992     -1.021999
   7.31088     -1.647495     -1.002433
   7.27031     -1.628574     -0.983741
   7.22974     -1.611024     -0.966807
   7.18917     -1.595650     -0.952510
   7.14859     -1.583184     -0.941623
   7.10802     -1.574229     -0.934743
   7.06745     -1.569180     -0.932209
   7.02688     -1.568195     -0.934082
   6.98631     -1.571187     -0.940155
   6.94574     -1.577854     -0.950007
   6.94574     -1.577854     -0.950007
   6.86805     -1.565060     -0.935723
   6.79037     -1.533473     -0.901736
   6.71268     -1.484115     -0.848948
   6.63499     -1.418671     -0.778708
   6.55730     -1.340427     -0.693195
   6.47962     -1.261210     -0.599791
   6.40193     -1.246962     -0.599576
   6.32424     -1.309634     -0.680211
   6.24656     -1.383674     -0.762264
   6.16887     -1.456771     -0.840925
   6.09118     -1.525975     -0.914635
   6.01349     -1.589788     -0.982279
   5.93581     -1.647135     -1.042910
   5.85812     -1.344222     -1.026385
   5.78043     -0.997922     -0.733514
   5.70275     -0.646099     -0.409478
   5.62506     -0.329655     -0.090919
   5.54737     -0.098866      0.177086
   5.46968     -0.010463      0.303442
   5.46968     -0.010463      0.303442
   5.33718     -0.448382     -0.099445
   5.20468     -0.943996     -0.554886
   5.07217     -1.354530     -0.912623
   4.93967     -1.370529     -0.765266
   4.80717     -1.160781     -0.552850
   4.67466     -0.967865     -0.359535
   4.54216     -0.841040     -0.234169
   4.40965     -0.792072     -0.186920
   4.27715     -0.784321     -0.180555
   4.14465     -0.784321     -0.180555
   4.01214     -0.792072     -0.186920
   3.87964     -0.841040     -0.234169
   3.74714     -0.967864     -0.359534
   3.61463     -1.160779     -0.552849
   3.48213     -1.370527     -0.765264
   3.34962     -1.354524     -0.912614
   3.21712     -0.943990     -0.554875
   3.08462     -0.448378     -0.099430
   2.95211     -0.010464      0.303471
   2.95211     -0.010464      0.303471
   2.79674     -0.529834     -0.178934
   2.64136     -1.083659     -0.685387
   2.48599     -1.487458     -0.884141
   2.33062     -1.267202     -0.659680
   2.17524     -1.036842     -0.427517
   2.01987     -0.858129     -0.249688
   1.86449     -0.804500     -0.190958
   1.70912     -0.849586     -0.228420
   1.55374     -0.927964     -0.302342
   1.39837     -1.011578     -0.383202
   1.24300     -1.092046     -0.461004
   1.08762     -1.169627     -0.535152
   0.93225     -1.250212     -0.611348
   0.77687     -1.342687     -0.699252
   0.62150     -1.451907     -0.805533
   0.46612     -1.569646     -0.923169
   0.31075     -1.675597     -1.030912
   0.15537     -1.748516     -1.105710
   0.00000     -1.774427     -1.132376
 
# Band-Index    5
   0.00000     -0.725472     -0.095418
   0.15537     -0.751353     -0.123018
   0.31075     -0.823337     -0.199877
   0.46612     -0.918738     -0.301526
   0.62150     -0.965350     -0.346856
   0.77687     -0.826386     -0.197833
   0.93225     -0.480662      0.138950
   1.08762     -0.134150      0.545797
   1.24300     -0.014995      0.676809
   1.39837      0.041550      0.741857
   1.55374      0.020330      0.725594
   1.70912     -0.073436      0.634647
   1.86449     -0.202384      0.508582
   2.01987     -0.282386      0.427141
   2.17524     -0.263858      0.437791
   2.33062     -0.197211      0.499824
   2.48599     -0.124354      0.571656
   2.64136     -0.063645      0.632843
   2.79674     -0.024116      0.673072
   2.95211     -0.010464      0.687021
   2.95211     -0.010464      0.687021
   3.08462     -0.014990      0.682508
   3.21712     -0.028123      0.669477
   3.34962     -0.048115      0.649912
   3.48213     -0.070415      0.628942
   3.61463     -0.084423      0.618291
   3.74714     -0.069590      0.639691
   3.87964     -0.004972      0.712981
   4.01214      0.091013      0.816597
   4.14465      0.160106      0.890245
   4.27715      0.160106      0.890245
   4.40965      0.091012      0.816596
   4.54216     -0.004973      0.712980
   4.67466     -0.069590      0.639692
   4.80717     -0.084423      0.618292
   4.93967     -0.070414      0.628943
   5.07217     -0.048114      0.649913
   5.20468     -0.028123      0.669478
   5.33718     -0.014989      0.682510
   5.46968     -0.010455      0.687022
   5.46968     -0.010455      0.687022
   5.54737     -0.021879      0.675000
   5.62506     -0.055764      0.639327
   5.70275     -0.110904      0.581291
   5.78043     -0.185379      0.502928
   5.85812     -0.276683      0.406887
   5.93581     -0.381788      0.296349
   6.01349     -0.497347      0.174805
   6.09118     -0.619812      0.045903
   6.16887     -0.745392     -0.086563
   6.24656     -0.870067     -0.218846
   6.32424     -0.988563     -0.346979
   6.40193     -1.086443     -0.463962
   6.47962     -1.096337     -0.488497
   6.55730     -1.028683     -0.406707
   6.63499     -0.948183     -0.318417
   6.71268     -0.865684     -0.230024
   6.79037     -0.783828     -0.143065
   6.86805     -0.703927     -0.058524
   6.94574     -0.626851      0.022846
   6.94574     -0.626851      0.022846
   6.98631     -0.660849     -0.015119
   7.02688     -0.690432     -0.048494
   7.06745     -0.715155     -0.076718
   7.10802     -0.734781     -0.099433
   7.14859     -0.749329     -0.116560
   7.18917     -0.759090     -0.128338
   7.22974     -0.764574     -0.135272
   7.27031     -0.766439     -0.138068
   7.31088     -0.765411     -0.137531
   7.35145     -0.762227     -0.134491
   7.39202     -0.757581     -0.129739
   7.43259     -0.752095     -0.123981
   7.47316     -0.746303     -0.117824
   7.51373     -0.740665     -0.111790
   7.55430     -0.735567     -0.106310
   7.59487     -0.731307     -0.101720
   7.63544     -0.728112     -0.098271
   7.67602     -0.726139     -0.096139
   7.71659     -0.725472     -0.095418
   7.71659     -0.725472     -0.095418
   7.79773     -0.728112     -0.098271
   7.87887     -0.735567     -0.106310
   7.96001     -0.746303     -0.117824
   8.04115     -0.757580     -0.129738
   8.12229     -0.765410     -0.137530
   8.20344     -0.764574     -0.135271
   8.28458     -0.749329     -0.116560
   8.36572     -0.715154     -0.076717
   8.44686     -0.660849     -0.015118
   8.52800     -0.589048      0.064685
   8.60914     -0.504965      0.156746
   8.69029     -0.414683      0.254574
   8.77143     -0.323996      0.352168
   8.85257     -0.238057      0.444243
   8.93371     -0.161382      0.526168
   9.01485     -0.097681      0.594112
   9.09599     -0.049969      0.644952
   9.17714     -0.020445      0.676386
   9.25828     -0.010455      0.687022
 
# Band-Index    6
   9.25828      0.343957      0.687029
   9.17714      0.221880      0.676393
   9.09599     -0.049961      0.644959
   9.01485     -0.097673      0.594118
   8.93371     -0.161374      0.526174
   8.85257     -0.238050      0.444249
   8.77143     -0.323988      0.352173
   8.69029     -0.414676      0.254579
   8.60914     -0.504959      0.156751
   8.52800     -0.589043      0.064689
   8.44686     -0.660844     -0.015114
   8.36572     -0.715151     -0.076714
   8.28458     -0.749326     -0.116558
   8.20344     -0.764572     -0.135270
   8.12229     -0.765409     -0.137529
   8.04115     -0.757580     -0.129738
   7.96001     -0.746303     -0.117824
   7.87887     -0.735567     -0.106310
   7.79773     -0.728112     -0.098271
   7.71659     -0.725472     -0.095418
   7.71659     -0.725472     -0.095418
   7.67602     -0.726139     -0.096139
   7.63544     -0.728112     -0.098271
   7.59487     -0.731307     -0.101720
   7.55430     -0.735567     -0.106310
   7.51373     -0.740665     -0.111790
   7.47316     -0.746303     -0.117824
   7.43259     -0.752095     -0.123981
   7.39202     -0.757581     -0.129739
   7.35145     -0.762227     -0.134491
   7.31088     -0.765411     -0.137531
   7.27031     -0.766439     -0.138068
   7.22974     -0.764574     -0.135272
   7.18917     -0.759090     -0.128338
   7.14859     -0.749329     -0.116560
   7.10802     -0.734781     -0.099433
   7.06745     -0.715155     -0.076718
   7.02688     -0.690432     -0.048494
   6.98631     -0.660849     -0.015119
   6.94574     -0.626851      0.022846
   6.94574     -0.626851      0.022846
   6.86805     -0.565921      0.084907
   6.79037     -0.491078      0.160449
   6.71268     -0.408604      0.243372
   6.63499     -0.323075      0.329135
   6.55730     -0.237789      0.414386
   6.47962     -0.155012      0.496753
   6.40193     -0.076367      0.574467
   6.32424     -0.002918      0.646273
   6.24656      0.064636      0.711217
   6.16887      0.125842      0.768486
   6.09118      0.180431      0.817286
   6.01349      0.228232      0.856658
   5.93581      0.269052      0.885182
   5.85812      0.302673      0.900713
   5.78043      0.328655      0.899800
   5.70275      0.346095      0.877112
   5.62506      0.353433      0.825914
   5.54737      0.349779      0.745442
   5.46968      0.343957      0.687029
   5.46968      0.343957      0.687029
   5.33718      0.856877      1.170843
   5.20468      1.580456      1.874850
   5.07217      2.378789      2.656115
   4.93967      3.243648      3.504510
   4.80717      4.171338      4.415686
   4.67466      5.157305      5.384665
   4.54216      6.190909      6.400297
   4.40965      7.236759      7.426141
   4.27715      8.122135      8.288529
   4.14465      8.122144      8.288537
   4.01214      7.236774      7.426155
   3.87964      6.190924      6.400311
   3.74714      5.157321      5.384678
   3.61463      4.171353      4.415699
   3.48213      3.243663      3.504522
   3.34962      2.378804      2.656126
   3.21712      1.580471      1.874860
   3.08462      0.856894      1.170849
   2.95211      0.343988      0.687021
   2.95211      0.343988      0.687021
   2.79674      0.953989      1.270600
   2.64136      1.774163      2.078781
   2.48599      2.630204      2.928514
   2.33062      3.472667      3.766253
   2.17524      4.271264      4.554857
   2.01987      5.040793      5.303132
   1.86449      5.744400      5.972156
   1.70912      5.177143      5.408217
   1.55374      3.586361      3.886746
   1.39837      2.110245      2.502689
   1.24300      0.924666      1.420750
   1.08762      0.077773      0.655943
   0.93225     -0.287368      0.378613
   0.77687     -0.440369      0.211640
   0.62150     -0.564357      0.076443
   0.46612     -0.647646     -0.013555
   0.31075     -0.695431     -0.064271
   0.15537     -0.718658     -0.088427
   0.00000     -0.725472     -0.095418
 
# Band-Index    7
   0.00000     24.647643     24.507966
   0.15537     24.342266     24.229921
   0.31075     23.175180     23.153542
   0.46612     21.210737     21.257639
   0.62150     19.051969     19.131850
   0.77687     16.931530     17.034276
   0.93225     14.913825     15.035930
   1.08762     13.025935     13.165674
   1.24300     11.287196     11.443849
   1.39837      9.718214      9.892436
   1.55374      8.347867      8.542448
   1.70912      7.263288      7.483341
   1.86449      7.387772      7.591924
   2.01987      8.127947      8.318240
   2.17524      7.695941      7.924663
   2.33062      7.086177      7.358354
   2.48599      6.646421      6.958120
   2.64136      6.383717      6.724908
   2.79674      6.250551      6.609249
   2.95211      6.210366      6.574809
   2.95211      6.210366      6.574809
   3.08462      6.224358      6.585753
   3.21712      6.268868      6.621061
   3.34962      6.351578      6.688273
   3.48213      6.485659      6.800507
   3.61463      6.689222      6.976228
   3.74714      6.982216      7.236657
   3.87964      7.375664      7.595484
   4.01214      7.840551      8.027836
   4.14465      8.226502      8.390394
   4.27715      8.226515      8.390408
   4.40965      7.840578      8.027867
   4.54216      7.375697      7.595521
   4.67466      6.982251      7.236697
   4.80717      6.689257      6.976269
