     #Energy      Si_all        Si_s        Si_p        Si_d
   -13.93473     0.00000     0.00000     0.00000     0.00000
   -13.84873     0.00000     0.00000     0.00000     0.00000
   -13.76173     0.00000     0.00000     0.00000     0.00000
   -13.67573     0.00000     0.00000     0.00000     0.00000
   -13.58973     0.00000     0.00000     0.00000     0.00000
   -13.50273     0.00000     0.00000     0.00000     0.00000
   -13.41673     0.00000     0.00000     0.00000     0.00000
   -13.32973     0.00000     0.00000     0.00000     0.00000
   -13.24373     0.00000     0.00000     0.00000     0.00000
   -13.15673     0.00000     0.00000     0.00000     0.00000
   -13.07073     0.00000     0.00000     0.00000     0.00000
   -12.98373     0.00000     0.00000     0.00000     0.00000
   -12.89773     0.00000     0.00000     0.00000     0.00000
   -12.81073     0.00000     0.00000     0.00000     0.00000
   -12.72473     0.00000     0.00000     0.00000     0.00000
   -12.63773     0.00000     0.00000     0.00000     0.00000
   -12.55173     0.00000     0.00000     0.00000     0.00000
   -12.46473     0.00000     0.00000     0.00000     0.00000
   -12.37873     0.00000     0.00000     0.00000     0.00000
   -12.29173     0.00000     0.00000     0.00000     0.00000
   -12.20573     0.00000     0.00000     0.00000     0.00000
   -12.11873     0.00000     0.00000     0.00000     0.00000
   -12.03273     0.00000     0.00000     0.00000     0.00000
   -11.94573     0.00000     0.00000     0.00000     0.00000
   -11.85973     0.04178     0.04160     0.00018     0.00000
   -11.77273     0.06000     0.05946     0.00054     0.00000
   -11.68673     0.07495     0.07396     0.00099     0.00000
   -11.59973     0.08820     0.08668     0.00152     0.00000
   -11.51373     0.09903     0.09690     0.00213     0.00000
   -11.42673     0.10948     0.10666     0.00282     0.00000
   -11.34073     0.11986     0.11630     0.00356     0.00000
   -11.25373     0.12877     0.12442     0.00435     0.00000
   -11.16773     0.13847     0.13328     0.00519     0.00000
   -11.08073     0.14700     0.14090     0.00610     0.00000
   -10.99473     0.15608     0.14904     0.00704     0.00000
   -10.90773     0.16469     0.15666     0.00803     0.00000
   -10.82173     0.17341     0.16432     0.00909     0.00000
   -10.73473     0.18253     0.17236     0.01017     0.00000
   -10.64873     0.19109     0.17976     0.01133     0.00000
   -10.56173     0.20033     0.18782     0.01251     0.00000
   -10.47573     0.20980     0.19604     0.01376     0.00000
   -10.38973     0.21926     0.20420     0.01506     0.00000
   -10.30273     0.22962     0.21320     0.01642     0.00000
   -10.21673     0.24046     0.22260     0.01786     0.00000
   -10.12973     0.25197     0.23260     0.01937     0.00000
   -10.04373     0.26478     0.24380     0.02098     0.00000
    -9.95673     0.27954     0.25680     0.02274     0.00000
    -9.87073     0.29604     0.27140     0.02464     0.00000
    -9.78373     0.31728     0.29040     0.02688     0.00000
    -9.69773     0.34742     0.31780     0.02962     0.00000
    -9.61073     0.41560     0.38080     0.03480     0.00000
    -9.52473     0.40776     0.37220     0.03556     0.00000
    -9.43773     0.39888     0.36260     0.03628     0.00000
    -9.35173     0.38512     0.34860     0.03652     0.00000
    -9.26473     0.37278     0.33600     0.03678     0.00000
    -9.17873     0.35902     0.32220     0.03682     0.00000
    -9.09173     0.34728     0.31040     0.03688     0.00000
