      #Energy        TDOS
     -14.34029       0.00000
     -14.25329       0.00000
     -14.16629       0.00000
     -14.07929       0.00000
     -13.99229       0.00000
     -13.90529       0.00000
     -13.81929       0.00000
     -13.73229       0.00000
     -13.64529       0.00000
     -13.55829       0.00000
     -13.47129       0.00000
     -13.38429       0.00000
     -13.29729       0.00000
     -13.21129       0.00000
     -13.12429       0.00000
     -13.03729       0.00000
     -12.95029       0.00000
     -12.86329       0.00000
     -12.77629       0.00000
     -12.69029       0.00000
     -12.60329       0.00000
     -12.51629       0.00000
     -12.42929       0.00000
     -12.34229       0.00000
     -12.25529       0.00648
     -12.16929       0.02242
     -12.08229       0.04365
     -11.99529       0.06927
     -11.90829       0.09887
     -11.82129       0.13227
     -11.73429       0.16953
     -11.64729       0.21068
     -11.56129       0.25579
     -11.47429       0.30513
     -11.38729       0.35903
     -11.30029       0.41799
     -11.21329       0.48264
     -11.12629       0.55391
     -11.04029       0.63332
     -10.95329       0.72356
     -10.86629       0.83164
     -10.77929       0.96082
     -10.69229       1.09938
     -10.60529       1.23728
     -10.51929       1.37475
     -10.43229       1.51292
     -10.34529       1.65395
     -10.25829       1.80428
     -10.17129       1.92628
     -10.08429       1.96957
      -9.99729       1.96957
      -9.91129       1.96957
      -9.82429       1.96957
      -9.73729       1.96957
      -9.65029       1.96957
      -9.56329       1.96957
      -9.47629       1.96957
      -9.39029       1.96957
      -9.30329       1.96957
      -9.21629       1.96957
      -9.12929       1.96957
      -9.04229       1.96957
      -8.95529       1.96957
      -8.86929       1.96957
      -8.78229       1.96957
      -8.69529       1.96957
      -8.60829       1.96957
      -8.52129       1.96957
      -8.43429       1.96957
      -8.34729       1.96957
      -8.26129       1.96957
      -8.17429       1.96957
      -8.08729       1.96957
      -8.00029       1.96957
      -7.91329       1.96957
      -7.82629       1.96957
      -7.74029       1.96957
      -7.65329       1.96957
      -7.56629       1.96957
      -7.47929       1.96957
      -7.39229       1.96957
      -7.30529       1.96957
      -7.21929       1.96957
      -7.13229       1.96957
      -7.04529       1.96957
      -6.95829       1.96957
      -6.87129       1.96957
      -6.78429       1.96957
      -6.69729       1.96957
      -6.61129       1.96957
      -6.52429       1.98165
      -6.43729       2.02894
      -6.35029       2.13631
      -6.26329       2.32398
      -6.17629       2.54313
      -6.09029       2.71464
      -6.00329       2.83544
      -5.91629       2.93201
      -5.82929       3.01314
      -5.74229       3.08357
      -5.65529       3.14575
      -5.56829       3.20136
      -5.48229       3.25168
      -5.39529       3.29757
      -5.30829       3.33963
      -5.22129       3.37836
      -5.13429       3.41423
      -5.04729       3.44753
      -4.96129       3.47852
      -4.87429       3.50742
      -4.78729       3.53446
      -4.70029       3.55976
      -4.61329       3.58347
      -4.52629       3.60573
      -4.44029       3.62663
      -4.35329       3.64629
      -4.26629       3.66478
      -4.17929       3.68215
      -4.09229       3.69852
      -4.00529       3.71393
      -3.91829       3.72844
      -3.83229       3.74210
      -3.74529       3.75495
      -3.65829       3.78085
      -3.57129       3.83793
      -3.48429       3.93708
      -3.39729       4.06201
      -3.31129       4.18272
      -3.22429       4.29275
      -3.13729       4.39479
      -3.05029       4.49196
      -2.96329       4.58936
      -2.87629       4.69040
      -2.79029       4.79474
      -2.70329       4.90356
      -2.61629       5.01862
      -2.52929       5.14402
      -2.44229       5.28553
      -2.35529       5.43456
      -2.26829       5.58041
      -2.18229       5.72357
      -2.09529       5.86451
      -2.00829       6.00333
      -1.92129       6.14011
      -1.83429       6.27459
      -1.74729       6.40693
      -1.66129       6.53746
      -1.57429       6.66559
      -1.48729       6.79195
      -1.40029       6.91666
      -1.31329       7.03980
      -1.22629       7.16112
      -1.14029       7.28070
      -1.05329       7.39264
      -0.96629       7.48668
      -0.87929       7.56383
      -0.79229       7.62979
      -0.70529       7.68672
      -0.61829       7.73631
      -0.53229       7.77932
      -0.44529       7.81657
      -0.35829       7.84834
      -0.27129       7.87418
      -0.18429       7.89452
      -0.09729       7.91015
      -0.01129       7.91692
       0.07571       7.91692
       0.16271       7.91692
       0.24971       7.91692
       0.33671       7.91692
       0.42371       7.91692
       0.50971       7.91700
       0.59671       7.91719
       0.68371       7.91747
       0.77071       7.91790
       0.85771       7.91851
       0.94471       7.92062
       1.03171       7.92621
       1.11771       7.93539
       1.20471       7.94699
       1.29171       7.96133
       1.37871       7.97953
       1.46571       8.00272
       1.55271       8.03487
       1.63871       8.07979
       1.72571       8.13682
       1.81271       8.20439
       1.89971       8.28173
       1.98671       8.36917
       2.07371       8.46821
       2.16071       8.58041
       2.24671       8.71059
       2.33371       8.87069
       2.42071       9.05206
       2.50771       9.22001
       2.59471       9.36339
       2.68171       9.48597
       2.76771       9.58888
       2.85471       9.67872
       2.94171       9.75959
       3.02871       9.83755
       3.11571       9.91940
       3.20271      10.00618
       3.28871      10.08974
       3.37571      10.16556
       3.46271      10.23746
       3.54971      10.30709
       3.63671      10.37564
       3.72371      10.44567
       3.81071      10.51695
       3.89671      10.58810
       3.98371      10.66192
       4.07071      10.74101
       4.15771      10.82955
       4.24471      10.96928
       4.33171      11.15196
       4.41771      11.32612
       4.50471      11.48656
       4.59171      11.63489
       4.67871      11.75894
       4.76571      11.86858
       4.85271      11.97683
       4.93871      12.07466
       5.02571      12.16776
       5.11271      12.26645
       5.19971      12.37683
       5.28671      12.50201
       5.37371      12.65112
       5.46071      12.81143
       5.54671      12.97935
       5.63371      13.14235
       5.72071      13.28069
       5.80771      13.40457
       5.89471      13.51933
       5.98171      13.62841
       6.06771      13.73366
       6.15471      13.83744
       6.24171      13.93405
       6.32871      14.01804
       6.41571      14.09540
       6.50271      14.17094
       6.58871      14.24559
       6.67571      14.32089
       6.76271      14.39734
       6.84971      14.47555
       6.93671      14.55633
       7.02371      14.64053
       7.11071      14.72953
       7.19671      14.82358
       7.28371      14.92632
       7.37071      15.03917
       7.45771      15.15106
       7.54471      15.24573
       7.63171      15.32528
       7.71771      15.40312
       7.80471      15.47922
       7.89171      15.54412
       7.97871      15.59070
       8.06571      15.62638
       8.15271      15.65957
       8.23871      15.69021
       8.32571      15.71849
       8.41271      15.74458
       8.49971      15.76861
       8.58671      15.79073
       8.67371      15.81090
       8.76071      15.82916
       8.84671      15.84580
       8.93371      15.86083
       9.02071      15.87415
       9.10771      15.88597
       9.19471      15.89624
       9.28171      15.90510
       9.36771      15.91271
       9.45471      15.91880
       9.54171      15.92372
       9.62871      15.92729
       9.71571      15.92858
       9.80271      15.92858
       9.88971      15.92858
       9.97571      15.92858
      10.06271      15.92858
      10.14971      15.92858
      10.23671      15.92858
      10.32371      15.92858
      10.41071      15.92858
      10.49671      15.92858
      10.58371      15.92858
      10.67071      15.92858
      10.75771      15.92858
      10.84471      15.92858
      10.93171      15.92858
      11.01771      15.92858
      11.10471      15.92858
      11.19171      15.92858
      11.27871      15.92858
      11.36571      15.92858
      11.45271      15.92858
      11.53971      15.92858
      11.62571      15.92858
      11.71271      15.92858
