      #Energy        TDOS
     -14.34029       0.00000
     -14.25329       0.00000
     -14.16629       0.00000
     -14.07929       0.00000
     -13.99229       0.00000
     -13.90529       0.00000
     -13.81929       0.00000
     -13.73229       0.00000
     -13.64529       0.00000
     -13.55829       0.00000
     -13.47129       0.00000
     -13.38429       0.00000
     -13.29729       0.00000
     -13.21129       0.00000
     -13.12429       0.00000
     -13.03729       0.00000
     -12.95029       0.00000
     -12.86329       0.00000
     -12.77629       0.00000
     -12.69029       0.00000
     -12.60329       0.00000
     -12.51629       0.00000
     -12.42929       0.00000
     -12.34229       0.00000
     -12.25529       0.14920
     -12.16929       0.21790
     -12.08229       0.27100
     -11.99529       0.31900
     -11.90829       0.36280
     -11.82129       0.40640
     -11.73429       0.45170
     -11.64729       0.49600
     -11.56129       0.54280
     -11.47429       0.59360
     -11.38729       0.64780
     -11.30029       0.71000
     -11.21329       0.77890
     -11.12629       0.86250
     -11.04029       0.96630
     -10.95329       1.11200
     -10.86629       1.37700
     -10.77929       1.59800
     -10.69229       1.59300
     -10.60529       1.58300
     -10.51929       1.58300
     -10.43229       1.59900
     -10.34529       1.64900
     -10.25829       1.81300
     -10.17129       0.99680
     -10.08429       0.00000
      -9.99729       0.00000
      -9.91129       0.00000
      -9.82429       0.00000
      -9.73729       0.00000
      -9.65029       0.00000
      -9.56329       0.00000
      -9.47629       0.00000
      -9.39029       0.00000
      -9.30329       0.00000
      -9.21629       0.00000
      -9.12929       0.00000
      -9.04229       0.00000
      -8.95529       0.00000
      -8.86929       0.00000
      -8.78229       0.00000
      -8.69529       0.00000
      -8.60829       0.00000
      -8.52129       0.00000
      -8.43429       0.00000
      -8.34729       0.00000
      -8.26129       0.00000
      -8.17429       0.00000
      -8.08729       0.00000
      -8.00029       0.00000
      -7.91329       0.00000
      -7.82629       0.00000
      -7.74029       0.00000
      -7.65329       0.00000
      -7.56629       0.00000
      -7.47929       0.00000
      -7.39229       0.00000
      -7.30529       0.00000
      -7.21929       0.00000
      -7.13229       0.00000
      -7.04529       0.00000
      -6.95829       0.00000
      -6.87129       0.00000
      -6.78429       0.00000
      -6.69729       0.00000
      -6.61129       0.00000
      -6.52429       0.27830
      -6.43729       0.81080
      -6.35029       1.66200
      -6.26329       2.66000
      -6.17629       2.38700
      -6.09029       1.56300
      -6.00329       1.21900
      -5.91629       1.00500
      -5.82929       0.86350
      -5.74229       0.75850
      -5.65529       0.67350
      -5.56829       0.60720
      -5.48229       0.55160
      -5.39529       0.50540
      -5.30829       0.46310
      -5.22129       0.42900
      -5.13429       0.39710
      -5.04729       0.36980
      -4.96129       0.34390
      -4.87429       0.32160
      -4.78729       0.30110
      -4.70029       0.28170
      -4.61329       0.26430
      -4.52629       0.24820
      -4.44029       0.23330
      -4.35329       0.21950
      -4.26629       0.20610
      -4.17929       0.19410
      -4.09229       0.18290
      -4.00529       0.17200
      -3.91829       0.16200
      -3.83229       0.15260
      -3.74529       0.14350
      -3.65829       0.45300
      -3.57129       0.86150
      -3.48429       1.42200
      -3.39729       1.45500
      -3.31129       1.32500
      -3.22429       1.20900
      -3.13729       1.14100
      -3.05029       1.09700
      -2.96329       1.14600
      -2.87629       1.18100
      -2.79029       1.22200
      -2.70329       1.28400
      -2.61629       1.36600
      -2.52929       1.52200
      -2.44229       1.73700
      -2.35529       1.69500
      -2.26829       1.66400
      -2.18229       1.63300
      -2.09529       1.61300
      -2.00829       1.58400
      -1.92129       1.56600
      -1.83429       1.53100
      -1.74729       1.51700
      -1.66129       1.48900
      -1.57429       1.46200
      -1.48729       1.44800
      -1.40029       1.42400
      -1.31329       1.41200
      -1.22629       1.38200
      -1.14029       1.37200
      -1.05329       1.20600
      -0.96629       0.95980
      -0.87929       0.81680
      -0.79229       0.70230
      -0.70529       0.60880
      -0.61829       0.53330
      -0.53229       0.45720
      -0.44529       0.40080
      -0.35829       0.33080
      -0.27129       0.26420
      -0.18429       0.20430
      -0.09729       0.15580
      -0.01129       0.00000
       0.07571       0.00000
       0.16271       0.00000
       0.24971       0.00000
       0.33671       0.00000
       0.42371       0.00000
       0.50971       0.00174
       0.59671       0.00269
       0.68371       0.00381
       0.77071       0.00607
       0.85771       0.00809
       0.94471       0.04033
       1.03171       0.08856
       1.11771       0.12270
       1.20471       0.14460
       1.29171       0.18550
       1.37871       0.23370
       1.46571       0.30050
       1.55271       0.43990
       1.63871       0.59450
       1.72571       0.71900
       1.81271       0.83720
       1.89971       0.94380
       1.98671       1.07000
       2.07371       1.21100
       2.16071       1.37300
       2.24671       1.62500
       2.33371       2.06200
       2.42071       2.11500
       2.50771       1.75300
       2.59471       1.54900
       2.68171       1.27400
       2.76771       1.09600
       2.85471       0.97320
       2.94171       0.88920
       3.02871       0.90630
       3.11571       0.97860
       3.20271       1.02000
       3.28871       0.90430
       3.37571       0.84200
       3.46271       0.81370
       3.54971       0.79000
       3.63671       0.78860
       3.72371       0.82430
       3.81071       0.81720
       3.89671       0.82150
       3.98371       0.87850
       4.07071       0.94310
       4.15771       1.09600
       4.24471       2.12200
       4.33171       2.08500
       4.41771       1.92600
       4.50471       1.76900
       4.59171       1.64700
       4.67871       1.21000
       4.76571       1.31500
       4.85271       1.17800
       4.93871       1.07500
       5.02571       1.06900
       5.11271       1.20400
       5.19971       1.33800
       5.28671       1.54500
       5.37371       1.88900
       5.46071       1.80300
       5.54671       2.06400
       5.63371       1.69000
       5.72071       1.49600
       5.80771       1.35700
       5.89471       1.28600
       5.98171       1.22600
       6.06771       1.19800
       6.15471       1.19200
       6.24171       1.03300
       6.32871       0.90130
       6.41571       0.88030
       6.50271       0.85950
       6.58871       0.85950
       6.67571       0.87470
       6.76271       0.88600
       6.84971       0.91510
       6.93671       0.94540
       7.02371       0.99370
       7.11071       1.05600
       7.19671       1.11000
       7.28371       1.25600
       7.37071       1.34300
       7.45771       1.23400
       7.54471       0.94610
       7.63171       0.88600
       7.71771       0.90660
       7.80471       0.84610
       7.89171       0.64850
       7.97871       0.42420
       8.06571       0.39750
       8.15271       0.36690
       8.23871       0.33880
       8.32571       0.31260
       8.41271       0.28810
       8.49971       0.26530
       8.58671       0.24410
       8.67371       0.22060
       8.76071       0.19990
       8.84671       0.18330
       8.93371       0.16290
       9.02071       0.14380
       9.10771       0.12840
       9.19471       0.10820
       9.28171       0.09580
       9.36771       0.07942
       9.45471       0.06084
       9.54171       0.05257
       9.62871       0.02959
       9.71571       0.00000
       9.80271       0.00000
       9.88971       0.00000
       9.97571       0.00000
      10.06271       0.00000
      10.14971       0.00000
      10.23671       0.00000
      10.32371       0.00000
      10.41071       0.00000
      10.49671       0.00000
      10.58371       0.00000
      10.67071       0.00000
      10.75771       0.00000
      10.84471       0.00000
      10.93171       0.00000
      11.01771       0.00000
      11.10471       0.00000
      11.19171       0.00000
      11.27871       0.00000
      11.36571       0.00000
      11.45271       0.00000
      11.53971       0.00000
      11.62571       0.00000
      11.71271       0.00000
