      #Energy        TDOS
     -14.32533       0.00000
     -14.24133       0.00000
     -14.15733       0.00000
     -14.07333       0.00000
     -13.98933       0.00000
     -13.90433       0.00000
     -13.82033       0.00000
     -13.73633       0.00000
     -13.65233       0.00000
     -13.56833       0.00000
     -13.48333       0.00000
     -13.39933       0.00000
     -13.31533       0.00000
     -13.23133       0.00000
     -13.14733       0.00000
     -13.06233       0.00000
     -12.97833       0.00000
     -12.89433       0.00000
     -12.81033       0.00000
     -12.72633       0.00000
     -12.64133       0.00000
     -12.55733       0.00000
     -12.47333       0.00000
     -12.38933       0.00000
     -12.30533       0.00271
     -12.22033       0.01126
     -12.13633       0.02499
     -12.05233       0.04233
     -11.96833       0.06258
     -11.88333       0.08550
     -11.79933       0.11098
     -11.71533       0.13881
     -11.63133       0.16888
     -11.54733       0.20114
     -11.46233       0.23556
     -11.37833       0.27211
     -11.29433       0.31079
     -11.21033       0.35163
     -11.12633       0.39465
     -11.04133       0.43998
     -10.95733       0.48770
     -10.87333       0.53798
     -10.78933       0.59106
     -10.70533       0.64721
     -10.62033       0.70700
     -10.53633       0.77127
     -10.45233       0.84179
     -10.36833       0.92287
     -10.28433       1.00948
     -10.19933       1.09315
     -10.11533       1.17348
     -10.03133       1.25073
      -9.94733       1.32479
      -9.86233       1.39559
      -9.77833       1.46319
      -9.69433       1.52743
      -9.61033       1.58849
      -9.52633       1.64627
      -9.44133       1.70052
      -9.35733       1.75138
      -9.27333       1.79860
      -9.18933       1.84199
      -9.10533       1.88170
      -9.02033       1.91703
      -8.93633       1.94747
      -8.85233       1.97661
      -8.76833       1.99623
      -8.68433       2.00078
      -8.59933       2.00078
      -8.51533       2.00078
      -8.43133       2.01182
      -8.34733       2.03495
      -8.26333       2.06133
      -8.17833       2.09231
      -8.09433       2.12754
      -8.01033       2.16637
      -7.92633       2.20902
      -7.84233       2.25591
      -7.75733       2.30680
      -7.67333       2.36181
      -7.58933       2.42226
      -7.50533       2.48928
      -7.42033       2.56589
      -7.33633       2.69359
      -7.25233       2.82445
      -7.16833       2.90587
      -7.08433       2.97520
      -6.99933       3.03697
      -6.91533       3.09322
      -6.83133       3.14508
      -6.74733       3.19330
      -6.66333       3.23835
      -6.57833       3.28061
      -6.49433       3.32041
      -6.41033       3.35798
      -6.32633       3.39352
      -6.24233       3.42718
      -6.15733       3.45910
      -6.07333       3.48942
      -5.98933       3.51823
      -5.90533       3.54563
      -5.82133       3.57172
      -5.73633       3.59654
      -5.65233       3.62019
      -5.56833       3.64273
      -5.48433       3.66421
      -5.39933       3.68467
      -5.31533       3.70418
      -5.23133       3.72278
      -5.14733       3.74050
      -5.06333       3.75741
      -4.97833       3.77352
      -4.89433       3.78886
      -4.81033       3.80348
      -4.72633       3.81742
      -4.64233       3.83069
      -4.55733       3.84332
      -4.47333       3.85535
      -4.38933       3.86679
      -4.30533       3.87765
      -4.22133       3.88798
      -4.13633       3.90023
      -4.05233       3.93692
      -3.96833       4.01141
      -3.88433       4.11916
      -3.80033       4.24067
      -3.71533       4.35397
      -3.63133       4.45818
      -3.54733       4.55442
      -3.46333       4.64794
      -3.37833       4.74217
      -3.29433       4.83728
      -3.21033       4.93420
      -3.12633       5.03416
      -3.04233       5.13828
      -2.95733       5.24893
      -2.87333       5.37448
      -2.78933       5.50984
      -2.70533       5.64323
      -2.62133       5.77447
      -2.53633       5.90297
      -2.45233       6.02898
      -2.36833       6.15273
      -2.28433       6.27436
      -2.20033       6.39377
      -2.11533       6.51078
      -2.03133       6.62572
      -1.94733       6.73831
      -1.86333       6.84883
      -1.77933       6.95729
      -1.69433       7.06356
      -1.61033       7.16810
      -1.52633       7.27058
      -1.44233       7.37092
      -1.35833       7.46935
      -1.27333       7.55697
      -1.18933       7.62881
      -1.10533       7.69017
      -1.02133       7.74359
      -0.93633       7.79051
      -0.85233       7.83154
      -0.76833       7.86788
      -0.68433       7.89985
      -0.60033       7.92774
      -0.51533       7.95205
      -0.43133       7.97300
      -0.34733       7.99089
      -0.26333       8.00515
      -0.17933       8.01660
      -0.09433       8.02442
      -0.01033       8.02696
       0.07367       8.02748
       0.15767       8.02974
       0.24167       8.03418
       0.32667       8.04058
       0.41067       8.04904
       0.49467       8.05944
       0.57867       8.07198
       0.66267       8.09179
       0.74767       8.11976
       0.83167       8.15635
       0.91567       8.20394
       0.99967       8.26074
       1.08467       8.32651
       1.16867       8.40142
       1.25267       8.48658
       1.33667       8.58152
       1.42067       8.68787
       1.50567       8.81166
       1.58967       8.95864
       1.67367       9.11822
       1.75767       9.27409
       1.84167       9.41997
       1.92667       9.54380
       2.01067       9.64506
       2.09467       9.73575
       2.17867       9.82079
       2.26267       9.90236
       2.34767       9.98259
       2.43167      10.06367
       2.51567      10.14845
       2.59967      10.24621
       2.68367      10.34356
       2.76867      10.42660
       2.85267      10.50474
       2.93667      10.58205
       3.02067      10.65808
       3.10467      10.73363
       3.18967      10.81241
       3.27367      10.89661
       3.35767      10.99336
       3.44167      11.13424
       3.52667      11.30489
       3.61067      11.46589
       3.69467      11.60534
       3.77867      11.72420
       3.86267      11.83746
       3.94767      11.94550
       4.03167      12.04612
       4.11567      12.13976
       4.19967      12.22763
       4.28367      12.31177
       4.36867      12.40029
       4.45267      12.49730
       4.53667      12.60374
       4.62067      12.72567
       4.70467      12.86550
       4.78967      13.01164
       4.87367      13.15298
       4.95767      13.28940
       5.04167      13.41815
       5.12567      13.53558
       5.21067      13.64534
       5.29467      13.75132
       5.37867      13.85355
       5.46267      13.95207
       5.54767      14.04773
       5.63167      14.14251
       5.71567      14.23619
       5.79967      14.32524
       5.88367      14.40834
       5.96867      14.48859
       6.05267      14.57306
       6.13667      14.66607
       6.22067      14.76358
       6.30467      14.86151
       6.38967      14.95894
       6.47367      15.05001
       6.55767      15.13142
       6.64167      15.20665
       6.72567      15.27698
       6.81067      15.34339
       6.89467      15.40668
       6.97867      15.46739
       7.06267      15.52618
       7.14667      15.59205
       7.23167      15.65998
       7.31567      15.71852
       7.39967      15.76151
       7.48367      15.79041
       7.56767      15.81638
       7.65267      15.84049
       7.73667      15.86295
       7.82067      15.88379
       7.90467      15.90292
       7.98967      15.92046
       8.07367      15.93657
       8.15767      15.95122
       8.24167      15.96440
       8.32567      15.97626
       8.41067      15.98668
       8.49467      15.99578
       8.57867      16.00384
       8.66267      16.01053
       8.74667      16.01592
       8.83167      16.02010
       8.91567      16.02257
       8.99967      16.02333
       9.08367      16.02333
       9.16767      16.02333
       9.25267      16.02333
       9.33667      16.02333
       9.42067      16.02333
       9.50467      16.02333
       9.58867      16.02333
       9.67367      16.02333
       9.75767      16.02333
       9.84167      16.02333
       9.92567      16.02333
      10.01067      16.02333
      10.09467      16.02333
      10.17867      16.02333
      10.26267      16.02333
      10.34667      16.02333
      10.43167      16.02333
      10.51567      16.02333
      10.59967      16.02333
      10.68367      16.02333
      10.76767      16.02333
      10.85267      16.02333
      10.93667      16.02333
