      #Energy        TDOS
     -14.32533       0.00000
     -14.24133       0.00000
     -14.15733       0.00000
     -14.07333       0.00000
     -13.98933       0.00000
     -13.90433       0.00000
     -13.82033       0.00000
     -13.73633       0.00000
     -13.65233       0.00000
     -13.56833       0.00000
     -13.48333       0.00000
     -13.39933       0.00000
     -13.31533       0.00000
     -13.23133       0.00000
     -13.14733       0.00000
     -13.06233       0.00000
     -12.97833       0.00000
     -12.89433       0.00000
     -12.81033       0.00000
     -12.72633       0.00000
     -12.64133       0.00000
     -12.55733       0.00000
     -12.47333       0.00000
     -12.38933       0.00000
     -12.30533       0.06427
     -12.22033       0.13890
     -12.13633       0.18730
     -12.05233       0.22440
     -11.96833       0.25660
     -11.88333       0.28770
     -11.79933       0.31760
     -11.71533       0.34320
     -11.63133       0.37100
     -11.54733       0.39530
     -11.46233       0.42220
     -11.37833       0.44600
     -11.29433       0.47250
     -11.21033       0.49750
     -11.12633       0.52430
     -11.04133       0.55230
     -10.95733       0.58110
     -10.87333       0.61320
     -10.78933       0.64750
     -10.70533       0.68600
     -10.62033       0.73420
     -10.53633       0.79210
     -10.45233       0.88280
     -10.36833       1.04300
     -10.28433       1.01400
     -10.19933       0.97320
     -10.11533       0.93470
     -10.03133       0.90020
      -9.94733       0.85880
      -9.86233       0.82270
      -9.77833       0.78280
      -9.69433       0.74300
      -9.61033       0.70730
      -9.52633       0.66500
      -9.44133       0.62350
      -9.35733       0.58440
      -9.27333       0.53720
      -9.18933       0.49320
      -9.10533       0.45000
      -9.02033       0.38910
      -8.93633       0.33390
      -8.85233       0.35810
      -8.76833       0.10800
      -8.68433       0.00000
      -8.59933       0.00000
      -8.51533       0.00000
      -8.43133       0.26220
      -8.34733       0.28730
      -8.26333       0.33920
      -8.17833       0.39650
      -8.09433       0.44020
      -8.01033       0.48220
      -7.92633       0.53080
      -7.84233       0.58280
      -7.75733       0.62580
      -7.67333       0.68070
      -7.58933       0.75520
      -7.50533       0.83650
      -7.42033       0.98300
      -7.33633       2.05000
      -7.25233       1.05800
      -7.16833       0.87580
      -7.08433       0.77080
      -6.99933       0.69640
      -6.91533       0.63950
      -6.83133       0.59240
      -6.74733       0.55280
      -6.66333       0.51710
      -6.57833       0.48660
      -6.49433       0.45880
      -6.41033       0.43350
      -6.32633       0.41060
      -6.24233       0.38890
      -6.15733       0.36920
      -6.07333       0.35090
      -5.98933       0.33340
      -5.90533       0.31740
      -5.82133       0.30210
      -5.73633       0.28750
      -5.65233       0.27410
      -5.56833       0.26130
      -5.48433       0.24880
      -5.39933       0.23720
      -5.31533       0.22620
      -5.23133       0.21550
      -5.14733       0.20550
      -5.06333       0.19600
      -4.97833       0.18670
      -4.89433       0.17770
      -4.81033       0.16950
      -4.72633       0.16160
      -4.64233       0.15360
      -4.55733       0.14630
      -4.47333       0.13930
      -4.38933       0.13240
      -4.30533       0.12570
      -4.22133       0.11970
      -4.13633       0.17110
      -4.05233       0.70030
      -3.96833       1.06900
      -3.88433       1.49000
      -3.80033       1.39600
      -3.71533       1.29500
      -3.63133       1.18000
      -3.54733       1.10600
      -3.46333       1.11500
      -3.37833       1.12300
      -3.29433       1.13600
      -3.21033       1.16600
      -3.12633       1.20800
      -3.04233       1.26500
      -2.95733       1.36300
      -2.87333       1.61900
      -2.78933       1.59600
      -2.70533       1.57200
      -2.62133       1.54500
      -2.53633       1.50700
      -2.45233       1.48600
      -2.36833       1.45300
      -2.28433       1.43600
      -2.20033       1.40000
      -2.11533       1.37900
      -2.03133       1.35100
      -1.94733       1.32300
      -1.86333       1.30200
      -1.77933       1.27400
      -1.69433       1.25000
      -1.61033       1.23300
      -1.52633       1.20100
      -1.44233       1.18200
      -1.35833       1.15600
      -1.27333       0.92500
      -1.18933       0.78120
      -1.10533       0.67610
      -1.02133       0.59260
      -0.93633       0.52180
      -0.85233       0.45290
      -0.76833       0.41000
      -0.68433       0.34950
      -0.60033       0.31280
      -0.51533       0.26460
      -0.43133       0.23290
      -0.34733       0.19200
      -0.26333       0.14670
      -0.17933       0.12540
      -0.09433       0.06027
      -0.01033       0.00000
       0.07367       0.01239
       0.15767       0.04125
       0.24167       0.06425
       0.32667       0.08766
       0.41067       0.11340
       0.49467       0.13350
       0.57867       0.16430
       0.66267       0.30640
       0.74767       0.35790
       0.83167       0.51110
       0.91567       0.61920
       0.99967       0.72970
       1.08467       0.83250
       1.16867       0.94660
       1.25267       1.07600
       1.33667       1.17900
       1.42067       1.34700
       1.50567       1.59300
       1.58967       1.89800
       1.67367       1.89200
       1.75767       1.81000
       1.84167       1.65500
       1.92667       1.28600
       2.01067       1.11900
       2.09467       1.03500
       2.17867       0.98480
       2.26267       0.95240
       2.34767       0.95320
       2.43167       0.97250
       2.51567       1.04100
       2.59967       1.28100
       2.68367       1.03100
       2.76867       0.94130
       2.85267       0.91470
       2.93667       0.92150
       3.02067       0.88420
       3.10467       0.91030
       3.18967       0.96070
       3.27367       1.03900
       3.35767       1.25900
       3.44167       2.08700
       3.52667       1.96600
       3.61067       1.85800
       3.69467       1.45400
       3.77867       1.36900
       3.86267       1.32100
       3.94767       1.24500
       4.03167       1.14500
       4.11567       1.07900
       4.19967       1.00800
       4.28367       0.99040
       4.36867       1.11200
       4.45267       1.19200
       4.53667       1.33600
       4.62067       1.56000
       4.70467       1.76100
       4.78967       1.71000
       4.87367       1.64700
       4.95767       1.59300
       5.04167       1.46500
       5.12567       1.32400
       5.21067       1.28300
       5.29467       1.23400
       5.37867       1.19400
       5.46267       1.14600
       5.54767       1.12600
       5.63167       1.12500
       5.71567       1.10000
       5.79967       1.01500
       5.88367       0.95890
       5.96867       0.94710
       6.05267       1.05900
       6.13667       1.15000
       6.22067       1.16600
       6.30467       1.16000
       6.38967       1.15400
       6.47367       1.00900
       6.55767       0.92460
       6.64167       0.86200
       6.72567       0.80840
       6.81067       0.76910
       6.89467       0.73390
       6.97867       0.70820
       7.06267       0.68790
       7.14667       0.87670
       7.23167       0.73660
       7.31567       0.65380
       7.39967       0.36720
       7.48367       0.31940
       7.56767       0.29720
       7.65267       0.27560
       7.73667       0.25770
       7.82067       0.23740
       7.90467       0.21700
       7.98967       0.19940
       8.07367       0.18330
       8.15767       0.16470
       8.24167       0.14840
       8.32567       0.13330
       8.41067       0.11400
       8.49467       0.10210
       8.57867       0.08943
       8.66267       0.06942
       8.74667       0.05858
       8.83167       0.04068
       8.91567       0.01804
       8.99967       0.00000
       9.08367       0.00000
       9.16767       0.00000
       9.25267       0.00000
       9.33667       0.00000
       9.42067       0.00000
       9.50467       0.00000
       9.58867       0.00000
       9.67367       0.00000
       9.75767       0.00000
       9.84167       0.00000
       9.92567       0.00000
      10.01067       0.00000
      10.09467       0.00000
      10.17867       0.00000
      10.26267       0.00000
      10.34667       0.00000
      10.43167       0.00000
      10.51567       0.00000
      10.59967       0.00000
      10.68367       0.00000
      10.76767       0.00000
      10.85267       0.00000
      10.93667       0.00000
