      #Energy        TDOS
     -13.83966       0.00000
     -13.75366       0.00000
     -13.66866       0.00000
     -13.58266       0.00000
     -13.49666      -0.00000
     -13.41066      -0.00000
     -13.32466      -0.00000
     -13.23966      -0.00000
     -13.15366      -0.00000
     -13.06766      -0.00000
     -12.98166      -0.00000
     -12.89666      -0.00000
     -12.81066      -0.00000
     -12.72466      -0.00000
     -12.63866      -0.00000
     -12.55266      -0.00000
     -12.46766      -0.00000
     -12.38166      -0.00000
     -12.29566      -0.00001
     -12.20966      -0.00003
     -12.12366      -0.00014
     -12.03866      -0.00039
     -11.95266      -0.00065
     -11.86666      -0.00011
     -11.78066       0.00273
     -11.69566       0.00936
     -11.60966       0.02021
     -11.52366       0.03474
     -11.43766       0.05215
     -11.35166       0.07191
     -11.26666       0.09377
     -11.18066       0.11760
     -11.09466       0.14328
     -11.00866       0.17076
     -10.92266       0.19998
     -10.83766       0.23090
     -10.75166       0.26351
     -10.66566       0.29777
     -10.57966       0.33370
     -10.49466       0.37131
     -10.40866       0.41061
     -10.32266       0.45165
     -10.23666       0.49448
     -10.15066       0.53917
     -10.06566       0.58584
      -9.97966       0.63459
      -9.89366       0.68565
      -9.80766       0.73942
      -9.72166       0.79683
      -9.63666       0.85926
      -9.55066       0.92762
      -9.46466       1.00089
      -9.37866       1.07613
      -9.29366       1.15032
      -9.20766       1.22190
      -9.12166       1.29058
      -9.03566       1.35649
      -8.94966       1.41974
      -8.86466       1.48036
      -8.77866       1.53835
      -8.69266       1.59366
      -8.60666       1.64625
      -8.52166       1.69609
      -8.43566       1.74309
      -8.34966       1.78716
      -8.26366       1.82821
      -8.17766       1.86603
      -8.09266       1.90045
      -8.00666       1.93103
      -7.92066       1.95691
      -7.83466       1.97712
      -7.74866       1.99126
      -7.66366       2.00093
      -7.57766       2.00979
      -7.49166       2.02146
      -7.40566       2.03800
      -7.32066       2.05992
      -7.23466       2.08658
      -7.14866       2.11736
      -7.06266       2.15219
      -6.97666       2.19289
      -6.89166       2.24660
      -6.80566       2.32373
      -6.71966       2.42689
      -6.63366       2.54321
      -6.54766       2.65272
      -6.46266       2.74424
      -6.37666       2.81969
      -6.29066       2.88538
      -6.20466       2.94513
      -6.11966       3.00052
      -6.03366       3.05237
      -5.94766       3.10100
      -5.86166       3.14668
      -5.77566       3.18986
      -5.69066       3.23075
      -5.60466       3.26942
      -5.51866       3.30614
      -5.43266       3.34111
      -5.34666       3.37432
      -5.26166       3.40594
      -5.17566       3.43613
      -5.08966       3.46491
      -5.00366       3.49232
      -4.91866       3.51852
      -4.83266       3.54356
      -4.74666       3.56739
      -4.66066       3.59001
      -4.57466       3.61123
      -4.48966       3.63077
      -4.40366       3.64973
      -4.31766       3.67244
      -4.23166       3.70638
      -4.14666       3.75908
      -4.06066       3.83370
      -3.97466       3.92649
      -3.88866       4.02840
      -3.80266       4.13031
      -3.71766       4.22755
      -3.63166       4.32011
      -3.54566       4.41014
      -3.45966       4.49974
      -3.37366       4.59016
      -3.28866       4.68204
      -3.20266       4.77588
      -3.11666       4.87230
      -3.03066       4.97224
      -2.94566       5.07746
      -2.85966       5.19031
      -2.77366       5.31203
      -2.68766       5.44093
      -2.60166       5.57286
      -2.51666       5.70407
      -2.43066       5.83287
      -2.34466       5.95915
      -2.25866       6.08315
      -2.17266       6.20501
      -2.08766       6.32476
      -2.00166       6.44246
      -1.91566       6.55814
      -1.82966       6.67184
      -1.74466       6.78358
      -1.65866       6.89338
      -1.57266       7.00134
      -1.48666       7.10763
      -1.40066       7.21241
      -1.31566       7.31527
      -1.22966       7.41409
      -1.14366       7.50502
      -1.05766       7.58470
      -0.97166       7.65256
      -0.88666       7.71055
      -0.80066       7.76103
      -0.71466       7.80553
      -0.62866       7.84482
      -0.54366       7.87937
      -0.45766       7.90953
      -0.37166       7.93556
      -0.28566       7.95757
      -0.19966       7.97539
      -0.11466       7.98853
      -0.02866       7.99663
       0.05734       8.00026
       0.14334       8.00106
       0.22834       8.00079
       0.31434       8.00043
       0.40034       8.00011
       0.48634       7.99970
       0.57234       7.99942
       0.65734       8.00047
       0.74334       8.00502
       0.82934       8.01531
       0.91534       8.03246
       1.00134       8.05619
       1.08634       8.08555
       1.17234       8.11967
       1.25834       8.15801
       1.34434       8.20040
       1.42934       8.24714
       1.51534       8.29901
       1.60134       8.35702
       1.68734       8.42183
       1.77334       8.49353
       1.85834       8.57218
       1.94434       8.65845
       2.03034       8.75392
       2.11634       8.86133
       2.20234       8.98258
       2.28734       9.11576
       2.37334       9.25486
       2.45934       9.39293
       2.54534       9.52491
       2.63034       9.64810
       2.71634       9.76185
       2.80234       9.86745
       2.88834       9.96691
       2.97434      10.06098
       3.05934      10.15023
       3.14534      10.24125
       3.23134      10.35011
       3.31734      10.49239
       3.40334      10.66576
       3.48834      10.84860
       3.57434      11.01979
       3.66034      11.17454
       3.74634      11.32003
       3.83134      11.46269
       3.91734      11.60166
       4.00334      11.73128
       4.08934      11.84833
       4.17534      11.95552
       4.26034      12.05825
       4.34634      12.16050
       4.43234      12.26486
       4.51834      12.37406
       4.60334      12.48901
       4.68934      12.60637
       4.77534      12.72157
       4.86134      12.83318
       4.94734      12.94208
       5.03234      13.04880
