      #Energy        TDOS
     -13.83966       0.00000
     -13.75366       0.00000
     -13.66866       0.00000
     -13.58266       0.00000
     -13.49666      -0.00000
     -13.41066      -0.00000
     -13.32466      -0.00000
     -13.23966      -0.00000
     -13.15366      -0.00000
     -13.06766      -0.00000
     -12.98166      -0.00000
     -12.89666      -0.00000
     -12.81066      -0.00000
     -12.72466      -0.00000
     -12.63866      -0.00000
     -12.55266      -0.00000
     -12.46766      -0.00000
     -12.38166      -0.00001
     -12.29566      -0.00010
     -12.20966      -0.00053
     -12.12366      -0.00193
     -12.03866      -0.00400
     -11.95266      -0.00198
     -11.86666       0.01447
     -11.78066       0.05191
     -11.69566       0.10250
     -11.60966       0.15050
     -11.52366       0.18820
     -11.43766       0.21770
     -11.35166       0.24310
     -11.26666       0.26660
     -11.18066       0.28880
     -11.09466       0.31010
     -11.00866       0.33060
     -10.92266       0.35060
     -10.83766       0.37030
     -10.75166       0.38980
     -10.66566       0.40910
     -10.57966       0.42860
     -10.49466       0.44820
     -10.40866       0.46810
     -10.32266       0.48860
     -10.23666       0.50990
     -10.15066       0.53220
     -10.06566       0.55570
      -9.97966       0.58100
      -9.89366       0.60930
      -9.80766       0.64440
      -9.72166       0.69400
      -9.63666       0.76160
      -9.55066       0.83220
      -9.46466       0.87600
      -9.37866       0.87810
      -9.29366       0.85170
      -9.20766       0.81720
      -9.12166       0.78390
      -9.03566       0.75270
      -8.94966       0.72200
      -8.86466       0.69130
      -8.77866       0.66060
      -8.69266       0.62900
      -8.60666       0.59720
      -8.52166       0.56480
      -8.43566       0.53090
      -8.34966       0.49660
      -8.26366       0.46030
      -8.17766       0.42160
      -8.09266       0.38090
      -8.00666       0.33200
      -7.92066       0.27140
      -7.83466       0.19970
      -7.74866       0.13000
      -7.66366       0.09538
      -7.57766       0.11130
      -7.49166       0.16070
      -7.40566       0.22490
      -7.32066       0.28610
      -7.23466       0.33560
      -7.14866       0.38200
      -7.06266       0.43000
      -6.97666       0.51900
      -6.89166       0.73320
      -6.80566       1.06500
      -6.71966       1.34000
      -6.63366       1.37200
      -6.54766       1.18100
      -6.46266       0.95280
      -6.37666       0.80630
      -6.29066       0.72520
      -6.20466       0.66790
      -6.11966       0.62340
      -6.03366       0.58540
      -5.94766       0.54840
      -5.86166       0.51670
      -5.77566       0.49000
      -5.69066       0.46320
      -5.60466       0.43840
      -5.51866       0.41780
      -5.43266       0.39740
      -5.34666       0.37700
      -5.26166       0.36000
      -5.17566       0.34400
      -5.08966       0.32700
      -5.00366       0.31200
      -4.91866       0.29890
      -4.83266       0.28480
      -4.74666       0.27070
      -4.66066       0.25680
      -4.57466       0.23790
      -4.48966       0.21770
      -4.40366       0.22440
      -4.31766       0.30490
      -4.23166       0.48640
      -4.14666       0.74230
      -4.06066       0.99740
      -3.97466       1.16600
      -3.88866       1.21000
      -3.80266       1.16600
      -3.71766       1.10100
      -3.63166       1.05700
      -3.54566       1.04200
      -3.45966       1.04700
      -3.37366       1.06100
      -3.28866       1.08100
      -3.20266       1.10700
      -3.11666       1.14100
      -3.03066       1.18900
      -2.94566       1.26400
      -2.85966       1.36700
      -2.77366       1.47100
      -2.68766       1.53400
      -2.60166       1.54200
      -2.51666       1.51700
      -2.43066       1.48600
      -2.34466       1.45800
      -2.25866       1.43300
      -2.17266       1.40800
      -2.08766       1.38400
      -2.00166       1.36000
      -1.91566       1.33700
      -1.82966       1.31400
      -1.74466       1.29100
      -1.65866       1.26900
      -1.57266       1.24800
      -1.48666       1.23000
      -1.40066       1.21300
      -1.31566       1.18500
      -1.22966       1.11900
      -1.14366       1.00100
      -1.05766       0.85650
      -0.97166       0.72570
      -0.88666       0.62640
      -0.80066       0.55050
      -0.71466       0.48680
      -0.62866       0.42930
      -0.54366       0.37630
      -0.45766       0.32690
      -0.37166       0.27990
      -0.28566       0.23320
      -0.19966       0.18230
      -0.11466       0.12410
      -0.02866       0.06476
       0.05734       0.01983
       0.14334      -0.00129
       0.22834      -0.00494
       0.31434      -0.00350
       0.40034      -0.00390
       0.48634      -0.00572
       0.57234      -0.00077
       0.65734       0.02517
       0.74334       0.08099
       0.82934       0.15900
       0.91534       0.24080
       1.00134       0.31250
       1.08634       0.37200
       1.17234       0.42340
       1.25834       0.47040
       1.34434       0.51790
       1.42934       0.57180
       1.51534       0.63750
       1.60134       0.71500
       1.68734       0.79610
       1.77334       0.87550
       1.85834       0.95820
       1.94434       1.05300
       2.03034       1.17300
       2.11634       1.33100
       2.20234       1.49600
       2.28734       1.60900
       2.37334       1.63400
       2.45934       1.58500
       2.54534       1.49200
       2.63034       1.38000
       2.71634       1.27200
       2.80234       1.19000
       2.88834       1.12900
       2.97434       1.06400
       3.05934       1.01700
       3.14534       1.10500
       3.23134       1.43300
       3.31734       1.88400
       3.40334       2.15800
       3.48834       2.10500
       3.57434       1.88600
       3.66034       1.72200
       3.74634       1.67000
       3.83134       1.65600
       3.91734       1.58400
       4.00334       1.43800
       4.08934       1.29100
       4.17534       1.20800
       4.26034       1.18700
       4.34634       1.19700
       4.43234       1.23600
       4.51834       1.31000
       4.60334       1.37000
       4.68934       1.36600
       4.77534       1.32000
       4.86134       1.28200
       4.94734       1.25700
       5.03234       1.23100
