#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  20
# Band-Index    1
   0.00000    -16.913501    -16.913501
   0.03756    -16.910744    -16.910744
   0.07513    -16.913306    -16.913306
   0.11269    -16.921123    -16.921123
   0.15025    -16.932765    -16.932765
   0.18782    -16.947937    -16.947937
   0.22538    -16.967853    -16.967853
   0.26295    -16.992042    -16.992042
   0.30051    -17.020821    -17.020821
   0.33807    -17.054155    -17.054155
   0.37564    -17.090636    -17.090636
   0.41320    -17.132714    -17.132714
   0.45076    -17.179381    -17.179381
   0.48833    -17.229161    -17.229161
   0.52589    -17.282264    -17.282264
   0.56345    -17.337012    -17.337012
   0.60102    -17.395499    -17.395499
   0.63858    -17.455950    -17.455950
   0.67614    -17.518163    -17.518163
   0.71371    -17.581072    -17.581072
   0.75127    -17.644444    -17.644444
   0.78884    -17.707778    -17.707778
   0.82640    -17.769997    -17.769997
   0.86396    -17.831555    -17.831555
   0.90153    -17.891951    -17.891951
   0.93909    -17.951721    -17.951721
   0.97665    -18.007682    -18.007682
   1.01422    -18.061286    -18.061286
   1.05178    -18.112521    -18.112521
   1.08934    -18.159789    -18.159789
   1.12691    -18.203420    -18.203420
   1.16447    -18.243158    -18.243158
   1.20203    -18.279375    -18.279375
   1.23960    -18.310375    -18.310375
   1.27716    -18.337165    -18.337165
   1.31473    -18.359288    -18.359288
   1.35229    -18.376626    -18.376626
   1.38985    -18.389074    -18.389074
   1.42742    -18.396567    -18.396567
   1.46498    -18.399064    -18.399064
   1.46498    -18.399064    -18.399064
   1.48171    -18.398570    -18.398570
   1.49844    -18.397083    -18.397083
   1.51517    -18.394605    -18.394605
   1.53190    -18.391137    -18.391137
   1.54863    -18.386683    -18.386683
   1.56536    -18.381247    -18.381247
   1.58209    -18.374834    -18.374834
   1.59881    -18.367450    -18.367450
   1.61554    -18.359101    -18.359101
   1.63227    -18.349798    -18.349798
   1.64900    -18.339550    -18.339550
   1.66573    -18.328515    -18.328515
   1.68246    -18.316407    -18.316407
   1.69919    -18.303385    -18.303385
   1.71592    -18.289461    -18.289461
   1.73265    -18.274651    -18.274651
   1.74938    -18.258967    -18.258967
   1.76611    -18.241990    -18.241990
   1.78284    -18.224617    -18.224617
   1.79957    -18.206426    -18.206426
   1.81630    -18.187432    -18.187432
   1.83303    -18.167656    -18.167656
   1.84976    -18.146648    -18.146648
   1.86648    -18.125379    -18.125379
   1.88321    -18.103394    -18.103394
   1.89994    -18.080717    -18.080717
   1.91667    -18.057375    -18.057375
   1.93340    -18.032480    -18.032480
   1.95013    -18.007899    -18.007899
   1.96686    -17.982742    -17.982742
   1.98359    -17.957038    -17.957038
   2.00032    -17.930821    -17.930821
   2.01705    -17.904122    -17.904122
   2.03378    -17.876981    -17.876981
   2.05051    -17.849873    -17.849873
   2.06724    -17.822006    -17.822006
   2.08397    -17.793900    -17.793900
   2.10070    -17.766352    -17.766352
   2.11743    -17.744769    -17.744769
   2.11743    -17.744769    -17.744769
   2.14700    -17.743495    -17.743495
   2.17657    -17.740333    -17.740333
   2.20615    -17.735060    -17.735060
   2.23572    -17.727573    -17.727573
   2.26529    -17.718689    -17.718689
   2.29487    -17.707564    -17.707564
   2.32444    -17.694715    -17.694715
   2.35401    -17.680442    -17.680442
   2.38359    -17.664558    -17.664558
   2.41316    -17.648463    -17.648463
   2.44274    -17.631443    -17.631443
   2.47231    -17.613567    -17.613567
   2.50188    -17.594580    -17.594580
   2.53146    -17.574852    -17.574852
   2.56103    -17.554548    -17.554548
   2.59060    -17.533734    -17.533734
   2.62018    -17.512226    -17.512226
   2.64975    -17.490074    -17.490074
   2.67932    -17.467509    -17.467509
   2.70890    -17.445274    -17.445274
   2.73847    -17.423009    -17.423009
   2.76805    -17.400727    -17.400727
   2.79762    -17.377913    -17.377913
   2.82719    -17.355320    -17.355320
   2.85677    -17.333341    -17.333341
   2.88634    -17.311356    -17.311356
   2.91591    -17.290240    -17.290240
   2.94549    -17.269641    -17.269641
   2.97506    -17.249657    -17.249657
   3.00463    -17.230307    -17.230307
   3.03421    -17.211672    -17.211672
   3.06378    -17.193799    -17.193799
   3.09336    -17.177082    -17.177082
   3.12293    -17.160828    -17.160828
   3.15250    -17.145399    -17.145399
   3.18208    -17.130922    -17.130922
   3.21165    -17.117654    -17.117654
   3.24122    -17.105253    -17.105253
   3.27080    -17.093561    -17.093561
   3.27080    -17.093561    -17.093561
   3.29345    -17.094061    -17.094061
   3.31610    -17.094207    -17.094207
   3.33875    -17.094042    -17.094042
   3.36140    -17.093599    -17.093599
   3.38406    -17.092811    -17.092811
   3.40671    -17.092161    -17.092161
   3.42936    -17.090910    -17.090910
   3.45201    -17.089269    -17.089268
   3.47466    -17.087936    -17.087936
   3.49731    -17.086323    -17.086323
   3.51997    -17.084557    -17.084557
   3.54262    -17.082766    -17.082766
   3.56527    -17.081114    -17.081114
   3.58792    -17.079577    -17.079577
   3.61057    -17.077869    -17.077869
   3.63322    -17.076566    -17.076566
   3.65588    -17.075745    -17.075745
   3.67853    -17.074959    -17.074959
   3.70118    -17.074610    -17.074610
   3.72383    -17.074610    -17.074610
   3.74648    -17.074959    -17.074959
   3.76913    -17.075745    -17.075745
   3.79179    -17.076566    -17.076566
   3.81444    -17.077869    -17.077869
   3.83709    -17.079577    -17.079577
   3.85974    -17.081114    -17.081114
   3.88239    -17.082766    -17.082766
   3.90504    -17.084557    -17.084557
   3.92770    -17.086323    -17.086323
   3.95035    -17.087936    -17.087936
   3.97300    -17.089269    -17.089269
   3.99565    -17.090910    -17.090910
   4.01830    -17.092161    -17.092161
   4.04095    -17.092811    -17.092811
   4.06361    -17.093599    -17.093599
   4.08626    -17.094042    -17.094042
   4.10891    -17.094207    -17.094207
   4.13156    -17.094061    -17.094061
   4.15421    -17.093561    -17.093561
   4.15421    -17.093561    -17.093561
   4.16604    -17.091032    -17.091032
   4.17787    -17.088590    -17.088590
   4.18970    -17.086240    -17.086240
   4.20153    -17.084609    -17.084609
   4.21336    -17.082466    -17.082466
   4.22519    -17.080431    -17.080431
   4.23702    -17.078506    -17.078506
   4.24885    -17.076967    -17.076967
   4.26068    -17.075285    -17.075285
   4.27251    -17.073715    -17.073715
   4.28434    -17.072296    -17.072296
   4.29617    -17.071016    -17.071016
   4.30800    -17.069878    -17.069878
   4.31983    -17.068889    -17.068889
   4.33166    -17.068534    -17.068534
   4.34348    -17.068364    -17.068364
   4.35531    -17.068353    -17.068353
   4.36714    -17.068531    -17.068531
   4.37897    -17.068368    -17.068368
   4.39080    -17.068368    -17.068368
   4.40263    -17.068531    -17.068531
   4.41446    -17.068353    -17.068353
   4.42629    -17.068364    -17.068364
   4.43812    -17.068534    -17.068534
   4.44995    -17.068889    -17.068889
   4.46178    -17.069878    -17.069878
   4.47361    -17.071016    -17.071016
   4.48544    -17.072296    -17.072296
   4.49727    -17.073715    -17.073715
   4.50910    -17.075285    -17.075285
   4.52093    -17.076967    -17.076967
   4.53276    -17.078506    -17.078506
   4.54459    -17.080431    -17.080431
   4.55641    -17.082466    -17.082466
   4.56824    -17.084609    -17.084609
   4.58007    -17.086240    -17.086240
   4.59190    -17.088590    -17.088590
   4.60373    -17.091032    -17.091032
   4.61556    -17.093561    -17.093561
 
# Band-Index    2
   4.61556    -16.923529    -16.923529
   4.60373    -16.924478    -16.924478
   4.59190    -16.925420    -16.925420
   4.58007    -16.926350    -16.926350
   4.56824    -16.927580    -16.927580
   4.55641    -16.928478    -16.928478
   4.54459    -16.929517    -16.929517
   4.53276    -16.930361    -16.930361
   4.52093    -16.931175    -16.931175
   4.50910    -16.931939    -16.931939
   4.49727    -16.932313    -16.932313
   4.48544    -16.932978    -16.932978
   4.47361    -16.933584    -16.933584
   4.46178    -16.934127    -16.934127
   4.44995    -16.934602    -16.934602
   4.43812    -16.934833    -16.934833
   4.42629    -16.935163    -16.935163
   4.41446    -16.935411    -16.935411
   4.40263    -16.935578    -16.935578
   4.39080    -16.935662    -16.935662
   4.37897    -16.935662    -16.935662
   4.36714    -16.935578    -16.935578
   4.35531    -16.935411    -16.935411
   4.34348    -16.935163    -16.935163
   4.33166    -16.934833    -16.934833
   4.31983    -16.934602    -16.934602
   4.30800    -16.934127    -16.934127
   4.29617    -16.933584    -16.933584
   4.28434    -16.932978    -16.932978
   4.27251    -16.932313    -16.932313
   4.26068    -16.931939    -16.931939
   4.24885    -16.931175    -16.931175
   4.23702    -16.930361    -16.930361
   4.22519    -16.929517    -16.929517
   4.21336    -16.928478    -16.928478
   4.20153    -16.927580    -16.927580
   4.18970    -16.926350    -16.926350
   4.17787    -16.925420    -16.925420
   4.16604    -16.924478    -16.924478
   4.15421    -16.923529    -16.923529
   4.15421    -16.923529    -16.923529
   4.13156    -16.922148    -16.922148
   4.10891    -16.920807    -16.920807
   4.08626    -16.920227    -16.920227
   4.06361    -16.920388    -16.920388
   4.04095    -16.920259    -16.920259
   4.01830    -16.920924    -16.920924
   3.99565    -16.921580    -16.921580
   3.97300    -16.922760    -16.922760
   3.95035    -16.924106    -16.924106
   3.92770    -16.925911    -16.925911
   3.90504    -16.927413    -16.927413
   3.88239    -16.929127    -16.929127
   3.85974    -16.930936    -16.930936
   3.83709    -16.932664    -16.932664
   3.81444    -16.934107    -16.934107
   3.79179    -16.935382    -16.935382
   3.76913    -16.936669    -16.936669
   3.74648    -16.937325    -16.937325
   3.72383    -16.937692    -16.937692
   3.70118    -16.937692    -16.937692
   3.67853    -16.937325    -16.937325
   3.65588    -16.936669    -16.936669
   3.63322    -16.935382    -16.935382
   3.61057    -16.934107    -16.934107
   3.58792    -16.932664    -16.932664
   3.56527    -16.930936    -16.930936
   3.54262    -16.929127    -16.929127
   3.51997    -16.927413    -16.927413
   3.49731    -16.925911    -16.925911
   3.47466    -16.924106    -16.924106
   3.45201    -16.922760    -16.922760
   3.42936    -16.921580    -16.921580
   3.40671    -16.920924    -16.920924
   3.38406    -16.920259    -16.920259
   3.36140    -16.920388    -16.920388
   3.33875    -16.920227    -16.920227
   3.31610    -16.920807    -16.920807
   3.29345    -16.922148    -16.922148
   3.27080    -16.923529    -16.923529
   3.27080    -16.923529    -16.923529
   3.24122    -16.925020    -16.925020
   3.21165    -16.930325    -16.930325
   3.18208    -16.938327    -16.938327
   3.15250    -16.950011    -16.950011
   3.12293    -16.964614    -16.964614
   3.09336    -16.982629    -16.982629
   3.06378    -17.002909    -17.002909
   3.03421    -17.025685    -17.025685
   3.00463    -17.050517    -17.050517
   2.97506    -17.077392    -17.077392
   2.94549    -17.105569    -17.105569
   2.91591    -17.135206    -17.135206
   2.88634    -17.165967    -17.165967
   2.85677    -17.198363    -17.198363
   2.82719    -17.230838    -17.230838
   2.79762    -17.264190    -17.264190
   2.76805    -17.297089    -17.297089
   2.73847    -17.330210    -17.330210
   2.70890    -17.362740    -17.362740
   2.67932    -17.395101    -17.395101
   2.64975    -17.426831    -17.426831
   2.62018    -17.457451    -17.457451
   2.59060    -17.487303    -17.487303
   2.56103    -17.516254    -17.516254
   2.53146    -17.543617    -17.543617
   2.50188    -17.569517    -17.569517
   2.47231    -17.593802    -17.593802
   2.44274    -17.616460    -17.616460
   2.41316    -17.636956    -17.636956
   2.38359    -17.655028    -17.655028
   2.35401    -17.671365    -17.671365
   2.32444    -17.684776    -17.684776
   2.29487    -17.696117    -17.696117
   2.26529    -17.705625    -17.705625
   2.23572    -17.713066    -17.713066
   2.20615    -17.719441    -17.719441
   2.17657    -17.723907    -17.723907
   2.14700    -17.726589    -17.726589
   2.11743    -17.727735    -17.727735
   2.11743    -17.727735    -17.727735
   2.10070    -17.705934    -17.705934
   2.08397    -17.677261    -17.677261
   2.06724    -17.648066    -17.648066
   2.05051    -17.618679    -17.618679
   2.03378    -17.590095    -17.590095
   2.01705    -17.560628    -17.560628
   2.00032    -17.531206    -17.531206
   1.98359    -17.500893    -17.500893
   1.96686    -17.472714    -17.472714
   1.95013    -17.443780    -17.443780
   1.93340    -17.415111    -17.415111
   1.91667    -17.386757    -17.386757
   1.89994    -17.358773    -17.358773
   1.88321    -17.331216    -17.331216
   1.86648    -17.304141    -17.304141
   1.84976    -17.277604    -17.277604
   1.83303    -17.251662    -17.251662
   1.81630    -17.225423    -17.225423
   1.79957    -17.201791    -17.201791
   1.78284    -17.178003    -17.178003
   1.76611    -17.155037    -17.155037
   1.74938    -17.132945    -17.132945
   1.73265    -17.111779    -17.111779
   1.71592    -17.091593    -17.091593
   1.69919    -17.072436    -17.072436
   1.68246    -17.054359    -17.054359
   1.66573    -17.037408    -17.037408
   1.64900    -17.021113    -17.021113
   1.63227    -17.007709    -17.007709
   1.61554    -16.994434    -16.994434
   1.59881    -16.982452    -16.982452
   1.58209    -16.971795    -16.971795
   1.56536    -16.962494    -16.962494
   1.54863    -16.954575    -16.954575
   1.53190    -16.948062    -16.948062
   1.51517    -16.942492    -16.942492
   1.49844    -16.938855    -16.938855
   1.48171    -16.936667    -16.936667
   1.46498    -16.935936    -16.935936
   1.46498    -16.935936    -16.935936
   1.42742    -16.935834    -16.935834
   1.38985    -16.935891    -16.935891
   1.35229    -16.935408    -16.935408
   1.31473    -16.934732    -16.934732
   1.27716    -16.933872    -16.933872
   1.23960    -16.932239    -16.932239
   1.20203    -16.930802    -16.930802
   1.16447    -16.929838    -16.929838
   1.12691    -16.928409    -16.928409
   1.08934    -16.927187    -16.927187
   1.05178    -16.925095    -16.925095
   1.01422    -16.923390    -16.923390
   0.97665    -16.922032    -16.922032
   0.93909    -16.920608    -16.920608
   0.90153    -16.918852    -16.918852
   0.86396    -16.916152    -16.916152
   0.82640    -16.914922    -16.914922
   0.78884    -16.913319    -16.913319
   0.75127    -16.910578    -16.910578
   0.71371    -16.909901    -16.909901
   0.67614    -16.908593    -16.908593
   0.63858    -16.907398    -16.907398
   0.60102    -16.906179    -16.906179
   0.56345    -16.905277    -16.905277
   0.52589    -16.904895    -16.904895
   0.48833    -16.904049    -16.904049
   0.45076    -16.903710    -16.903710
   0.41320    -16.903539    -16.903539
   0.37564    -16.903548    -16.903548
   0.33807    -16.903737    -16.903737
   0.30051    -16.904093    -16.904093
   0.26295    -16.904973    -16.904973
   0.22538    -16.905384    -16.905384
   0.18782    -16.906048    -16.906048
   0.15025    -16.907536    -16.907536
   0.11269    -16.908737    -16.908737
   0.07513    -16.910053    -16.910053
   0.03756    -16.910697    -16.910697
   0.00000    -16.912215    -16.912215
 
# Band-Index    3
   0.00000     -6.403618     -6.403618
   0.03756     -6.409641     -6.409641
   0.07513     -6.434244     -6.434244
   0.11269     -6.468760     -6.468760
   0.15025     -6.504847     -6.504847
   0.18782     -6.538537     -6.538537
   0.22538     -6.567163     -6.567163
   0.26295     -6.588552     -6.588552
   0.30051     -6.601698     -6.601698
   0.33807     -6.606195     -6.606195
   0.37564     -6.601215     -6.601215
   0.41320     -6.588530     -6.588530
   0.45076     -6.568374     -6.568374
   0.48833     -6.541097     -6.541097
   0.52589     -6.508508     -6.508508
   0.56345     -6.471773     -6.471773
   0.60102     -6.434795     -6.434795
   0.63858     -6.399890     -6.399890
   0.67614     -6.371085     -6.371085
   0.71371     -6.352613     -6.352613
   0.75127     -6.349152     -6.349152
   0.78884     -6.364991     -6.364991
   0.82640     -6.397935     -6.397935
   0.86396     -6.445821     -6.445821
   0.90153     -6.504646     -6.504646
   0.93909     -6.569249     -6.569249
   0.97665     -6.636799     -6.636799
   1.01422     -6.704887     -6.704887
   1.05178     -6.771966     -6.771966
   1.08934     -6.837185     -6.837185
   1.12691     -6.898086     -6.898086
   1.16447     -6.954600     -6.954600
   1.20203     -7.005862     -7.005862
   1.23960     -7.051497     -7.051497
   1.27716     -7.090880     -7.090880
   1.31473     -7.123518     -7.123518
   1.35229     -7.149203     -7.149203
   1.38985     -7.167708     -7.167708
   1.42742     -7.178778     -7.178778
   1.46498     -7.182512     -7.182512
   1.46498     -7.182512     -7.182512
   1.48171     -7.181188     -7.181188
   1.49844     -7.177213     -7.177213
   1.51517     -7.170598     -7.170598
   1.53190     -7.161444     -7.161444
   1.54863     -7.149620     -7.149620
   1.56536     -7.135243     -7.135243
   1.58209     -7.118357     -7.118357
   1.59881     -7.099015     -7.099015
   1.61554     -7.077281     -7.077281
   1.63227     -7.053226     -7.053227
   1.64900     -7.024712     -7.024712
   1.66573     -6.996469     -6.996469
   1.68246     -6.966021     -6.966021
   1.69919     -6.933622     -6.933622
   1.71592     -6.899390     -6.899390
   1.73265     -6.863454     -6.863454
   1.74938     -6.825954     -6.825954
