      #Energy        TDOS-UP        TDOS-DOWN
     -20.42031       0.00000       0.00000
     -20.30931       0.00000       0.00000
     -20.19831       0.00000       0.00000
     -20.08731       0.00000       0.00000
     -19.97631       0.00000       0.00000
     -19.86531       0.00000       0.00000
     -19.75531       0.00000       0.00000
     -19.64431       0.00000       0.00000
     -19.53331       0.00000       0.00000
     -19.42231       0.00000       0.00000
     -19.31131       0.00000       0.00000
     -19.20031       0.00000       0.00000
     -19.09031       0.00000       0.00000
     -18.97931       0.00000       0.00000
     -18.86831       0.00000       0.00000
     -18.75731       0.00000       0.00000
     -18.64631       0.00000       0.00000
     -18.53531       0.00000       0.00000
     -18.42531       0.00000       0.00000
     -18.31431       0.00716      -0.00716
     -18.20331       0.02541      -0.02541
     -18.09231       0.05120      -0.05120
     -17.98131       0.08436      -0.08436
     -17.87131       0.12542      -0.12542
     -17.76031       0.17574      -0.17574
     -17.64931       0.23699      -0.23699
     -17.53831       0.31196      -0.31196
     -17.42731       0.40531      -0.40531
     -17.31631       0.52594      -0.52594
     -17.20631       0.69456      -0.69456
     -17.09531       1.00493      -1.00493
     -16.98431       1.51485      -1.51485
     -16.87331       1.81430      -1.81430
     -16.76231       1.81430      -1.81430
     -16.65131       1.81430      -1.81430
     -16.54131       1.81430      -1.81430
     -16.43031       1.81430      -1.81430
     -16.31931       1.81430      -1.81430
     -16.20831       1.81430      -1.81430
     -16.09731       1.81430      -1.81430
     -15.98631       1.81430      -1.81430
     -15.87631       1.81430      -1.81430
     -15.76531       1.81430      -1.81430
     -15.65431       1.81430      -1.81430
     -15.54331       1.81430      -1.81430
     -15.43231       1.81430      -1.81430
     -15.32231       1.81430      -1.81430
     -15.21131       1.81430      -1.81430
     -15.10031       1.81430      -1.81430
     -14.98931       1.81430      -1.81430
     -14.87831       1.81430      -1.81430
     -14.76731       1.81430      -1.81430
     -14.65731       1.81430      -1.81430
     -14.54631       1.81430      -1.81430
     -14.43531       1.81430      -1.81430
     -14.32431       1.81430      -1.81430
     -14.21331       1.81430      -1.81430
     -14.10231       1.81430      -1.81430
     -13.99231       1.81430      -1.81430
     -13.88131       1.81430      -1.81430
     -13.77031       1.81430      -1.81430
     -13.65931       1.81430      -1.81430
     -13.54831       1.81430      -1.81430
     -13.43731       1.81430      -1.81430
     -13.32731       1.81430      -1.81430
     -13.21631       1.81430      -1.81430
     -13.10531       1.81430      -1.81430
     -12.99431       1.81430      -1.81430
     -12.88331       1.81430      -1.81430
     -12.77231       1.81430      -1.81430
     -12.66231       1.81430      -1.81430
     -12.55131       1.81430      -1.81430
     -12.44031       1.81430      -1.81430
     -12.32931       1.81430      -1.81430
     -12.21831       1.81430      -1.81430
     -12.10831       1.81430      -1.81430
     -11.99731       1.81430      -1.81430
     -11.88631       1.81430      -1.81430
     -11.77531       1.81430      -1.81430
     -11.66431       1.81430      -1.81430
     -11.55331       1.81430      -1.81430
     -11.44331       1.81430      -1.81430
     -11.33231       1.81430      -1.81430
     -11.22131       1.81430      -1.81430
     -11.11031       1.81430      -1.81430
     -10.99931       1.81430      -1.81430
     -10.88831       1.81430      -1.81430
     -10.77831       1.81430      -1.81430
     -10.66731       1.81430      -1.81430
     -10.55631       1.81430      -1.81430
     -10.44531       1.81430      -1.81430
     -10.33431       1.81430      -1.81430
     -10.22331       1.81430      -1.81430
     -10.11331       1.81430      -1.81430
     -10.00231       1.81430      -1.81430
      -9.89131       1.81430      -1.81430
      -9.78031       1.81430      -1.81430
      -9.66931       1.81430      -1.81430
      -9.55931       1.81430      -1.81430
      -9.44831       1.81430      -1.81430
      -9.33731       1.81430      -1.81430
      -9.22631       1.81430      -1.81430
      -9.11531       1.81430      -1.81430
      -9.00431       1.81430      -1.81430
      -8.89431       1.81430      -1.81430
      -8.78331       1.81430      -1.81430
      -8.67231       1.81430      -1.81430
      -8.56131       1.81430      -1.81430
      -8.45031       1.81430      -1.81430
      -8.33931       1.81430      -1.81430
      -8.22931       1.81430      -1.81430
      -8.11831       1.81430      -1.81430
      -8.00731       1.81430      -1.81430
      -7.89631       1.81430      -1.81430
      -7.78531       1.81430      -1.81430
      -7.67431       1.81430      -1.81430
      -7.56431       1.81430      -1.81430
      -7.45331       1.81430      -1.81430
      -7.34231       1.81430      -1.81430
      -7.23131       1.81430      -1.81430
      -7.12031       1.82388      -1.82388
      -7.00931       1.85142      -1.85142
      -6.89931       1.89617      -1.89617
      -6.78831       1.96509      -1.96509
      -6.67731       2.10609      -2.10609
      -6.56631       2.36193      -2.36193
      -6.45531       2.64172      -2.64172
      -6.34531       2.81176      -2.81176
      -6.23431       2.96002      -2.96002
      -6.12331       3.45536      -3.45536
      -6.01231       4.12708      -4.12708
      -5.90131       4.56358      -4.56358
      -5.79031       4.79703      -4.79703
      -5.68031       4.93900      -4.93900
      -5.56931       5.15584      -5.15584
      -5.45831       5.45618      -5.45618
      -5.34731       5.80838      -5.80838
      -5.23631       6.12867      -6.12867
      -5.12531       6.46243      -6.46243
      -5.01531       6.74338      -6.74338
      -4.90431       6.84699      -6.84699
      -4.79331       6.89176      -6.89176
      -4.68231       6.96944      -6.96944
      -4.57131       7.10825      -7.10825
      -4.46031       7.29217      -7.29217
      -4.35031       7.58858      -7.58858
      -4.23931       7.88482      -7.88482
      -4.12831       8.05204      -8.05204
      -4.01731       8.23551      -8.23551
      -3.90631       8.43738      -8.43738
      -3.79631       8.55527      -8.55527
      -3.68531       8.65909      -8.65909
      -3.57431       8.80848      -8.80848
      -3.46331       9.01456      -9.01456
      -3.35231       9.22840      -9.22840
      -3.24131       9.39597      -9.39597
      -3.13131       9.53329      -9.53329
      -3.02031       9.68512      -9.68512
      -2.90931       9.85923      -9.85923
      -2.79831      10.06892     -10.06892
      -2.68731      10.29916     -10.29916
      -2.57631      10.50142     -10.50142
      -2.46631      10.66306     -10.66306
      -2.35531      10.79071     -10.79071
      -2.24431      10.87354     -10.87354
      -2.13331      10.93651     -10.93651
      -2.02231      11.07034     -11.07034
      -1.91131      11.32989     -11.32989
      -1.80131      11.57781     -11.57781
      -1.69031      11.76539     -11.76539
      -1.57931      11.97734     -11.97734
      -1.46831      12.22260     -12.22260
      -1.35731      12.46748     -12.46748
      -1.24631      12.67417     -12.67417
      -1.13631      12.84645     -12.84645
      -1.02531      13.09271     -13.09271
      -0.91431      13.42375     -13.42375
      -0.80331      13.72935     -13.72935
      -0.69231      13.91500     -13.91500
      -0.58231      14.08341     -14.08341
      -0.47131      14.53259     -14.53259
      -0.36031      15.07830     -15.07830
      -0.24931      15.42658     -15.42658
      -0.13831      15.64263     -15.64263
      -0.02731      15.73398     -15.73398
       0.08269      15.73406     -15.73406
       0.19369      15.73406     -15.73406
       0.30469      15.73406     -15.73406
       0.41569      15.73406     -15.73406
       0.52669      15.73406     -15.73406
       0.63769      15.73410     -15.73410
       0.74769      15.74209     -15.74209
       0.85869      15.76455     -15.76455
       0.96969      15.82458     -15.82458
       1.08069      15.95057     -15.95057
       1.19169      16.14540     -16.14540
       1.30269      16.36855     -16.36855
       1.41269      16.58001     -16.58001
       1.52369      16.82693     -16.82693
       1.63469      17.09613     -17.09613
       1.74569      17.32543     -17.32543
       1.85669      17.53063     -17.53063
       1.96669      17.68349     -17.68349
       2.07769      17.73551     -17.73551
       2.18869      17.73551     -17.73551
       2.29969      17.73551     -17.73551
       2.41069      17.73551     -17.73551
       2.52169      17.73551     -17.73551
       2.63169      17.73551     -17.73551
       2.74269      17.73551     -17.73551
       2.85369      17.73551     -17.73551
       2.96469      17.73551     -17.73551
       3.07569      17.73551     -17.73551
       3.18669      17.73551     -17.73551
       3.29669      17.73551     -17.73551
       3.40769      17.73565     -17.73565
       3.51869      17.73633     -17.73633
       3.62969      17.73754     -17.73754
       3.74069      17.73904     -17.73904
       3.85169      17.74092     -17.74092
       3.96169      17.74315     -17.74315
       4.07269      17.74571     -17.74571
       4.18369      17.74861     -17.74861
       4.29469      17.75186     -17.75186
       4.40569      17.75549     -17.75549
       4.51669      17.75951     -17.75951
       4.62669      17.76393     -17.76393
       4.73769      17.76877     -17.76877
       4.84869      17.77404     -17.77404
       4.95969      17.77976     -17.77976
       5.07069      17.78596     -17.78596
       5.18069      17.79268     -17.79268
       5.29169      17.79995     -17.79995
       5.40269      17.80780     -17.80780
       5.51369      17.81624     -17.81624
       5.62469      17.82530     -17.82530
       5.73569      17.83505     -17.83505
       5.84569      17.84556     -17.84556
       5.95669      17.85692     -17.85692
       6.06769      17.86916     -17.86916
       6.17869      17.88214     -17.88214
       6.28969      17.89601     -17.89601
       6.40069      17.91095     -17.91095
       6.51069      17.92707     -17.92707
       6.62169      17.94459     -17.94459
       6.73269      17.96357     -17.96357
       6.84369      17.98405     -17.98405
       6.95469      18.00636     -18.00636
       7.06569      18.03102     -18.03102
       7.17569      18.05850     -18.05850
       7.28669      18.09184     -18.09184
       7.39769      18.13201     -18.13201
       7.50869      18.17479     -18.17479
       7.61969      18.21832     -18.21832
       7.72969      18.26296     -18.26296
       7.84069      18.30992     -18.30992
       7.95169      18.36268     -18.36268
       8.06269      18.42363     -18.42363
       8.17369      18.49317     -18.49317
       8.28469      18.56691     -18.56691
       8.39469      18.64008     -18.64008
       8.50569      18.71251     -18.71251
       8.61669      18.78390     -18.78390
       8.72769      18.85392     -18.85391
       8.83869      18.92275     -18.92273
       8.94969      18.99050     -18.99048
       9.05969      19.05571     -19.05569
       9.17069      19.11806     -19.11805
       9.28169      19.17888     -19.17888
       9.39269      19.23842     -19.23842
       9.50369      19.29694     -19.29694
       9.61469      19.35321     -19.35320
       9.72469      19.40650     -19.40649
       9.83569      19.45763     -19.45767
       9.94669      19.50682     -19.50688
      10.05769      19.55472     -19.55475
      10.16869      19.60187     -19.60172
      10.27969      19.64760     -19.64743
      10.38969      19.68685     -19.68628
      10.50069      19.71473     -19.71229
      10.61169      19.72942     -19.72658
      10.72269      19.73371     -19.73215
      10.83369      19.73430     -19.73307
      10.94369      19.73430     -19.73307
      11.05469      19.73430     -19.73307
      11.16569      19.73430     -19.73307
      11.27669      19.73430     -19.73307
      11.38769      19.73430     -19.73307
      11.49869      19.73430     -19.73307
      11.60869      19.73430     -19.73307
      11.71969      19.73430     -19.73307
      11.83069      19.73430     -19.73307
      11.94169      19.73430     -19.73307
      12.05269      19.73430     -19.73307
      12.16369      19.73430     -19.73307
      12.27369      19.73430     -19.73307
      12.38469      19.73430     -19.73307
      12.49569      19.73430     -19.73307
      12.60669      19.73430     -19.73307
      12.71769      19.73430     -19.73307
      12.82869      19.73430     -19.73307
