      #Energy        TDOS-UP        TDOS-DOWN
     -20.42031       0.00000       0.00000
     -20.30931       0.00000       0.00000
     -20.19831       0.00000       0.00000
     -20.08731       0.00000       0.00000
     -19.97631       0.00000       0.00000
     -19.86531       0.00000       0.00000
     -19.75531       0.00000       0.00000
     -19.64431       0.00000       0.00000
     -19.53331       0.00000       0.00000
     -19.42231       0.00000       0.00000
     -19.31131       0.00000       0.00000
     -19.20031       0.00000       0.00000
     -19.09031       0.00000       0.00000
     -18.97931       0.00000       0.00000
     -18.86831       0.00000       0.00000
     -18.75731       0.00000       0.00000
     -18.64631       0.00000       0.00000
     -18.53531       0.00000       0.00000
     -18.42531       0.00000       0.00000
     -18.31431       0.12930      -0.12930
     -18.20331       0.20000      -0.20000
     -18.09231       0.26540      -0.26540
     -17.98131       0.33300      -0.33300
     -17.87131       0.40800      -0.40800
     -17.76031       0.50010      -0.50010
     -17.64931       0.60520      -0.60520
     -17.53831       0.74760      -0.74760
     -17.42731       0.93700      -0.93700
     -17.31631       1.24000      -1.24000
     -17.20631       1.80300      -1.80300
     -17.09531       3.79800      -3.79800
     -16.98431       5.40400      -5.40400
     -16.87331       0.00000       0.00000
     -16.76231       0.00000       0.00000
     -16.65131       0.00000       0.00000
     -16.54131       0.00000       0.00000
     -16.43031       0.00000       0.00000
     -16.31931       0.00000       0.00000
     -16.20831       0.00000       0.00000
     -16.09731       0.00000       0.00000
     -15.98631       0.00000       0.00000
     -15.87631       0.00000       0.00000
     -15.76531       0.00000       0.00000
     -15.65431       0.00000       0.00000
     -15.54331       0.00000       0.00000
     -15.43231       0.00000       0.00000
     -15.32231       0.00000       0.00000
     -15.21131       0.00000       0.00000
     -15.10031       0.00000       0.00000
     -14.98931       0.00000       0.00000
     -14.87831       0.00000       0.00000
     -14.76731       0.00000       0.00000
     -14.65731       0.00000       0.00000
     -14.54631       0.00000       0.00000
     -14.43531       0.00000       0.00000
     -14.32431       0.00000       0.00000
     -14.21331       0.00000       0.00000
     -14.10231       0.00000       0.00000
     -13.99231       0.00000       0.00000
     -13.88131       0.00000       0.00000
     -13.77031       0.00000       0.00000
     -13.65931       0.00000       0.00000
     -13.54831       0.00000       0.00000
     -13.43731       0.00000       0.00000
     -13.32731       0.00000       0.00000
     -13.21631       0.00000       0.00000
     -13.10531       0.00000       0.00000
     -12.99431       0.00000       0.00000
     -12.88331       0.00000       0.00000
     -12.77231       0.00000       0.00000
     -12.66231       0.00000       0.00000
     -12.55131       0.00000       0.00000
     -12.44031       0.00000       0.00000
     -12.32931       0.00000       0.00000
     -12.21831       0.00000       0.00000
     -12.10831       0.00000       0.00000
     -11.99731       0.00000       0.00000
     -11.88631       0.00000       0.00000
     -11.77531       0.00000       0.00000
     -11.66431       0.00000       0.00000
     -11.55331       0.00000       0.00000
     -11.44331       0.00000       0.00000
     -11.33231       0.00000       0.00000
     -11.22131       0.00000       0.00000
     -11.11031       0.00000       0.00000
     -10.99931       0.00000       0.00000
     -10.88831       0.00000       0.00000
     -10.77831       0.00000       0.00000
     -10.66731       0.00000       0.00000
     -10.55631       0.00000       0.00000
     -10.44531       0.00000       0.00000
     -10.33431       0.00000       0.00000
     -10.22331       0.00000       0.00000
     -10.11331       0.00000       0.00000
     -10.00231       0.00000       0.00000
      -9.89131       0.00000       0.00000
      -9.78031       0.00000       0.00000
      -9.66931       0.00000       0.00000
      -9.55931       0.00000       0.00000
      -9.44831       0.00000       0.00000
      -9.33731       0.00000       0.00000
      -9.22631       0.00000       0.00000
      -9.11531       0.00000       0.00000
      -9.00431       0.00000       0.00000
      -8.89431       0.00000       0.00000
      -8.78331       0.00000       0.00000
      -8.67231       0.00000       0.00000
      -8.56131       0.00000       0.00000
      -8.45031       0.00000       0.00000
      -8.33931       0.00000       0.00000
      -8.22931       0.00000       0.00000
      -8.11831       0.00000       0.00000
      -8.00731       0.00000       0.00000
      -7.89631       0.00000       0.00000
      -7.78531       0.00000       0.00000
      -7.67431       0.00000       0.00000
      -7.56431       0.00000       0.00000
      -7.45331       0.00000       0.00000
      -7.34231       0.00000       0.00000
      -7.23131       0.00000       0.00000
      -7.12031       0.17280      -0.17280
      -7.00931       0.32420      -0.32420
      -6.89931       0.48340      -0.48340
      -6.78831       0.76040      -0.76040
      -6.67731       1.78400      -1.78400
      -6.56631       2.83300      -2.83300
      -6.45531       2.21600      -2.21600
      -6.34531       0.85260      -0.85260
      -6.23431       1.82300      -1.82300
      -6.12331       7.11600      -7.11600
      -6.01231       5.00600      -5.00600
      -5.90131       2.87100      -2.87100
      -5.79031       1.34200      -1.34200
      -5.68031       1.22000      -1.22000
      -5.56931       2.69300      -2.69300
      -5.45831       2.72700      -2.72700
      -5.34731       3.62900      -3.62900
      -5.23631       2.15100      -2.15100
      -5.12531       3.87200      -3.87200
      -5.01531       1.19800      -1.19800
      -4.90431       0.67190      -0.67190
      -4.79331       0.13590      -0.13590
      -4.68231       1.26600      -1.26600
      -4.57131       1.23900      -1.23900
      -4.46031       2.08000      -2.08000
      -4.35031       3.26900      -3.26900
      -4.23931       2.07700      -2.07700
      -4.12831       0.94080      -0.94080
      -4.01731       2.37000      -2.37000
      -3.90631       1.27300      -1.27300
      -3.79631       0.85450      -0.85450
      -3.68531       1.01900      -1.01900
      -3.57431       1.67700      -1.67700
      -3.46331       2.04200      -2.04200
      -3.35231       1.81700      -1.81700
      -3.24131       1.20700      -1.20700
      -3.13131       1.27100      -1.27100
      -3.02031       1.46900      -1.46900
      -2.90931       1.67300      -1.67300
      -2.79831       2.11100      -2.11100
      -2.68731       2.04400      -2.04400
      -2.57631       1.60600      -1.60600
      -2.46631       1.31100      -1.31100
      -2.35531       0.99260      -0.99260
      -2.24431       0.50220      -0.50220
      -2.13331       0.63410      -0.63410
      -2.02231       1.78100      -1.78100
      -1.91131       2.90300      -2.90300
      -1.80131       1.57100      -1.57100
      -1.69031       1.81400      -1.81400
      -1.57931       2.01100      -2.01100
      -1.46831       2.41500      -2.41500
      -1.35731       2.00400      -2.00400
      -1.24631       1.72600      -1.72600
      -1.13631       1.38300      -1.38300
      -1.02531       3.06100      -3.06100
      -0.91431       2.91300      -2.91300
      -0.80331       2.60200      -2.60200
      -0.69231       0.74820      -0.74820
      -0.58231       2.29100      -2.29100
      -0.47131       5.81500      -5.81500
      -0.36031       4.03300      -4.03300
      -0.24931       2.25200      -2.25200
      -0.13831       1.64700      -1.64700
      -0.02731       0.00142      -0.00142
       0.08269       0.00000       0.00000
       0.19369       0.00000       0.00000
       0.30469       0.00000       0.00000
       0.41569       0.00000       0.00000
       0.52669       0.00000       0.00000
       0.63769       0.00067      -0.00067
       0.74769       0.14360      -0.14360
       0.85869       0.26180      -0.26180
       0.96969       0.82150      -0.82150
       1.08069       1.45200      -1.45200
       1.19169       2.06400      -2.06400
       1.30269       1.96300      -1.96300
       1.41269       1.85300      -1.85300
       1.52369       2.60300      -2.60300
       1.63469       2.25500      -2.25500
       1.74569       1.88300      -1.88300
       1.85669       1.82000      -1.82000
       1.96669       0.93870      -0.93870
       2.07769       0.00000       0.00000
       2.18869       0.00000       0.00000
       2.29969       0.00000       0.00000
       2.41069       0.00000       0.00000
       2.52169       0.00000       0.00000
       2.63169       0.00000       0.00000
       2.74269       0.00000       0.00000
       2.85369       0.00000       0.00000
       2.96469       0.00000       0.00000
       3.07569       0.00000       0.00000
       3.18669       0.00000       0.00000
       3.29669       0.00000       0.00000
       3.40769       0.00247      -0.00247
       3.51869       0.00990      -0.00990
       3.62969       0.01194      -0.01194
       3.74069       0.01512      -0.01512
       3.85169       0.01866      -0.01866
       3.96169       0.02164      -0.02164
       4.07269       0.02456      -0.02456
       4.18369       0.02772      -0.02772
       4.29469       0.03104      -0.03104
       4.40569       0.03448      -0.03448
       4.51669       0.03804      -0.03804
       4.62669       0.04176      -0.04176
       4.73769       0.04557      -0.04557
       4.84869       0.04948      -0.04948
       4.95969       0.05367      -0.05367
       5.07069       0.05823      -0.05823
       5.18069       0.06303      -0.06303
       5.29169       0.06818      -0.06818
       5.40269       0.07347      -0.07347
       5.51369       0.07887      -0.07887
       5.62469       0.08467      -0.08467
       5.73569       0.09132      -0.09132
       5.84569       0.09833      -0.09833
       5.95669       0.10670      -0.10670
       6.06769       0.11420      -0.11420
       6.17869       0.12000      -0.12000
       6.28969       0.13020      -0.13020
       6.40069       0.13950      -0.13950
       6.51069       0.15140      -0.15140
       6.62169       0.16470      -0.16470
       6.73269       0.17780      -0.17780
       6.84369       0.19180      -0.19180
       6.95469       0.21080      -0.21080
       7.06569       0.23420      -0.23420
       7.17569       0.26180      -0.26180
       7.28669       0.33990      -0.33990
       7.39769       0.38500      -0.38500
       7.50869       0.38700      -0.38700
       7.61969       0.39850      -0.39850
       7.72969       0.40720      -0.40720
       7.84069       0.44020      -0.44020
       7.95169       0.51190      -0.51190
       8.06269       0.58800      -0.58800
       8.17369       0.66690      -0.66690
       8.28469       0.66380      -0.66380
       8.39469       0.65660      -0.65660
       8.50569       0.65050      -0.65050
       8.61669       0.63780      -0.63780
       8.72769       0.62580      -0.62570
       8.83869       0.61630      -0.61620
       8.94969       0.60640      -0.60640
       9.05969       0.57040      -0.57050
       9.17069       0.55470      -0.55480
       9.28169       0.54290      -0.54290
       9.39269       0.53170      -0.53160
       9.50369       0.52430      -0.52440
       9.61469       0.49120      -0.49100
       9.72469       0.47040      -0.47060
       9.83569       0.45240      -0.45300
       9.94669       0.43520      -0.43510
      10.05769       0.42920      -0.42870
      10.16869       0.42170      -0.41900
      10.27969       0.40360      -0.40580
      10.38969       0.30460      -0.29530
      10.50069       0.19850      -0.17410
      10.61169       0.06670      -0.08390
      10.72269       0.01064      -0.01656
      10.83369       0.00000       0.00000
      10.94369       0.00000       0.00000
      11.05469       0.00000       0.00000
      11.16569       0.00000       0.00000
      11.27669       0.00000       0.00000
      11.38769       0.00000       0.00000
      11.49869       0.00000       0.00000
      11.60869       0.00000       0.00000
      11.71969       0.00000       0.00000
      11.83069       0.00000       0.00000
      11.94169       0.00000       0.00000
      12.05269       0.00000       0.00000
      12.16369       0.00000       0.00000
      12.27369       0.00000       0.00000
      12.38469       0.00000       0.00000
      12.49569       0.00000       0.00000
      12.60669       0.00000       0.00000
      12.71769       0.00000       0.00000
      12.82869       0.00000       0.00000
