#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  20
# Band-Index    1
   0.00000    -18.424185    -18.424185
   0.03756    -18.414291    -18.414291
   0.07513    -18.421430    -18.421430
   0.11269    -18.436005    -18.436005
   0.15025    -18.454220    -18.454220
   0.18782    -18.475650    -18.475650
   0.22538    -18.501466    -18.501466
   0.26295    -18.531071    -18.531071
   0.30051    -18.564771    -18.564771
   0.33807    -18.602495    -18.602495
   0.37564    -18.642729    -18.642729
   0.41320    -18.688086    -18.688086
   0.45076    -18.737522    -18.737522
   0.48833    -18.789463    -18.789463
   0.52589    -18.844193    -18.844194
   0.56345    -18.900073    -18.900073
   0.60102    -18.959219    -18.959219
   0.63858    -19.019905    -19.019905
   0.67614    -19.081999    -19.081999
   0.71371    -19.144430    -19.144430
   0.75127    -19.207038    -19.207038
   0.78884    -19.269368    -19.269368
   0.82640    -19.330406    -19.330406
   0.86396    -19.390592    -19.390592
   0.90153    -19.449531    -19.449531
   0.93909    -19.507805    -19.507805
   0.97665    -19.562210    -19.562210
   1.01422    -19.614244    -19.614244
   1.05178    -19.663952    -19.663952
   1.08934    -19.709729    -19.709729
   1.12691    -19.751946    -19.751946
   1.16447    -19.790365    -19.790365
   1.20203    -19.825394    -19.825394
   1.23960    -19.855314    -19.855314
   1.27716    -19.881173    -19.881173
   1.31473    -19.902519    -19.902519
   1.35229    -19.919244    -19.919244
   1.38985    -19.931249    -19.931249
   1.42742    -19.938474    -19.938474
   1.46498    -19.940882    -19.940882
   1.46498    -19.940882    -19.940882
   1.48171    -19.940406    -19.940406
   1.49844    -19.938972    -19.938972
   1.51517    -19.936583    -19.936583
   1.53190    -19.933239    -19.933239
   1.54863    -19.928945    -19.928945
   1.56536    -19.923704    -19.923704
   1.58209    -19.917521    -19.917521
   1.59881    -19.910403    -19.910403
   1.61554    -19.902356    -19.902356
   1.63227    -19.893388    -19.893388
   1.64900    -19.883511    -19.883511
   1.66573    -19.872885    -19.872885
   1.68246    -19.861218    -19.861218
   1.69919    -19.848670    -19.848670
   1.71592    -19.835256    -19.835256
   1.73265    -19.820989    -19.820989
   1.74938    -19.805883    -19.805883
   1.76611    -19.789506    -19.789506
   1.78284    -19.772778    -19.772778
   1.79957    -19.755264    -19.755264
   1.81630    -19.736982    -19.736982
   1.83303    -19.717949    -19.717949
   1.84976    -19.697702    -19.697702
   1.86648    -19.677240    -19.677240
   1.88321    -19.656094    -19.656094
   1.89994    -19.634287    -19.634287
   1.91667    -19.611845    -19.611845
   1.93340    -19.587861    -19.587861
   1.95013    -19.564238    -19.564238
   1.96686    -19.540067    -19.540067
   1.98359    -19.515374    -19.515374
   2.00032    -19.490192    -19.490192
   2.01705    -19.464551    -19.464551
   2.03378    -19.438486    -19.438486
   2.05051    -19.412461    -19.412461
   2.06724    -19.385673    -19.385673
   2.08397    -19.358592    -19.358592
   2.10070    -19.331803    -19.331803
   2.11743    -19.307954    -19.307954
   2.11743    -19.307954    -19.307954
   2.14700    -19.306690    -19.306690
   2.17657    -19.303576    -19.303576
   2.20615    -19.298376    -19.298376
   2.23572    -19.290983    -19.290983
   2.26529    -19.282218    -19.282218
   2.29487    -19.271205    -19.271205
   2.32444    -19.258340    -19.258340
   2.35401    -19.243749    -19.243749
   2.38359    -19.226889    -19.226889
   2.41316    -19.209051    -19.209051
   2.44274    -19.189645    -19.189645
   2.47231    -19.168904    -19.168904
   2.50188    -19.146665    -19.146665
   2.53146    -19.123421    -19.123421
   2.56103    -19.099322    -19.099322
   2.59060    -19.074462    -19.074462
   2.62018    -19.048643    -19.048643
   2.64975    -19.021844    -19.021844
   2.67932    -18.994442    -18.994442
   2.70890    -18.967246    -18.967246
   2.73847    -18.939742    -18.939742
