#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 200  20
# Band-Index    1
   0.00000    -18.424185  0.000  0.020  0.006  0.006  0.000  0.000  0.025  0.000  0.008  0.065
   0.03756    -18.414291  0.000  0.020  0.006  0.006  0.000  0.000  0.026  0.000  0.009  0.065
   0.07513    -18.421431  0.000  0.000  0.016  0.016  0.000  0.000  0.008  0.000  0.025  0.065
   0.11269    -18.436005  0.000  0.000  0.016  0.016  0.000  0.000  0.008  0.000  0.023  0.065
   0.15025    -18.454221  0.002  0.000  0.018  0.018  0.000  0.000  0.007  0.000  0.021  0.065
   0.18782    -18.475650  0.002  0.000  0.018  0.018  0.000  0.000  0.006  0.000  0.019  0.065
   0.22538    -18.501466  0.004  0.000  0.019  0.019  0.000  0.000  0.006  0.000  0.017  0.066
   0.26295    -18.531072  0.006  0.000  0.020  0.020  0.000  0.000  0.006  0.000  0.016  0.067
   0.30051    -18.564771  0.009  0.000  0.020  0.020  0.000  0.000  0.004  0.000  0.014  0.068
   0.33807    -18.602496  0.012  0.000  0.020  0.020  0.000  0.000  0.004  0.000  0.013  0.069
   0.37564    -18.642729  0.015  0.000  0.020  0.020  0.000  0.000  0.004  0.000  0.011  0.071
   0.41320    -18.688086  0.018  0.000  0.020  0.020  0.000  0.000  0.004  0.000  0.010  0.073
   0.45076    -18.737522  0.022  0.000  0.020  0.020  0.000  0.000  0.003  0.000  0.009  0.075
   0.48833    -18.789463  0.026  0.000  0.020  0.020  0.000  0.000  0.002  0.000  0.008  0.077
   0.52589    -18.844194  0.031  0.000  0.020  0.020  0.000  0.000  0.002  0.000  0.006  0.079
   0.56345    -18.900073  0.036  0.000  0.018  0.018  0.000  0.000  0.002  0.000  0.006  0.081
   0.60102    -18.959219  0.040  0.000  0.018  0.018  0.000  0.000  0.002  0.000  0.004  0.083
   0.63858    -19.019905  0.046  0.000  0.018  0.018  0.000  0.000  0.002  0.000  0.004  0.086
   0.67614    -19.082000  0.051  0.000  0.016  0.016  0.000  0.000  0.002  0.000  0.004  0.088
   0.71371    -19.144431  0.056  0.000  0.016  0.016  0.000  0.000  0.000  0.000  0.002  0.091
   0.75127    -19.207039  0.061  0.000  0.014  0.014  0.000  0.000  0.000  0.000  0.002  0.093
   0.78884    -19.269369  0.066  0.000  0.014  0.014  0.000  0.000  0.000  0.000  0.002  0.095
   0.82640    -19.330407  0.071  0.000  0.012  0.012  0.000  0.000  0.000  0.000  0.002  0.098
   0.86396    -19.390592  0.076  0.000  0.012  0.012  0.000  0.000  0.000  0.000  0.002  0.100
   0.90153    -19.449531  0.081  0.000  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.102
   0.93909    -19.507805  0.085  0.000  0.009  0.009  0.000  0.000  0.000  0.000  0.000  0.104
   0.97665    -19.562210  0.090  0.000  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.106
   1.01422    -19.614244  0.094  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.108
   1.05178    -19.663952  0.097  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.110
