#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 200  20
# Band-Index    1
   0.00000    -18.424185  0.788  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.788
   0.03756    -18.414291  0.788  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.788
   0.07513    -18.421431  0.788  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.788
   0.11269    -18.436005  0.786  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.786
   0.15025    -18.454221  0.784  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.784
   0.18782    -18.475650  0.782  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.782
   0.22538    -18.501466  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   0.26295    -18.531072  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   0.30051    -18.564771  0.774  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.774
   0.33807    -18.602496  0.772  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.772
   0.37564    -18.642729  0.770  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.770
   0.41320    -18.688086  0.766  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.766
   0.45076    -18.737522  0.760  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.762
   0.48833    -18.789463  0.756  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.758
   0.52589    -18.844194  0.752  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.754
   0.56345    -18.900073  0.748  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.750
   0.60102    -18.959219  0.744  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.746
   0.63858    -19.019906  0.740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.740
   0.67614    -19.082000  0.734  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.736
   0.71371    -19.144431  0.730  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.732
   0.75127    -19.207039  0.726  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.726
   0.78884    -19.269369  0.722  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.722
   0.82640    -19.330407  0.718  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.718
   0.86396    -19.390592  0.714  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.714
   0.90153    -19.449531  0.710  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.710
   0.93909    -19.507805  0.704  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.706
   0.97665    -19.562210  0.702  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.702
   1.01422    -19.614244  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   1.05178    -19.663952  0.694  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
   1.08934    -19.709730  0.692  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.692
   1.12691    -19.751946  0.690  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.690
   1.16447    -19.790365  0.688  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.688
   1.20203    -19.825394  0.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.686
   1.23960    -19.855315  0.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.684
   1.27716    -19.881173  0.682  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.682
   1.31473    -19.902520  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   1.35229    -19.919244  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   1.38985    -19.931250  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   1.42742    -19.938474  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   1.46498    -19.940882  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   1.46498    -19.940882  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   1.48171    -19.940406  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   1.49844    -19.938973  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   1.51517    -19.936583  0.678  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.678
   1.53190    -19.933240  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   1.54863    -19.928945  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   1.56536    -19.923704  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   1.58209    -19.917522  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   1.59881    -19.910403  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   1.61554    -19.902356  0.680  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   1.63227    -19.893388  0.682  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.682
   1.64900    -19.883511  0.682  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.682
   1.66573    -19.872885  0.682  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.682
   1.68246    -19.861218  0.682  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.684
   1.69919    -19.848671  0.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.684
   1.71592    -19.835257  0.684  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.684
   1.73265    -19.820990  0.686  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.686
   1.74938    -19.805884  0.686  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.686
   1.76611    -19.789506  0.688  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.688
   1.78284    -19.772779  0.688  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.688
   1.79957    -19.755265  0.690  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.690
   1.81630    -19.736982  0.690  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.692
   1.83303    -19.717950  0.692  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.692
   1.84976    -19.697702  0.694  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.694
   1.86648    -19.677241  0.694  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
   1.88321    -19.656095  0.696  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
   1.89994    -19.634288  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.698
   1.91667    -19.611845  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
