      #Energy        TDOS-UP        TDOS-DOWN
     -22.01378       0.00000       0.00000
     -21.90178       0.00000       0.00000
     -21.78978       0.00000       0.00000
     -21.67778       0.00000       0.00000
     -21.56578       0.00000       0.00000
     -21.45378       0.00000       0.00000
     -21.34078       0.00000       0.00000
     -21.22878       0.00000       0.00000
     -21.11678       0.00000       0.00000
     -21.00478       0.00000       0.00000
     -20.89278       0.00000       0.00000
     -20.78078       0.00000       0.00000
     -20.66778       0.00000       0.00000
     -20.55578       0.00000       0.00000
     -20.44378       0.00000       0.00000
     -20.33178       0.00000       0.00000
     -20.21978       0.00000       0.00000
     -20.10678       0.00000       0.00000
     -19.99478       0.00286      -0.00286
     -19.88278       0.01440      -0.01440
     -19.77078       0.03574      -0.03574
     -19.65878       0.06495      -0.06495
     -19.54678       0.10212      -0.10212
     -19.43378       0.14788      -0.14788
     -19.32178       0.20293      -0.20293
     -19.20978       0.26922      -0.26922
     -19.09778       0.35014      -0.35014
     -18.98578       0.45057      -0.45057
     -18.87378       0.57875      -0.57875
     -18.76078       0.75245      -0.75245
     -18.64878       1.02840      -1.02840
     -18.53678       1.54934      -1.54934
     -18.42478       1.89573      -1.89573
     -18.31278       1.89573      -1.89573
     -18.19978       1.89573      -1.89573
     -18.08778       1.89573      -1.89573
     -17.97578       1.89573      -1.89573
     -17.86378       1.89573      -1.89573
     -17.75178       1.89573      -1.89573
     -17.63978       1.89573      -1.89573
     -17.52678       1.89573      -1.89573
     -17.41478       1.89573      -1.89573
     -17.30278       1.89573      -1.89573
     -17.19078       1.89573      -1.89573
     -17.07878       1.89573      -1.89573
     -16.96678       1.89573      -1.89573
     -16.85378       1.89573      -1.89573
     -16.74178       1.89573      -1.89573
     -16.62978       1.89573      -1.89573
     -16.51778       1.89573      -1.89573
     -16.40578       1.89573      -1.89573
     -16.29378       1.89573      -1.89573
     -16.18078       1.89573      -1.89573
     -16.06878       1.89573      -1.89573
     -15.95678       1.89573      -1.89573
     -15.84478       1.89573      -1.89573
     -15.73278       1.89573      -1.89573
     -15.61978       1.89573      -1.89573
     -15.50778       1.89573      -1.89573
     -15.39578       1.89573      -1.89573
     -15.28378       1.89573      -1.89573
     -15.17178       1.89573      -1.89573
     -15.05978       1.89573      -1.89573
     -14.94678       1.89573      -1.89573
     -14.83478       1.89573      -1.89573
     -14.72278       1.89573      -1.89573
     -14.61078       1.89573      -1.89573
     -14.49878       1.89573      -1.89573
     -14.38678       1.89573      -1.89573
     -14.27378       1.89573      -1.89573
     -14.16178       1.89573      -1.89573
     -14.04978       1.89573      -1.89573
     -13.93778       1.89573      -1.89573
     -13.82578       1.89573      -1.89573
     -13.71378       1.89573      -1.89573
     -13.60078       1.89573      -1.89573
     -13.48878       1.89573      -1.89573
     -13.37678       1.89573      -1.89573
     -13.26478       1.89573      -1.89573
     -13.15278       1.89573      -1.89573
     -13.03978       1.89573      -1.89573
     -12.92778       1.89573      -1.89573
     -12.81578       1.89573      -1.89573
     -12.70378       1.89573      -1.89573
     -12.59178       1.89573      -1.89573
     -12.47978       1.89573      -1.89573
     -12.36678       1.89573      -1.89573
     -12.25478       1.89573      -1.89573
     -12.14278       1.89573      -1.89573
     -12.03078       1.89573      -1.89573
     -11.91878       1.89573      -1.89573
     -11.80678       1.89573      -1.89573
     -11.69378       1.89573      -1.89573
     -11.58178       1.89573      -1.89573
     -11.46978       1.89573      -1.89573
     -11.35778       1.89573      -1.89573
     -11.24578       1.89573      -1.89573
     -11.13378       1.89573      -1.89573
     -11.02078       1.89573      -1.89573
     -10.90878       1.89573      -1.89573
     -10.79678       1.89573      -1.89573
     -10.68478       1.89573      -1.89573
     -10.57278       1.89573      -1.89573
     -10.45978       1.89573      -1.89573
     -10.34778       1.89573      -1.89573
     -10.23578       1.89573      -1.89573
     -10.12378       1.89573      -1.89573
     -10.01178       1.89573      -1.89573
      -9.89978       1.89573      -1.89573
      -9.78678       1.89573      -1.89573
      -9.67478       1.89573      -1.89573
      -9.56278       1.89573      -1.89573
      -9.45078       1.89573      -1.89573
      -9.33878       1.89573      -1.89573
      -9.22678       1.89573      -1.89573
      -9.11378       1.89573      -1.89573
      -9.00178       1.89573      -1.89573
      -8.88978       1.89573      -1.89573
      -8.77778       1.89573      -1.89573
      -8.66578       1.89573      -1.89573
      -8.55378       1.89573      -1.89573
      -8.44078       1.89573      -1.89573
      -8.32878       1.89573      -1.89573
      -8.21678       1.89573      -1.89573
      -8.10478       1.89573      -1.89573
      -7.99278       1.89573      -1.89573
      -7.87978       1.89573      -1.89573
      -7.76778       1.90510      -1.90510
      -7.65578       1.92963      -1.92963
      -7.54378       1.96469      -1.96469
      -7.43178       2.00945      -2.00945
      -7.31978       2.06429      -2.06429
      -7.20678       2.13031      -2.13031
      -7.09478       2.21036      -2.21036
      -6.98278       2.30959      -2.30959
      -6.87078       2.45062      -2.45062
      -6.75878       2.63403      -2.63403
      -6.64678       2.85714      -2.85714
      -6.53378       3.10325      -3.10325
      -6.42178       3.29782      -3.29782
      -6.30978       3.42996      -3.42996
      -6.19778       3.53131      -3.53131
      -6.08578       3.59956      -3.59956
      -5.97278       3.64882      -3.64882
      -5.86078       3.70785      -3.70785
      -5.74878       3.80348      -3.80348
      -5.63678       3.93983      -3.93983
      -5.52478       4.10416      -4.10416
      -5.41278       4.28841      -4.28841
      -5.29978       4.48331      -4.48331
      -5.18778       4.71400      -4.71400
      -5.07578       5.10408      -5.10408
      -4.96378       5.58217      -5.58217
      -4.85178       5.95902      -5.95902
      -4.73978       6.23918      -6.23918
      -4.62678       6.46274      -6.46274
