      #Energy        TDOS-UP        TDOS-DOWN
     -22.01378       0.00000       0.00000
     -21.90178       0.00000       0.00000
     -21.78978       0.00000       0.00000
     -21.67778       0.00000       0.00000
     -21.56578       0.00000       0.00000
     -21.45378       0.00000       0.00000
     -21.34078       0.00000       0.00000
     -21.22878       0.00000       0.00000
     -21.11678       0.00000       0.00000
     -21.00478       0.00000       0.00000
     -20.89278       0.00000       0.00000
     -20.78078       0.00000       0.00000
     -20.66778       0.00000       0.00000
     -20.55578       0.00000       0.00000
     -20.44378       0.00000       0.00000
     -20.33178       0.00000       0.00000
     -20.21978       0.00000       0.00000
     -20.10678       0.00000       0.00000
     -19.99478       0.05108      -0.05108
     -19.88278       0.15450      -0.15450
     -19.77078       0.22610      -0.22610
     -19.65878       0.29470      -0.29470
     -19.54678       0.36790      -0.36790
     -19.43378       0.44810      -0.44810
     -19.32178       0.53330      -0.53330
     -19.20978       0.64860      -0.64860
     -19.09778       0.79430      -0.79430
     -18.98578       0.99630      -0.99630
     -18.87378       1.28900      -1.28900
     -18.76078       1.80800      -1.80800
     -18.64878       3.11200      -3.11200
     -18.53678       6.17600      -6.17600
     -18.42478       0.00000       0.00000
     -18.31278       0.00000       0.00000
     -18.19978       0.00000       0.00000
     -18.08778       0.00000       0.00000
     -17.97578       0.00000       0.00000
     -17.86378       0.00000       0.00000
     -17.75178       0.00000       0.00000
     -17.63978       0.00000       0.00000
     -17.52678       0.00000       0.00000
     -17.41478       0.00000       0.00000
     -17.30278       0.00000       0.00000
     -17.19078       0.00000       0.00000
     -17.07878       0.00000       0.00000
     -16.96678       0.00000       0.00000
     -16.85378       0.00000       0.00000
     -16.74178       0.00000       0.00000
     -16.62978       0.00000       0.00000
     -16.51778       0.00000       0.00000
     -16.40578       0.00000       0.00000
     -16.29378       0.00000       0.00000
     -16.18078       0.00000       0.00000
     -16.06878       0.00000       0.00000
     -15.95678       0.00000       0.00000
     -15.84478       0.00000       0.00000
     -15.73278       0.00000       0.00000
     -15.61978       0.00000       0.00000
     -15.50778       0.00000       0.00000
     -15.39578       0.00000       0.00000
     -15.28378       0.00000       0.00000
     -15.17178       0.00000       0.00000
     -15.05978       0.00000       0.00000
     -14.94678       0.00000       0.00000
     -14.83478       0.00000       0.00000
     -14.72278       0.00000       0.00000
     -14.61078       0.00000       0.00000
     -14.49878       0.00000       0.00000
     -14.38678       0.00000       0.00000
     -14.27378       0.00000       0.00000
     -14.16178       0.00000       0.00000
     -14.04978       0.00000       0.00000
     -13.93778       0.00000       0.00000
     -13.82578       0.00000       0.00000
     -13.71378       0.00000       0.00000
     -13.60078       0.00000       0.00000
     -13.48878       0.00000       0.00000
     -13.37678       0.00000       0.00000
     -13.26478       0.00000       0.00000
     -13.15278       0.00000       0.00000
     -13.03978       0.00000       0.00000
     -12.92778       0.00000       0.00000
     -12.81578       0.00000       0.00000
     -12.70378       0.00000       0.00000
     -12.59178       0.00000       0.00000
     -12.47978       0.00000       0.00000
     -12.36678       0.00000       0.00000
     -12.25478       0.00000       0.00000
     -12.14278       0.00000       0.00000
     -12.03078       0.00000       0.00000
     -11.91878       0.00000       0.00000
     -11.80678       0.00000       0.00000
     -11.69378       0.00000       0.00000
     -11.58178       0.00000       0.00000
     -11.46978       0.00000       0.00000
     -11.35778       0.00000       0.00000
     -11.24578       0.00000       0.00000
     -11.13378       0.00000       0.00000
     -11.02078       0.00000       0.00000
     -10.90878       0.00000       0.00000
     -10.79678       0.00000       0.00000
     -10.68478       0.00000       0.00000
     -10.57278       0.00000       0.00000
     -10.45978       0.00000       0.00000
     -10.34778       0.00000       0.00000
     -10.23578       0.00000       0.00000
     -10.12378       0.00000       0.00000
     -10.01178       0.00000       0.00000
      -9.89978       0.00000       0.00000
      -9.78678       0.00000       0.00000
      -9.67478       0.00000       0.00000
      -9.56278       0.00000       0.00000
      -9.45078       0.00000       0.00000
      -9.33878       0.00000       0.00000
      -9.22678       0.00000       0.00000
      -9.11378       0.00000       0.00000
      -9.00178       0.00000       0.00000
      -8.88978       0.00000       0.00000
      -8.77778       0.00000       0.00000
      -8.66578       0.00000       0.00000
      -8.55378       0.00000       0.00000
      -8.44078       0.00000       0.00000
      -8.32878       0.00000       0.00000
      -8.21678       0.00000       0.00000
      -8.10478       0.00000       0.00000
      -7.99278       0.00000       0.00000
      -7.87978       0.00000       0.00000
      -7.76778       0.16710      -0.16710
      -7.65578       0.27020      -0.27020
      -7.54378       0.35480      -0.35480
      -7.43178       0.44340      -0.44340
      -7.31978       0.53430      -0.53430
      -7.20678       0.64270      -0.64270
      -7.09478       0.78460      -0.78460
      -6.98278       0.98460      -0.98460
      -6.87078       1.53000      -1.53000
      -6.75878       1.74000      -1.74000
      -6.64678       2.23800      -2.23800
      -6.53378       2.15000      -2.15000
      -6.42178       1.31900      -1.31900
      -6.30978       1.03700      -1.03700
      -6.19778       0.77000      -0.77000
      -6.08578       0.44680      -0.44680
      -5.97278       0.43150      -0.43150
      -5.86078       0.62100      -0.62100
      -5.74878       1.08400      -1.08400
      -5.63678       1.34700      -1.34700
      -5.52478       1.58300      -1.58300
      -5.41278       1.70200      -1.70200
      -5.29978       1.77300      -1.77300
      -5.18778       2.34000      -2.34000
      -5.07578       4.61500      -4.61500
      -4.96378       3.90900      -3.90900
      -4.85178       2.81000      -2.81000
      -4.73978       2.18500      -2.18500
      -4.62678       1.80100      -1.80100
      -4.51478       1.73900      -1.73900
      -4.40278       1.55400      -1.55400
      -4.29078       1.64100      -1.64100
      -4.17878       1.47900      -1.47900
      -4.06678       1.40800      -1.40800
      -3.95378       0.86540      -0.86540
