      #Energy        TDOS
     -10.72620       0.00000
     -10.67520       0.00000
     -10.62420       0.00000
     -10.57320       0.00000
     -10.52220       0.00000
     -10.47120       0.00000
     -10.42120       0.00000
     -10.37020       0.00000
     -10.31920       0.00000
     -10.26820       0.00000
     -10.21720       0.00000
     -10.16620       0.00000
     -10.11620       0.00000
     -10.06520       0.00000
     -10.01420       0.00000
      -9.96320       0.00000
      -9.91220       0.00000
      -9.86120       0.00000
      -9.81120       0.00000
      -9.76020       0.00000
      -9.70920       0.00000
      -9.65820       0.00000
      -9.60720       0.00000
      -9.55620       0.00000
      -9.50520       0.00000
      -9.45520       0.00000
      -9.40420       0.00000
      -9.35320       0.00000
      -9.30220       0.00000
      -9.25120       0.00000
      -9.20020       0.00000
      -9.15020       0.00000
      -9.09920       0.00000
      -9.04820       0.00000
      -8.99720       0.00000
      -8.94620       0.00000
      -8.89520       0.00000
      -8.84520       0.00000
      -8.79420       0.00000
      -8.74320       0.00000
      -8.69220       0.00550
      -8.64120       0.01861
      -8.59020       0.03285
      -8.54020       0.04707
      -8.48920       0.06252
      -8.43820       0.07737
      -8.38720       0.09158
      -8.33620       0.10624
      -8.28520       0.12135
      -8.23420       0.13703
      -8.18420       0.15253
      -8.13320       0.16756
      -8.08220       0.18272
      -8.03120       0.19800
      -7.98020       0.21355
      -7.92920       0.22950
      -7.87920       0.24583
      -7.82820       0.26206
      -7.77720       0.27805
      -7.72620       0.29414
      -7.67520       0.31039
      -7.62420       0.32685
      -7.57420       0.34355
      -7.52320       0.36050
      -7.47220       0.37770
      -7.42120       0.39505
      -7.37020       0.41246
      -7.31920       0.42999
      -7.26920       0.44768
      -7.21820       0.46556
      -7.16720       0.48364
      -7.11620       0.50192
      -7.06520       0.52048
      -7.01420       0.53937
      -6.96420       0.55857
      -6.91320       0.57803
      -6.86220       0.59773
      -6.81120       0.62627
      -6.76020       0.66391
      -6.70920       0.70351
      -6.65820       0.74516
      -6.60820       0.78702
      -6.55720       0.82934
      -6.50620       0.87311
      -6.45520       0.91775
      -6.40420       0.96320
      -6.35320       1.01013
      -6.30320       1.05855
      -6.25220       1.10838
      -6.20120       1.15975
      -6.15020       1.21270
      -6.09920       1.26710
      -6.04820       1.32429
      -5.99820       1.38642
      -5.94720       1.45317
      -5.89620       1.52518
      -5.84520       1.60467
      -5.79420       1.70719
      -5.74320       1.85607
      -5.69320       2.00165
      -5.64220       2.11123
      -5.59120       2.21299
      -5.54020       2.30763
      -5.48920       2.40069
      -5.43820       2.51289
      -5.38720       2.67614
      -5.33720       2.83793
      -5.28620       2.97342
      -5.23520       3.11107
      -5.18420       3.25138
      -5.13320       3.43883
      -5.08220       3.67236
      -5.03220       3.92559
