      #Energy        TDOS
     -11.05519       0.00000
     -11.00319       0.00000
     -10.95219       0.00000
     -10.90019       0.00000
     -10.84919       0.00000
     -10.79819       0.00000
     -10.74619       0.00000
     -10.69519       0.00000
     -10.64319       0.00000
     -10.59219       0.00000
     -10.54019       0.00000
     -10.48919       0.00000
     -10.43719       0.00000
     -10.38619       0.00000
     -10.33419       0.00000
     -10.28319       0.00000
     -10.23119       0.00000
     -10.18019       0.00000
     -10.12819       0.00000
     -10.07719       0.00000
     -10.02519       0.00000
      -9.97419       0.00000
      -9.92219       0.00000
      -9.87119       0.00000
      -9.81919       0.00000
      -9.76819       0.00000
      -9.71619       0.00000
      -9.66519       0.00000
      -9.61319       0.00000
      -9.56219       0.00000
      -9.51019       0.00000
      -9.45919       0.00000
      -9.40719       0.00000
      -9.35619       0.00000
      -9.30419       0.00000
      -9.25319       0.00000
      -9.20119       0.00000
      -9.15019       0.00000
      -9.09819       0.00000
      -9.04719       0.04838
      -8.99519       0.34600
      -8.94419       0.24270
      -8.89319       0.26970
      -8.84119       0.30600
      -8.79019       0.28050
      -8.73819       0.27030
      -8.68719       0.27860
      -8.63519       0.28680
      -8.58419       0.29790
      -8.53219       0.29980
      -8.48119       0.28620
      -8.42919       0.28810
      -8.37819       0.29010
      -8.32619       0.29450
      -8.27519       0.30170
      -8.22319       0.30900
      -8.17219       0.31390
      -8.12019       0.30340
      -8.06919       0.30420
      -8.01719       0.30720
      -7.96619       0.31040
      -7.91419       0.31480
      -7.86319       0.72310
      -7.81119       0.60920
      -7.76019       0.66350
      -7.70819       0.68690
      -7.65719       0.64940
      -7.60519       0.66500
      -7.55419       0.68060
      -7.50219       0.69970
      -7.45119       0.68540
      -7.39919       0.69290
      -7.34819       0.70560
      -7.29619       0.71700
      -7.24519       0.73270
      -7.19319       0.74280
      -7.14219       0.74140
      -7.09119       0.75010
      -7.03919       0.75850
      -6.98819       0.77390
      -6.93619       0.78810
      -6.88519       0.80230
      -6.83319       0.81570
      -6.78219       0.82900
      -6.73019       0.84140
      -6.67919       0.85760
      -6.62719       0.88230
      -6.57619       0.90180
      -6.52419       0.92590
      -6.47319       0.95720
      -6.42119       0.97910
      -6.37019       1.00100
      -6.31819       1.56900
      -6.26719       1.57300
      -6.21519       1.66900
      -6.16419       1.74400
      -6.11219       1.96400
      -6.06119       2.11800
      -6.00919       2.42300
      -5.95819       3.14900
      -5.90619       3.52400
      -5.85519       3.71200
      -5.80319       4.18900
      -5.75219       4.25100
      -5.70019       4.61600
      -5.64919       3.90500
      -5.59719       3.36200
      -5.54619       3.20900
      -5.49419       3.41200
      -5.44319       3.38000
      -5.39119       4.71900
      -5.34019       4.75000
      -5.28919       4.28100
      -5.23719       4.32700
      -5.18619       4.04600
      -5.13419       4.22700
      -5.08319       4.40200
      -5.03119       5.18000
      -4.98019       5.56600
      -4.92819       6.43600
      -4.87719       4.81200
      -4.82519       4.66600
      -4.77419       5.25700
      -4.72219       7.09900
      -4.67119       7.26000
      -4.61919       8.49400
      -4.56819       4.29700
      -4.51619       3.82100
      -4.46519       5.52200
      -4.41319       7.62400
      -4.36219       5.96000
      -4.31019       5.31000
      -4.25919       6.38500
      -4.20719       4.86700
      -4.15619       6.87800
      -4.10419       8.46900
      -4.05319      10.97000
      -4.00119       5.44200
      -3.95019       5.09100
      -3.89819       7.07200
      -3.84719       5.72900
      -3.79519       5.36800
      -3.74419       4.68600
      -3.69219       4.85500
      -3.64119       5.14300
      -3.58919       4.56600
      -3.53819       4.12700
      -3.48719       5.23400
      -3.43519       5.06200
      -3.38419       3.04300
      -3.33219       3.52300
      -3.28119       9.22300
      -3.22919      11.09000
      -3.17819      10.14000
      -3.12619      12.64000
      -3.07519      11.42000
      -3.02319      11.29000
      -2.97219       8.94800
      -2.92019       9.07000
      -2.86919       8.91000
      -2.81719       9.37800
      -2.76619       6.48100
      -2.71419       6.86900
      -2.66319       4.91700
      -2.61119       6.64000
      -2.56019       8.81200
      -2.50819      11.04000
      -2.45719      10.94000
      -2.40519      10.18000
      -2.35419       8.70400
      -2.30219       9.59100
      -2.25119       8.53700
      -2.19919      11.71000
      -2.14819       9.20800
      -2.09619       9.17800
      -2.04519       8.60000
      -1.99319       9.03800
      -1.94219       9.36800
      -1.89019      10.01000
      -1.83919      10.84000
      -1.78719       9.38400
      -1.73619       8.85200
      -1.68519       9.01800
      -1.63319       9.16000
      -1.58219       8.12400
      -1.53019       6.91700
      -1.47919       6.52200
      -1.42719       6.14200
      -1.37619       5.59100
      -1.32419       5.58600
      -1.27319       5.21800
      -1.22119       5.06100
      -1.17019       5.37100
      -1.11819       4.77800
      -1.06719       4.13600
      -1.01519       5.45800
      -0.96419       4.16400
      -0.91219       4.63600
      -0.86119       3.58800
      -0.80919       5.11700
      -0.75819       5.01400
      -0.70619       5.32100
      -0.65519       5.07300
      -0.60319       7.75900
      -0.55219       8.26900
      -0.50019       7.45400
      -0.44919       8.46700
      -0.39719      11.71000
      -0.34619       9.75300
      -0.29419       7.05800
      -0.24319       3.83300
      -0.19119       4.73700
      -0.14019       6.85000
      -0.08819       9.27400
      -0.03719       7.13700
       0.01481       7.42400
       0.06581       6.29300
       0.11781       5.63600
       0.16881       5.39000
       0.21981       5.18200
       0.27181       5.31100
       0.32281       5.96400
       0.37481       5.09400
       0.42581       4.88500
       0.47781       5.12400
       0.52881       4.62500
       0.58081       4.62900
       0.63181       4.31300
       0.68381       4.66700
       0.73481       4.48100
       0.78681       4.37300
       0.83781       5.83000
       0.88981       6.99900
       0.94081       4.31500
       0.99281       3.94700
       1.04381       3.70700
       1.09581       3.97700
       1.14681       3.81700
       1.19881       4.30400
       1.24981       4.07500
       1.30181       3.37300
       1.35281       3.11700
       1.40481       3.56400
       1.45581       3.32000
       1.50781       2.99000
       1.55881       2.38700
       1.61081       2.20900
       1.66181       2.06100
       1.71381       1.95000
       1.76481       2.07900
       1.81681       1.67300
       1.86781       0.83870
       1.91981       0.62150
       1.97081       0.45500
       2.02181       0.34720
       2.07381       0.23570
       2.12481       0.15380
       2.17681       0.10710
       2.22781       0.07987
       2.27981       0.05265
       2.33081       0.02544
       2.38281       0.00097
       2.43381       0.00000
       2.48581       0.00000
       2.53681       0.00000
       2.58881       0.00000
       2.63981       0.00000
       2.69181       0.00000
       2.74281       0.00000
       2.79481       0.00000
       2.84581       0.00000
       2.89781       0.00000
       2.94881       0.00000
       3.00081       0.00000
       3.05181       0.00000
       3.10381       0.00000
       3.15481       0.00000
       3.20681       0.00000
       3.25781       0.00000
       3.30981       0.00000
       3.36081       0.00000
       3.41281       0.00000
       3.46381       0.00000
       3.51581       0.00000
       3.56681       0.00000
       3.61881       0.00000
       3.66981       0.00000
       3.72181       0.00000
       3.77281       0.00000
       3.82381       0.00000
       3.87581       0.00000
       3.92681       0.00000
       3.97881       0.00000
       4.02981       0.00000
       4.08181       0.00000
       4.13281       0.00000
       4.18481       0.00000
       4.23581       0.00000
       4.28781       0.00000
       4.33881       0.00000
       4.39081       0.00000
