      #Energy        TDOS
     -36.85999       0.00000
     -36.41899       0.00000
     -35.97799       0.00000
     -35.53799       0.00000
     -35.09699       0.00000
     -34.65599       0.00000
     -34.21499       0.00000
     -33.77399       0.00000
     -33.33299       0.00000
     -32.89199       0.00000
     -32.45099       0.00000
     -32.00999       0.00000
     -31.56899       0.00000
     -31.12799       0.00153
     -30.68699       0.28218
     -30.24599       1.35830
     -29.80499       3.14369
     -29.36399       5.02542
     -28.92299       5.95958
     -28.48199       6.00040
     -28.04099       6.00040
     -27.60099       6.00040
     -27.15999       6.00040
     -26.71899       6.00040
     -26.27799       6.00040
     -25.83699       6.00040
     -25.39599       6.00040
     -24.95499       6.00040
     -24.51399       6.00040
     -24.07299       6.00040
     -23.63199       6.00040
     -23.19099       6.00040
     -22.74999       6.00040
     -22.30899       6.00040
     -21.86799       6.00040
     -21.42699       6.00040
     -20.98599       6.00040
     -20.54499       6.00040
     -20.10399       6.00040
     -19.66399       6.00040
     -19.22299       6.00040
     -18.78199       6.00040
     -18.34099       6.00040
     -17.89999       6.00040
     -17.45899       6.00040
     -17.01799       6.00040
     -16.57699       6.00040
     -16.13599       6.00040
     -15.69499       6.00040
     -15.25399       6.00040
     -14.81299       6.00040
     -14.37199       6.00040
     -13.93099       6.00040
     -13.48999       6.00040
     -13.04899       6.00040
     -12.60799       6.00040
     -12.16699       6.00040
     -11.72599       6.00040
     -11.28599       6.00040
     -10.84499       6.00040
     -10.40399       6.00040
      -9.96299       6.00040
      -9.52199       6.00040
      -9.08099       6.00040
      -8.63999       6.00040
      -8.19899       6.00040
      -7.75799       6.00040
      -7.31699       6.00040
      -6.87599       6.00040
      -6.43499       6.00040
      -5.99399       6.00050
      -5.55299       6.00583
      -5.11199       6.02143
      -4.67099       6.05342
      -4.22999       6.09617
      -3.78899       6.16971
      -3.34899       6.34900
      -2.90799       6.73538
      -2.46699       7.27047
      -2.02599       7.79453
      -1.58499       8.25607
      -1.14399       8.87149
      -0.70299       9.52762
      -0.26199      10.15310
       0.17901      10.84979
       0.62001      11.32592
       1.06101      11.63456
       1.50201      11.91659
       1.94301      12.14769
       2.38401      12.48861
       2.82501      12.95711
       3.26601      13.50278
       3.70701      14.12385
       4.14801      14.87676
       4.58801      15.67157
       5.02901      16.17508
       5.47001      16.41817
       5.91101      16.58322
       6.35201      16.83099
       6.79301      17.07152
       7.23401      17.19097
       7.67501      17.29685
       8.11601      17.40485
       8.55701      17.55083
       8.99801      17.69407
       9.43901      17.76468
       9.88001      17.83769
      10.32101      17.95447
      10.76201      18.09310
      11.20301      18.21421
      11.64401      18.42273
      12.08501      18.69435
      12.52501      18.91622
      12.96601      19.19637
      13.40701      19.50827
      13.84801      19.86680
      14.28901      20.20737
      14.73001      20.56506
      15.17101      20.90373
      15.61201      21.15822
      16.05301      21.44082
      16.49401      21.76789
      16.93501      22.10910
      17.37601      22.45328
      17.81701      22.86962
      18.25801      23.19752
      18.69901      23.38354
      19.14001      23.54768
      19.58101      23.75711
      20.02201      24.04756
      20.46201      24.47386
      20.90301      24.87580
      21.34401      25.17523
      21.78501      25.40981
      22.22601      25.53499
      22.66701      25.69960
      23.10801      26.03688
      23.54901      26.38974
      23.99001      26.59708
      24.43101      26.88918
      24.87201      27.28427
      25.31301      27.66432
      25.75401      27.94463
      26.19501      28.14927
      26.63601      28.45683
      27.07701      28.77530
      27.51801      29.09223
      27.95901      29.47711
      28.39901      29.82265
      28.84001      30.19547
      29.28101      30.65979
      29.72201      31.13843
      30.16301      31.45909
      30.60401      31.63337
      31.04501      31.86114
      31.48601      32.19458
      31.92701      32.54879
      32.36801      32.84879
      32.80901      33.24421
      33.25001      33.68451
      33.69101      34.04466
      34.13201      34.37662
      34.57301      34.75442
      35.01401      35.15440
      35.45501      35.50764
      35.89601      35.85026
      36.33601      36.15510
      36.77701      36.56981
      37.21801      37.25438
      37.65901      38.36446
      38.10001      39.39274
      38.54101      39.93753
      38.98201      40.36434
      39.42301      40.87141
      39.86401      41.43317
      40.30501      41.83253
      40.74601      42.17594
      41.18701      42.58684
      41.62801      42.91283
      42.06901      43.15821
      42.51001      43.46372
      42.95101      43.85285
      43.39201      44.23824
      43.83301      44.52578
      44.27301      44.89031
      44.71401      45.30231
      45.15501      45.58850
      45.59601      45.95854
      46.03701      46.41117
      46.47801      46.80716
      46.91901      47.16927
      47.36001      47.57280
      47.80101      48.00539
      48.24201      48.38696
      48.68301      48.68819
      49.12401      49.15442
      49.56501      49.75609
      50.00601      50.10254
      50.44701      50.30976
      50.88801      50.66990
      51.32901      51.18515
      51.77001      51.69157
      52.21001      52.13247
      52.65101      52.52306
      53.09201      52.90856
      53.53301      53.35495
      53.97401      53.85785
      54.41501      54.32157
      54.85601      54.71817
      55.29701      55.15550
      55.73801      55.68618
      56.17901      56.24199
      56.62001      56.68966
      57.06101      57.05578
      57.50201      57.53290
      57.94301      58.01424
      58.38401      58.44067
      58.82501      58.87198
      59.26601      59.22015
      59.70701      59.59780
      60.14701      60.03171
      60.58801      60.35457
      61.02901      60.71996
      61.47001      61.13421
      61.91101      61.54272
      62.35201      62.03702
      62.79301      62.52162
      63.23401      63.08801
      63.67501      63.69056
      64.11601      64.24770
      64.55701      64.79777
      64.99801      65.21204
      65.43901      65.50774
      65.88001      65.77409
      66.32101      66.06351
      66.76201      66.35025
      67.20301      66.82775
      67.64401      67.32710
      68.08501      67.73473
      68.52501      68.29186
      68.96601      68.83555
      69.40701      69.43612
      69.84801      70.01464
      70.28901      70.43488
      70.73001      70.90208
      71.17101      71.46958
      71.61201      71.91548
      72.05301      72.32126
      72.49401      72.87531
      72.93501      73.42715
      73.37601      73.86488
      73.81701      74.21611
      74.25801      74.60150
      74.69901      75.04097
      75.14001      75.41958
      75.58101      75.80481
      76.02201      76.22442
      76.46201      76.63000
      76.90301      77.12416
      77.34401      77.69254
      77.78501      78.22146
      78.22601      78.71752
      78.66701      79.08181
      79.10801      79.30973
      79.54901      79.51080
      79.99001      79.62392
      80.43101      79.71097
      80.87201      79.82896
      81.31301      79.89229
      81.75401      79.90097
      82.19501      79.90874
      82.63601      79.91090
      83.07701      79.93327
      83.51801      79.95602
      83.95901      79.95765
      84.39901      79.95765
      84.84001      79.95765
      85.28101      79.95765
      85.72201      79.95765
      86.16301      79.95765
      86.60401      79.95765
      87.04501      79.95765
      87.48601      79.95765
      87.92701      79.95765
      88.36801      79.95774
      88.80901      79.96413
      89.25001      79.97359
      89.69101      79.98692
      90.13201      79.99738
      90.57301      79.99766
      91.01401      79.99766
      91.45501      79.99766
      91.89601      79.99766
      92.33601      79.99766
      92.77701      79.99766
      93.21801      79.99766
      93.65901      79.99766
      94.10001      79.99766
      94.54101      79.99766
      94.98201      79.99766
      95.42301      79.99766
