      #Energy        TDOS
     -36.85999       0.00000
     -36.41899       0.00000
     -35.97799       0.00000
     -35.53799       0.00000
     -35.09699       0.00000
     -34.65599       0.00000
     -34.21499       0.00000
     -33.77399       0.00000
     -33.33299       0.00000
     -32.89199       0.00000
     -32.45099       0.00000
     -32.00999       0.00000
     -31.56899       0.00000
     -31.12799       0.00694
     -30.68699       1.26600
     -30.24599       3.61500
     -29.80499       4.48300
     -29.36399       4.05200
     -28.92299       0.18510
     -28.48199       0.00001
     -28.04099       0.00000
     -27.60099       0.00000
     -27.15999       0.00000
     -26.71899       0.00000
     -26.27799       0.00000
     -25.83699       0.00000
     -25.39599       0.00000
     -24.95499       0.00000
     -24.51399       0.00000
     -24.07299       0.00000
     -23.63199       0.00000
     -23.19099       0.00000
     -22.74999       0.00000
     -22.30899       0.00000
     -21.86799       0.00000
     -21.42699       0.00000
     -20.98599       0.00000
     -20.54499       0.00000
     -20.10399       0.00000
     -19.66399       0.00000
     -19.22299       0.00000
     -18.78199       0.00000
     -18.34099       0.00000
     -17.89999       0.00000
     -17.45899       0.00000
     -17.01799       0.00000
     -16.57699       0.00000
     -16.13599       0.00000
     -15.69499       0.00000
     -15.25399       0.00000
     -14.81299       0.00000
     -14.37199       0.00000
     -13.93099       0.00000
     -13.48999       0.00000
     -13.04899       0.00000
     -12.60799       0.00000
     -12.16699       0.00000
     -11.72599       0.00000
     -11.28599       0.00000
     -10.84499       0.00000
     -10.40399       0.00000
      -9.96299       0.00000
      -9.52199       0.00000
      -9.08099       0.00000
      -8.63999       0.00000
      -8.19899       0.00000
      -7.75799       0.00000
      -7.31699       0.00000
      -6.87599       0.00000
      -6.43499       0.00000
      -5.99399       0.00046
      -5.55299       0.02373
      -5.11199       0.04703
      -4.67099       0.09806
      -4.22999       0.09586
      -3.78899       0.23770
      -3.34899       0.57550
      -2.90799       1.17700
      -2.46699       1.25000
      -2.02599       1.12700
      -1.58499       0.96640
      -1.14399       1.82500
      -0.70299       1.15100
      -0.26199       1.68600
       0.17901       1.47400
       0.62001       0.68560
       1.06101       0.71430
       1.50201       0.56490
       1.94301       0.48330
       2.38401       1.06300
       2.82501       1.06200
       3.26601       1.41300
       3.70701       1.40400
       4.14801       2.01100
       4.58801       1.59400
       5.02901       0.68980
       5.47001       0.41280
       5.91101       0.33580
       6.35201       0.78800
       6.79301       0.30300
       7.23401       0.23880
       7.67501       0.24140
       8.11601       0.24850
       8.55701       0.41360
       8.99801       0.23610
       9.43901       0.08415
       9.88001       0.24700
      10.32101       0.28270
      10.76201       0.34610
      11.20301       0.20320
      11.64401       0.74260
      12.08501       0.48940
      12.52501       0.51690
      12.96601       0.75380
      13.40701       0.66090
      13.84801       0.96530
      14.28901       0.57940
      14.73001       1.04300
      15.17101       0.49310
      15.61201       0.66120
      16.05301       0.62060
      16.49401       0.86290
      16.93501       0.68470
      17.37601       0.87640
      17.81701       1.01200
      18.25801       0.47530
      18.69901       0.36840
      19.14001       0.37610
      19.58101       0.57380
      20.02201       0.74360
      20.46201       1.19000
      20.90301       0.63310
      21.34401       0.72500
      21.78501       0.33900
      22.22601       0.22880
      22.66701       0.51780
      23.10801       1.01200
      23.54901       0.58850
      23.99001       0.35190
      24.43101       0.97300
      24.87201       0.81900
      25.31301       0.90480
      25.75401       0.36660
      26.19501       0.56160
      26.63601       0.83340
      27.07701       0.61110
      27.51801       0.82640
      27.95901       0.91930
      28.39901       0.64800
      28.84001       1.04300
      29.28101       1.06300
      29.72201       1.10800
      30.16301       0.34640
      30.60401       0.44410
      31.04501       0.58900
      31.48601       0.92340
      31.92701       0.68320
      32.36801       0.67750
      32.80901       1.11600
      33.25001       0.88110
      33.69101       0.75240
      34.13201       0.75330
      34.57301       0.96030
      35.01401       0.85390
      35.45501       0.74830
      35.89601       0.80570
      36.33601       0.57700
      36.77701       1.30400
      37.21801       1.80100
      37.65901       3.23400
      38.10001       1.43000
      38.54101       1.04100
      38.98201       0.89490
      39.42301       1.40500
      39.86401       1.14300
      40.30501       0.66840
      40.74601       0.88920
      41.18701       0.97450
      41.62801       0.50410
      42.06901       0.60890
      42.51001       0.77680
      42.95101       0.98820
      43.39201       0.75980
      43.83301       0.54440
      44.27301       1.10900
      44.71401       0.75970
      45.15501       0.53840
      45.59601       1.14000
      46.03701       0.91300
      46.47801       0.88310
      46.91901       0.75930
      47.36001       1.07100
      47.80101       0.89110
      48.24201       0.83960
      48.68301       0.52670
      49.12401       1.58800
      49.56501       1.14100
      50.00601       0.43040
      50.44701       0.50950
      50.88801       1.12400
      51.32901       1.21300
      51.77001       1.08400
      52.21001       0.91580
      52.65101       0.85580
      53.09201       0.89270
      53.53301       1.13200
      53.97401       1.14900
      54.41501       0.95430
      54.85601       0.84460
      55.29701       1.13900
      55.73801       1.26800
      56.17901       1.25300
      56.62001       0.77750
      57.06101       0.88310
      57.50201       1.28100
      57.94301       0.90220
      58.38401       1.03200
      58.82501       0.92430
      59.26601       0.65490
      59.70701       1.05800
      60.14701       0.91010
      60.58801       0.55430
      61.02901       1.10300
      61.47001       0.77590
      61.91101       1.07700
      62.35201       1.16500
      62.79301       1.03300
      63.23401       1.53600
      63.67501       1.19700
      64.11601       1.33000
      64.55701       1.16500
      64.99801       0.71400
      65.43901       0.62720
      65.88001       0.58090
      66.32101       0.73180
      66.76201       0.56880
      67.20301       1.59700
      67.64401       0.66790
      68.08501       1.18100
      68.52501       1.34600
      68.96601       1.12000
      69.40701       1.60400
      69.84801       1.02000
      70.28901       0.88610
      70.73001       1.23300
      71.17101       1.34100
      71.61201       0.68150
      72.05301       1.15900
      72.49401       1.35400
      72.93501       1.14900
      73.37601       0.83640
      73.81701       0.75670
      74.25801       0.99130
      74.69901       1.00200
      75.14001       0.71530
      75.58101       1.03200
      76.02201       0.87120
      76.46201       0.96840
      76.90301       1.27300
      77.34401       1.30500
      77.78501       1.09400
      78.22601       1.15600
      78.66701       0.49630
      79.10801       0.53750
      79.54901       0.37450
      79.99001       0.13860
      80.43101       0.25620
      80.87201       0.27900
      81.31301       0.00822
      81.75401       0.03114
      82.19501       0.00413
      82.63601       0.00565
      83.07701       0.09581
      83.51801       0.00740
      83.95901       0.00000
      84.39901       0.00000
      84.84001       0.00000
      85.28101       0.00000
      85.72201       0.00000
      86.16301       0.00000
      86.60401       0.00000
      87.04501       0.00000
      87.48601       0.00000
      87.92701       0.00000
      88.36801       0.00041
      88.80901       0.02857
      89.25001       0.01434
      89.69101       0.04613
      90.13201       0.00128
      90.57301       0.00000
      91.01401       0.00000
      91.45501       0.00000
      91.89601       0.00000
      92.33601       0.00000
      92.77701       0.00000
      93.21801       0.00000
      93.65901       0.00000
      94.10001       0.00000
      94.54101       0.00000
      94.98201       0.00000
      95.42301       0.00000
