      #Energy        TDOS
     -36.89767       0.00000
     -36.45667       0.00000
     -36.01567       0.00000
     -35.57567       0.00000
     -35.13467       0.00000
     -34.69367       0.00000
     -34.25267       0.00000
     -33.81167       0.00000
     -33.37067       0.00000
     -32.92967       0.00000
     -32.48867       0.00000
     -32.04767       0.00000
     -31.60667       0.00000
     -31.16567       0.00000
     -30.72467       4.08900
     -30.28367       3.18900
     -29.84267       4.40000
     -29.40167       0.00000
     -28.96067       0.00000
     -28.51967       0.00000
     -28.07867       0.00000
     -27.63867       0.00000
     -27.19767       0.00000
     -26.75667       0.00000
     -26.31567       0.00000
     -25.87467       0.00000
     -25.43367       0.00000
     -24.99267       0.00000
     -24.55167       0.00000
     -24.11067       0.00000
     -23.66967       0.00000
     -23.22867       0.00000
     -22.78767       0.00000
     -22.34667       0.00000
     -21.90567       0.00000
     -21.46467       0.00000
     -21.02367       0.00000
     -20.58267       0.00000
     -20.14167       0.00000
     -19.70167       0.00000
     -19.26067       0.00000
     -18.81967       0.00000
     -18.37867       0.00000
     -17.93767       0.00000
     -17.49667       0.00000
     -17.05567       0.00000
     -16.61467       0.00000
     -16.17367       0.00000
     -15.73267       0.00000
     -15.29167       0.00000
     -14.85067       0.00000
     -14.40967       0.00000
     -13.96867       0.00000
     -13.52767       0.00000
     -13.08667       0.00000
     -12.64567       0.00000
     -12.20467       0.00000
     -11.76367       0.00000
     -11.32367       0.00000
     -10.88267       0.00000
     -10.44167       0.00000
     -10.00067       0.00000
      -9.55967       0.00000
      -9.11867       0.00000
      -8.67767       0.00000
      -8.23667       0.00000
      -7.79567       0.00000
      -7.35467       0.00000
      -6.91367       0.00000
      -6.47267       0.00000
      -6.03167       0.00000
      -5.59067       0.02897
      -5.14967       0.06691
      -4.70867       0.09436
      -4.26767       0.13860
      -3.82667       0.21920
      -3.38667       0.96440
      -2.94567       1.27700
      -2.50467       1.75400
      -2.06367       0.62570
      -1.62267       1.58300
      -1.18167       1.63500
      -0.74067       0.79850
      -0.29967       2.38500
       0.14133       1.40800
       0.58233       0.55690
       1.02333       0.50700
       1.46433       0.46480
       1.90533       0.70010
       2.34633       1.22600
       2.78733       1.37600
       3.22833       1.55000
       3.66933       1.28300
       4.11033       1.81400
       4.55033       0.89530
       4.99133       0.68150
       5.43233       0.75820
       5.87333       0.30440
       6.31433       0.38510
       6.75533       0.35960
       7.19633       0.32560
       7.63733       0.32070
       8.07833       0.30110
       8.51933       0.29480
       8.96033       0.26250
       9.40133       0.21570
       9.84233       0.16390
      10.28333       0.04867
      10.72433       0.23550
      11.16533       0.41230
      11.60633       0.57290
      12.04733       0.59860
      12.48733       0.72260
      12.92833       0.69250
      13.36933       0.89410
      13.81033       0.80800
      14.25133       0.81160
      14.69233       0.76730
      15.13333       0.64540
      15.57433       0.57450
      16.01533       0.74640
      16.45633       0.60790
      16.89733       0.89160
      17.33833       0.82180
      17.77933       0.70900
      18.22033       0.55420
      18.66133       0.48790
      19.10233       0.50000
      19.54333       0.48590
      19.98433       0.69620
      20.42433       0.94840
      20.86533       0.67940
      21.30633       0.55930
      21.74733       0.49890
      22.18833       0.46900
      22.62933       0.49620
      23.07033       0.38770
      23.51133       0.59060
      23.95233       0.90990
      24.39333       1.03400
      24.83433       0.81230
      25.27533       0.67030
      25.71633       0.55020
      26.15733       0.50790
      26.59833       0.60620
      27.03933       0.70280
      27.48033       0.86880
      27.92133       0.85850
      28.36133       0.92180
      28.80233       1.04800
      29.24333       0.90000
      29.68433       0.74860
      30.12533       0.62380
      30.56633       0.48580
      31.00733       0.40810
      31.44833       0.55800
      31.88933       0.78880
      32.33033       1.09400
      32.77133       1.07100
      33.21233       0.99480
      33.65333       0.80940
      34.09433       0.81120
      34.53533       0.90340
      34.97633       0.76910
      35.41733       0.57770
      35.85833       0.78380
      36.29833       0.80830
      36.73933       2.09500
      37.18033       1.87500
      37.62133       2.07600
      38.06233       1.25300
      38.50333       0.99300
      38.94433       1.38600
      39.38533       1.41000
      39.82633       0.96010
      40.26733       0.71950
      40.70833       0.82600
      41.14933       0.73720
      41.59033       0.68310
      42.03133       0.71450
      42.47233       0.68920
      42.91333       0.80880
      43.35433       0.79170
      43.79533       0.73980
      44.23533       0.60650
      44.67633       0.66680
      45.11733       0.81000
      45.55833       1.37700
      45.99933       0.89980
      46.44033       1.05000
      46.88133       0.98540
      47.32233       0.78220
      47.76333       0.73790
      48.20433       0.91190
      48.64533       1.02700
      49.08633       1.06500
      49.52733       0.85680
      49.96833       0.80240
      50.40933       0.85270
