      #Energy        TDOS
     -37.05463       0.00000
     -36.60363       0.00000
     -36.15163       0.00000
     -35.70063       0.00000
     -35.24863       0.00000
     -34.79763       0.00000
     -34.34663       0.00000
     -33.89463       0.00000
     -33.44363       0.00000
     -32.99163       0.00000
     -32.54063       0.00000
     -32.08863       0.00000
     -31.63763       0.00000
     -31.18563       0.00000
     -30.73463       0.76048
     -30.28263       2.24240
     -29.83163       3.97555
     -29.38063       4.98727
     -28.92863       4.98727
     -28.47763       4.98727
     -28.02563       4.98727
     -27.57463       4.98727
     -27.12263       4.98727
     -26.67163       4.98727
     -26.21963       4.98727
     -25.76863       4.98727
     -25.31663       4.98727
     -24.86563       4.98727
     -24.41363       4.98727
     -23.96263       4.98727
     -23.51163       4.98727
     -23.05963       4.98727
     -22.60863       4.98727
     -22.15663       4.98727
     -21.70563       4.98727
     -21.25363       4.98727
     -20.80263       4.98727
     -20.35063       4.98727
     -19.89963       4.98727
     -19.44763       4.98727
     -18.99663       4.98727
     -18.54463       4.98727
     -18.09363       4.98727
     -17.64263       4.98727
     -17.19063       4.98727
     -16.73963       4.98727
     -16.28763       4.98727
     -15.83663       4.98727
     -15.38463       4.98727
     -14.93363       4.98727
     -14.48163       4.98727
     -14.03063       4.98727
     -13.57863       4.98727
     -13.12763       4.98727
     -12.67663       4.98727
     -12.22463       4.98727
     -11.77363       4.98727
     -11.32163       4.98727
     -10.87063       4.98727
     -10.41863       4.98727
      -9.96763       4.98727
      -9.51563       4.98727
      -9.06463       4.98727
      -8.61263       4.98727
      -8.16163       4.98727
      -7.70963       4.98727
      -7.25863       4.98727
      -6.80763       4.98727
      -6.35563       4.98727
      -5.90463       4.98727
      -5.45263       4.99797
      -5.00163       5.02568
      -4.54963       5.06719
      -4.09863       5.12685
      -3.64663       5.27969
      -3.19563       5.63528
      -2.74363       6.20457
      -2.29263       6.85490
      -1.84063       7.27087
      -1.38963       8.02928
      -0.93863       8.95184
      -0.48663       9.48501
      -0.03563      10.14098
       0.41637      10.66379
       0.86737      10.90887
       1.31937      11.12295
       1.77037      11.39324
       2.22237      11.77192
       2.67337      12.28320
       3.12537      12.87258
       3.57637      13.49266
       4.02737      14.90731
       4.47937      16.21124
       4.93037      16.58320
       5.38237      16.87784
       5.83337      17.10389
       6.28537      17.28449
       6.73637      17.45327
       7.18837      17.60063
       7.63937      17.73952
       8.09137      17.87175
       8.54237      17.99608
       8.99437      18.11202
       9.44537      18.21409
       9.89637      18.32484
      10.34837      18.40843
      10.79937      18.51871
      11.25137      18.72247
      11.70237      18.95728
      12.15437      19.21677
      12.60537      19.48169
      13.05737      19.77559
      13.50837      20.14270
      13.96037      20.52398
      14.41137      20.87442
      14.86337      21.20396
      15.31437      21.50741
      15.76537      21.78969
      16.21737      22.10149
      16.66837      22.45306
      17.12037      22.85524
      17.57137      23.24120
      18.02337      23.54679
      18.47437      23.79593
      18.92637      24.00523
      19.37737      24.23967
      19.82937      24.51808
      20.28037      24.87939
      20.73137      25.24252
      21.18337      25.52105
      21.63437      25.77682
      22.08637      26.01713
      22.53737      26.22891
      22.98937      26.48060
      23.44037      26.75186
      23.89237      27.04258
      24.34337      27.41225
      24.79537      27.76983
      25.24637      28.09247
      25.69837      28.40434
      26.14937      28.69562
      26.60037      28.98487
      27.05237      29.28179
      27.50337      29.62441
      27.95537      30.01961
      28.40637      30.42550
      28.85837      30.84454
      29.30937      31.25004
      29.76137      31.61776
      30.21237      31.96351
      30.66437      32.26745
      31.11537      32.51670
      31.56737      32.75767
      32.01837      33.05611
      32.46937      33.46854
      32.92137      33.93806
      33.37237      34.38559
      33.82437      34.75068
      34.27537      35.06059
      34.72737      35.40462
      35.17837      35.75493
      35.63037      36.11592
      36.08137      36.50885
      36.53337      36.95182
      36.98437      37.63984
      37.43537      38.76082
      37.88737      39.79940
      38.33837      40.40571
      38.79037      40.90502
      39.24137      41.40750
      39.69337      41.89304
      40.14437      42.33498
      40.59637      42.75592
      41.04737      43.15424
      41.49937      43.46157
      41.95037      43.73468
      42.40237      44.01766
      42.85337      44.37824
      43.30437      44.79184
      43.75637      45.13619
      44.20737      45.43325
      44.65937      45.75763
      45.11037      46.13913
      45.56237      46.57572
      46.01337      47.05133
      46.46537      47.50893
      46.91637      47.93305
      47.36837      48.33029
      47.81937      48.71010
      48.27137      49.14633
      48.72237      49.57688
      49.17337      49.94604
      49.62537      50.34050
      50.07637      50.76944
      50.52837      51.18659
      50.97937      51.61170
      51.43137      52.05368
      51.88237      52.49408
      52.33437      52.94170
      52.78537      53.39722
      53.23737      53.86719
      53.68837      54.33197
      54.13937      54.79675
      54.59137      55.28455
      55.04237      55.81163
      55.49437      56.32223
      55.94537      56.76762
      56.39737      57.19680
      56.84837      57.64853
      57.30037      58.13972
      57.75137      58.62136
      58.20337      59.01329
      58.65437      59.37909
      59.10637      59.79400
      59.55737      60.25882
      60.00837      60.70026
      60.46037      61.08560
      60.91137      61.50828
      61.36337      61.97486
      61.81437      62.44912
      62.26637      62.89961
      62.71737      63.33859
      63.16937      63.80540
      63.62037      64.28620
      64.07237      64.75114
      64.52337      65.18838
      64.97537      65.61787
      65.42637      66.05028
      65.87737      66.50901
      66.32937      66.98123
      66.78037      67.42337
      67.23237      67.89372
      67.68337      68.42825
      68.13537      68.92838
      68.58637      69.38765
      69.03837      69.85062
      69.48937      70.32330
      69.94137      70.78783
      70.39237      71.24152
      70.84337      71.70946
      71.29537      72.16661
      71.74637      72.64768
      72.19837      73.22781
      72.64937      73.79281
      73.10137      74.26368
      73.55237      74.69708
      74.00437      75.11714
      74.45537      75.54743
      74.90737      76.00257
      75.35837      76.47299
      75.81037      76.99510
      76.26137      77.54882
      76.71237      78.04204
      77.16437      78.49699
      77.61537      78.92839
      78.06737      79.34332
      78.51837      79.71135
      78.97037      79.96708
      79.42137      80.13153
      79.87337      80.25392
      80.32437      80.33443
      80.77637      80.37950
      81.22737      80.41688
      81.67937      80.44528
      82.13037      80.45886
      82.58137      80.46662
      83.03337      80.47329
      83.48437      80.47911
      83.93637      80.48451
      84.38737      80.48955
      84.83937      80.49424
      85.29037      80.49859
      85.74237      80.50259
      86.19337      80.50632
      86.64537      80.50990
      87.09637      80.51327
      87.54737      80.51664
      87.99937      80.51954
      88.45037      80.52147
      88.90237      80.52295
      89.35337      80.52426
      89.80537      80.52542
      90.25637      80.52643
      90.70837      80.52730
      91.15937      80.52804
      91.61137      80.52866
      92.06237      80.52917
      92.51437      80.52940
      92.96537      80.52940
      93.41637      80.52940
      93.86837      80.52940
      94.31937      80.52940
      94.77137      80.52940
      95.22237      80.52940
      95.67437      80.52940
      96.12537      80.52940
      96.57737      80.52940
      97.02837      80.52940
      97.48037      80.52940
      97.93137      80.52940
      98.38337      80.52940
