      #Energy        TDOS
     -14.23701       0.00000
     -14.15001       0.00000
     -14.06301       0.00000
     -13.97601       0.00000
     -13.88901       0.00000
     -13.80201       0.00000
     -13.71501       0.00000
     -13.62801       0.00000
     -13.54101       0.00000
     -13.45401       0.00000
     -13.36701       0.00000
     -13.28001       0.00000
     -13.19401       0.00000
     -13.10701       0.00000
     -13.02001       0.00000
     -12.93301       0.00000
     -12.84601       0.00000
     -12.75901       0.00000
     -12.67201       0.00000
     -12.58501       0.00001
     -12.49801       0.00007
     -12.41101       0.00034
     -12.32401       0.00125
     -12.23701       0.00365
     -12.15001       0.00852
     -12.06301       0.01647
     -11.97601       0.02759
     -11.88901       0.04215
     -11.80201       0.06038
     -11.71501       0.08126
     -11.62801       0.10271
     -11.54101       0.12436
     -11.45401       0.14864
     -11.36701       0.17764
     -11.28001       0.21026
     -11.19301       0.24370
     -11.10601       0.27606
     -11.01901       0.30683
     -10.93201       0.33751
     -10.84501       0.37219
     -10.75801       0.41427
     -10.67101       0.46212
     -10.58401       0.51080
     -10.49701       0.55725
     -10.41001       0.60096
     -10.32301       0.64208
     -10.23601       0.68358
     -10.14901       0.73292
     -10.06201       0.79630
      -9.97501       0.87148
      -9.88801       0.94927
      -9.80101       1.02142
      -9.71401       1.08530
      -9.62701       1.14379
      -9.54001       1.20338
      -9.45301       1.26990
      -9.36701       1.34350
      -9.28001       1.41817
      -9.19301       1.48678
      -9.10601       1.54561
      -9.01901       1.59443
      -8.93201       1.63592
      -8.84501       1.67591
      -8.75801       1.72104
      -8.67101       1.77348
      -8.58401       1.82760
      -8.49701       1.87356
      -8.41001       1.90542
      -8.32301       1.92511
      -8.23601       1.93901
      -8.14901       1.95331
      -8.06201       1.97204
      -7.97501       1.99557
      -7.88801       2.02025
      -7.80101       2.04138
      -7.71401       2.05701
      -7.62701       2.06876
      -7.54001       2.08129
      -7.45301       2.10301
      -7.36601       2.14390
      -7.27901       2.20816
      -7.19201       2.28977
      -7.10501       2.37822
      -7.01801       2.46689
      -6.93101       2.55439
      -6.84401       2.64172
      -6.75701       2.72898
      -6.67001       2.81283
      -6.58301       2.88839
      -6.49601       2.95378
      -6.40901       3.00991
      -6.32201       3.05772
      -6.23501       3.09961
      -6.14801       3.14080
      -6.06101       3.18471
      -5.97401       3.22907
      -5.88701       3.26957
      -5.80001       3.30599
      -5.71301       3.34200
      -5.62701       3.37995
      -5.54001       3.41726
      -5.45301       3.44811
      -5.36601       3.46899
      -5.27901       3.48300
      -5.19201       3.49867
      -5.10501       3.52403
      -5.01801       3.55953
      -4.93101       3.59710
      -4.84401       3.62862
      -4.75701       3.65459
      -4.67001       3.68300
      -4.58301       3.72176
      -4.49601       3.77399
      -4.40901       3.83909
      -4.32201       3.91726
      -4.23501       4.01022
      -4.14801       4.11581
      -4.06101       4.22453
      -3.97401       4.32503
      -3.88701       4.41241
      -3.80001       4.49136
      -3.71301       4.57202
      -3.62601       4.66097
      -3.53901       4.75616
      -3.45201       4.85197
      -3.36501       4.94842
      -3.27801       5.05336
      -3.19101       5.17335
      -3.10401       5.30464
      -3.01701       5.43680
      -2.93001       5.56300
      -2.84301       5.68377
      -2.75601       5.80293
      -2.66901       5.92148
      -2.58201       6.03616
      -2.49501       6.14614
      -2.40801       6.25765
      -2.32101       6.37754
      -2.23401       6.50536
      -2.14701       6.63495
      -2.06001       6.76085
      -1.97301       6.87844
      -1.88701       6.98221
      -1.80001       7.07131
      -1.71301       7.15483
      -1.62601       7.24416
      -1.53901       7.34084
      -1.45201       7.43590
      -1.36501       7.52129
      -1.27801       7.59752
      -1.19101       7.66876
      -1.10401       7.73402
      -1.01701       7.78794
      -0.93001       7.82893
      -0.84301       7.86155
      -0.75601       7.89020
      -0.66901       7.91497
      -0.58201       7.93502
      -0.49501       7.95200
      -0.40801       7.96772
      -0.32101       7.98136
      -0.23401       7.99104
      -0.14701       7.99643
      -0.06001       7.99884
       0.02699       7.99984
       0.11399       8.00067
       0.20099       8.00239
       0.28799       8.00627
       0.37499       8.01375
       0.46199       8.02620
       0.54899       8.04409
       0.63599       8.06654
       0.72299       8.09207
       0.80999       8.11942
       0.89699       8.14764
       0.98399       8.17680
       1.07099       8.20998
       1.15799       8.25341
       1.24499       8.31192
       1.33199       8.38364
       1.41899       8.46221
       1.50599       8.54377
       1.59299       8.62755
       1.67999       8.71284
       1.76699       8.80320
       1.85399       8.90944
       1.93999       9.03917
       2.02699       9.18485
       2.11399       9.32736
       2.20099       9.45070
       2.28799       9.55398
       2.37499       9.65088
       2.46199       9.75473
       2.54899       9.86371
       2.63599       9.96473
       2.72299      10.05141
       2.80999      10.13303
       2.89699      10.22852
       2.98399      10.35634
       3.07099      10.52403
       3.15799      10.71977
       3.24499      10.91925
       3.33199      11.10673
       3.41899      11.28208
       3.50599      11.44529
       3.59299      11.58789
       3.67999      11.70526
       3.76699      11.80542
       3.85399      11.89896
       3.94099      11.98885
       4.02799      12.07399
       4.11499      12.15604
       4.20199      12.24011
       4.28899      12.33323
       4.37599      12.44164
       4.46299      12.56480
       4.54999      12.69388
       4.63699      12.82091
       4.72399      12.94789
       4.81099      13.08197
       4.89799      13.22157
       4.98499      13.35347
       5.07199      13.46610
       5.15899      13.56028
       5.24599      13.64303
       5.33299      13.71717
       5.41999      13.78268
       5.50699      13.84480
       5.59399      13.91472
       5.67999      14.00055
       5.76699      14.09809
       5.85399      14.19368
       5.94099      14.27836
       6.02799      14.35564
       6.11499      14.43282
       6.20199      14.51110
       6.28899      14.58951
       6.37599      14.67374
       6.46299      14.77364
       6.54999      14.89188
       6.63699      15.01861
       6.72399      15.13655
       6.81099      15.23026
       6.89799      15.29272
       6.98499      15.32701
       7.07199      15.34309
       7.15899      15.35229
       7.24599      15.36365
       7.33299      15.38285
       7.41999      15.41263
       7.50699      15.45298
       7.59399      15.50037
       7.68099      15.54915
       7.76799      15.59635
       7.85499      15.64232
       7.94199      15.68548
       8.02899      15.72184
       8.11599      15.75158
       8.20299      15.78067
       8.28999      15.81379
       8.37699      15.84979
       8.46399      15.88527
       8.55099      15.91817
       8.63799      15.94649
       8.72499      15.96744
       8.81199      15.97982
       8.89899      15.98542
       8.98599      15.98731
       9.07299      15.98777
       9.15999      15.98786
       9.24699      15.98787
       9.33399      15.98787
       9.41999      15.98787
       9.50699      15.98792
       9.59399      15.98811
       9.68099      15.98874
       9.76799      15.99019
       9.85499      15.99255
       9.94199      15.99532
      10.02899      15.99764
      10.11599      15.99904
      10.20299      15.99964
      10.28999      15.99982
      10.37699      15.99986
      10.46399      15.99986
      10.55099      15.99987
      10.63799      15.99987
      10.72499      15.99987
      10.81199      15.99987
      10.89899      15.99987
      10.98599      15.99987
      11.07299      15.99987
      11.15999      15.99987
      11.24699      15.99987
      11.33399      15.99987
      11.42099      15.99987
      11.50799      15.99987
      11.59499      15.99987
      11.68199      15.99987
      11.76899      15.99987
      11.85599      15.99987
