      #Energy        TDOS
     -14.25031       0.00000
     -14.16331       0.00000
     -14.07631       0.00000
     -13.98931       0.00000
     -13.90231       0.00000
     -13.81531       0.00000
     -13.72831       0.00000
     -13.64131       0.00000
     -13.55431       0.00000
     -13.46731       0.00000
     -13.38031       0.00000
     -13.29331       0.00000
     -13.20631       0.00000
     -13.11931       0.00000
     -13.03231       0.00000
     -12.94531       0.00000
     -12.85831       0.00000
     -12.77131       0.00000
     -12.68431       0.00003
     -12.59731       0.00021
     -12.51031       0.00121
     -12.42331       0.00510
     -12.33631       0.01599
     -12.24931       0.03828
     -12.16231       0.07224
     -12.07531       0.11240
     -11.98831       0.15170
     -11.90131       0.18590
     -11.81431       0.21470
     -11.72731       0.24100
     -11.64031       0.26540
     -11.55331       0.28560
     -11.46631       0.30490
     -11.37931       0.32880
     -11.29231       0.35080
     -11.20531       0.36410
     -11.11831       0.37840
     -11.03131       0.40390
     -10.94431       0.43150
     -10.85731       0.44630
     -10.77031       0.45190
     -10.68331       0.46970
     -10.59631       0.50680
     -10.50931       0.54200
     -10.42231       0.55470
     -10.33531       0.55730
     -10.24831       0.58460
     -10.16131       0.64750
     -10.07431       0.71340
      -9.98831       0.74900
      -9.90131       0.76540
      -9.81431       0.79580
      -9.72731       0.83710
      -9.64031       0.84580
      -9.55331       0.80310
      -9.46631       0.74820
      -9.37931       0.72160
      -9.29231       0.71340
      -9.20531       0.69150
      -9.11831       0.64850
      -9.03131       0.60600
      -8.94431       0.58240
      -8.85731       0.56420
      -8.77031       0.52730
      -8.68331       0.47660
      -8.59631       0.43910
      -8.50931       0.41940
      -8.42231       0.38930
      -8.33531       0.32830
      -8.24831       0.25260
      -8.16131       0.19550
      -8.07431       0.17170
      -7.98731       0.16480
      -7.90031       0.15510
      -7.81331       0.15300
      -7.72631       0.19170
      -7.63931       0.27990
      -7.55231       0.37190
      -7.46531       0.42210
      -7.37831       0.46890
      -7.29131       0.60590
      -7.20431       0.84970
      -7.11731       1.09000
      -7.03031       1.20100
      -6.94331       1.16200
      -6.85631       1.04500
      -6.76931       0.92170
      -6.68231       0.81920
      -6.59531       0.73480
      -6.50831       0.66950
      -6.42131       0.62170
      -6.33431       0.57560
      -6.24731       0.52950
      -6.16031       0.50070
      -6.07331       0.48530
      -5.98631       0.46490
      -5.89931       0.43890
      -5.81231       0.41280
      -5.72531       0.38800
      -5.63831       0.36730
      -5.55231       0.34710
      -5.46531       0.32680
      -5.37831       0.32090
      -5.29131       0.32780
      -5.20431       0.31670
      -5.11731       0.27850
      -5.03031       0.24740
      -4.94331       0.24820
      -4.85631       0.27050
      -4.76931       0.31660
      -4.68231       0.42150
      -4.59531       0.59500
      -4.50831       0.78570
      -4.42131       0.93410
      -4.33431       1.02800
      -4.24731       1.08000
      -4.16031       1.09400
      -4.07331       1.07000
      -3.98631       1.03400
      -3.89931       1.02400
      -3.81231       1.05400
      -3.72531       1.09300
      -3.63831       1.09800
      -3.55131       1.07000
      -3.46431       1.05700
      -3.37731       1.10600
      -3.29031       1.22500
      -3.20331       1.36700
      -3.11631       1.45900
      -3.02931       1.48100
      -2.94231       1.46800
      -2.85531       1.45100
      -2.76831       1.42300
      -2.68131       1.37100
      -2.59431       1.33100
      -2.50731       1.35400
      -2.42031       1.42200
      -2.33331       1.43900
      -2.24631       1.36200
      -2.15931       1.25200
      -2.07231       1.18800
      -1.98531       1.18800
      -1.89831       1.21400
      -1.81131       1.21800
      -1.72431       1.18500
      -1.63731       1.13400
      -1.55031       1.08100
      -1.46331       1.01100
      -1.37631       0.91420
      -1.28931       0.80050
      -1.20231       0.68250
      -1.11531       0.57510
      -1.02931       0.49200
      -0.94231       0.43590
      -0.85531       0.40190
      -0.76831       0.37200
      -0.68131       0.32590
      -0.59431       0.26380
      -0.50731       0.20070
      -0.42031       0.14590
      -0.33331       0.09972
      -0.24631       0.06081
      -0.15931       0.03086
      -0.07231       0.01244
       0.01469       0.00495
       0.10169       0.00631
       0.18869       0.01754
       0.27569       0.04309
       0.36269       0.08541
       0.44969       0.14000
       0.53669       0.19940
       0.62369       0.26300
       0.71069       0.33460
       0.79769       0.40960
       0.88469       0.47390
       0.97169       0.52050
       1.05869       0.56050
       1.14569       0.60330
       1.23269       0.63610
       1.31969       0.64910
       1.40669       0.68100
       1.49369       0.79060
       1.58069       0.97100
       1.66769       1.14000
       1.75469       1.24600
       1.84169       1.32100
       1.92869       1.41300
       2.01569       1.50800
       2.10269       1.55700
       2.18969       1.52500
       2.27669       1.41500
       2.36369       1.27500
       2.45069       1.16100
       2.53769       1.11000
       2.62469       1.12300
       2.71169       1.18000
       2.79869       1.28200
       2.88569       1.47200
       2.97269       1.74100
       3.05969       1.95200
       3.14669       1.97300
       3.23369       1.83900
       3.32069       1.68500
       3.40669       1.58200
       3.49369       1.52200
       3.58069       1.47400
       3.66769       1.40900
       3.75469       1.33700
       3.84169       1.30100
       3.92869       1.31800
       4.01569       1.34100
       4.10269       1.32700
       4.18969       1.27600
       4.27669       1.21900
       4.36369       1.20400
       4.45069       1.24700
       4.53769       1.31200
       4.62469       1.35600
       4.71169       1.36100
       4.79869       1.32000
       4.88569       1.22600
       4.97269       1.09600
       5.05969       0.97190
       5.14669       0.88770
       5.23369       0.86840
       5.32069       0.94120
       5.40769       1.10300
       5.49469       1.28000
       5.58169       1.39100
       5.66869       1.41200
       5.75569       1.35400
       5.84269       1.21700
       5.92969       1.02100
       6.01669       0.82650
       6.10369       0.69890
       6.19069       0.64870
       6.27769       0.63480
