      #Energy        TDOS
     -14.00974       0.00000
     -13.92274       0.00000
     -13.83574       0.00000
     -13.74874       0.00000
     -13.66174       0.00000
     -13.57474       0.00000
     -13.48774       0.00000
     -13.40074       0.00000
     -13.31374       0.00000
     -13.22674       0.00000
     -13.13974       0.00000
     -13.05274       0.00000
     -12.96574       0.00000
     -12.87874       0.00000
     -12.79174       0.00000
     -12.70474       0.00000
     -12.61774       0.00000
     -12.53074       0.00000
     -12.44374       0.00000
     -12.35674       0.00000
     -12.26974       0.00000
     -12.18274       0.00000
     -12.09574       0.00000
     -12.00874       0.00000
     -11.92174       0.00377
     -11.83474       0.01365
     -11.74774       0.02718
     -11.66074       0.04339
     -11.57374       0.06195
     -11.48674       0.08271
     -11.39974       0.10557
     -11.31274       0.13021
     -11.22574       0.15667
     -11.13874       0.18501
     -11.05174       0.21501
     -10.96474       0.24658
     -10.87774       0.27983
     -10.79074       0.31484
     -10.70374       0.35150
     -10.61674       0.38971
     -10.52974       0.42962
     -10.44274       0.47134
     -10.35574       0.51492
     -10.26874       0.56039
     -10.18174       0.60788
     -10.09474       0.65763
     -10.00774       0.70994
      -9.92074       0.76516
      -9.83374       0.82398
      -9.74774       0.88779
      -9.66074       0.96168
      -9.57374       1.04038
      -9.48674       1.11556
      -9.39974       1.18832
      -9.31274       1.25815
      -9.22574       1.32534
      -9.13874       1.38982
      -9.05174       1.45149
      -8.96474       1.51124
      -8.87774       1.56847
      -8.79074       1.62256
      -8.70374       1.67403
      -8.61674       1.72316
      -8.52974       1.76961
      -8.44274       1.81317
      -8.35574       1.85401
      -8.26874       1.89257
      -8.18174       1.92863
      -8.09474       1.95934
      -8.00774       1.98082
      -7.92074       1.99297
      -7.83374       1.99861
      -7.74674       2.00147
      -7.65974       2.00627
      -7.57274       2.01651
      -7.48574       2.03369
      -7.39874       2.05806
      -7.31174       2.08885
      -7.22474       2.12443
      -7.13774       2.16445
      -7.05074       2.20948
      -6.96374       2.26503
      -6.87674       2.34713
      -6.78974       2.48186
      -6.70274       2.61694
      -6.61574       2.70942
      -6.52874       2.78761
      -6.44174       2.85686
      -6.35474       2.92015
      -6.26774       2.97858
      -6.18074       3.03250
      -6.09374       3.08228
      -6.00674       3.12897
      -5.91974       3.17338
      -5.83274       3.21559
      -5.74574       3.25558
      -5.65874       3.29335
      -5.57174       3.32881
      -5.48474       3.36235
      -5.39774       3.39457
      -5.31174       3.42551
      -5.22474       3.45516
      -5.13774       3.48348
      -5.05074       3.51026
      -4.96374       3.53541
      -4.87674       3.55935
      -4.78974       3.58247
      -4.70274       3.60479
      -4.61574       3.62627
      -4.52874       3.64680
      -4.44174       3.66631
      -4.35474       3.69858
      -4.26774       3.75801
      -4.18074       3.84389
      -4.09374       3.94644
      -4.00674       4.05103
      -3.91974       4.15110
      -3.83274       4.24526
      -3.74574       4.33406
      -3.65874       4.42143
      -3.57174       4.50980
      -3.48474       4.60026
      -3.39774       4.69277
      -3.31074       4.78732
      -3.22374       4.88391
      -3.13674       4.98311
      -3.04974       5.08896
      -2.96274       5.20526
      -2.87574       5.33351
      -2.78874       5.46698
      -2.70174       5.59897
      -2.61474       5.72818
      -2.52774       5.85483
      -2.44074       5.98034
      -2.35374       6.10368
      -2.26674       6.22384
      -2.17974       6.34166
      -2.09274       6.45873
      -2.00574       6.57403
      -1.91874       6.68627
      -1.83174       6.79652
      -1.74474       6.90577
      -1.65774       7.01328
      -1.57074       7.11961
      -1.48374       7.22590
      -1.39674       7.33076
      -1.30974       7.43326
      -1.22274       7.52407
      -1.13574       7.59739
      -1.04874       7.65985
      -0.96174       7.71473
      -0.87474       7.76327
      -0.78874       7.80622
      -0.70174       7.84388
      -0.61474       7.87693
      -0.52774       7.90646
      -0.44074       7.93226
      -0.35374       7.95350
      -0.26674       7.97009
      -0.17974       7.98153
      -0.09274       7.98650
      -0.00574       7.98708
       0.08126       7.98708
       0.16826       7.98708
       0.25526       7.98708
       0.34226       7.98708
       0.42926       7.98708
       0.51626       7.98708
       0.60326       7.98893
       0.69026       7.99654
       0.77726       8.01148
       0.86426       8.03267
       0.95126       8.05974
       1.03826       8.09324
       1.12526       8.13156
       1.21226       8.17285
       1.29926       8.21743
       1.38626       8.26569
       1.47326       8.31789
       1.56026       8.37454
       1.64726       8.43726
       1.73426       8.50784
       1.82126       8.58748
       1.90826       8.67684
       1.99526       8.77704
       2.08226       8.88964
       2.16926       9.01737
       2.25626       9.16385
       2.34326       9.31758
       2.43026       9.46545
       2.51726       9.60310
       2.60426       9.72522
       2.69126       9.83590
       2.77826       9.94697
       2.86526      10.05770
       2.95226      10.15864
       3.03926      10.23958
       3.12626      10.30844
       3.21326      10.40416
       3.30026      10.56721
       3.38726      10.76791
       3.47426      10.94596
       3.56126      11.10414
       3.64726      11.26527
       3.73426      11.43171
       3.82126      11.59236
       3.90826      11.73088
       3.99526      11.84330
       4.08226      11.94215
       4.16926      12.03674
       4.25626      12.13877
       4.34326      12.24819
       4.43026      12.35927
       4.51726      12.46599
       4.60426      12.56593
       4.69126      12.66770
       4.77826      12.77347
       4.86526      12.88585
       4.95226      12.99570
       5.03926      13.09834
       5.12626      13.20146
       5.21326      13.30666
       5.30026      13.41112
       5.38726      13.51119
       5.47426      13.60796
       5.56126      13.70442
       5.64826      13.80597
       5.73526      13.91409
       5.82226      14.01855
       5.90926      14.11514
       5.99626      14.20760
       6.08326      14.29244
       6.17026      14.37010
       6.25726      14.44711
       6.34426      14.52382
       6.43126      14.59795
       6.51826      14.67190
       6.60526      14.74912
       6.69226      14.83196
       6.77926      14.92094
       6.86626      15.01144
       6.95326      15.09565
       7.04026      15.17468
       7.12726      15.24740
       7.21426      15.31090
       7.30126      15.36871
       7.38826      15.42152
       7.47526      15.47073
       7.56226      15.51774
       7.64926      15.56431
       7.73626      15.61532
       7.82326      15.66889
       7.91026      15.71493
       7.99726      15.75149
       8.08326      15.78125
       8.17026      15.80514
       8.25726      15.82523
       8.34426      15.84413
       8.43126      15.86212
       8.51826      15.87827
       8.60526      15.89275
       8.69226      15.90573
       8.77926      15.91738
       8.86626      15.92786
       8.95326      15.93737
       9.04026      15.94617
       9.12726      15.95463
       9.21426      15.96312
       9.30126      15.97181
       9.38826      15.98036
       9.47526      15.98755
       9.56226      15.99201
       9.64926      15.99443
       9.73626      15.99605
       9.82326      15.99704
       9.91026      15.99755
       9.99726      15.99775
      10.08426      15.99779
      10.17126      15.99779
      10.25826      15.99779
      10.34526      15.99779
      10.43226      15.99779
      10.51926      15.99779
      10.60626      15.99779
      10.69326      15.99779
      10.78026      15.99779
      10.86726      15.99779
      10.95426      15.99779
      11.04126      15.99779
      11.12826      15.99779
      11.21526      15.99779
      11.30226      15.99779
      11.38926      15.99779
      11.47626      15.99779
      11.56326      15.99779
      11.65026      15.99779
      11.73726      15.99779
      11.82426      15.99779
      11.91126      15.99779
      11.99826      15.99779
      12.08526      15.99779
