      #Energy        TDOS
     -14.00793       0.00000
     -13.92093       0.00000
     -13.83393       0.00000
     -13.74693       0.00000
     -13.65993       0.00000
     -13.57293       0.00000
     -13.48593       0.00000
     -13.39893       0.00000
     -13.31193       0.00000
     -13.22493       0.00000
     -13.13793       0.00000
     -13.05093       0.00000
     -12.96393       0.00000
     -12.87693       0.00000
     -12.78993       0.00000
     -12.70293       0.00000
     -12.61593       0.00000
     -12.52893       0.00000
     -12.44193       0.00000
     -12.35493       0.00000
     -12.26793       0.00000
     -12.18093       0.00000
     -12.09393       0.00000
     -12.00693       0.00001
     -11.91993       0.09741
     -11.83293       0.13930
     -11.74593       0.17250
     -11.65893       0.20510
     -11.57193       0.22760
     -11.48493       0.25320
     -11.39793       0.27420
     -11.31193       0.29520
     -11.22493       0.31780
     -11.13793       0.33530
     -11.05093       0.35460
     -10.96393       0.37520
     -10.87693       0.39260
     -10.78993       0.41100
     -10.70293       0.43090
     -10.61593       0.45020
     -10.52893       0.46920
     -10.44193       0.48960
     -10.35493       0.51150
     -10.26793       0.53390
     -10.18093       0.55770
     -10.09393       0.58470
     -10.00693       0.61510
      -9.91993       0.65080
      -9.83293       0.69610
      -9.74593       0.76500
      -9.65893       0.88730
      -9.57193       0.85350
      -9.48493       0.84320
      -9.39793       0.81750
      -9.31093       0.77770
      -9.22393       0.76090
      -9.13693       0.72370
      -9.04993       0.69710
      -8.96293       0.66910
      -8.87593       0.63440
      -8.78893       0.60810
      -8.70193       0.57790
      -8.61493       0.54220
      -8.52793       0.51070
      -8.44193       0.48100
      -8.35493       0.44590
      -8.26793       0.41120
      -8.18093       0.38430
      -8.09393       0.34130
      -8.00693       0.22240
      -7.91993       0.10190
      -7.83293       0.03722
      -7.74593       0.03450
      -7.65893       0.09131
      -7.57193       0.17430
      -7.48493       0.26010
      -7.39793       0.32740
      -7.31093       0.37090
      -7.22393       0.42400
      -7.13693       0.47610
      -7.04993       0.55220
      -6.96293       0.82800
      -6.87593       1.30500
      -6.78893       1.68700
      -6.70193       1.13300
      -6.61493       0.94820
      -6.52793       0.83530
      -6.44093       0.74940
      -6.35393       0.68360
      -6.26693       0.63790
      -6.17993       0.59650
      -6.09293       0.55870
      -6.00593       0.51940
      -5.91893       0.49240
      -5.83193       0.46910
      -5.74493       0.44630
      -5.65893       0.42140
      -5.57193       0.39510
      -5.48493       0.37860
      -5.39793       0.36360
      -5.31093       0.34770
      -5.22393       0.33130
      -5.13693       0.31250
      -5.04993       0.29640
      -4.96293       0.28570
      -4.87593       0.27490
      -4.78893       0.26400
      -4.70193       0.25080
      -4.61493       0.23790
      -4.52793       0.22450
      -4.44093       0.23970
      -4.35393       0.58900
      -4.26693       0.83290
      -4.17993       1.15800
      -4.09293       1.22200
      -4.00593       1.15300
      -3.91893       1.09400
      -3.83193       1.02300
      -3.74493       1.00700
      -3.65793       1.04000
      -3.57093       1.03000
      -3.48393       1.03500
      -3.39693       1.04400
      -3.30993       1.08900
      -3.22293       1.15400
      -3.13593       1.17700
      -3.04893       1.22000
      -2.96193       1.41100
      -2.87493       1.59500
      -2.78893       1.55100
      -2.70193       1.48800
      -2.61493       1.47100
      -2.52793       1.43800
      -2.44093       1.42800
      -2.35393       1.40300
      -2.26693       1.36400
      -2.17993       1.34400
      -2.09293       1.32200
      -2.00593       1.30200
      -1.91893       1.28200
      -1.83193       1.26700
      -1.74493       1.23500
      -1.65793       1.21700
      -1.57093       1.21300
      -1.48393       1.19700
      -1.39693       1.18000
      -1.30993       1.14900
      -1.22293       0.94400
      -1.13593       0.78640
      -1.04893       0.68210
      -0.96193       0.60130
      -0.87493       0.52850
      -0.78793       0.47040
      -0.70093       0.41500
      -0.61393       0.36380
      -0.52693       0.31470
      -0.43993       0.26580
      -0.35293       0.23550
      -0.26593       0.17800
      -0.17893       0.11520
      -0.09193       0.03196
      -0.00593       0.00000
       0.08107       0.00000
       0.16807       0.00000
       0.25507       0.00000
       0.34207       0.00000
       0.42907       0.00000
       0.51607       0.00000
       0.60307       0.05276
       0.69007       0.15610
       0.77707       0.22540
       0.86407       0.30250
       0.95107       0.36530
       1.03807       0.40560
       1.12507       0.44680
       1.21207       0.49220
       1.29907       0.54010
       1.38607       0.59080
       1.47307       0.64170
       1.56007       0.71000
       1.64707       0.78990
       1.73407       0.89250
       1.82107       0.96860
       1.90807       1.06300
       1.99507       1.16900
       2.08207       1.31600
       2.16907       1.62600
       2.25607       1.69400
       2.34307       1.71900
       2.43007       1.56300
       2.51707       1.51800
       2.60407       1.35000
       2.69107       1.31000
       2.77807       1.15300
       2.86407       1.07200
       2.95107       1.07500
       3.03807       1.02500
       3.12507       0.93050
       3.21207       1.50600
       3.29907       2.41200
       3.38607       2.03100
       3.47307       1.84000
       3.56007       1.76500
       3.64707       1.91400
       3.73407       1.85800
       3.82107       1.58300
       3.90807       1.38000
       3.99507       1.32100
       4.08207       1.18200
